;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q1;Yes;No;Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q2;Yes;No;Not Applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q3;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q4;Yes;No;Not Applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q5;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q6a;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q6b;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q6c;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q6d;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q7;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q8;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q9a;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q9b;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q10a;Yes;No;Not Applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer;N/A;1;2;3;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q10b;Yes, regular consultations;Yes, other measures;No;Not Applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q10c;Yes;No;Not Applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q11a;Yes;No;Not Applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer;N/A;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q11b;Yes;No;Not Applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q12;Yes;No;Not Applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q13;Top-down;Bottom-up;Hybrid;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q14;Yes, all initiatives;Yes, most initiatives;Yes, some initiatives;No;Not Applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q15;All public bodies;The majority of public bodies;Approximately half of the public bodies;Few public bodies;None of the public bodies;Not Applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q16;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q17a;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q17b;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q18;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q19;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q20;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q21;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q22a;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q22b;Satisfactory;Neutral;Unsatisfactory;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q23a;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q23b;All datasets;The majority of datasets;Approximately half of the datasets;Few datasets;None of the datasets;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q23c;Increased, or already all datasets;No change;Decreased;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q24b;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q25a;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q25b;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q25c;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q25d;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q26a;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q26b;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q27a;Yes, >9;Yes, 6-9;Yes, 3-5;Yes, 1-2;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q27b;National public bodies;Local or regional public bodies;Civil society/universities/non-profit;Private sector;A mix of the above;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q28;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q29;Yes, there is a strong focus;Yes, but the focus is limited;No, no focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q30;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q31;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q32;Yes;No;Not Applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q33;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q34;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q35;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q36;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q37;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select Answer;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q38;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select Answer;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q39a;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q39b;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q40;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q41;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q42;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q43;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q44;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q45;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q46;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q47;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q48;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q49;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q50;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q51;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q52;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q53;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q54;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q55;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q56;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q57;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q58;Yes;No;I don't know;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q59;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q60;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q61;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q62a;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q62b;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q63;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q64;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q65;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q66a;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q66b;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q66c;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q67;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q68;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q69a;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q69b;Daily;Weekly;Monthly;Less frequently than monthly;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q69c;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q70a;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q70b;All datasets;The majority of datasets;Approximately half of the datasets;Few datasets;None of the datasets;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q71;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q72;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q73;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q74;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q75;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q76;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q77;Yes;No;Not Applicable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Select answer for Q78;Yes;No;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
