ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
;;;;;;;Total Score:;1883
;;;;;;;Unsure Score:;0
;;;;;;;"Preliminary Score: 
(Total - Unsure)   ";1883
;Respondent Information;;;;;;;
;Please provide written information to the question in `Justification` column. Where applicable, select an answer option from the drop-down options in the `Answer` column. ;;;;;;;
;0.1 Background information;;;;;;;
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
R1;What is your country?;N/A;Bulgaria;;;;;N/A
R2;What is your organisation?;N/A;Ministry of e-Government;;;;;N/A
R3;What is your name?;N/A;xxx;;;;;N/A
R4;What is your position/role?;N/A;xxx;;;;;N/A
R5;What is your email address?;N/A;xxx;;;;;N/A
R6;What is the size of national open data team (core team members);N/A;3;;;;;N/A
R7;How many FTE(s) are in the national open data team?;N/A;5;;;;;N/A
R8;What is the annual budget of the national portal?;<200.000 EUR;N/A;This is the annual budget for all portal activities (portal development and maintenance, promotion and awareness-raising activities) of the national portal. This should include the budget for the national portal team, whether an internal team or external contractors.;;;;N/A
;0.2 data.europa.eu and national open data portals;;;;;;;
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
R9;"Are you satisfied with data.europa.eu as a European single point of access?

For Justification:
* If you selected 'yes', what do you consider particularly good about data.europa.eu as European single point of access? 
* If you selected 'no', how would you improve data.europa.eu as European single point of access? ";yes;Quick Search, Open Data Maturity, Studies, Use cases, News, Events, Newsletter;;;;;N/A
R10;"Does the portal data.europa.eu reflect the data that your national portals hosts? 

For Justification:
* If you selected 'no' or 'partially', how would you improve data.europa.eu to better reflect the data on national open data portals like the one in your country?";yes;;;;;;N/A
;Dimension 1: Open Data Policy;;;;;;;532
;"Please note that this section differentiates between open data policy and open data strategy. Policy here refers to all principles/initiatives set out to achieve the goals established by the Open Data Directive, including specific national legislation put in place to transpose the EU law. With strategy, on the other hand, we define a document outlining the concrete vision, mission, objectives, measures to be implemented, timeline and responsible. An open data strategy would ideally include information on the open data governance structure and operating model.

Please select the answer from the drop down options in the `Answer` column. If applicable, please provide additional information to justify the selected answer in the `Justification` column.                                                                                                                                                                                                                                                                                                                                                                                        ";;;;;;;
;1.1 Policy framework;;;;;;;220
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
1;"Is there a national open data policy in your country and does this include a national legislation for the transposition of the Open Data Directive (if your country is an EU Member State)?

For Justification:
* If yes, please provide (1) the URL and (2) title of the policy document and briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"https://e-gov.bg/wps/portal/agency/home/data/opendata/opendata-legal/opendata-legal-national 
The policy has been included in the Access to Public Information Act, the Ordinance on the standard terms and conditions for public sector information reuse and its publishing in open format, which contains specific provisions regarding publishing and reuse of public information in open format and in Decisions of the Council of Ministers approving the List of data sets by priority areas to be published in open format annually. The Act and the Ordinance settle the provisions regarding the right of access to public information, as well as the reuse of the public sector information. 
Pursuant the Electronic Government Act the Ministry of e-Government (MEG)  issues methodical guidelines and supports the administrations in defining the structure and contents of the datasets to be published on the Open Data Portal of the Republic of Bulgaria under the Access to Public Information Act.
The updated National eGovernment Strategy and the Roadmap for its implementation  including open data, and builds on the implementation of the objectives after 2018.
https://egov.government.bg/wps/portal/ministry-meu/strategies-policies/strategic-documents

Second Action Plan of the Republic of Bulgaria under  the “Open Government Partnership”: http://www.strategy.bg/Articles/View.aspx?lang=bg-BG&categoryId=&Id=15&y=&m=&d
Third Action Plan of the Republic of Bulgaria under the “Open Government Partnership”: http://www.strategy.bg/PublicConsultations/View.aspx?lang=bg-BG&Id=2130
The Fourth Action Plan of the Republic of Bulgaria under the “Open Government Partnership”: 
http://www.strategy.bg/Articles/List.aspx?lang=bg-BG&categoryId=17

Digital Bulgaria 2025, Roadmap and Reports:
https://egov.government.bg/wps/portal/ministry-meu/digital.transformation/itis-national-strategic-documents/np-digital-bulgaria-2025";The answer option 'Other' should be selected by countries that do not have a specific open data policy in place but have a national policy (on data, digitalisation, artificial intelligence, eGovernment or similar) that explicitly includes open data in its text and scope.;;;;30
2;"Is there a national open data strategy in your country?

For Justification:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";not applicable;"The open data principles are embedded in the National Updated eGovernment Strategy 2019-2025 - https://e-gov.bg/wps/wcm/connect/e-gov.bg-18083/1506d64e-0f16-4954-ba0b-dfd77ae58184/%D0%A1%D1%82%D1%80%D0%B0%D1%82%D0%B5%D0%B3%D0%B8%D1%8F+%D0%B7%D0%B0+%D1%80%D0%B0%D0%B7%D0%B2%D0%B8%D1%82%D0%B8%D0%B5+%D0%BD%D0%B0+%D0%B5%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D0%BD%D0%BD%D0%BE%D1%82%D0%BE+%D1%83%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5+2019-2025.pdf?MOD=AJPERES&CVID=nyx-ndJ&useDefaultText=0&useDefaultDesc=0
The Strategy provides for:
- the implementation of a Registry reform, which clearly provides for open data;
- decreasing the use of unstructured data;  
obligatory compliance with the open data principle (data generated by the public sector shall be in an open 
-machine-readable format, allowing for their reuse)";The answer option 'Not applicable' can be selected if e.g. there is no specific strategy in place, but the existing policy refers to the objectives, actions/measures to be implemented, delivery timelines, responsible etc. Should another explanation apply in your case, please provide it in the justification text box.;;;;30
3;"Has this national strategy/policy been updated in the past 24 months?

For Justification:
* If yes, please briefly describe the main changes. ";no;;;;;;0
4;"Is there any further open data policy/strategy at regional or local level?

For Justification:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";no;;;;;;0
5;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For justification:
If yes, please briefly describe the main measures described by the action plan.";yes;"Establish measures for:
o Amendments in the existing legal framework (APIA and relative Ordinance);
o Appoint responsible persons (data officers) from each public body for opening and monitoring the usage of their own data;
o Support public bodies to define their data which to be provided in an open machine readable format;
o Issue guidelines for defining the structure and content of datasets and metadata;
o Motivate public bodies to prioritize datasets and to publish in maximum details high value datasets;
o Develop a channel of communication between public bodies and re-users;
o Increase citizens’ awareness;
o Initiate activities to explore the opinion of the potential users of the open data portal and promote the portal and priority datasets;
o Create a forum/working group with all stakeholders in open data process to engage data community
o Create mechanism for benchmarking of data openness and maturity on national level;
o Conduct a pilot project for cooperation among institutions for measuring the re-use;
o Take action to ensure that consumers are confident about the timeliness of the information by introducing mandatory binding of categories of information in the list within the meaning of Article 15a p.3 of APIA with active links to the place of their publication;
o Develop and validate internal rules / procedures for the maintenance and operation of the Open Data Portal

The updated National eGovernment Strategy ensures the implementation of the current European principles of e-government, introduced at national level, aincluding open data, and builds on the implementation of the objectives after 2018. This Strategy serves as a framework on the basis of which the policy strategies will be created by the relevant administrative bodies and their administrations. The Roadmap for its implementation has also been updated, taking into account the progress made in the implementation of the priorities set so far, as well as the agreements, partnerships and opportunities reached by the administration and its partners for further actions.";;;;;25
6a;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For justification:
* If yes, please briefly describe the measures.";no;;Dynamic data is data that changes asynchronously over time is periodically updated, as new information becomes available. Real-time data is data that changes and needs updating at very frequent intervals, in most cases several times a minute. Access to dynamic and/or real-time data is most commonly provided via application programming interfaces (APIs). Plase note that real-time data is not the same as dynamic data. Real-time data can be dynamic (e.g. a variable indicating current location) or static (e.g. a fresh log entry indicating location at a specific time). ;;Please clarify which measures pertain to real-time/dynamic data;;0
6b;"Does the national strategy/policy outline measures to incentivise the publication of and access to geo-spatial data (e.g. in relation to high-value datasets as specified in the implementing regulation (EU) 2023/138)?

For justification:
* If yes, please briefly describe the measures.";yes;"Referring to EU high value datasets, the publication and access to geospatial datasets will be greatly enhanced. 
A National Spatial Data Portal providing Spatial Data Services to national and European users is in operation since 2021. The Portal is linked to the European Geo-spatial Portal. It provides public assess to sharing interoparable spatial data, in full compliance with the INSPIRE Directive. 
https://inspire.egov.bg/
National Updated eGovernment Strategy 2019-2025 - https://e-gov.bg/wps/wcm/connect/e-gov.bg-18083/1506d64e-0f16-4954-ba0b-dfd77ae58184/%D0%A1%D1%82%D1%80%D0%B0%D1%82%D0%B5%D0%B3%D0%B8%D1%8F+%D0%B7%D0%B0+%D1%80%D0%B0%D0%B7%D0%B2%D0%B8%D1%82%D0%B8%D0%B5+%D0%BD%D0%B0+%D0%B5%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D0%BD%D0%BD%D0%BE%D1%82%D0%BE+%D1%83%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5+2019-2025.pdf?MOD=AJPERES&CVID=nyx-ndJ&useDefaultText=0&useDefaultDesc=0
The development of the National Spatial Data Portal is listed among the priority measures in the Strategy. ";"Geo-spatial data is data that contains information on properties that are linked to a position on earth. 

The implementing regulation (EU) 2023/138, adopted in December 2022 and published in January 2023 by the European Commission, lays down a list of specific high-value datasets and the arrangements for their publication and re-use. https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32023R0138";;;;15
6c;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For justification:
* If yes, please briefly describe the measures.";yes;"The measures related to the national open data portal aim to stimulate the publication and access to citizen-generated data. The portal allows anyone to post data regardless of whether they are a citizen or an organization. There is a separation in the designation of data from official sources (ie public sector organisations) and data from citizens. However the guidelines, publication process and tools are the same whether the data provider is a ministry or a journalist, activist, student. 
Enhancing the contribution of citizen science and citizen-generated data is also supported by the Research, Innovation and Digitization for Smart Transformation Programme.";Citizen-generated data is the data that people or their organisations produce to directly monitor, demand or drive change on issues that affect them.;;;;15
6d;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For justification:
* If yes, please briefly describe how.";yes;"According to the national policy, all open government data has to be published via data.egov.bg. This ensures the discoverability and reusability of data.
The National Open Data Portal is the single point and meeting place between administrations, organizations (including research, business and government) and citizens interested in opening up public information and developing modern data-based services. Coordination of open data activities is carried out by the Electronic Identification and Data Unit in the Ministry of e-Government to facilitate interaction with the various target audiences. It ensures compliance with European standards and ensures the possibility of synchronizing national data with those at the European level.
All data which is published on the National Open Data Portal (data.egov.bg) is discloverable on European Data Portal (data.europa.eu).";;;Please confirm in your answer if the datasets from the national data portal are discoverable on data.europa.eu;;10
7;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For justification:
* If yes, please briefly describe the measures.";yes;"Each public sector body shall annually plan the phased publication on the Internet in an open format of the data sets and resources it maintains, access to which it is free.  The executive authorities shall include in the annual activity objectives of the relevant administration under Article 33a of the Administration Act aims to ensure the phased publication on the Internet of the data and resources included in the Lists of annual priority data sets.

The open data principles are embedded in the National Updated eGovernment Strategy 2019-2025 - https://egov.government.bg/wps/portal/ministry-meu/strategies-policies/strategic-documents
The Strategy provides for:
- the implementation of a Registry reform, which clearly provides for open data;
- decreasing the use of unstructured data;  
obligatory compliance with the open data principle (data generated by the public sector shall be in an open 
-machine-readable format, allowing for their reuse)

https://egov.government.bg/wps/portal/ministry-meu/ministry/meu.regulations
The policy has been included in the Access to Public Information Act, the Ordinance on the standard terms and conditions for public sector information reuse and its publishing in open format, which contains specific provisions regarding publishing and reuse of public information in open format and in Decisions of the Council os Ministers approving the List of data sets by priority areas to be published in open format annually. The Act and the Ordinance settle the provisions regarding the right of access to public information, as well as the reuse of the public sector information. 
Pursuant the Electronic Government Act the Ministry of e-Government (MEG)  issues methodical guidelines and supports the administrations in defining the structure and contents of the datasets to be published on the Open Data Portal of the Republic of Bulgaria under the Access to Public Information Act.

Digital Bulgaria 2025, Roadmap and Reports:
https://egov.government.bg/wps/portal/ministry-meu/digital.transformation/itis-national-strategic-documents/np-digital-bulgaria-2025";These measures should promote concepts such as data-driven government, policy-making and decision-making.;;;;15
8;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For justification:
* If yes, please briefly describe the measures.";no;;These measures could promote concepts such as smart cities and/or regions, but also new business development (in particular Small - and Medium-sized Enterprises), entrepreneurship etc.;;Please clarify the measures that suport reuse by the private sector;;0
9a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For justification:
* If yes, please briefly specify.";yes;"According to Art. 15a. from Access to public information act 
Publication on the Internet
Each head of an administrative structure as per Article 15 Paragraph (1) shall make public on an annual basis a list of the categories of information publishable on the Internet regarding the areas of operation of the relevant administration as well as the formats in which such information is accessible.
Examples:
https://data.egov.bg/organisation/datasets/resourceView/1b86508d-0135-40f4-a046-530ea4f6965c

The maintenance team annually monitors and reports on the publication of open data by central, municipal and district administrations. An annual report for each of the administrations is made through the progress report.
https://e-gov.bg/wps/portal/agency/home/data/opendata/opendata-activities/opendata-reports
https://iisda.government.bg/annual_reports
https://www.strategy.bg/Publications/View.aspx?lang=bg-BG&Id=81";A data inventory is a comprehensive catalogue of datasets held by an organisation.;;;;15
9b;"If yes [in Q9a], do these data inventories also include the data collected by public bodies that cannot be published as open data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For justification:
* If yes, please briefly specify.";yes;"They included part of information like legislative acts, organogams and other information is public information but is not public  sector information for re-use.Indeed the provision of public sector information to a public sector body in connection with the implementation of the powers or functions thereof shall not constitute re-use within the meaning given by the Access to Public Information  Act.The list of categories of information in Internet contains both types of information.
https://www.navet.government.bg/bg/media/Spisyk_po_ZDOI_NAPOO.pdf
https://www.riosv-ruse.org/dialog/aktualen-spisak-na-kategoriite-informatziya
https://e-gov.bg/wps/portal/agency/about-us/administration-service/info-citizens/public-access-info";The Data Governance Act (EU) 2022/868 seeks to increase trust in data sharing, strengthen mechanisms to increase data availability and overcome technical obstacles to the reuse of data. It also aims to support the set-up and development of common European data spaces in strategic domains, involving both private and public players, in sectors such as health, environment, energy, agriculture, mobility, finance, manufacturing, public administration and skills. The Data Governance entered into force on 23 June 2022 and, following a 15-month grace period, will be applicable from September 2023. https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32022R0868;;The answer refers to public information, but this is still open data. Do these data inventories also include information about closed data?;;10
10a;"Has your country started working towards the application of the implementing regulation (EU) 2023/138 on high-value datasets?

For Justification:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.
";yes;N/A;The implementing regulation (EU) 2023/138, adopted in December 2022 and published in January 2023 by the European Commission, lays down a list of specific high-value datasets and the arrangements for their publication and re-use. https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32023R0138;"Kindy fill in the column ""Publications of HCD in machine-readable formats via APIs"" in the table below. This column was hidden in the original questionnaire. Sorry.";;;20
;Categories of high-value datasets;;;Degree of progress (from 1 to 5);;;;
;;Organisational progress;Legal progress ;;Technical progress ;;;
;;Setting up new roles and workflows;Addressing legal barriers;Identification and inventory of high-value datasets;Publication of high-value datasets in machine-readable formats via APIs;Standardised means to structure, describe, access high-value datasets;Ensuring metadata availability and quality;
;Geospatial;3;2;2;1;1;1;
;Earth observation and environment;1;1;1;1;1;1;
;Meteorological;2;1;1;1;1;1;
;Statistics;3;3;2;3;2;2;
;Companies and company ownership;1;1;1;1;1;1;
;Mobility;1;1;1;1;1;1;
