ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
;;;;;;;Total Score:;2002
;;;;;;;Unsure Score:;0
;;;;;;;"Preliminary Score: 
(Total - Unsure)   ";2002
;Respondent Information;;;;;;;
;Please provide written information to the question in `Justification` column. Where applicable, select an answer option from the drop-down options in the `Answer` column. ;;;;;;;
;0.1 Background information;;;;;;;
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
R1;What is your country?;N/A;Switzerland;;;;;N/A
R2;What is your organisation?;N/A;Open Data Government Office;;;;;N/A
R3;What is your name?;N/A;xxx;;;;;N/A
R4;What is your position/role?;N/A;xxx;;;;;N/A
R5;What is your email address?;N/A;xxx;;;;;N/A
R6;What is the size of national open data team (core team members);N/A;5;;;;;N/A
R7;How many FTE(s) are in the national open data team?;N/A;;;Missing answer. Please provide.;;x;N/A
R8;What is the annual budget of the national portal?;Select answer for R8;N/A;This is the annual budget for all portal activities (portal development and maintenance, promotion and awareness-raising activities) of the national portal. This should include the budget for the national portal team, whether an internal team or external contractors.;Missing answer. Please provide.;;x;N/A
;0.2 data.europa.eu and national open data portals;;;;;;;
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
R9;"Are you satisfied with data.europa.eu as a European single point of access?

For Justification:
* If you selected 'yes', what do you consider particularly good about data.europa.eu as European single point of access? 
* If you selected 'no', how would you improve data.europa.eu as European single point of access? ";yes;The comparability of datasets in the EU, concrets example of re-use case, know-how, community networking, the courses offered on data.europa.academy;;;;;N/A
R10;"Does the portal data.europa.eu reflect the data that your national portals hosts? 

For Justification:
* If you selected 'no' or 'partially', how would you improve data.europa.eu to better reflect the data on national open data portals like the one in your country?";yes;;;;;;N/A
;Dimension 1: Open Data Policy;;;;;;;540
;"Please note that this section differentiates between open data policy and open data strategy. Policy here refers to all principles/initiatives set out to achieve the goals established by the Open Data Directive, including specific national legislation put in place to transpose the EU law. With strategy, on the other hand, we define a document outlining the concrete vision, mission, objectives, measures to be implemented, timeline and responsible. An open data strategy would ideally include information on the open data governance structure and operating model.

Please select the answer from the drop down options in the `Answer` column. If applicable, please provide additional information to justify the selected answer in the `Justification` column.                                                                                                                                                                                                                                                                                                                                                                                        ";;;;;;;
;1.1 Policy framework;;;;;;;235
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
1;"Is there a national open data policy in your country and does this include a national legislation for the transposition of the Open Data Directive (if your country is an EU Member State)?

For Justification:
* If yes, please provide (1) the URL and (2) title of the policy document and briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";other;"Federal ICT Strategy 2020-2023, Implementation: Master plan (document only available in german: Anhang B: Masterplan - Ausgabe 2020) point 3.3 ""Strategische Initiative SI-3 «Once-Only Prinzip», Kern-Initiative"" (SI 3.3): https://www.bk.admin.ch/bk/de/home/digitale-transformation-ikt-lenkung/strategie-planung/ikt-strategie_bund_2020-2023.html ";The answer option 'Other' should be selected by countries that do not have a specific open data policy in place but have a national policy (on data, digitalisation, artificial intelligence, eGovernment or similar) that explicitly includes open data in its text and scope.;;;;30
2;"Is there a national open data strategy in your country?

For Justification:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"https://www.fedlex.admin.ch/eli/fga/2019/125/de, also available in English: https://www.bfs.admin.ch/bfs/en/home/services/ogd/documentation.assetdetail.16164831.html
You'll find the highlights here: https://www.bfs.admin.ch/bfs/de/home/dienstleistungen/ogd/strategie.html";The answer option 'Not applicable' can be selected if e.g. there is no specific strategy in place, but the existing policy refers to the objectives, actions/measures to be implemented, delivery timelines, responsible etc. Should another explanation apply in your case, please provide it in the justification text box.;;;;30
3;"Has this national strategy/policy been updated in the past 24 months?

For Justification:
* If yes, please briefly describe the main changes. ";yes;We are currently updating the OGD strategy 2019-2024 which will be followed by a master plan 2024-2027. Since we will have a legal framework (EMBAG) at the federal level from 2024 that includes an article on OGD (Art. 10), it is not necessary to implement a new strategy. But with the master plan we accompany the implementation of the legal framework and strengthen OGD in Switzerland. On the one hand, the OGD Master Plan 2024-2027 defines the implementation priorities to be pursued further, which originate from the last strategy period that is coming to an end, and on the other hand, it contains new measures beyond the year 2023. The Master Plan will be based on five focus areas (S): (S01) more Open Data, (S02) better quality of (meta-)data, (S03) better accessibility of OGD, (S04) more synergies, and (S05) more exchange.;;;;;10
