ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
;;;;;;;Total Score:;2383
;;;;;;;Unsure Score:;0
;;;;;;;"Preliminary Score: 
(Total - Unsure)   ";2383
;Respondent Information;;;;;;;
;Please provide written information to the question in `Justification` column. Where applicable, select an answer option from the drop-down options in the `Answer` column. ;;;;;;;
;0.1 Background information;;;;;;;
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
R1;What is your country?;N/A;Cyprus;;;;;N/A
R2;What is your organisation?;N/A;Ministry of Finance, Public Administration and Personnel Departmen;;;;;N/A
R3;What is your name?;N/A;xxx;;;;;N/A
R4;What is your position/role?;N/A;xxx;;;;;N/A
R5;What is your email address?;N/A;xxx;;;;;N/A
R6;What is the size of national open data team (core team members);N/A;2;;;;;N/A
R7;How many FTE(s) are in the national open data team?;N/A;1.2 FTEs;;;;;N/A
R8;What is the annual budget of the national portal?;<200.000 EUR;N/A;This is the annual budget for all portal activities (portal development and maintenance, promotion and awareness-raising activities) of the national portal. This should include the budget for the national portal team, whether an internal team or external contractors.;;;;N/A
;0.2 data.europa.eu and national open data portals;;;;;;;
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
R9;"Are you satisfied with data.europa.eu as a European single point of access?

For Justification:
* If you selected 'yes', what do you consider particularly good about data.europa.eu as European single point of access? 
* If you selected 'no', how would you improve data.europa.eu as European single point of access? ";yes;Richness of content.;;;;;N/A
R10;"Does the portal data.europa.eu reflect the data that your national portals hosts? 

For Justification:
* If you selected 'no' or 'partially', how would you improve data.europa.eu to better reflect the data on national open data portals like the one in your country?";yes;;;;;;N/A
;Dimension 1: Open Data Policy;;;;;;;630
;"Please note that this section differentiates between open data policy and open data strategy. Policy here refers to all principles/initiatives set out to achieve the goals established by the Open Data Directive, including specific national legislation put in place to transpose the EU law. With strategy, on the other hand, we define a document outlining the concrete vision, mission, objectives, measures to be implemented, timeline and responsible. An open data strategy would ideally include information on the open data governance structure and operating model.

Please select the answer from the drop down options in the `Answer` column. If applicable, please provide additional information to justify the selected answer in the `Justification` column.                                                                                                                                                                                                                                                                                                                                                                                        ";;;;;;;
;1.1 Policy framework;;;;;;;270
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
1;"Is there a national open data policy in your country and does this include a national legislation for the transposition of the Open Data Directive (if your country is an EU Member State)?

For Justification:
* If yes, please provide (1) the URL and (2) title of the policy document and briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"The general policy is integrated into the national Open Data and PSI Re-Use Law.
URL: https://bit.ly/3Q0Vuzw 

The main highlights of the Policy are: 
a. All Public Sector Data is Open by default with the exception of data to which access is prohibited.
b. Public Sector Bodies annually update their data catalogue and publish their data online on the National Open Data Portal.
c. Implementation mechanism set up through the PSI law (Licencing Authority, Charging Authority, Review Body, Open Data Board, etc).
d. All data is made available under the Creative Commons Attribution Only and the Creative Commons Share-Alike Licences unless the Licensing Authority grants permission to Public Body use any other licence or impose additional rules.";The answer option 'Other' should be selected by countries that do not have a specific open data policy in place but have a national policy (on data, digitalisation, artificial intelligence, eGovernment or similar) that explicitly includes open data in its text and scope.;;;;30
2;"Is there a national open data strategy in your country?

For Justification:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"The National Strategy 2023-2027 is based on four main Pillars:

A. Providing the required legal framework that promotes and encourages the supply of high quality and PSI for Re-Use (free or marginal cost, simple licences, dispute mechanism, etc).
B. Providing the necessary infrastructure for the dissemination of PSI in the form of a National Open Data Portal that is modern and fit for purpose.
C. Maintaining, expanding and supporting (through the provision of training, etc) the already existing network of PSI Liaison Officers in PSBs.
D. Promoting PSI Re-Use in both Private and Public Sector, through joint events and facilitating constant dialogue between suppliers and users.

URL: https://bit.ly/3Iee1Gk";The answer option 'Not applicable' can be selected if e.g. there is no specific strategy in place, but the existing policy refers to the objectives, actions/measures to be implemented, delivery timelines, responsible etc. Should another explanation apply in your case, please provide it in the justification text box.;;;;30
3;"Has this national strategy/policy been updated in the past 24 months?

For Justification:
* If yes, please briefly describe the main changes. ";yes;A new Strategy covering the period 2023-2027 has been published.;;;;;10
4;"Is there any further open data policy/strategy at regional or local level?

For Justification:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";not applicable;"response to reviewer
Due to the small size of the country and to the centralised government system the policy/strategy making process exists only at a national level. ";;;Please justify why not applicable is a suitable answer. Eg small size of the country;;10
5;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For justification:
If yes, please briefly describe the main measures described by the action plan.";yes;"The action plan includes a total of 38 actions (with relevant timeframes) allocated to each of the following 4 main pillars (as outlined in Q2, above):

1) Providing a legal framework that promotes and encourages the use and re-use of Open Data
2) Providing the necessary infrastructure for the dissemination of Open Data.
3) Maintaining, expanding, and supporting the existing network of Open Data Liaison Officers.
4) Promoting Open Datareuse.

Furthermore, actions range from strengthening the open data governance and reviewing the national law, to improving the infrastructure (National Portal), to organising events to promote the re-use of open data in Cyprus and engage all actors (hackathons, open days, etc), to supporting and providing much needed training to PSBs to release their data. ";;;;;25
6a;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For justification:
* If yes, please briefly describe the measures.";yes;"Provision of support for publishing dynamic data and HVDs (Action Γ9 of the Analytical Action Plan)
Access to Consulting Services and Technical Support (internal and external) [Action B9 of the Analytical Action Plan]";Dynamic data is data that changes asynchronously over time is periodically updated, as new information becomes available. Real-time data is data that changes and needs updating at very frequent intervals, in most cases several times a minute. Access to dynamic and/or real-time data is most commonly provided via application programming interfaces (APIs). Plase note that real-time data is not the same as dynamic data. Real-time data can be dynamic (e.g. a variable indicating current location) or static (e.g. a fresh log entry indicating location at a specific time). ;;;;15
6b;"Does the national strategy/policy outline measures to incentivise the publication of and access to geo-spatial data (e.g. in relation to high-value datasets as specified in the implementing regulation (EU) 2023/138)?

For justification:
* If yes, please briefly describe the measures.";yes;"Provision of support for publishing dynamic data and HVDs (Action Γ9 of the Analytical Action Plan)
Access to Consulting Services and Technical Support (internal and external) [Action B9 of the Analytical Action Plan]

response to reviewer

This is a duplicate answer on purpose, since the same incentives and support offered for publishing real-time and dynamic data through API (Actionς Γ9 and Β9) are also offered in the case of publishing geospatial data though APIs and webservices.";"Geo-spatial data is data that contains information on properties that are linked to a position on earth. 

The implementing regulation (EU) 2023/138, adopted in December 2022 and published in January 2023 by the European Commission, lays down a list of specific high-value datasets and the arrangements for their publication and re-use. https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32023R0138";;This answer is a duplicate of the Q6a. Please make the link between geo-spatial data clear;;15
6c;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For justification:
* If yes, please briefly describe the measures.";yes;"The Strategy provides the opportunity to publish citizen generated data that was initially based on government open data to be published on the portal in the form of related content. (see Section ""Εμπλουτισμός Πύλης με Επιλεγμένα Δεδομένα Μη Κυβερνητικών Φορέων""(page 14) of the Open Data Strategy 2023-2027 URL: https://bit.ly/3Iee1Gk)
i.e.  Pothen Eshes citizen tranformed data that builds on a public datatset relating to the declaration of assets of politically exposed persons. link: https://bit.ly/3NZdnNe ";Citizen-generated data is the data that people or their organisations produce to directly monitor, demand or drive change on issues that affect them.;;;;15
6d;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For justification:
* If yes, please briefly describe how.";yes;"Action Γ11 of the 2023-2027 Analytical Action Plan for the examination/adoption of ways to imporove the discoverability of data on the National Data Portal, especially for the cases of 'data categories of special interest' such as non-public sector data, HVDs, geospacial data, Inpire data, etc.
This resulted to the  latest update of the ""Technical Guidelines Document"", which defined specific data tags to be used for each special interest category. ";;;;;10
7;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For justification:
* If yes, please briefly describe the measures.";yes;"Action Γ6  of the Analytical Action Plan refers to the design and delivery of a training program for middle-management and top-management civil servants in collaboration with the Cyprus Academy of Public Administration. The particular program aims to promote Open Data to the high levels of the hierarchy and includes modules on:
a. Open Data and Government Policies
b. Public Sector Bodies' obligations under the Open Data law
c. Show cases of Re-Use 
d. Benefits and Opportunities of Open Data
e. Evidence based and data-driven policies

UPDATE 29/08
The trainning program described in the CY Open Data Strategy is a measure designed to raise middle and top manahement awareness about  how open data, if re-used by public institutions, can enhance decision making  and policy formulation. Modules c, d and e of the described training program are designed to do exactly this.
 ";These measures should promote concepts such as data-driven government, policy-making and decision-making.;Please further specify if the national strategy/policy contains measures to support the re-use of open data by public insitutions. ;;;15
8;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For justification:
* If yes, please briefly describe the measures.";yes;"Action Δ.10 of the of the Analytical Action Plan refers to the support of measures that  
promote the concepts of smart cities, sustainable mobility, etc through open data.
Further the applications/re-use cases of open data are published on the National Portal and their developers are offered the opportunity to present their work in events organised by the Open Data Team and through articles published on the portal.";These measures could promote concepts such as smart cities and/or regions, but also new business development (in particular Small - and Medium-sized Enterprises), entrepreneurship etc.;;;;15
9a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For justification:
* If yes, please briefly specify.";yes;"National Open Data and PSI Law - Article 16 - All PSBs must prepare / maintain and update their data catalogue

URL:https://bit.ly/3Q0Vuzw 

UPDATE 29/08/23
The preparation and maintenance of data inventories by public bodies is obligatory by Law 143(I)/2021 for Open Data and PSI Re-Use.

More specifically, according to Article 16 of the above mentioned Law, public bodies must maintain data catalogues that lists : a) data available for publication as open data through data.gov.cy  b) data for which access is permitted according to the applicable law regulating access to information and which are
available for further use but not available online.  c)  data for which the public sector bodies, exceptionally, impose conditions for further use, through special permission or through enforcement of fees in accordance with the provisions of articles 13 to 15;
";A data inventory is a comprehensive catalogue of datasets held by an organisation.;Please further clarify. ;;;15
9b;"If yes [in Q9a], do these data inventories also include the data collected by public bodies that cannot be published as open data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For justification:
* If yes, please briefly specify.";yes;"National Open Data an PSI Law - Article 16 - All PSBs must prepare / maintain and update their data catalogue annually.
Please see attachment ""Policy Q9b - Data Publication Plan - PAPD""";The Data Governance Act (EU) 2022/868 seeks to increase trust in data sharing, strengthen mechanisms to increase data availability and overcome technical obstacles to the reuse of data. It also aims to support the set-up and development of common European data spaces in strategic domains, involving both private and public players, in sectors such as health, environment, energy, agriculture, mobility, finance, manufacturing, public administration and skills. The Data Governance entered into force on 23 June 2022 and, following a 15-month grace period, will be applicable from September 2023. https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32022R0868;;;;10
10a;"Has your country started working towards the application of the implementing regulation (EU) 2023/138 on high-value datasets?

For Justification:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.
";Yes;N/A;The implementing regulation (EU) 2023/138, adopted in December 2022 and published in January 2023 by the European Commission, lays down a list of specific high-value datasets and the arrangements for their publication and re-use. https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32023R0138;"Kindy fill in the column ""Publications of HCD in machine-readable formats via APIs"" in the table below. This column was hidden in the original questionnaire. Sorry.";;;20
;Categories of high-value datasets;;;Degree of progress (from 1 to 5);;;;
;;Organisational progress;Legal progress ;;Technical progress ;;;
;;Setting up new roles and workflows;Addressing legal barriers;Identification and inventory of high-value datasets;Publication of high-value datasets in machine-readable formats via APIs;Standardised means to structure, describe, access high-value datasets;Ensuring metadata availability and quality;
;Geospatial;4;4;3;3;2;2;
