ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
;;;;;;;Total Score:;2440
;;;;;;;Unsure Score:;0
;;;;;;;"Preliminary Score: 
(Total - Unsure)   ";2440
;Respondent Information;;;;;;;
;Please provide written information to the question in `Justification` column. Where applicable, select an answer option from the drop-down options in the `Answer` column. ;;;;;;;
;0.1 Background information;;;;;;;
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
R1;What is your country?;N/A;Estonia;;;;;N/A
R2;What is your organisation?;N/A;Ministry of Economic Affairs and Communications;;;;;N/A
R3;What is your name?;N/A;xxx;;;;;N/A
R4;What is your position/role?;N/A;xxx;;;;;N/A
R5;What is your email address?;N/A;xxx;;;;;N/A
R6;What is the size of national open data team (core team members);N/A;6;;;;;N/A
R7;How many FTE(s) are in the national open data team?;N/A;4,5;;;;;N/A
R8;What is the annual budget of the national portal?;400-600.000 EUR;N/A;This is the annual budget for all portal activities (portal development and maintenance, promotion and awareness-raising activities) of the national portal. This should include the budget for the national portal team, whether an internal team or external contractors.;;;;N/A
;0.2 data.europa.eu and national open data portals;;;;;;;
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
R9;"Are you satisfied with data.europa.eu as a European single point of access?

For Justification:
* If you selected 'yes', what do you consider particularly good about data.europa.eu as European single point of access? 
* If you selected 'no', how would you improve data.europa.eu as European single point of access? ";yes;In addition to the fact that it is a single point of access to data, we find it very useful that on the same portal you can find  a lot of helpful and practical information like event announcements, news, studies, etc. We also very appreciate the community built around data.europa.eu.;;;;;N/A
R10;"Does the portal data.europa.eu reflect the data that your national portals hosts? 

For Justification:
* If you selected 'no' or 'partially', how would you improve data.europa.eu to better reflect the data on national open data portals like the one in your country?";no;Currently we are having some technical issues regarding reflection of our data on the European portal. Our open data team is dealing with this issue together with the European portal representatives in order to understand the cause of the problem.;;;;;N/A
;Dimension 1: Open Data Policy;;;;;;;640
;"Please note that this section differentiates between open data policy and open data strategy. Policy here refers to all principles/initiatives set out to achieve the goals established by the Open Data Directive, including specific national legislation put in place to transpose the EU law. With strategy, on the other hand, we define a document outlining the concrete vision, mission, objectives, measures to be implemented, timeline and responsible. An open data strategy would ideally include information on the open data governance structure and operating model.

Please select the answer from the drop down options in the `Answer` column. If applicable, please provide additional information to justify the selected answer in the `Justification` column.                                                                                                                                                                                                                                                                                                                                                                                        ";;;;;;;
;1.1 Policy framework;;;;;;;275
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
1;"Is there a national open data policy in your country and does this include a national legislation for the transposition of the Open Data Directive (if your country is an EU Member State)?

For Justification:
* If yes, please provide (1) the URL and (2) title of the policy document and briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"The Open Data Directive was adopted in Estonia as a legislative act called Public Information Act (PIA) https://www.riigiteataja.ee/en/eli/ee/510122021005/consolide/current .  This piece of legislation regulates data publishing in Estonia, including regulations regarding open data publishing, re-use of open data, high-value datasets, etc; There is also the Green Paper on Machine-Readable Open Government Data, which gives guidelines on open data publishing https://www.riha.ee/api/v1/systems/eaatv/files/cdbfa8bd-2594-8ad3-6022-ff3d3dbf6781";The answer option 'Other' should be selected by countries that do not have a specific open data policy in place but have a national policy (on data, digitalisation, artificial intelligence, eGovernment or similar) that explicitly includes open data in its text and scope.;;;;30
2;"Is there a national open data strategy in your country?

For Justification:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;Our Open Data Action Plan was recently renewed and covers actions and strategic goals for years 2023-2024. New action plan is yet to be approved by the government, so it isn't publicly available yet. The main highlights of the plan include actions and strategies in 4 dimensions (public sector, private sector, education and legislation) with a focus on upskilling public officials, publishing open data and its quality improvement, as well as open data reuse growth. The general goals (publishing public sector data as open by default) are stipulated in the Public Information Act: https://www.riigiteataja.ee/en/eli/ee/510122021005/consolide/current. (includes the goal of fostering open access to publicly funded research data among other known principals from the OD PSI Directive). Previous Open Data and Data Management action plans for 2021-2022 are available on the national open data portal https://avaandmed.eesti.ee/instructions/action-plans-for-open-data-and-data-management-2021-2022. ;The answer option 'Not applicable' can be selected if e.g. there is no specific strategy in place, but the existing policy refers to the objectives, actions/measures to be implemented, delivery timelines, responsible etc. Should another explanation apply in your case, please provide it in the justification text box.;;;;30
3;"Has this national strategy/policy been updated in the past 24 months?

For Justification:
* If yes, please briefly describe the main changes. ";yes;Yes, the Open Data Action plan was updated for the new period 2023-2024, previous action plan covered years 2021-2022. The new action plan should be viewed as a continuation of the old one with a stronger focus on the data reuse as well as actios related to data publication. It also gives a better overview of the current situation, main challenges and strategical perspective of the planned actions.;;;;;10
4;"Is there any further open data policy/strategy at regional or local level?

For Justification:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;Digital transformation is handled on all levels. There are agencies and municipalities, which include topics related to digitalization and open data in their strategies. For example The Development Strategy Tallinn 2035 (https://strateegia.tallinn.ee/) includes goals on spatial data like making them more available. Environmental Board strategy 2022–2025 (https://keskkonnaamet.ee/en/media/3613/download) has separate chapter dedecated to open data, where they underline the importance of the freely available data high of quality and its impact on boosting innovation and making informed decisions. Similar tendecies can be notices across over agencies as well.;;;;;10
5;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For justification:
If yes, please briefly describe the main measures described by the action plan.";yes;The Open Data Action plan 2023-2024 includes concrete actions divided into quarters for the next two years in a four main categories - public sector, private sector, education and legislation. Activities include, but are not limited to, upskilling public officials, further developments of the national open data portal, events, communication, support of the open data projects, support of open data publication and its reuse etc.;;;;;25
6a;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For justification:
* If yes, please briefly describe the measures.";yes;We have activities to incentivise the publication of and access to open data (e.g. make more data colected and available via API). Recommendations for data providers on how to provide open data, including dynamic data, have been published at https://avaandmed.eesti.ee/instructions/avaandmete-loomise-juhend. In addition, the EU Structural Funds funding scheme for public sector IT developments requires open data to be provided according to user needs.;Dynamic data is data that changes asynchronously over time is periodically updated, as new information becomes available. Real-time data is data that changes and needs updating at very frequent intervals, in most cases several times a minute. Access to dynamic and/or real-time data is most commonly provided via application programming interfaces (APIs). Plase note that real-time data is not the same as dynamic data. Real-time data can be dynamic (e.g. a variable indicating current location) or static (e.g. a fresh log entry indicating location at a specific time). ;;;;15
6b;"Does the national strategy/policy outline measures to incentivise the publication of and access to geo-spatial data (e.g. in relation to high-value datasets as specified in the implementing regulation (EU) 2023/138)?

For justification:
* If yes, please briefly describe the measures.";yes;Together with the Ministry of Finance we continue working on a project, which will allow to collect and publish geo-spatial data from and for municipalities. Moreover, according to action plan we are preparing to regulate high-value data sets in the Public Information Act, which also include geo-spatial data.;"Geo-spatial data is data that contains information on properties that are linked to a position on earth. 

The implementing regulation (EU) 2023/138, adopted in December 2022 and published in January 2023 by the European Commission, lays down a list of specific high-value datasets and the arrangements for their publication and re-use. https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32023R0138";;;;15
6c;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For justification:
* If yes, please briefly describe the measures.";yes;"One of the goals of Estonia’s Digital Agenda 2030 (https://www.mkm.ee/media/6970/download) is achieving human-centric digital government. To achive that we plan to raise the awareness of people and the general public of human-centric digital government and the reliability of technology. Our Open Data Action plan includes activities on creating and keeping up-to-date e-courses including topics of open data, which describe open data concept, publication process, and reuse both for public oficials and citizens. Moreover, we constanly working on raising user-friendliness of our open data national portal and making data publishing as easy as possible.
====
To help boost publication to data generated by citizens we have created online courses at our government digital academy on open data and its publication (https://digiriigiakadeemia.ee/), we also carry out trainings on specific fields. We have carried out trainings on data literacy, which we plan to roll-out across the nation to raise competences and awareness. Today, this is covered in our digital-centric data governance vision and agenda. From technical means, we have created consent service, which enables citizens to share their government held data with external stakeholders. Today, over 300 000 consents have been generated to enable access to citizen data. 

There are also domain specific activities to incentivse publication and access to data generated by citizens. For instance, eBiodiversity (https://elurikkus.ee/en), which operates much on citizen generated data to understand biodiversity in Estonia, nation-wide campaigns are ran to incentivse. We carried out Donate your Speech campaign to incentivise people to make their speech data available as open data (https://oecd-opsi.org/blog/estonians-donate-a-speech-preserving-language-and-driving-digital-service-delivery/). Similarly, there are other initiatives related to weather, trash, energy consumption, infrastructure which incentivise publication/access to citizen generated data.";Citizen-generated data is the data that people or their organisations produce to directly monitor, demand or drive change on issues that affect them.;;Please comment on any measures that incentivise the publication/access to data generated by citizens;;15
6d;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For justification:
* If yes, please briefly describe how.";yes;Yes, we plan to make mentioned data discoverable through our national portal, which is connected with data.europa.eu portal.;;;;;10
7;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For justification:
* If yes, please briefly describe the measures.";yes;"New Open Data Action plan has a strong focus on open data reuse as well as raising open data quality. We plan to provide monetary support for open data projects; systematize our approach on educating and supporting public entities; initiate a few bigger open data publication and reuse projects in the near 1-2 years; conduct regular events to share knowledge and expertice in the field of data reuse and open data based projects, etc . The Green Paper on Machine-Readable Open Data includes measures such as conducting events targeted to re-users, improving data quality by ensuring that all new information systems are capable of providing at least 4-star open data, etc. (Green Paper, Annex 1: https://www.riha.ee/api/v1/systems/eaatv/files/cdbfa8bd-2594-8ad3-6022-ff3d3dbf6781) ";These measures should promote concepts such as data-driven government, policy-making and decision-making.;;;;15
8;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For justification:
* If yes, please briefly describe the measures.";yes;"Yes, it outlines the measures together with our action plan, where have a quite strong focus on private sector. Here are some measures we are planning to implement in the two upcoming years:
Mapping the need for open data in the private sector and making such data available;
Carrying out a wider communication campaign to inform about open data and the ways it can be reused;
Providing monetary support  for the development of services based on open data.";These measures could promote concepts such as smart cities and/or regions, but also new business development (in particular Small - and Medium-sized Enterprises), entrepreneurship etc.;;;;15
9a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For justification:
* If yes, please briefly specify.";yes;"The Public Information Act mandates data holders to make their data accessible through the national open data portal. Data Inventory in Estonia is called RIHA (https://www.riha.ee/Avaleht) where catalogues of information systems and databases is accessible.
Supporting information can be found in the Public Information Act (https://www.riigiteataja.ee/en/eli/510122021005/consolide), chapter 5 (1) DATABASES.";A data inventory is a comprehensive catalogue of datasets held by an organisation.;;;;15
9b;"If yes [in Q9a], do these data inventories also include the data collected by public bodies that cannot be published as open data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For justification:
* If yes, please briefly specify.";yes;A full overview of what public sector information systems and data is available on the state information system's website: https://www.riha.ee/Infosüsteemid?sort=meta.update_timestamp&dir=DESC. According  to  the Public Information Act all databases/registries that belong to the state  information system must be registred at RIHA.;The Data Governance Act (EU) 2022/868 seeks to increase trust in data sharing, strengthen mechanisms to increase data availability and overcome technical obstacles to the reuse of data. It also aims to support the set-up and development of common European data spaces in strategic domains, involving both private and public players, in sectors such as health, environment, energy, agriculture, mobility, finance, manufacturing, public administration and skills. The Data Governance entered into force on 23 June 2022 and, following a 15-month grace period, will be applicable from September 2023. https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32022R0868;;;;10
10a;"Has your country started working towards the application of the implementing regulation (EU) 2023/138 on high-value datasets?

For Justification:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.
";yes;N/A;The implementing regulation (EU) 2023/138, adopted in December 2022 and published in January 2023 by the European Commission, lays down a list of specific high-value datasets and the arrangements for their publication and re-use. https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32023R0138;"Kindy fill in the column ""Publications of HCD in machine-readable formats via APIs"" in the table below. This column was hidden in the original questionnaire. Sorry.";;;20
;Categories of high-value datasets;;;Degree of progress (from 1 to 5);;;;
;;Organisational progress;Legal progress ;;Technical progress ;;;
;;Setting up new roles and workflows;Addressing legal barriers;Identification and inventory of high-value datasets;Publication of high-value datasets in machine-readable formats via APIs;Standardised means to structure, describe, access high-value datasets;Ensuring metadata availability and quality;
;Geospatial;5;5;5;5;5;5;
;Earth observation and environment;5;5;5;5;5;5;
;Meteorological;5;5;5;5;4;5;
;Statistics;5;5;5;5;5;4;
;Companies and company ownership;5;5;5;5;4;4;
;Mobility;5;5;5;5;5;5;
10b;"Are there measures in place to assist other stakeholders’ involvement in this prioritisation process?

For justification:
* If 'yes, other measures', please specify which measures. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";yes, regular consultations;We provide regular consultation and support in the publication of HVD and ensuring all stakeholders are involved, communication is prioritised after publication, ensure stakeholders needs are considered. We evaluate and fund initiatives and activities related to the publication of HVD. ;Stakeholders could refer to open data reusers (business, civil society) or other actors that might not be direct reusers of the data (e.g. engaged or interested citizens).;;;;10
10c;"Are the public bodies in your country progressing in denoting relevant datasets as high-value datasets in their metadata following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?

For justification:
*  If yes, please specify how and highlight challenges, if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";not applicable;"We are currently working on adding a separate metadata element to describing open data, which includes separate category ""high-value dataset"" and extending the functionality in the government open data portal. Work started after the implemenetation of HVD.";The implementing regulation (EU) 2023/138, adopted in December 2022 and published in January 2023 by the European Commission, lays down a list of specific high-value datasets and the arrangements for their publication and re-use. https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32023R0138;;;;15
11a;"Are the objectives/actions of the national open data policy/strategy in place in your country in line with one or more of the European Commission priorities for 2019-2024?

For Justification:
* If yes, which of the following six priorities and how?
* Multiple answers are possible. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";yes;N/A;Please find for reference the European Commission´s priorities for 2019-2024: https://commission.europa.eu/strategy-and-policy/priorities-2019-2024_en;;;;15
;Priorities;Yes/No/NA;Action taken to align with the selected priority;;;;0;
;"A European Green Deal
Transforming the EU into a modern, resource-efficient and competitive economy, while preserving Europe’s natural environment, tackling climate change and making Europe carbon-neutral and resource-efficient by 2050.";Yes;"The development and management of digital government are based on climate and environmental friendliness. Where possible, the option that is more climate and environmentally friendly 
is chosen when introducing a new solution and the 
environmental footprint of digital government is 
reduced.(Estonia’s Digital Agenda 2030, p19, https://www.mkm.ee/media/6970/download )";Example: Green mobility has been prioritised as high-value dataset.;;;0;
;"A Europe fit for the digital age
Embracing digital transformation by investing in businesses, research and innovation, reforming data protection, empowering people with the skills necessary for a new generation of technologies and designing rules to match.";Yes;Estonia's Digital Agenda 2030 mentions the importanceof  launching widespread reskilling and upskilling initiatives in connection with digital skills. Overall direction of the Digital agenda is to digitalize as much public services as we can and as much as needed.;Example 1: The strategy explores how open data can be used to foster the digitalisation of public services.                                                                                                                 Example 2: The strategy/policies foresee open data education projects to improve data literacy among citizens.;;;0;
;"An economy that works for people
Strengthening the EU economy while securing jobs and reducing inequalities, supporting businesses, deepening the Economic and Monetary Union and completing the banking and capital markets union.";Yes;One of the goals mentioned in Estonia's Digital Agenda 2030 (p.4)  is making the Estonian economy  innovative and knowledge-based, using new technologies and business models as well as flexible forms of work. The contribution of the development plan lies in the creation of favourable conditions for business research and development and innovation. The Estonian economic environment invites people to work here, establish companies or do business virtually, invest, create and test new solutions which benefit the society at large.;Example: One of the objectives of my country´s open data policies/strategies is to create economic value by stimulating new buiness opportunities.;;;0;
;"A stronger Europe in the world
Strengthening the EU’s voice on the world stage by improving its standing as a champion of strong, open and fair trade, multilateralism and a rules-based global order. Boosting relations with neighbouring countries and partners as well as strengthening the EU’s ability to manage crises based on civilian and military capabilities.";Yes;Making Estonia’s cyberspace resilient to cyberthreats and trusted ( Estonia's Digital Agenda 2030 , p. 39-44). ;Example: Gender inequality has been prioritised as high-value dataset.;;;0;
;"Promoting our European way of life
Upholding fundamental rights and the rule of law as a bastion of equality, tolerance and social fairness. Addressing security risks, protecting and empowering consumers, as well as developing a system for legal and safe migration while effectively managing the EU’s external borders, modernising the EU’s asylum system and cooperating closely with partner countries.";Yes;Becoming  human-centric digital government. ( Estonia's Digital Agenda 2030 , p. 17-18). ;Example: Migration has been prioritised as high-value dataset.;;;0;
;"A new push for European democracy
Strengthening Europe’s democratic processes by deepening relations with the European Parliament and national parliaments, protecting EU democracy from external interference, ensuring transparency and integrity throughout the legislative process, as well as engaging more widely with Europeans in shaping the EU’s future.";Yes;Promoting international cooperation. We want Estonia to be expected and wanted in all international cooperation formats in the field of digital technology and an esteemed contributor to international policy-making. We want to actively we participate, both on the European Union and international level.  ( Estonia's Digital Agenda 2030 , p. 33).;Example: One of the objectives of my country´s policies/strategies is to increase transparency and facilitate public participation in policy debates.;;;0;
11b;"Are there any other overarching objectives or specific actions of your country´s open data policy/strategy that you would like to mention?

For justification:
*  If yes, please specify. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";Yes;Most of the the main points are mentioned in the strategies, which were brought as an example in the previous answers, but there are a lot of local strategies/initiatives, which serve the same purpose.;Example: Fight corruption,increase transparency in public administrations.;;;;N/A
;1.2 Governance of open data;;;;;;;190
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
12;"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For justification:
*  If yes, please briefly explain how this participation is ensured. 
* If you have a different way of ensuring the participation and/or inclusion of different stakeholders in your country, please select 'not applicable' and explain.";yes;"The Ministry of Economic Affairs and Communications (MoEAC) is responsible for leading open data policy in Estonia.
The have established public sector inter-departmental open data working group, which involves members from different interested ministries and other public sector organizations (e.g. National Audit Office, City of Tallinn). The working group meets on a regular basis (at least once a month) and participation is also open to non-members (e.g. civil society, private companies, academia). The working group aim is to share news, upcoming changes, share expiriences. Other stakeholders can participate in the governance process through stakeholder discussion events, such as the annual Open Data Forum or smaller workshops throughout the year devoted to specific open data issues. 
Previous year the MoEAC together with other public authorities established Data Stewards Steering Group. Data Stewards Steering Group brings together data stewards from different public authorities to ensure the sustainable and balanced development of the data field. Steering group focuses on such topics as data retrieval, data quality improvement, data re-use, data life cycle management, and data protection requirements.
Moreover, we have our own network on place connecting more than 500+ public sector oficials, which we use for information sharing, conducting surveys, promotion of events, etc.";;;;;30
13;"What is the model used for governing open data in your country? 

For justification:
*  Could you briefly describe why this model was chosen/works best for your country?";top-down;Usually the MoEAC  leads different initiatives, provides a platform for others to promote their initiatives and plays the major role in engaging others. At the same time we are very open to initiatives from other authorities and sectors and encouredge them to be an active part of open data community. ;;;;;N/A
14;"Does the governance structure ensure that the local and regional open data initiatives are facilitated and supported at national level?

For justification:
* If yes, please give an example of what kind of support.
* If not applicable, please explain why.";yes, all initiatives;Yes, all initiatives get support. Usually, it is monetary support or guiding authorities through implementing their initiatives.;;;;;20
15;"To what degree do local/regional public bodies conduct open data initiatives? 

For justification:
* If not applicable, please explain why.";all public bodies;;By initiatives we mean policies, strategies or portals that focus on the respective local/regional level.;;;;20
