ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
;;;;;;;Total Score:;1518
;;;;;;;Unsure Score:;0
;;;;;;;"Preliminary Score: 
(Total - Unsure)   ";1518
;Respondent Information;;;;;;;
;Please provide written information to the question in `Justification` column. Where applicable, select an answer option from the drop-down options in the `Answer` column. ;;;;;;;
;0.1 Background information;;;;;;;
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
R1;What is your country?;N/A;Croatia;;;;;N/A
R2;What is your organisation?;N/A;Central State Office for Development od Digital Society;;;;;N/A
R3;What is your name?;N/A;xxx;;;;;N/A
R4;What is your position/role?;N/A;xxx;;;;;N/A
R5;What is your email address?;N/A;xxx;;;;;N/A
R6;What is the size of national open data team (core team members);N/A;;;;;;N/A
R7;How many FTE(s) are in the national open data team?;N/A;6;;;;;N/A
R8;What is the annual budget of the national portal?;200-400.000 EUR;N/A;This is the annual budget for all portal activities (portal development and maintenance, promotion and awareness-raising activities) of the national portal. This should include the budget for the national portal team, whether an internal team or external contractors.;;;;N/A
;0.2 data.europa.eu and national open data portals;;;;;;;
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
R9;"Are you satisfied with data.europa.eu as a European single point of access?

For Justification:
* If you selected 'yes', what do you consider particularly good about data.europa.eu as European single point of access? 
* If you selected 'no', how would you improve data.europa.eu as European single point of access? ";yes;Open dana best practices in EU;;;;;N/A
R10;"Does the portal data.europa.eu reflect the data that your national portals hosts? 

For Justification:
* If you selected 'no' or 'partially', how would you improve data.europa.eu to better reflect the data on national open data portals like the one in your country?";yes;;;;;;N/A
;Dimension 1: Open Data Policy;;;;;;;392
;"Please note that this section differentiates between open data policy and open data strategy. Policy here refers to all principles/initiatives set out to achieve the goals established by the Open Data Directive, including specific national legislation put in place to transpose the EU law. With strategy, on the other hand, we define a document outlining the concrete vision, mission, objectives, measures to be implemented, timeline and responsible. An open data strategy would ideally include information on the open data governance structure and operating model.

Please select the answer from the drop down options in the `Answer` column. If applicable, please provide additional information to justify the selected answer in the `Justification` column.                                                                                                                                                                                                                                                                                                                                                                                        ";;;;;;;
;1.1 Policy framework;;;;;;;120
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
1;"Is there a national open data policy in your country and does this include a national legislation for the transposition of the Open Data Directive (if your country is an EU Member State)?

For Justification:
* If yes, please provide (1) the URL and (2) title of the policy document and briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"Open Data Policy
https://rdd.gov.hr/UserDocsImages//SDURDD-dokumenti//POLITIKA%20OTVORENIH%20PODATAKA.pdf 
The Right of Access to Information Act (RAIA) (Official Gazette 25/13, 85/15 and 69/22)
http://digarhiv.gov.hr/arhiva/1912/162307/FOI_Act-ENG_Version.pdf
In order to comply with requirements of the Directive (EU) 2019/1024 of the European Parliament and of the Council of 20 June 2019 on open data and the re-use of public sector information (OD Directive), the Croatian Parliament had adopted the Amendments to the RAIA (“Official Gazette”, No. 69/22), which entered into force in June 2022.
https://sredisnjikatalogrh.gov.hr/cadial/searchdoc.php?action=search&lang=hr&query=%22zakon+o+pravu+na+pristup+informacijama%22&searchText=on&searchTitle=on&resultdetails=basic&annotate=on&bid=F4NtHfvX0ieov0dK%2fqFcuw%3d%3d
We started activities drafting new Open Data Policy and the associated Action Plan.
The Croatian Parliament had adopted the Digital Croatia Strategy for the period  until 2032 (NN 002/2023).  The importance of open data is highlighted in the Strategy.
https://rdd.gov.hr/UserDocsImages//SDURDD-dokumenti//Strategija_Digitalne_Hrvatske_final_v1_EN.pdf";The answer option 'Other' should be selected by countries that do not have a specific open data policy in place but have a national policy (on data, digitalisation, artificial intelligence, eGovernment or similar) that explicitly includes open data in its text and scope.;;;;30
2;"Is there a national open data strategy in your country?

For Justification:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";not applicable;There is no specific strategy in place, but the existing policy refers to the objectives, actions/measures to be implemented, delivery timelines, responsible etc.;The answer option 'Not applicable' can be selected if e.g. there is no specific strategy in place, but the existing policy refers to the objectives, actions/measures to be implemented, delivery timelines, responsible etc. Should another explanation apply in your case, please provide it in the justification text box.;;Also: the Digital Croatia Strategy includes mention of the importance of open data;;30
3;"Has this national strategy/policy been updated in the past 24 months?

For Justification:
* If yes, please briefly describe the main changes. ";no;;;;;;0
4;"Is there any further open data policy/strategy at regional or local level?

For Justification:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";no;;;;;;0
5;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For justification:
If yes, please briefly describe the main measures described by the action plan.";no ;Response to reviewer: Action plan for implementing Open Data policy was never formalized, so the measures were not implemented;;Last year there was an action plan. Could you please check this?;;;0
6a;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For justification:
* If yes, please briefly describe the measures.";No;"Measures implemented in open data policy promote publishing using the scoring system and the use of real-time data / dynamic data sets. 
Response to reviewer: please chanege our answer to NO";Dynamic data is data that changes asynchronously over time is periodically updated, as new information becomes available. Real-time data is data that changes and needs updating at very frequent intervals, in most cases several times a minute. Access to dynamic and/or real-time data is most commonly provided via application programming interfaces (APIs). Plase note that real-time data is not the same as dynamic data. Real-time data can be dynamic (e.g. a variable indicating current location) or static (e.g. a fresh log entry indicating location at a specific time). ;;Please explain further what this scoring system is and how it is used to incentivise publication of real-time data. In there are also other measures, please state explicitly what the measures are.;;0
6b;"Does the national strategy/policy outline measures to incentivise the publication of and access to geo-spatial data (e.g. in relation to high-value datasets as specified in the implementing regulation (EU) 2023/138)?

For justification:
* If yes, please briefly describe the measures.";yes;"Measures implemented in open data policy promote publishing geo-spatial data as priority areas.
Response to reviewer: 
In Annex I of Directive (EU) 2019/1024, the topics of high-value data sets are determined by specifying six thematic categories of data:
1. geospatial data https://www.geohrvatska.hr/  - The GeoHrvatska browser was developed by the State Geodetic Administration in cooperation with the entities of the National Infrastructure for Spatial Data (NIPP), in order to bring the spatial data of the NIPP closer to citizens. In a simple, mobile and intuitive way, GeoHrvatska allows the user to use the official spatial data of NIPP subjects, i.e. the public authorities of the Republic of Croatia, and with the help of their location, get to know and explore the space that surrounds them. The browser consolidates and visualizes spatial data of NIPP subjects, distributed in six thematic areas: Quality of the environment, Land, Nature around me, Free time, Protected areas and Pollution in the vicinity.";"Geo-spatial data is data that contains information on properties that are linked to a position on earth. 

The implementing regulation (EU) 2023/138, adopted in December 2022 and published in January 2023 by the European Commission, lays down a list of specific high-value datasets and the arrangements for their publication and re-use. https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32023R0138";;Please state explicitly what the measures are;;15
6c;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For justification:
* If yes, please briefly describe the measures.";no;;Citizen-generated data is the data that people or their organisations produce to directly monitor, demand or drive change on issues that affect them.;;;;0
6d;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For justification:
* If yes, please briefly describe how.";no;;;;;;0
