ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
;;;;;;;Total Score:;2018
;;;;;;;Unsure Score:;0
;;;;;;;"Preliminary Score: 
(Total - Unsure)   ";2018
;Respondent Information;;;;;;;
;Please provide written information to the question in `Justification` column. Where applicable, select an answer option from the drop-down options in the `Answer` column. ;;;;;;;
;0.1 Background information;;;;;;;
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
R1;What is your country?;N/A;Hungary;;;;;N/A
R2;What is your organisation?;N/A;National Data Asset Management Agency;;;;;N/A
R3;What is your name?;N/A;xxx;;;;;N/A
R4;What is your position/role?;N/A;xxx;;;;;N/A
R5;What is your email address?;N/A;xxx;;;;;N/A
R6;What is the size of national open data team (core team members);N/A;4;;;;;N/A
R7;How many FTE(s) are in the national open data team?;N/A;5;;;;;N/A
R8;What is the annual budget of the national portal?;<200.000 EUR;N/A;This is the annual budget for all portal activities (portal development and maintenance, promotion and awareness-raising activities) of the national portal. This should include the budget for the national portal team, whether an internal team or external contractors.;;;;N/A
;0.2 data.europa.eu and national open data portals;;;;;;;
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
R9;"Are you satisfied with data.europa.eu as a European single point of access?

For Justification:
* If you selected 'yes', what do you consider particularly good about data.europa.eu as European single point of access? 
* If you selected 'no', how would you improve data.europa.eu as European single point of access? ";yes;The nature of single point of access which facilitate for public bodies to publish and for companies and citizens to reach wide range of data. Our goal is to create a similar single point of access that will be the core part of Hungary's open data ecosystem. ;;;;;N/A
R10;"Does the portal data.europa.eu reflect the data that your national portals hosts? 

For Justification:
* If you selected 'no' or 'partially', how would you improve data.europa.eu to better reflect the data on national open data portals like the one in your country?";partially;We are currently in talks with the dara.europa.eu about the harvesting method.;;;;;N/A
;Dimension 1: Open Data Policy;;;;;;;620
;"Please note that this section differentiates between open data policy and open data strategy. Policy here refers to all principles/initiatives set out to achieve the goals established by the Open Data Directive, including specific national legislation put in place to transpose the EU law. With strategy, on the other hand, we define a document outlining the concrete vision, mission, objectives, measures to be implemented, timeline and responsible. An open data strategy would ideally include information on the open data governance structure and operating model.

Please select the answer from the drop down options in the `Answer` column. If applicable, please provide additional information to justify the selected answer in the `Justification` column.                                                                                                                                                                                                                                                                                                                                                                                        ";;;;;;;
;1.1 Policy framework;;;;;;;275
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
1;"Is there a national open data policy in your country and does this include a national legislation for the transposition of the Open Data Directive (if your country is an EU Member State)?

For Justification:
* If yes, please provide (1) the URL and (2) title of the policy document and briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"Government Decree No. 1310/2015 (V. 21.) on the necessary measures for the widespread of the re-use of public data which requires the government to prepare a White Paper, including a model quantifying the socio-economic benefits, taking into account practical experience and good practices abroad, to establish a coherent government data policy to promote the re-use of public data, and to make it available for academic and public debate.

https://www.magyary.hu/wp-content/uploads/2019/07/AdatpolitikaiStrate%CC%81giaiJavaslat.20190627.Magyary.pdf

https://www.magyary.hu/wp-content/uploads/2019/09/Adatpolitikai_feher_konyv_201608.pdf

The White Paper on National Data-policy was published in 2016. The policy’s main focus is on the PSI re-use. In addition, the Government Decision 1573/2020 (IX. 9.) on Hungary's Artificial Intelligence Strategy (hereinafter: AI Strategy) and certain measures necessary for its implementation have a dedicated open data leg - since the availability of open data (and PSI) is a key factor in the success of any AI initiative. Within the framework of the AI Strategy, the National Data Asset Management Agency has been established. The National Data Asset Management Agency is responsible for establishing the legal framework for open data policy in Hungary.

https://ai-hungary.com/files/e8/dd/e8dd79bd380a40c9890dd2fb01dd771b.pdf

The government's commitment to the development of the data economy and the reuse of public data was embodied when the Government adopted Act No. XCI of 2021 on the National Data Asset, which was follow up by the Government Decree No. 607/2021 (XI. 5.) on certain detailed rules related to the utilisation of national data assets. The Decree regulates in detail the tasks of the National Data Assets Management Agency and states that the Agency shall be responsible for the implementation of the provisions of the Decree. It specifies the tasks of the Agency which, according to the Act, may participate in the re-use of public data under Act No. LXIII on Public Data, thus contributing to a more efficient channeling of available public data sets into the domestic economy. The Agency operates the National Public Data Portal in accordance with Article 34(5) of the Act No. XCI of 2021 on the National Data Asset.
https://net.jogtar.hu/jogszabaly?docid=a1200063.tv
https://net.jogtar.hu/jogszabaly?docid=a2100091.tv
https://net.jogtar.hu/jogszabaly?docid=A2100607.KOR
Also there is a new strategy called National Digitalization Strategy (2022-2030). This is an official open data policy.
Link: https://kormany.hu/dokumentumtar/nemzeti-digitalizacios-strategia-2022-2030";The answer option 'Other' should be selected by countries that do not have a specific open data policy in place but have a national policy (on data, digitalisation, artificial intelligence, eGovernment or similar) that explicitly includes open data in its text and scope.;;;;30
