ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
;;;;;;;Total Score:;2341
;;;;;;;Unsure Score:;0
;;;;;;;"Preliminary Score: 
(Total - Unsure)   ";2341
;Respondent Information;;;;;;;
;Please provide written information to the question in `Justification` column. Where applicable, select an answer option from the drop-down options in the `Answer` column. ;;;;;;;
;0.1 Background information;;;;;;;
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
R1;What is your country?;N/A;Ireland;;;;;N/A
R2;What is your organisation?;N/A;Department of Public Expenditure and Reform;;;;;N/A
R3;What is your name?;N/A;xxx;;;;;N/A
R4;What is your position/role?;N/A;xxx;;;;;N/A
R5;What is your email address?;N/A;xxx;;;;;N/A
R6;What is the size of national open data team (core team members);N/A;2;;;;;N/A
R7;How many FTE(s) are in the national open data team?;N/A;2;;;;;N/A
R8;What is the annual budget of the national portal?;<200.000 EUR;N/A;This is the annual budget for all portal activities (portal development and maintenance, promotion and awareness-raising activities) of the national portal. This should include the budget for the national portal team, whether an internal team or external contractors.;;;;N/A
;0.2 data.europa.eu and national open data portals;;;;;;;
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
R9;"Are you satisfied with data.europa.eu as a European single point of access?

For Justification:
* If you selected 'yes', what do you consider particularly good about data.europa.eu as European single point of access? 
* If you selected 'no', how would you improve data.europa.eu as European single point of access? ";yes;"The portal enables users to search, link, download and easily re-use data, through a common metadata catalogue.  This allows users to access data published on the websites of the various institutions, agencies and Open Data repositories of the countries of the EU.  
The semantics of the data offer users a way of querying the data in the context of which it was gathered and gives them a more rounded understanding of the dataset.
The metadata catalogue can be searched via an interactive search engine, map location and through Sparql queries.
Users have the facility to suggest data they would like to be added the portal and give feedback on the quality of data available.";;;;;N/A
R10;"Does the portal data.europa.eu reflect the data that your national portals hosts? 

For Justification:
* If you selected 'no' or 'partially', how would you improve data.europa.eu to better reflect the data on national open data portals like the one in your country?";yes;;;;;;N/A
;Dimension 1: Open Data Policy;;;;;;;622
;"Please note that this section differentiates between open data policy and open data strategy. Policy here refers to all principles/initiatives set out to achieve the goals established by the Open Data Directive, including specific national legislation put in place to transpose the EU law. With strategy, on the other hand, we define a document outlining the concrete vision, mission, objectives, measures to be implemented, timeline and responsible. An open data strategy would ideally include information on the open data governance structure and operating model.

Please select the answer from the drop down options in the `Answer` column. If applicable, please provide additional information to justify the selected answer in the `Justification` column.                                                                                                                                                                                                                                                                                                                                                                                        ";;;;;;;
;1.1 Policy framework;;;;;;;265
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
1;"Is there a national open data policy in your country and does this include a national legislation for the transposition of the Open Data Directive (if your country is an EU Member State)?

For Justification:
* If yes, please provide (1) the URL and (2) title of the policy document and briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"The Open Data Directive was transposed into Irish Law on July 22nd 2021 through Statutory Instrument 376/2021, the European Union (Open Data and Re-use of Public Sector Information) Regulations 2021.  These regulations fully transposed the Directive in to Irish law.  They also include the request regime for accessing open datasets and the appeals process a requester can utilise if they are not provided with the data requested. SI 376/2021 is the basis for Irish Government policy on open data.
The regulations may be accessed at https://www.irishstatutebook.ie/eli/2021/si/376/made/en/html

An official government Circular which provides instructions and guidance for all public service organisations on implementing the Open Data Directive was issued in December 2021.  This Circular sets out the actions public bodies and public utilities need to carry out to meet their obligations under the Directive.  Circular 20/2021 – Open Data Directive https://www.gov.ie/en/circular/523a7-circular-202021-open-data-directive/  

Our Open Data policy is to encourage and drive the publication, uptake and use of Open Data and in doing so add value to the economy by increasing transparency, stimulating new business applications, building trust in Government and improving the lives of citizens by delivering better services.
This is being achieved by:
• Encouraging the release of all appropriate high value government data as Open Data by default 
• Building a value driven economy by making it publicly available and freely reusable 
• Engaging with a broad community of stakeholders to promote and encourage the use of Open Data";The answer option 'Other' should be selected by countries that do not have a specific open data policy in place but have a national policy (on data, digitalisation, artificial intelligence, eGovernment or similar) that explicitly includes open data in its text and scope.;;;;30
