ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
;;;;;;;Total Score:;2040
;;;;;;;Unsure Score:;0
;;;;;;;"Preliminary Score: 
(Total - Unsure)   ";2040
;Respondent Information;;;;;;;
;Please provide written information to the question in `Justification` column. Where applicable, select an answer option from the drop-down options in the `Answer` column. ;;;;;;;
;0.1 Background information;;;;;;;
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
R1;What is your country?;N/A;Latvia;;;;;N/A
R2;What is your organisation?;N/A;Ministry of Environmental Protection and Regional Development Republic of Latvia (hereinafter - MEPRD);;;;;N/A
R3;What is your name?;N/A;xxx;;;;;N/A
R4;What is your position/role?;N/A;xxx;;;;;N/A
R5;What is your email address?;N/A;xxx;;;;;N/A
R6;What is the size of national open data team (core team members);N/A;"10
===original===
Our national open data team consists of two parts: policy makers MEPRD Information Society Development Department and tehnical support State Regional Development Agency Republic of Latvia (hereinafter SRDA)";;Thank you for the information. In addition, please add the size of these teams.;;;N/A
R7;How many FTE(s) are in the national open data team?;N/A;"3
==original===
Coordinated at national level by MEPRD Information Society Development Department in coopertaion with non-governmental organisations.

";;Thank you for the information. In addition, please add the number of full time equivalent employees in the national open data team.;;;N/A
R8;What is the annual budget of the national portal?;<200.000 EUR;N/A;This is the annual budget for all portal activities (portal development and maintenance, promotion and awareness-raising activities) of the national portal. This should include the budget for the national portal team, whether an internal team or external contractors.;;;;N/A
;0.2 data.europa.eu and national open data portals;;;;;;;
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
R9;"Are you satisfied with data.europa.eu as a European single point of access?

For Justification:
* If you selected 'yes', what do you consider particularly good about data.europa.eu as European single point of access? 
* If you selected 'no', how would you improve data.europa.eu as European single point of access? ";yes;A knowledgeable, supportive team with whom you can always find common ground and solutions when problems arise.;;;;;N/A
R10;"Does the portal data.europa.eu reflect the data that your national portals hosts? 

For Justification:
* If you selected 'no' or 'partially', how would you improve data.europa.eu to better reflect the data on national open data portals like the one in your country?";yes;;;;;;N/A
;Dimension 1: Open Data Policy;;;;;;;572
;"Please note that this section differentiates between open data policy and open data strategy. Policy here refers to all principles/initiatives set out to achieve the goals established by the Open Data Directive, including specific national legislation put in place to transpose the EU law. With strategy, on the other hand, we define a document outlining the concrete vision, mission, objectives, measures to be implemented, timeline and responsible. An open data strategy would ideally include information on the open data governance structure and operating model.

Please select the answer from the drop down options in the `Answer` column. If applicable, please provide additional information to justify the selected answer in the `Justification` column.                                                                                                                                                                                                                                                                                                                                                                                        ";;;;;;;
;1.1 Policy framework;;;;;;;250
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
1;"Is there a national open data policy in your country and does this include a national legislation for the transposition of the Open Data Directive (if your country is an EU Member State)?

For Justification:
* If yes, please provide (1) the URL and (2) title of the policy document and briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"Freedom of Information Law.
Cabinet of Minister regulations No 445 ""Procedures by which institutions place information on the Internet"". 
We note that these rules will also provide for the publication of a list of high-value datasets, their data and metadata formats and dissemination, as well as the dissemination of dynamic data. The amendments to the Regulation have now been submitted to the TAP for objections and comments from other authorities.

Update August
1.1 Policy framework 
1. https://likumi.lv/ta/en/en/id/50601-freedom-of-information-law;
https://tapportals.mk.gov.lv/meetings/cabinet_ministers/17464853-28a1-40de-949a-d03644b2e62a";The answer option 'Other' should be selected by countries that do not have a specific open data policy in place but have a national policy (on data, digitalisation, artificial intelligence, eGovernment or similar) that explicitly includes open data in its text and scope.;In addition, please provide a link the legislation. In 2022, the following URL was provided: https://likumi.lv/ta/en/en/id/50601 and https://likumi.lv/ta/id/316109-kartiba-kada-iestades-ievieto-informaciju-interneta;;;30
2;"Is there a national open data strategy in your country?

For Justification:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"Latvian Open Data strategy sets tasks and plan how to reach the goal ""open by default""
https://tap.mk.gov.lv/lv/mk/tap/?pid=40472319
https://data.gov.lv/lv/aktualitates/ministru-kabinets-apstiprina-informativo-zinojumu-latvijas-atverto-datu-strategija
The open data policy is also addressed in the Cabinet of Ministers' Order No 490 of 7 July 2021 ""On Digital Transformation Guidelines 2021-2027"", for example, by providing for the availability of open data on the Latvian Open Data Portal, i.e. by making it mandatory to publish all data contained in the public sector's publicly available information on the Latvian Open Data Portal by making open data of the public administration easily accessible.";The answer option 'Not applicable' can be selected if e.g. there is no specific strategy in place, but the existing policy refers to the objectives, actions/measures to be implemented, delivery timelines, responsible etc. Should another explanation apply in your case, please provide it in the justification text box.;;;;30
3;"Has this national strategy/policy been updated in the past 24 months?

For Justification:
* If yes, please briefly describe the main changes. ";No;"Please see a comment: We would like to draw attention to the fact that Latvian legislation updated as necessary to take account of changes or trends in certain processes. 

";;It is not clear whether or not if the strategy/policy has been updated in the previous 24 months. Please clarify and provide supporting links;;;0
4;"Is there any further open data policy/strategy at regional or local level?

For Justification:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;In Latvia we have a governmental strategy and there are municipalities that also have their own open data strategies, for example, Cēsu municipality: https://www.cesis.lv/images/userfiles/files/Att%C4%ABst%C4%ABbas_dokumenti/CNP-Datu-strategija-2021-final.pdf ;;;;;10
5;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For justification:
If yes, please briefly describe the main measures described by the action plan.";yes;"One of the objectives of Latvia's Fifth National Open Government Action Plan 2022-2025 is to educate the public about information and data produced by public institutions, including open data, promoting their use, as well as data-driven solutions and collaboration in public administration.
";;;;;25
6a;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For justification:
* If yes, please briefly describe the measures.";yes;"The national strategy recommends to publish real-time or dynamic data. In addition, we would like to point out that the amendments to Cabinet of Minister regulations No 445 ""Procedures by which institutions place information on the Internet"" (hereinafter - amendments to regulations No 445) foresee a procedure for the institutions to control and update info pec in a timeframe commensurate with the updating of data.";Dynamic data is data that changes asynchronously over time is periodically updated, as new information becomes available. Real-time data is data that changes and needs updating at very frequent intervals, in most cases several times a minute. Access to dynamic and/or real-time data is most commonly provided via application programming interfaces (APIs). Plase note that real-time data is not the same as dynamic data. Real-time data can be dynamic (e.g. a variable indicating current location) or static (e.g. a fresh log entry indicating location at a specific time). ;;;;15
6b;"Does the national strategy/policy outline measures to incentivise the publication of and access to geo-spatial data (e.g. in relation to high-value datasets as specified in the implementing regulation (EU) 2023/138)?

For justification:
* If yes, please briefly describe the measures.";yes;"The national strategy sets out the conditions under which certain measures must be taken to publish and access geospatial data.
Also amendments to regulations No 445, provisions will be added to the rules on the publication and re-use of the list of high-value datasets and the re-use of dynamic data.";"Geo-spatial data is data that contains information on properties that are linked to a position on earth. 

The implementing regulation (EU) 2023/138, adopted in December 2022 and published in January 2023 by the European Commission, lays down a list of specific high-value datasets and the arrangements for their publication and re-use. https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32023R0138";;;;15
6c;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For justification:
* If yes, please briefly describe the measures.";No;"Work is currently underway to implement the Data Governance Act. 
In addition, it should be noted that national strategies/policies refer to this in the broader sense of public participation. 
For example:
https://www.mk.gov.lv/lv/media/651/download?attachment";Citizen-generated data is the data that people or their organisations produce to directly monitor, demand or drive change on issues that affect them.;Please relate your answer specifically to citizen-generated data and what you are currently doing to incentivise its publication.;;;0
6d;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For justification:
* If yes, please briefly describe how.";yes;We note that the Strategy states that open data should be published on the Latvian Open Data Portal (hereinafter - the Portal), but at the same time, in meetings with institutions, they are informed that the types of data published on the Portal are also available on data.europa.eu.;;;;;10
7;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For justification:
* If yes, please briefly describe the measures.";yes;"The Strategy describes scenarios and recommends institutions to re-use the data of other public sector institutions. Cooperation with NGOs, raising funds for geoportal publication of specific geospatial data on the Open Data Portal for Latvia; the regulatory enactments stipulate that if an institution has open geospatial data at its disposal, it shall also publish it on the unified national geospatial information portal (https://geolatvija.lv). The strategy includes: 1. Open Data Platform - a public and private data sharing site for bussiness processes (for example, information on public transport movements, statistics etc.) (page 35 - Section 4.4.1: Service platforms, Paragraph 5.12); 2. Develop an open data culture in the private sector (page 39 - Section 4.4.2.1 Action sub-direction: Data governance framework, Paragraph 9); 3. A unified data management infrastructure is established, providing for broad sharing of public and private sector data, including across borders, on a common basis (page 40 - Section 4.4.2.3 Action sub-direction: National Data Governance Platform (Action required)). Link: https://likumi.lv/ta/id/324715-par-digitalas-transformacijas-pamatnostadnem-20212027-gadam 
In addition, we would like to point out that the above-mentioned amendments to Cabinet Regulation No 445 will provide for a re-use procedure.";These measures should promote concepts such as data-driven government, policy-making and decision-making.;;;;15
8;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For justification:
* If yes, please briefly describe the measures.";yes;The Strategy describes benefits of re-use of open data by the private sector and the action plan includes activities to support entrepreneurs creating innovations using open data.;These measures could promote concepts such as smart cities and/or regions, but also new business development (in particular Small - and Medium-sized Enterprises), entrepreneurship etc.;;;;15
9a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For justification:
* If yes, please briefly specify.";yes;It requires public bodies to carry out audit to create data inventory (Action plan, page 36);A data inventory is a comprehensive catalogue of datasets held by an organisation.;;;;15
9b;"If yes [in Q9a], do these data inventories also include the data collected by public bodies that cannot be published as open data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For justification:
* If yes, please briefly specify.";yes;"In the future is there a plan to publish on the Portal a list of public authorities' data that cannot be published as open data. 

Update August
we are currently identifying the institutions that hold data under the Regulation (EU) 2022/868: 
https://forms.office.com/pages/responsepage.aspx?id=rZPVon3wVUyHyBBsJta6CLVVom0lrHRMie8IRpcx8K9UN01YM0k5MFlVN0RWRzkzQzE1VTRHVTcwVi4u&web=1&wdLOR=c12E925B4-EBF6-4293-BA14-794BC0DB1DC6";The Data Governance Act (EU) 2022/868 seeks to increase trust in data sharing, strengthen mechanisms to increase data availability and overcome technical obstacles to the reuse of data. It also aims to support the set-up and development of common European data spaces in strategic domains, involving both private and public players, in sectors such as health, environment, energy, agriculture, mobility, finance, manufacturing, public administration and skills. The Data Governance entered into force on 23 June 2022 and, following a 15-month grace period, will be applicable from September 2023. https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32022R0868;Are you please able to share a link to where the plan is publically available and quote the relevant section? Otherwise, it is difficult to consider future actions that are not currently implemented.;;;10
10a;"Has your country started working towards the application of the implementing regulation (EU) 2023/138 on high-value datasets?

For Justification:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.
";yes;N/A;The implementing regulation (EU) 2023/138, adopted in December 2022 and published in January 2023 by the European Commission, lays down a list of specific high-value datasets and the arrangements for their publication and re-use. https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32023R0138;"Kindly fill in the column ""Publications of HCD in machine-readable formats via APIs"" in the table below. This column was hidden in the original questionnaire. Sorry.";;;20
;Categories of high-value datasets;;;Degree of progress (from 1 to 5);;;;
;;Organisational progress;Legal progress ;;Technical progress ;;;
;;Setting up new roles and workflows;Addressing legal barriers;Identification and inventory of high-value datasets;Publication of high-value datasets in machine-readable formats via APIs;Standardised means to structure, describe, access high-value datasets;Ensuring metadata availability and quality;
;Geospatial;4;5;5;4;5;5;
;Earth observation and environment;4;5;5;2;5;5;
;Meteorological;4;5;5;2;5;5;
;Statistics;4;5;5;3;5;5;
;Companies and company ownership;5;5;5;5;5;5;
;Mobility;4;5;5;1;5;5;
10b;"Are there measures in place to assist other stakeholders’ involvement in this prioritisation process?

For justification:
* If 'yes, other measures', please specify which measures. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";yes, regular consultations;;Stakeholders could refer to open data reusers (business, civil society) or other actors that might not be direct reusers of the data (e.g. engaged or interested citizens).;;;;10
10c;"Are the public bodies in your country progressing in denoting relevant datasets as high-value datasets in their metadata following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?

For justification:
*  If yes, please specify how and highlight challenges, if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";yes;"There are currently 26 high value datasets available on the portal, which can be found under the title ""high value dataset""
https://data.gov.lv/dati/lv/dataset?tags=augstv%C4%93rt%C4%ABg%C4%81+datu+kopa";The implementing regulation (EU) 2023/138, adopted in December 2022 and published in January 2023 by the European Commission, lays down a list of specific high-value datasets and the arrangements for their publication and re-use. https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32023R0138;;;;15
11a;"Are the objectives/actions of the national open data policy/strategy in place in your country in line with one or more of the European Commission priorities for 2019-2024?

For Justification:
* If yes, which of the following six priorities and how?
* Multiple answers are possible. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";yes;N/A;Please find for reference the European Commission´s priorities for 2019-2024: https://commission.europa.eu/strategy-and-policy/priorities-2019-2024_en;In addition to the information provided, could you please additionally provide a short explanation of the actions contain the in Plan.;"Thank you for your updated answer. What was meant that in the table below you state ""actions to compy with …"". If possible, could you please describe these actions with some further detail?";;15
;Priorities;Yes/No/NA;Action taken to align with the selected priority;;;;0;
;"A European Green Deal
Transforming the EU into a modern, resource-efficient and competitive economy, while preserving Europe’s natural environment, tackling climate change and making Europe carbon-neutral and resource-efficient by 2050.";Yes;"Actions to comply with the selected priority are set out in the Latvian National Development Plan 2021-2027: https://www.pkc.gov.lv/sites/default/files/inline-files/NAP2027_apstiprin%C4%81ts%20Saeim%C4%81_1.pdf 
For example:
1. Education economic growth;
2. Nature and Environment - Green Course;
3. Nature and Environment - Green Course;
4. A cohesive, safe and open society";Example: Green mobility has been prioritised as high-value dataset.;;;0;
;"A Europe fit for the digital age
Embracing digital transformation by investing in businesses, research and innovation, reforming data protection, empowering people with the skills necessary for a new generation of technologies and designing rules to match.";Yes;Actions to comply with the selected priority are set out in the Latvian National Development Plan 2021-2027  and the Digital Transformation Guidelines 2021-2027: https://likumi.lv/ta/id/324715-par-digitalas-transformacijas-pamatnostadnem-20212027-gadam;Example 1: The strategy explores how open data can be used to foster the digitalisation of public services.                                                                                                                 Example 2: The strategy/policies foresee open data education projects to improve data literacy among citizens.;;;0;
;"An economy that works for people
Strengthening the EU economy while securing jobs and reducing inequalities, supporting businesses, deepening the Economic and Monetary Union and completing the banking and capital markets union.";Yes;Actions to comply with the selected priority are set out in the Latvian National Development Plan 2021-2027 ;Example: One of the objectives of my country´s open data policies/strategies is to create economic value by stimulating new buiness opportunities.;;;0;
;"A stronger Europe in the world
Strengthening the EU’s voice on the world stage by improving its standing as a champion of strong, open and fair trade, multilateralism and a rules-based global order. Boosting relations with neighbouring countries and partners as well as strengthening the EU’s ability to manage crises based on civilian and military capabilities.";Yes;Actions to comply with the selected priority are set out in the Latvian National Development Plan 2021-2027 ;Example: Gender inequality has been prioritised as high-value dataset.;;;0;
;"Promoting our European way of life
Upholding fundamental rights and the rule of law as a bastion of equality, tolerance and social fairness. Addressing security risks, protecting and empowering consumers, as well as developing a system for legal and safe migration while effectively managing the EU’s external borders, modernising the EU’s asylum system and cooperating closely with partner countries.";Yes;Actions to comply with the selected priority are set out in the Latvian National Development Plan 2021-2027 ;Example: Migration has been prioritised as high-value dataset.;;;0;
;"A new push for European democracy
Strengthening Europe’s democratic processes by deepening relations with the European Parliament and national parliaments, protecting EU democracy from external interference, ensuring transparency and integrity throughout the legislative process, as well as engaging more widely with Europeans in shaping the EU’s future.";Yes;Actions to comply with the selected priority are set out in the Latvian National Development Plan 2021-2027 ;Example: One of the objectives of my country´s policies/strategies is to increase transparency and facilitate public participation in policy debates.;;;0;
11b;"Are there any other overarching objectives or specific actions of your country´s open data policy/strategy that you would like to mention?

For justification:
*  If yes, please specify. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";Yes;"Several events are planned for the future, such as meetings with local authorities to promote open data, open data days, etc.
";Example: Fight corruption,increase transparency in public administrations.;;;;N/A
;1.2 Governance of open data;;;;;;;190
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
12;"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For justification:
*  If yes, please briefly explain how this participation is ensured. 
* If you have a different way of ensuring the participation and/or inclusion of different stakeholders in your country, please select 'not applicable' and explain.";yes;The Information Society Council led by Prime Minister is a consultative institution established by the Cabinet of Ministers, which aims to promote the formation of the information society in Latvia. During council meetings open data actions are always included in agenda. https://www.mk.gov.lv/lv/content/informacijas-sabiedribas-padome ;;;;;30
13;"What is the model used for governing open data in your country? 

For justification:
*  Could you briefly describe why this model was chosen/works best for your country?";hybrid;A mixed/ hybrid model is used to identify and govern data, it gives a broader view of the situation and allows to express more precise ideas about what is needed in the future.;;;;;N/A
14;"Does the governance structure ensure that the local and regional open data initiatives are facilitated and supported at national level?

For justification:
* If yes, please give an example of what kind of support.
* If not applicable, please explain why.";yes, all initiatives;"All the open data publishers in public sector can (are obliged) to use National Open data portal to publsih the data and are supported when using the portal.
But there are also municipalities that have an Open Data Strategy, such as Cesis 2021-2026: https://www.cesis.lv/images/userfiles/files/Att%C4%ABst%C4%ABbas_dokumenti/CNP-Datu-strategija-2021-final.pdf";;;;;20
15;"To what degree do local/regional public bodies conduct open data initiatives? 

For justification:
* If not applicable, please explain why.";all public bodies;;By initiatives we mean policies, strategies or portals that focus on the respective local/regional level.;;;;20
16;"Are the governance structure and its operating model (including the people and the team responsbile for open data activities) published online and accessible to the public?

For justification:
* If yes, please provide the URL where this information is published. ";yes;"Contact details of the team responsiblle for open data activities are availabble at MEPRD home page, Latvian Open data porrtal contacts are available on portal website, also contact details of the SRDA experts are available on the SRDA website.

Update August
https://www.varam.gov.lv/lv/atvertie-dati;
https://data.gov.lv/lv;
https://www.vraa.gov.lv/lv/latvijas-atverto-datu-portals";;For completeness, please provide the URLs for the pages listed (MEPRD, Latvian Open Data portal, SRDA).;;;20
17a;"Is a document describing the responsibilities and governance structure of the national (and/or regional/local) open data team publicly available?

For justification:
* If yes, please provide the URL where this information is published. ";yes;"The Digital Transformation Guidelines 2021-2027: https://likumi.lv/ta/id/324715-par-digitalas-transformacijas-pamatnostadnem-20212027-gadam and National Open Data Strategy: https://tap.mk.gov.lv/lv/mk/tap/?pid=40472319&mode=mk&date=2019-08-20
Guideline (Page 37) 5.12 defines the action to be taken in relation to the open data platform. Section 6 of the Action Plan (table) lists the tasks and actions to achieve the objectives of the Latvian Open Data Strategy (Page 36.)  ";;;;;20
17b;"Is there a regular exchange of knowledge or experiences between the national open data team and the team maintaining the national portal? 

For justification:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;Regulary via e-mail, mostly tehnical support.;;;;;20
18;"Does the governance model include the appointment of official roles in civil services that are dedicated to open data (e.g. open data officers)?

For justification:
* If yes, please describe how this task is fulfilled at public body level.";yes; In the MEPRD and in other institutions working with open data, there may be both civil service and contractual obligations, but there are no mandatory conditions.;;;;;20
19;"Is there a regular exchange of knowledge or experiences between the national open data team and the wider network of open data officers? 

For justification:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;"In accordance with its competence in the field of data, the MEPRD cooperates with the EC, incl. OECD working groups.
Example: My calendar
8th Meeting of the OECD Expert Group on Open Government Data: https://meetoecd1.zoom.us/w/99577297106?tk=QRSLcmo6_YOUTkYN-lWt5Nkcb4YS9Wj1JkjnnzIs2pM.DQMAAAAXL0T40hZ6cGE0T1ZQaVF4U2pnNmVwZWhiT0xRAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA&pwd=bGx0R1ZORjZBdWxXaGdyVkcwSXdEQT09;
My calendar
DG CNECT high-value dataset study – Webinar #3";;;Thank you. Do you perhaps have some supporting materials (e.g. meeting agendas or URLs to news items) that you could share here?;;20
20;"Is there a regular exchange of knowledge or experiences between public sector bodies (i.e. the providers) and open data reusers (e.g. academia, citizens, businesses)?

For justification:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;"Latvian Open data portal has a form at each data set where users can ask questions and give recommendations to data publishers. NGO organized events and discussions are supported by the experts form MEPRD and other institutions:
https://www.lata.org.lv/konference-2022 
https://www.vzd.gov.lv/lv/diskusijas-improvizacija-ar-atvertiem-datiem-pievienota-vertiba-uznemejdarbibai-ieraksts
https://www.facebook.com/watch/live/?ref=watch_permalink&v=3398255757164157
";Exchanges can take place via formal formats (e.g. round-tables, conferences) or less formal formats (e.g. meet-ups).;;;;20
;1.3 Open data implementation;;;;;;;132
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
21;"Do data publication plans exist at public body level?

For justification:
* If yes, please provide the URL and briefly highlight the key aspects covered. ";yes;"Informative statement on implementation of the ""Open by Default Principe"". According to the statement, public sector institutions - who are the data owners mentioned in Annex one - have to open their respective data and publish them on the Open Data Portal. Additionally, the Ministry of Environmental Protection and Regional Development, in partnership with other public sector institutions, has to publish and update a list of datasets that would be suitable for opening in the future. 
https://tapportals.mk.gov.lv/legal_acts/3de4c46f-cb23-410d-ac48-220d2ddd3a6f
The information report referred to in the reply and the Annex thereto provide that the authorities listed in the Annex to open the identified datasets between now and the end of 2024. ";For data publication plans we refer to the existence of a specific workflow or internal data management process for publication of datasets. ;;;;20
22a;"Are there processes to ensure that the open data policies/strategy previously mentioned are implemented (e.g. monitoring)?

For justification:
* If yes, please specify the process(es).";yes;On 7 July 2021, the Cabinet of Ministers approved the Digital Transformation Guidelines for 2021–2027 (DTP), currently work going to develop a DTP implementation plan and monitoring model. The implementation of the actions set in Latvian Open data strategy and other policy documents are controlled by State Chancellery and State Audit Office, MEPRD is set as there responsible institution for policy planning and coordination. ;;;;;15
22b;"If yes, would you describe the status of implementation as satisfactory/neutral/unsatisfactory? 

For justification:
* Please motivate your answer.";satisfactory;Institutions are striving to publish more and better open data and are paying close attention to its quality.;;;;;N/A
23a;"Are there any processes in place to asses if public sector bodies are charging for data above marginal cost? (please see directive (EU) 2019/1024 on open data and the re-use of public sector information).

For justification:
* If yes, please specify the process(es).";yes;"In Latvia, the procedure for payment for the provision of information, as well as the paid services and their amount, is determined by the Cabinet of Ministers Regulation of 21 November 2006 No 940 ""Price List of Paid Services Provided by Public Administration Institutions"".
In the case of Latvia, institutions are obliged to receive approval of their price lists from the Ministry of Finance. After the price lists are approved by the Ministry of Finance, institutions submit price lists for approval to the Cabinet of Ministers. 
Please note that the institutions develop their price lists of paid services in accordance with the Cabinet of Ministers Regulation No 333 of 3 May 2011 ""Procedure for planning and accounting of revenues from paid services and expenses related to the provision of these services, as well as the methodology for determining the pricing of paid services and the procedure for approving the pricing"".";;;;;15
23b;If yes [to Q23a], to what degree is data provided by public sector bodies free of charge?;the majority of datasets;N/A;;;;;12
23c;How has this degree changed compared to the previous year?;no change;N/A;;;;;5
24a;"What are the top 3 challenges that your country is facing in the implementation of the mentioned open data policies/strategy?

For justification:
* Please briefly describe.";N/A;"1. institutions market data that is not open by default; 2. Public administration doesn't have sufficient knowledge about open data and their publication; 3. Public administration and local governments don't have the planned budget.";;;;;N/A
