ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
;;;;;;;Total Score:;2288
;;;;;;;Unsure Score:;0
;;;;;;;"Preliminary Score: 
(Total - Unsure)   ";2288
;Respondent Information;;;;;;;
;Please provide written information to the question in `Justification` column. Where applicable, select an answer option from the drop-down options in the `Answer` column. ;;;;;;;
;0.1 Background information;;;;;;;
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
R1;What is your country?;N/A;Slovenia;;;;;N/A
R2;What is your organisation?;N/A;Ministry for Digital Transformation / Ministry of Public Administration;;;;;N/A
R3;What is your name?;N/A;xxx;;;;;N/A
R4;What is your position/role?;N/A;xxx;;;;;N/A
R5;What is your email address?;N/A;xxx;;;;;N/A
R6;What is the size of national open data team (core team members);N/A;4;;;;;N/A
R7;How many FTE(s) are in the national open data team?;N/A;2;;;;;N/A
R8;What is the annual budget of the national portal?;<200.000 EUR;N/A;This is the annual budget for all portal activities (portal development and maintenance, promotion and awareness-raising activities) of the national portal. This should include the budget for the national portal team, whether an internal team or external contractors.;;;;N/A
;0.2 data.europa.eu and national open data portals;;;;;;;
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
R9;"Are you satisfied with data.europa.eu as a European single point of access?

For Justification:
* If you selected 'yes', what do you consider particularly good about data.europa.eu as European single point of access? 
* If you selected 'no', how would you improve data.europa.eu as European single point of access? ";yes;This is user friendlly approach, because user, can find all the datasets in one place.;;;;;N/A
R10;"Does the portal data.europa.eu reflect the data that your national portals hosts? 

For Justification:
* If you selected 'no' or 'partially', how would you improve data.europa.eu to better reflect the data on national open data portals like the one in your country?";yes;;;;;;N/A
;Dimension 1: Open Data Policy;;;;;;;615
;"Please note that this section differentiates between open data policy and open data strategy. Policy here refers to all principles/initiatives set out to achieve the goals established by the Open Data Directive, including specific national legislation put in place to transpose the EU law. With strategy, on the other hand, we define a document outlining the concrete vision, mission, objectives, measures to be implemented, timeline and responsible. An open data strategy would ideally include information on the open data governance structure and operating model.

Please select the answer from the drop down options in the `Answer` column. If applicable, please provide additional information to justify the selected answer in the `Justification` column.                                                                                                                                                                                                                                                                                                                                                                                        ";;;;;;;
;1.1 Policy framework;;;;;;;260
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
