ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
;;;;;;;Total Score:;2443
;;;;;;;Unsure Score:;0
;;;;;;;"Preliminary Score: 
(Total - Unsure)   ";2443
;Respondent Information;;;;;;;
;Please provide written information to the question in `Justification` column. Where applicable, select an answer option from the drop-down options in the `Answer` column. ;;;;;;;
;0.1 Background information;;;;;;;
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
R1;What is your country?;N/A;Ukraine;;;;;N/A
R2;What is your organisation?;N/A;Ministry of Digital Transformation of Ukraine;;;;;N/A
R3;What is your name?;N/A;xxx;;;;;N/A
R4;What is your position/role?;N/A;xxx;;;;;N/A
R5;What is your email address?;N/A;xxx;;;;;N/A
R6;What is the size of national open data team (core team members);N/A;3;;;;;N/A
R7;How many FTE(s) are in the national open data team?;N/A;More than 40 working hours per week;;;;;N/A
R8;What is the annual budget of the national portal?;<200.000 EUR;N/A;This is the annual budget for all portal activities (portal development and maintenance, promotion and awareness-raising activities) of the national portal. This should include the budget for the national portal team, whether an internal team or external contractors.;;;;N/A
;0.2 data.europa.eu and national open data portals;;;;;;;
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
R9;"Are you satisfied with data.europa.eu as a European single point of access?

For Justification:
* If you selected 'yes', what do you consider particularly good about data.europa.eu as European single point of access? 
* If you selected 'no', how would you improve data.europa.eu as European single point of access? ";yes;data.europa.eu is good as a European single point of access tu public information and open datasets because it is a complete source of information about all activities about open data in Europe. In addition, UX/UI of data.europa.eu is clear and pleasant to work with.;;;;;N/A
R10;"Does the portal data.europa.eu reflect the data that your national portals hosts? 

For Justification:
* If you selected 'no' or 'partially', how would you improve data.europa.eu to better reflect the data on national open data portals like the one in your country?";yes;;;;;;N/A
;Dimension 1: Open Data Policy;;;;;;;625
;"Please note that this section differentiates between open data policy and open data strategy. Policy here refers to all principles/initiatives set out to achieve the goals established by the Open Data Directive, including specific national legislation put in place to transpose the EU law. With strategy, on the other hand, we define a document outlining the concrete vision, mission, objectives, measures to be implemented, timeline and responsible. An open data strategy would ideally include information on the open data governance structure and operating model.

Please select the answer from the drop down options in the `Answer` column. If applicable, please provide additional information to justify the selected answer in the `Justification` column.                                                                                                                                                                                                                                                                                                                                                                                        ";;;;;;;
;1.1 Policy framework;;;;;;;260
ID;Question;Answer;Justification;Guide to Answering;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
1;"Is there a national open data policy in your country and does this include a national legislation for the transposition of the Open Data Directive (if your country is an EU Member State)?

For Justification:
* If yes, please provide (1) the URL and (2) title of the policy document and briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"The policy of open data in Ukraine includes the following basic documents that regulate open data sphere:
Law of Ukraine ""On Information"" https://zakon.rada.gov.ua/laws/show/2657-12#Text 
The law defines the basic principles of access to information, and establishes the categorization of information that is in the possession of state bodies                                                                                                                                                                                       The Law of Ukraine ""On Access to Public Information"" https://zakon.rada.gov.ua/laws/show/2939-17#Text  which contains a separate article on open data, and establishes the general principles of access to public information.
Resolution of the Cabinet of Ministers of Ukraine dated October 21, 2015 No. 835 ""On approval of the regulation on data sets that are subject to publication in the form of open data"" https://zakon.rada.gov.ua/laws/show/835-2015-%D0%BF#Text 
The regulation defines the procedure for publishing  open data, requirements for its metadata, and a list of sets of data that must be published in the form of open data.
In addition, the provision contains implemented principles of the International Open Data Charter                                                                                                                                                                                                                                    Resolution of the Cabinet of Ministers of Ukraine dated November 30, 2016 No. 867 ""Some issues of public information disclosure in the form of open data"" https://zakon.rada.gov.ua/laws/show/867-2016-%D0%BF#Text The regulation contains basic information about the functioning of the national open data portal, and the obligations of data providers in working with portal
Decree of the Cabinet of Ministers of Ukraine dated September 22, 2016 No. 686-r ""Some issues of joining the International Open Data Charter"" https://zakon.rada.gov.ua/laws/show/686-2016-%D1%80#Text Decree establishes Ukraine's accession to the International Open Data Charter and imposes an obligation on data providers to use the principles of the charter during the process of publishing datasets
The implementation of Directive 2019/1024/EU regarding open data was carried out in 2021 with the adoption of Resolution No. 407 of the Cabinet of Ministers of Ukraine dated March 3, 2021 ""On Amendments to Resolutions No. 835 and No. 30 of the Cabinet of Ministers of Ukraine dated October 21, 2015 November 2016 No. 867""";The answer option 'Other' should be selected by countries that do not have a specific open data policy in place but have a national policy (on data, digitalisation, artificial intelligence, eGovernment or similar) that explicitly includes open data in its text and scope.;;;;30
2;"Is there a national open data strategy in your country?

For Justification:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"In January 2022, Ukraine developed a strategy for the development of open data until 2025. Link to strategy https://data.gov.ua/uploads/files/2022-06-15-102752.7196282150222.pdf 
However, due to the large-scale military invasion of Russia on February 24, 2022, the Strategy wasn`t approved at the level of the Cabinet of Ministers of Ukraine, its official approval was postponed until Ukraine's victory in the war.
At the same time, the main provisions of the draft strategy for the development of open data in Ukraine were reflected in other strategic documents of the Government, including those adopted in response to Russia's armed aggression.
Among them: Plan for the recovery of Ukraine https://recovery.gov.ua/en/project 
The Government's priority action plan for 2023 https://zakon.rada.gov.ua/laws/show/221-2023-%D1%80#Text https://zakon.rada.gov.ua/laws/file/text/104/f524487n15.docx 
National strategy for promoting the development of civil society in Ukraine for 2021-2026 https://zakon.rada.gov.ua/laws/show/487/2021#Text 
Anti-corruption strategy for 2021-2025 https://zakon.rada.gov.ua/laws/show/2322-20#Text 
State strategy of regional development for 2021-2027 https://zakon.rada.gov.ua/laws/show/695-2020-%D0%BF#Text                    All of the strategies and action plans listed above contain separate sections on open data.
First of all, they concern the intensification of the publication of open data, the use of machine-readable formats and the support of transparency and accountability of authorities, which is necessary for the development of civil society. In addition, all strategies in one way or another encourage the reuse of open data by both the public and private sectors";The answer option 'Not applicable' can be selected if e.g. there is no specific strategy in place, but the existing policy refers to the objectives, actions/measures to be implemented, delivery timelines, responsible etc. Should another explanation apply in your case, please provide it in the justification text box.;;;;30
