key;value
1;"Gibt es in Ihrem Land eine nationale Open-Data-Politik und umfasst diese eine nationale Gesetzgebung zur Umsetzung der Open-Data-Richtlinie (wenn Ihr Land ein EU-Mitgliedstaat ist)?

Zur Einordnung:
* Wenn ja, geben Sie bitte (1) die URL und (2) den Titel des Richtliniendokuments an und beschreiben Sie es kurz.
* Wenn „Sonstiges“, geben Sie bitte (1) eine kurze Erläuterung zur Untermauerung Ihrer Antwortwahl an und (2) geben Sie die URL an und geben Sie den Richtlinienabschnitt an, der ausdrücklich auf offene Daten verweist."
2;"Gibt es in Ihrem Land eine nationale Open-Data-Strategie?

Zur Einordnung:
* Wenn ja, geben Sie bitte (1) die URL zur Strategie an und (2) beschreiben Sie die wichtigsten Highlights.
* Falls „nicht zutreffend“, geben Sie bitte (1) eine kurze Erläuterung zur Untermauerung Ihrer Antwortauswahl an und geben Sie (2) die URL an und geben Sie den Richtlinienabschnitt an, der ausdrücklich auf Ziele, Aktionen/Maßnahmen, Lieferzeitpläne usw. verweist."
3;"Wurde diese nationale Strategie/Richtlinie in den letzten 24 Monaten aktualisiert?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz die wichtigsten Änderungen."
4;"Gibt es eine weitere Politik/Strategie für offene Daten auf regionaler oder lokaler Ebene?

Zur Einordnung:
* Wenn ja, geben Sie bitte (1) die URL und (2) den Titel des Dokuments/der Dokumente an und (3) beschreiben Sie es kurz."
5;"Enthält die nationale Strategie/Politik einen Aktionsplan mit Maßnahmen, die im Bereich Open Data umgesetzt werden sollen?

Zur Einordnung:
Wenn ja, beschreiben Sie bitte kurz die wichtigsten im Aktionsplan beschriebenen Maßnahmen."
7;"Beschreibt die nationale Strategie/Richtlinie Maßnahmen zur Unterstützung der Wiederverwendung offener Daten durch den öffentlichen Sektor?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz die Maßnahmen."
8;"Beschreibt die nationale Strategie/Richtlinie Maßnahmen zur Unterstützung der Wiederverwendung offener Daten durch den privaten Sektor?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz die Maßnahmen."
12;"Gibt es eine Governance-Struktur, die die Beteiligung und/oder Einbeziehung verschiedener Open-Data-Stakeholder ermöglicht?

Zur Einordnung:
* Wenn ja, erläutern Sie bitte kurz, wie diese Beteiligung sichergestellt wird.
* Wenn Sie die Beteiligung und/oder Einbeziehung verschiedener Interessengruppen in Ihrem Land auf andere Weise sicherstellen möchten, wählen Sie bitte „nicht zutreffend“ aus und erläutern Sie dies."
13;"Welches Modell wird in Ihrem Land zur Verwaltung offener Daten verwendet?

Zur Einordnung:
* Könnten Sie kurz beschreiben, warum dieses Modell für Ihr Land ausgewählt wurde/am besten funktioniert?"
14;"Stellt die Governance-Struktur sicher, dass die lokalen und regionalen Open-Data-Initiativen auf nationaler Ebene erleichtert und unterstützt werden?

Zur Einordnung:
* Wenn ja, geben Sie bitte ein Beispiel für die Art der Unterstützung an.
* Falls nicht zutreffend, erläutern Sie bitte den Grund."
15;"Inwieweit führen lokale/regionale öffentliche Stellen Open-Data-Initiativen durch?

Zur Einordnung:
* Falls nicht zutreffend, erläutern Sie bitte den Grund."
16;"Werden die Governance-Struktur und ihr Betriebsmodell (einschließlich der Personen und des Teams, die für Open-Data-Aktivitäten verantwortlich sind) online veröffentlicht und sind für die Öffentlichkeit zugänglich?

Zur Einordnung:
* Wenn ja, geben Sie bitte die URL an, unter der diese Informationen veröffentlicht werden."
18;"Umfasst das Governance-Modell die Ernennung offizieller Rollen in öffentlichen Diensten, die sich mit offenen Daten befassen (z. B. Open-Data-Beauftragte)?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte, wie diese Aufgabe auf der Ebene der öffentlichen Körperschaft erfüllt wird."
19;"Gibt es einen regelmäßigen Wissens- oder Erfahrungsaustausch zwischen dem nationalen Open-Data-Team und dem größeren Netzwerk der Open-Data-Beauftragten?

Zur Einordnung:
* Wenn ja, beschreiben Sie bitte kurz, wie dieser Austausch stattfindet, und liefern Sie Belege zur Untermauerung Ihrer Antwort (z. B. Tagesordnungen von Sitzungen, URLs zu Nachrichtenartikeln)."
