ID;Weight
1;30
2;30
3;10
4;10
5;25
6a;15
6b;15
6c;15
6d;10
7;15
8;15
9a;15
9b;10
10a;20
10b;10
10c;15
11a;15
11b;N/A
12;30
13;N/A
14;20
15;20
16;20
17a;20
17b;20
18;20
19;20
20;20
21;20
22a;15
22b;N/A
23a;15
23b;15
23c;10
24a;N/A
24b;10
25a;15
25b;10
25c;10
25d;10
26a;15
26b;10
27a;20
27b;0
28;10
29;15
30;20
31;20
32;15
33;20
34;30
35;25
36;15
37;40
38;40
39a;20
39b;10
40;20
41;15
42;15
43;15
44;15
45;20
46;15
47;15
48;15
49;15
50;20
51;15
52;15
53;15
54;15
55;20
56;20
57;20
58;20
59;20
60;10
61;10
62a;10
62b;10
63;10
64;10
65;10
66a;10
66b;10
66c;10
67;10
68;10
69a;10
69b;N/A
69c;10
70a;10
70b;15
71;10
72;10
73;10
74;10
75;10
76;10
77;20
78;10
79;15
80a;10
80b;10
81a;10
81b;10
82;10
83;N/A
84;10
85;10
86;10
87;10
88;10
89;10
90a;10
90b;N/A
91;15
92a;10
92b;10
93a;N/A
93b;10
93c;15
94a;10
94b;N/A
95;10
96;10
97;10
98;30
99;10
100;10
101;15
102;10
103;10
104a;15
104b;N/A
104c;10
105a;15
105b;15
106;20
107;20
108;40
109;30
110;20
111a;20
111b;15
112;20
113;10
114;10
115;20
116;10
117;10
118;15
119a;15
119b;15
120;25
121;25
122a;20
122b;20
123;5
124a;25
124b;15
125a;20
125b;25
126;15
127;30
128a;20
128b;25
128c;25
128d;25
128e;25
129;15
