ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;1068
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";1068
D0.1;;;;;;
R1;N/A;Albania;;;;N/A
R2;N/A;National Agency of Information Society;;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;3;;;;N/A
R7;N/A;;Please provide this missing justification (free text answer);;x;N/A
R8;<200.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;yes;It is comprehensive and centralized nature. By consolidating data form different sources, it makes it easier to find relevant information for indiciduals, businesess, etc.;;;;N/A
R10;Yes;;;;;N/A
D1;;;;;;447
D1.1;;;;;;190
1;yes;"https://ogp.gov.al/en/faqe/misioni-legjislacioni

Please refer to the link: https://ogp.gov.al/en/faqe/legjislacioni                                                    l
LAW No. 33/2022 ON OPEN DATA AND PUBLIC SECTOR INFORMATION REUSE. This law aims to create the legal basis for promoting the use of open data in the Republic of Albania with the aim of promoting innovation in the provision of products and services. This law is partially aligned with: directive (EU)
2019/1024 of the European Parliament and of the Council, dated 20
June 2019, ""On open data and reuse of
public sector information"", number CELEX 32019L1024,
Official Journal of the European Union, series L, no. 172, date
26.6.2019, p. 56–83. Official Journal Year 2022 – Number 65 Page|8458                                                                                                                     The object of this law is to define the rules and procedures for the right to reuse open data for profit or non-profit purposes of documents held by public bodies or public enterprises in the Republic of Albania .";"1) Please check link 
2) Please  describe briefly the policy document";;;30
2;yes;"`===Update===
Promote technology use by governments and citizens.
5.Continuous Commitment and Reporting:
Recognize open government as an ongoing process.
Publicly report actions and consult with citizens.
Adapt commitments to changing circumstances.
6.Global Leadership and Cooperation:
Lead by example in open government principles.
Share best practices and expertise.
Foster a global culture of open government.
Advance openness through international engagement.
=== ORIGINAL ====
https://ogp.gov.al/en/faqe/misioni-strategjia - The OGP's vision in Albania is for the government to become more stable, transparent and accountable to their citizens, with the ultimate goal of improving the quality of governance and the quality of the services the citizens receive. This will require a change in norms and culture to ensure sincere dialogue and cooperation between governments and civil society.

OGP aims to support the government and civil society reformers by raising the open government at the highest levels of political discourse, providing 'overlay' for difficult reforms and creating a supportive community of reformers of a similar mind from countries around the world .

Now that OGP has been established and has grown significantly, our main objective in the next two years is to make sure that real change takes place on the ground in most OGP countries and that this change is benefiting the citizens. There are three main ways for OGPs to help secure the right conditions for countries to provide ambitious open government reform:

1) Maintain high-level political leadership and OGP engagement among participating countries

2) Support internal reforms with technical expertise and inspiration

3) Encourage greater OGP engagement from a diverse group of citizens and civil society organizations

In addition, the OGP Independent Reporting Mechanism requires:

4) Ensure that countries are held accountable to make progress towards achieving their commitments to OGP";"Please highlight how the strategy relates to Open Data. Only ""open government"" is mentioned.";;;30
3;yes;"•	The process to developing the 2023-2025 action plan has focused on increasing the opportunities for stakeholders to engaged and participate in the process. 
•	After stakeholder consutlations focused on the policy goals of the draft action plan, electronic public consutlation and consultation with the National Council for Civil Society 
•	The 2023-2025 action plan focuses on creating and implementing meaningful government reforms towards a more open governance model that reflects the needs and wants of its citizens.";;;;10
4;No;;"Please provide a short explanation why ""not applicable"" is an appropiate answer in your national context, instead of ""no"".";;;0
