ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;2298
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";2298
D0.1;;;;;;
R1;N/A;Austria;;;;N/A
R2;N/A;Federal Ministry of Finance (BMF);;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;3;;;;N/A
R7;N/A;1;;;;N/A
R8;<200.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;yes;"unique search functionality; metadata translation; news source; data.europa.academy; higher acceptance and easier access";;;;N/A
R10;yes;;;;;N/A
D1;;;;;;612
D1.1;;;;;;265
1;yes;"o Basis: Federal Act on the Re-Use of Public Sector Information 2022 (Informationsweiterverwendungsgesetz – IWG 2022). https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=20011973
o Responsible authority for the implementation of the Open Data Directive 2019/1024 & IWG: Federal Ministry of Labour and Economy (BMAW) (https://www.bmaw.gv.at/Themen/Europa/Wettbewerbspolitik/Open-Data.html)
o Responsible authority for the national data portal: Federal Ministry of Finance (BMF)
o Austrian Digital Action Plan (https://www.digitalaustria.gv.at/Strategien/Digitaler-Aktionsplan.html) of the Federal Ministry of Finance (BMF)
o The Cooperation Open Government Data (OGD) Austria perpetuates open data governance at all levels (federal-regional-local) within the Austrian public sector
(https://www.data.gv.at/infos/cooperation-ogd-austria/)";;;;30
2;yes;"o The Austrian open data policy “Framework for Open Government Data platforms” initated by the Cooperation OGD Austria sets out a framework consisting of legal, technical and organizational requirements to be adhered to when providing public, non-personalized data. Proper alignment with these key elements should foster a smooth transition from traditional government structures to a government 2.0, where transparency, participation and collaboration are of paramount priority.
URL: https://go.gv.at/ogdframeen 
o The Chief Digital Officers have adopted a white paper on introducing a national open data strategy.
o The Austrian Digital Action Plan (2020) contains a dedicated action plan on data, including open data (https://www.digitalaustria.gv.at/digitalisierungsbericht.html)";;;;30
3;no;;;;;0
4;yes;"The State/City of Vienna pursues a ""Data Excellence strategy"" with the leading principle ""open by default"" for open data 
(https://go.gv.at/l9dxstrategie)";;;;10
5;yes;The Austrian Digital Action Plan on Data contains a leading theme on data. The aim is to position Austria as digital innovation location. Data solidarity should be achieved through sharing data. Main measures are e.g.: Increased social and economic added value through better use of data, better data literacy through education and training, Austria as an attractive data location for science and the economy, ensuring transparency and the traceable use of data. The Action Plan also envisages the establishment of a national data hub.;;;;25
6a;yes;The Framework for Open Government Data platforms determines that data available in real time needs to be retrievable through an application programming interface (API). The published records should be available to the public within an adequate period in a timely manner. They have to be published as soon as they are collected and compiled. National efforts on implementing EU high value datasets and national core datasets should give a significant impetus on the availability of dynamic data.;;;;15
6b;yes;"Referring to EU high value datasets, the publication and access to geospatial datasets will be greatly enhanced. 

response to reviewer: 
In alignment with the implementing regulation (EU) 2023/138, our national strategy outlines multiple measures to incentivize the publication of and access to geo-spatial data:

1. Technical Assistance: We offer documentation aimed at educating public sector data owners on the benefits and methods of publishing geo-spatial data.
2. Public Awareness: Open Data campaigns to increase public demand and interest in geo-spatial data, further motivating data holders to publish.
3. Open Data Portal: A specialized section within the national open data portal is dedicated to geo-spatial data, making it easier for users to find and access these datasets.";Please describe the specific measures you are taking to incentivise the publication/access to geo-spatial data;;;15
6c;yes;Through opendataportal.at the provision of citizen-generated data is encouraged. The Open Science Policy Austria adopted in 2022 is geared towards enhancing the contribution of citizen science and citizen-generated data.;;;;15
6d;yes;According to the national policy and the Austrian Federal Law on the Re-Usability of Information (Informationsweiterverwendungsgesetz), metadata to Austrian open government data has to be linked with data.gv.at. This ensures the basic discoverability of the entirety of Austrian open government data across all levels of government. Furthermore, data.gv.at is interconnected with data.europa.eu to allow for a pan-European searchability of open government data. ;;;;10
