ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;365
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";365
D0.1;;;;;;
R1;N/A;Bosnia and Herzegovina;;;;N/A
R2;N/A;Public Administration Reform Coordinator Office;;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;0;;;;N/A
R7;N/A;0;;;;N/A
R8;<200.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;yes;It is good example how various and heterogeneous data sources can be effectively aggregated and collected;;;;N/A
R10;no;I have no specific suggestions;;;;N/A
D1;;;;;;240
D1.1;;;;;;185
1;other;"New Law on Freedom of information access is adopted by Councile of Ministers B&H, and includes some provisions regarding the Open data and Open Data Directive. The Law needs to be adopted by Parliament assembly.
https://www.vijeceministara.gov.ba/pdf_doc/Novi%20ZOSPI%206-9-2023%20BOS.pdf";Please provide (1) the URL to the legislation and (2) a further description on the provision for open data;;;30
2;no;Some Activities regarding Open data are defined in Action plan for PAR Strategic Framework ;;;;0
3;no;;;;;0
4;no;;;;;0
5;yes;"Action plan for PAR Strategic Framework
 There is noting new to ammend to previous  information so this is the only part of the PAR strategy relevant to this issue:
Action plan activity : 4.2.9.1 Enable the publication of a public data good for commercial and social re-use (open administration), in full compliance with the legal framework for the protection of personal data and privacy
Indicators:
Data are published in OP format BLV: No
TV: Yes
Open data portal established in accordance with EU standards
BLV: No
TV: Yes
Proposals for amending the Law on Personal Data Protection developed in order to enable optimal and efficient provision of services, electronically and physically
BLV: No
TV: Yes
https://parco.gov.ba/wp-content/uploads/2021/12/action_plan_par_eng1.pdf""";"Please briefly describe the main measures in the action plan. The answer from last year stated: 
""Action plan activity : 4.2.9.1 Enable the publication of a public data good for commercial and social re-use (open administration), in full compliance with the legal framework for the protection of personal data and privacy
Indicators:
Data are published in OP format BLV: No
TV: Yes
Open data portal established in accordance with EU standards
BLV: No
TV: Yes
Proposals for amending the Law on Personal Data Protection developed in order to enable optimal and efficient provision of services, electronically and physically
BLV: No
TV: Yes
https://parco.gov.ba/wp-content/uploads/2021/12/action_plan_par_eng1.pdf""";;;25
6a;No;"Action plan for PAR Strategic Framework 
Same as previous answer in 29D";Please briefly describe the measures to incentivise the publication of real-time or dynamic data;;;0
6b;yes;"Action plan for PAR Strategic Framework
Also for geopatial data only info is related to following activites:
Action plan activity 4.2.8.4 Data on space, facilities and GIS maps
4.2.8.4.a Establish a national geospatial data infrastructure (technical and legal steps)
4.2.8.4.c Establish a geoportal in accordance with the INSPIRE Directive“
https://parco.gov.ba/wp-content/uploads/2021/12/action_plan_par_eng1.pdf""";"Please briefly describe the measures to incentivise the publication of geo-spatial data. The answer from last year stated: 
""Action plan activity 4.2.8.4 Data on space, facilities and GIS maps
4.2.8.4.a Establish a national geospatial data infrastructure (technical and legal steps)
4.2.8.4.c Establish a geoportal in accordance with the INSPIRE Directive“
https://parco.gov.ba/wp-content/uploads/2021/12/action_plan_par_eng1.pdf""";;;15
6c;No;"Action plan for PAR Strategic Framework 
Only such measure (or the closest one) is 4.2.9.2 -> ""Action plan activity 4.2.9.2 Ensure that citizens and the business community can make correction of their own data by implementing  all identified key prerequisites  through online authentication and access.
https://parco.gov.ba/wp-content/uploads/2021/12/action_plan_par_eng1.pdf""";"Please briefly describe the measures to incentivise the publication of citizen-generated data. 
The answer from last year stated: 
""Action plan activity 4.2.9.2 Ensure that citizens and the business community can make correction of their own data by implementing  all identified key prerequisites  through online authentication and access.
https://parco.gov.ba/wp-content/uploads/2021/12/action_plan_par_eng1.pdf""";;;0
6d;no;;;;;0
7;Yes;Action Plan for implementation of PAR Strategic Framework in Service Delivery area specifies following activities: 4.2.9.1 Enable the publication of a public data good for commercial and social re-use (open administration), in full compliance with the legal framework for the protection of personal data and privacy;;;;15
8;yes;Action Plan for implementation of PAR Strategic Framework in Service Delivery area specifies following activities: 4.2.9.1 Enable the publication of a public data good for commercial and social re-use (open administration), in full compliance with the legal framework for the protection of personal data and privacy;;;;15
9a;yes;"Action Plan for implementation of PAR Strategic Framework in Service Delivery area specifies following activities: 4.2.9.1 Enable the publication of a public data good for commercial and social re-use (open administration), in full compliance with the legal framework for the protection of personal data and privacy

Possibly related to this question (besides 4.2.8.1) could be 4.2.4.1 Meet the necessary assumptions and build necessary building blocks for e-Services:
1. Establish a Catalogue of Services (Define the institutional capacities of the institutions responsible for the management and maintenance of the service catalogue; Define and propose mechanisms for maintaining and updating the content of the service catalogue)
Also in the same activity there is following: 6. GSB-Government Service Bus (upgrade the Public Administration GSB with the Metaregister)";"Please describe the part of the strategy that relates specifically to a data inventory. The answer from last year stated:
""Action plan activity: 4.2.8.1 Modernise (digitize) public registers and ensure the availability of data for all users with the help of web or mobile applications
4.2.8.1a Establish a common structure of catalogues of public registers, the institutions that keep them and underpinning regulations,  the content of registers as per regulations in a transparent manner. (based on the previously made Service Catalogue)
4.2.8.1b Develop legislation for the Meta-register
4.2.8.1 c Develop regulations on the legal obligation to protect the information and communication infrastructure of key data registers https://parco.gov.ba/wp-content/uploads/2021/12/action_plan_par_eng1.pdf""";;;15
9b;yes;Action Plan for implementation of PAR Strategic Framework in Service Delivery area specifies following activities: 4.2.9.1 Enable the publication of a public data good for commercial and social re-use (open administration), in full compliance with the legal framework for the protection of personal data and privacy;Please answer the question specifically about whether public sector data that cannot be published as open data is included in the data inventory ;;;10
10a;Not Applicable;N/A;;;;20
10b;Not Applicable;;;;;10
10c;Not Applicable;;;;;15
11a;Not Applicable;N/A;;;;15
11a.1;N/A;;;;0;
11a.2;N/A;;;;0;
11a.3;N/A;;;;0;
11a.4;N/A;;;;0;
11a.5;N/A;;;;0;
11a.6;N/A;;;;0;
11b;Not Applicable;;;;;N/A
D1.2;;;;;;25
12;no;;;;;0
13;hybrid;It is one of the preffered model  and possibly most feasible identified in proces of developing Open data pilot portal for CoM B&H;;;;N/A
