ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;1843
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";1843
D0.1;;;;;;
R1;N/A;Belgium;;;;N/A
R2;N/A;Federal Public Service BOSA;;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;3;;;;N/A
R7;N/A;0.75;;;;N/A
R8;<200.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;Yes;Harvesting of other MS portals makes it easier to find everything in one place;;;;N/A
R10;Yes;;;;;N/A
D1;;;;;;517
D1.1;;;;;;195
1;yes;Transposition of 2nd version of the PSI (3rd version in progress) https://www.ejustice.just.fgov.be/eli/loi/2016/05/04/2016009236/justel  (Loi relative à la réutilisation des informations du secteur public);;;;30
2;yes;"https://data.gov.be/sites/default/files/public/content/compressed_fr-strategisch-dossier.pdf, focus on ""open by default"", economic aspects, and interaction with the community";;;;30
3;no;;;;;0
4;yes;E.g. Flanders Region, part of the general data strategy: https://www.vlaanderen.be/digitaal-vlaanderen/vlaamse-digitale-strategie/vlaamse-datastrategie;;;;10
5;yes;Response to reviewer: the datasets being released are mostly request-driven, in communication with open data users and community. Main points of the plan are listed on pg 7: e.g reduce number of licenses, using DCAT for metadata exchange;;Please clarify what is meant by the action plan being request-driven. What are the main measures of the plan? Being request-driven seems like the plan is ad-hoc. ;;25
6a;no;;;;;0
6b;no;;;;;0
6c;no;;;;;0
6d;yes;"Action 8: ""un portail fédéral unique renvoie … vers les
portails des entités fédérées…  et le portail pan-européen""";;;;10
7;no;;;;;0
8;yes;promotion and communication with the open data community;;;;15
9a;yes;Mandatory publication on the federal open data portal;;;;15
9b;yes;Some data repositories harvested by the federal open data portal do contain data sets that are not open data (eg geo.be in relation to INSPIRE and transportdata.be in relation to ITS);;;;10
10a;yes;N/A;"Kindy fill in the column ""Publications of HCD in machine-readable formats via APIs"" in the table below. This column was hidden in the original questionnaire. Sorry.";;;20
10b;no;;;;;0
10c;yes;"Some systems the easiest way is to add a keyword ""HVD"", while the EU DCAT-AP is more leaning towards a specific metadata field (thus some mapping might be needed)";;;;15
11a;yes;N/A;;;;15
11a.1;No;;;;0;
11a.2;No;;;;0;
11a.3;Yes;"Avantage 4.2: ""Les bénéfices économiques totaux qui peuvent découler de la mise à disposition de données publiques peuvent s’élever, selon la Commission européenne, à 40 milliards d’euros par an . Le potentiel
économique ne réside pas seulement dans la réutilisation d’informations du secteur public pour de
nouveaux produits et services, mais aussi dans des gains d’efficacité dans les services publics.""";;;0;
11a.4;No;;;;0;
11a.5;No;;;;0;
11a.6;Yes;"Avantage 4.3: Publication of raw data to better understand decisions and actively participate in policy debates ""La transparence des pouvoirs publics est décisive pour la participation citoyenne. Dans une vraie démocratie, les
citoyens prennent part au débat sociétal sur la base d’informations correctes qu’ils peuvent utiliser
pour analyser des choix politiques, poser des affirmations et examiner des faits. Comme les pouvoirs
publics ne savent pas toujours ce qui est pertinent pour le citoyen, les données brutes doivent aussi
être mises à disposition. """;;;0;
11b;No;;;;;N/A
D1.2;;;;;;190
12;yes;at federal level open data task force and transparency committee for administrations + allow anyone to request access to datasets, similar initiatives/governance at regional level;;;;30
13;hybrid;practical considerations: sometimes demand for opening up data comes top-down, sometimes driven bottom-up, and so is the structure of the governance + political landscape with strong Regions and projects by larger cities;;;;N/A
14;not applicable;While there are cooperations on open data initiatives and projects, due to the political landscape, the federal level has no authority over open data projects on regional level;;;;20
15;all public bodies;All 3 Regions have open data initiatives + a few larger cities (smaller cities require support of Regional level);;;;20
16;yes;Part of Royal Decree and explained in the policy document, action 7 (open data taskforce + data champions in transparency committee https://data.gov.be/sites/default/files/public/content/compressed_fr-strategisch-dossier.pdf);;;;20
17a;yes;Explained in Royal Decree, chapitre 4 (https://www.ejustice.just.fgov.be/eli/arrete/2019/06/02/2019013333/justel#LNK0004);;;;20
17b;yes;Same team: Maintainers of the data portal (open data task force) is also part of Transparency Committee;;;;20
18;yes;"""open data champion"" role per federal public service, responsible for the development of an open data strategy within their administration + participate in transparency committee";;;;20
19;yes;About 3 meetings / year with open data portal owners (local/regional/federal level): https://data.gov.be/fr/dcat-groupe-de-travail;;;;20
20;yes;"Participation in yearly open data event ""OpenBelgium"" (https://2022.openbelgium.be/), and 1-to-1 (private) online meetings with small companies / NPOs and ICT sector federation Agoria";;;;20
D1.3;;;;;;132
21;yes;Only for Statistics and Cadaster data, eg. https://statbel.fgov.be/fr/calendar;;;;20
22a;no;;;;;0
22b;neutral;Things can always be improved, but a few promosing key-datasets (address register of all 3 Regions combined, extra cadaster data / statistics) have been published, so there is progress;;;;N/A
23a;yes;If a federal public body wants to publish data with additional constraints, including costs, the motivation and details have to be sent to the open data taskforce for advice. Art 7, Royal Decree https://www.ejustice.just.fgov.be/eli/loi/2016/05/04/2016009236/justel;;;;15
23b;the majority of datasets;N/A;;;;12
23c;no change;N/A;;;;5
24a;N/A;"1) Chicken-and-egg-problem (businesses want ""as much data as possible"" before they can prove their idea works, public services have limited resources and need to know what to prioritize first + are looking for examples to justify their efforts), 2) Somewhat overlapping data initiatives and regulations (e.g. INSPIRE, ITS,Europeana, PSI... have slightly different goals) , 3) Finding recurring budget for a few high value datasets (maps, historical weather data),";;;;N/A
24b;yes;"On chicken and egg problem: projects like combined address register with (also) clear benefits for administrations as a ""teaser"" to encourage administrations to publish more data";;;;10
25a;yes;"""Open data checklist"", see top of https://data.gov.be/fr/info-faq";;;;15
25b;yes;At the regional level / SMARTcities projects, for instance Flanders Region City of Things (https://www.flandersinvestmentandtrade.com/invest/en/sectors/digital-industry/smart-cities);;;;10
25c;yes;Part of Inspire / geo.be. With mapping of Inspire to GeoDCAT-AP, geo-spatial data owners don't have to enter metadata twice and become more aware of open data (re)use;;;;10
25d;yes;Some citizen-science projects like sharing weather data: https://www.meteo.be/en/about-rmi/observation-network/wow-be;;Please specify how you have assisted in the publication process of citizen-generated data (essentially: is this an example of a re-use case or an activity you have performed to support publication? Re-use cases are suitable for the impact dimension).;;10
26a;yes;"At the national level, there are sessions (https://data.gov.be/fr/news/seance-dinformation-donnees-ouvertes-services-federaux) and trainings on data in general (though not part of a specific data track) like satellite data (https://terrascope.be/en/news-events/register-our-new-terrascope-webinars) which are open to servants and private sector.
At the regional level, there are trainings, e.g.http://www.futurocite.be/ouvrirmaville/ouvrir-ma-ville-2023/";;;;15
26b;no;;;;;0
27a;yes, 3-5;OpenBelgium (https://2022.openbelgium.be) and OpenSummerOfCode (https://osoc.be/editions/2022, though the 2023 edition is postponed),  CitizensOfWallonia (https://www.citizensofwallonia.be/), OpenStreetMap events (https://osmcal.org/event/1349/), BootCamp Open Cultural Data (https://meemoo.be/nl/vormingen-en-events/bootcamp-open-culturele-data-2023-6e-editie), Webinars on satellite data (https://terrascope.be/en/news-events/register-our-new-terrascope-webinars);;;;10
27b;a mix of the above;Meemoo (https://meemoo.be), Futurocité, DigitalWallonia;;;;N/A
D2;;;;;;320
D2.1;;;;;;90
28;yes;Use of non-private data in an easy (for automated tools) to process format by businesses, NPOs or other administrations than the administration publishing the data, in practical tools, services, visualisations or analyses;;;;10
29;yes, but the focus is limited;Since the data is open, it is hard to actually get a good idea of the amount of reuse;;;;5
30;yes;Yearly search for thesises published with/about open data (https://data.gov.be/nl/studies-en-thesissen) and looking for reuse (also on regional level, see https://www.vlaanderen.be/datavindplaats/inspiratie);;;;20
31;no ;;;;;0
32;yes;Hard to really measure re-use (some statistics on API-usage perharps, but end-users can distribute full downloads or act as a proxy etc);;;;15
33;no;;;;;0
34;no;;;;;0
35;yes;"Ongoing study ""LODE"" by cities of Ghent and Bruges (funded by Flemish Region) to verify which data provides the highest economic and social return https://datalab.stad.gent/group/9/stream

Another study for the Flemish Region: https://assets.vlaanderen.be/image/upload/v1675244048/Impact_Open_Data_Vlaanderen_2022_-_Eindrapport_c4nap2.pdf";;;;25
36;yes;"Participation of public sector experts in OpenKnowledge community, and in activities like ""open summer of code""";;;;15
D2.2;;;;;;80
37;yes;N/A;;;;40
37.1;No;;;;0;
37.2;Yes;Matomo statistics on downloads;;;0;
37.3;No;;;;;
37.4;Yes;1-1 meetings with small companies by BOSA (1 per month);;;0;
37.5;No;;;;0;
38;Yes;N/A;;;;40
38.1;Yes;"Brussels region has regular ""user club"" meetings on UrbIS open geodata: https://paradigm.brussels/fr/quoi-de-neuf/actualites/a-l2019ecoute-de-nos-utilisateurs-2013-users-club-urbis?set_language=fr";;;0;
38.2;No;;;;0;
38.3;Yes;Statbel DataLabs https://statbel.fgov.be/en/news/statbel-datalab;;;0;
39a;no;Rather on an ad-hoc basis;;;;0
39b;I don't know;;;;;0
D2.3;;;;;;150
D2.3a;;;;;;60
40;I don't know;As far as I know no hard figures, though impact is mentioned in projects and initiatives;;;;0
41;yes;"Sharing of cadastral parcel plan + statistics and police / emergency zones on  as open data (as opposed to a closed data source) reduces the administrative burden for municipalities and other administrations needing this data https://finance.belgium.be/en/experts-partners/open-data-patrimony/datasets/download-portal)

Same for portals like the Datavindplaats of the Flemish Region which also focuses on reuse by other administrations (https://www.vlaanderen.be/digitaal-vlaanderen/nieuwsberichten/eerste-versie-datavindplaats-gelanceerd), and the Brussels Region (https://datastore.brussels/web/)";;;;15
42;yes;"Monthly overview of expenses by federal government (https://bosa.belgium.be/fr/budget-de-letat) provides transparancy on spending of tax payer's money, similar initiative in Brussels Region on public procurement expenses(https://openbudgets.be.brussels/en/data-table/table-1), Flanders Region (see also press article https://www.knack.be/nieuws/belgie/politiek/subsidieregister-laat-zien-dat-het-tijd-is-voor-een-kerntakendebat/) and in Walloon Region (https://subventions.wallonie.be/home.html)

Draft legislation of parliament (federal and regional) is sometimes used on social media for discussion";;;;15
43;yes;Federal Planning Bureau, https://www.plan.be/indicators/indicators_list.php?lang=en is using and publish open data for the Europe 2020 Indicators, e.g http://www.be2020.eu/index.php?lang=en, used in inflation forecasts and other predictions;;;;15
44;yes;"""Provinces in figures"", combining various open data sources to allow citizens and local politicians to compare statistics on e.g demographics, housing, poverty, vacant real estate, energy use … with other municipalities https://provincies.incijfers.be/dashboard so they can launch plans to improve the local economy and society.

Same for BEP Namur which focuses on improving the economic and social environment for the region of Namur, publishing and analysing open data helps in promoting the region and make policy decisions (https://data.bep.be/pages/accueil/)";;;;15
D2.3b;;;;;;45
45;I don't know;There is data on social challenges, eg part of SDG indicators (gender equality, risk of poverty...) https://indicators.be/en/t/SDG/, though hard to say what the impact of open data is on these challenges;;;;0
46;yes;"Dashboard on the number of displaced persons from Ukraine, which is a tool developed and used by several public administrations to better register and support these people https://statbel.fgov.be/en/visuals/displaced_persons_Ukraine

Also data from openstreetmap is used to improve accessibility for e.g. people with wheelchairs (see this open summer of code project: https://help.osoc.be/osoc22/projects-partners/onwheels)";;;;15
47;yes;"Articles in media based on statistics like https://statbel.fgov.be/en/themes/housing/real-estate (https://www.dewereldmorgen.be/artikel/2022/01/19/het-onmogelijke-recht-op-huisvesting/), but also in studies like ""Does the renovation policy increase the wealth inequality"" https://www.scriptiebank.be/sites/default/files/thesis/2022-10/Masterproef_Ward_Brichau_0.pdf";;;;15
48;yes;For instance a news item of the statistics office,  based on the survey on income and living conditions (EU-SILC) https://statbel.fgov.be/en/themes/households/poverty-and-living-conditions/risk-poverty-or-social-exclusion#news which was picked up by the media (e.g. https://www.vrt.be/vrtnws/nl/2023/02/16/risico-op-armoede-of-sociale-uitsluiting/), greatly increasing the awareness of this problem.;;;;15
49;No;"University of Louvain-la-Neuve ""UCLouvain is committed to making open access, open data and open source common practices mastered in the scientific community."" https://uclouvain.be/en/discover/open-education-open-science.html";;Please clarify the use of open data (the practical cases) that follows from these commitments;;0
D2.3b;;;;;;45
50;I don't know;There is data on climate and environment (like satellite data), but not about impact of this data on the challenges (https://climat.be/);;;;0
