ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;1883
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";1883
D0.1;;;;;;
R1;N/A;Bulgaria;;;;N/A
R2;N/A;Ministry of e-Government;;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;3;;;;N/A
R7;N/A;5;;;;N/A
R8;<200.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;yes;Quick Search, Open Data Maturity, Studies, Use cases, News, Events, Newsletter;;;;N/A
R10;yes;;;;;N/A
D1;;;;;;532
D1.1;;;;;;220
1;yes;"https://e-gov.bg/wps/portal/agency/home/data/opendata/opendata-legal/opendata-legal-national 
The policy has been included in the Access to Public Information Act, the Ordinance on the standard terms and conditions for public sector information reuse and its publishing in open format, which contains specific provisions regarding publishing and reuse of public information in open format and in Decisions of the Council of Ministers approving the List of data sets by priority areas to be published in open format annually. The Act and the Ordinance settle the provisions regarding the right of access to public information, as well as the reuse of the public sector information. 
Pursuant the Electronic Government Act the Ministry of e-Government (MEG)  issues methodical guidelines and supports the administrations in defining the structure and contents of the datasets to be published on the Open Data Portal of the Republic of Bulgaria under the Access to Public Information Act.
The updated National eGovernment Strategy and the Roadmap for its implementation  including open data, and builds on the implementation of the objectives after 2018.
https://egov.government.bg/wps/portal/ministry-meu/strategies-policies/strategic-documents

Second Action Plan of the Republic of Bulgaria under  the “Open Government Partnership”: http://www.strategy.bg/Articles/View.aspx?lang=bg-BG&categoryId=&Id=15&y=&m=&d
Third Action Plan of the Republic of Bulgaria under the “Open Government Partnership”: http://www.strategy.bg/PublicConsultations/View.aspx?lang=bg-BG&Id=2130
The Fourth Action Plan of the Republic of Bulgaria under the “Open Government Partnership”: 
http://www.strategy.bg/Articles/List.aspx?lang=bg-BG&categoryId=17

Digital Bulgaria 2025, Roadmap and Reports:
https://egov.government.bg/wps/portal/ministry-meu/digital.transformation/itis-national-strategic-documents/np-digital-bulgaria-2025";;;;30
2;not applicable;"The open data principles are embedded in the National Updated eGovernment Strategy 2019-2025 - https://e-gov.bg/wps/wcm/connect/e-gov.bg-18083/1506d64e-0f16-4954-ba0b-dfd77ae58184/%D0%A1%D1%82%D1%80%D0%B0%D1%82%D0%B5%D0%B3%D0%B8%D1%8F+%D0%B7%D0%B0+%D1%80%D0%B0%D0%B7%D0%B2%D0%B8%D1%82%D0%B8%D0%B5+%D0%BD%D0%B0+%D0%B5%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D0%BD%D0%BD%D0%BE%D1%82%D0%BE+%D1%83%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5+2019-2025.pdf?MOD=AJPERES&CVID=nyx-ndJ&useDefaultText=0&useDefaultDesc=0
The Strategy provides for:
- the implementation of a Registry reform, which clearly provides for open data;
- decreasing the use of unstructured data;  
obligatory compliance with the open data principle (data generated by the public sector shall be in an open 
-machine-readable format, allowing for their reuse)";;;;30
3;no;;;;;0
4;no;;;;;0
