ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;2002
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";2002
D0.1;;;;;;
R1;N/A;Switzerland;;;;N/A
R2;N/A;Open Data Government Office;;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;5;;;;N/A
R7;N/A;;Missing answer. Please provide.;;x;N/A
R8;Select answer for R8;N/A;Missing answer. Please provide.;;x;N/A
D0.2;;;;;;
R9;yes;The comparability of datasets in the EU, concrets example of re-use case, know-how, community networking, the courses offered on data.europa.academy;;;;N/A
R10;yes;;;;;N/A
D1;;;;;;540
D1.1;;;;;;235
1;other;"Federal ICT Strategy 2020-2023, Implementation: Master plan (document only available in german: Anhang B: Masterplan - Ausgabe 2020) point 3.3 ""Strategische Initiative SI-3 «Once-Only Prinzip», Kern-Initiative"" (SI 3.3): https://www.bk.admin.ch/bk/de/home/digitale-transformation-ikt-lenkung/strategie-planung/ikt-strategie_bund_2020-2023.html";;;;30
2;yes;"https://www.fedlex.admin.ch/eli/fga/2019/125/de, also available in English: https://www.bfs.admin.ch/bfs/en/home/services/ogd/documentation.assetdetail.16164831.html
You'll find the highlights here: https://www.bfs.admin.ch/bfs/de/home/dienstleistungen/ogd/strategie.html";;;;30
3;yes;We are currently updating the OGD strategy 2019-2024 which will be followed by a master plan 2024-2027. Since we will have a legal framework (EMBAG) at the federal level from 2024 that includes an article on OGD (Art. 10), it is not necessary to implement a new strategy. But with the master plan we accompany the implementation of the legal framework and strengthen OGD in Switzerland. On the one hand, the OGD Master Plan 2024-2027 defines the implementation priorities to be pursued further, which originate from the last strategy period that is coming to an end, and on the other hand, it contains new measures beyond the year 2023. The Master Plan will be based on five focus areas (S): (S01) more Open Data, (S02) better quality of (meta-)data, (S03) better accessibility of OGD, (S04) more synergies, and (S05) more exchange.;;;;10
4;yes;"For example: City of Lucerne has an ""OGD-Strategiehaus"": https://www.stadtluzern.ch/opengovernmentdata; City of Zurich has a strategy OGD 2030; The canton of Zug has a joint strategy for open government data: https://zg.ch/de/news/news~_2022_9_Gemeinsame-Strategie-fuer-offene-Verwaltungsdaten-im-Kanton-Zug~; Strategy for Geodata: https://www.geo.admin.ch/fr/news-13012023-le-plan-action-sgs-2023-est-arrive";;;;10
5;yes;"The Appendix of the Strategy for open government data in Switzerland 2019-2023 is an action plan, its structure follows the 5 defined objectives:
Promote coordinated data publication
Data and data description: Quality
The central portal opendata.swiss
Administrative data overview
Promotion of data use
https://www.bfs.admin.ch/bfs/en/home/services/ogd/documentation.assetdetail.16164831.html";;;;25
6a;no;;;;;0
