ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;2224
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";2224
D0.1;;;;;;
R1;N/A;Czech Republic;;;;N/A
R2;N/A;Digital and Information Agency;;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;3;;;;N/A
R7;N/A;2,5;;;;N/A
R8;<200.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;no;Since the number of datasets is more tha 1500000, it is almost impossible to find anything across the EU in the EDP UI. So, the question is how to improve the search for users. Moreover, since many states have national specifics, for example the Czech Republic has a differently structured conditions of use, some metadata information is impossible to insert into data.europa.eu in a comprehensible way. But we consider it natural, data.europa.eu is more general portal than national ones. So the question is -single point of access for whom? Probably not for everone. For Czechs it will still be more convenient to go to Czech National Open Data Portal for Czech open data. But for searching for data outside the Czech Republic it is better to use data.europa.eu;;;;N/A
R10;yes;;;;;N/A
D1;;;;;;600
D1.1;;;;;;255
1;yes;"Czech National Open Data Policy is defined by the Free Access to Information Act No. 106/1999 Coll. that enables public bodies to publish their data in open and machine readable formats. It introduces the term “open data” and underlines the role of National Open Data Portal as its main information platform for open data in the Czech Republic. It is obliged by the Free Access of Information Act that all public bodies that publish open data, have to catalog it into the National Open Data Portal. Moreover, Free Access to Information Act No. 106/1999 Coll. defines data which must be mandatorily published as open data. The previous government regulation No. 425/2016 Coll. with a list of datasets was replaced by the new obligation defined in section 5a of the Free Access to Information Act No. 106/1999 Coll. The Open Data Directive transposition was the part  the amendment of the Act No. 106/1999 Coll. came into force in September 2022.
The obligations related to the Public Data Fund, which should be provided by guaranteed open data, are defined in Act No. 111/2009 Coll., on Basic Registers. See https://www.zakonyprolidi.cz/cs/1999-106.";;;;30
2;yes;"The National Open Data Strategy is defined by the national digitisation strategy Digital Czechia adopted in 2018 and the main document that sets out the basic framework for this strategy called Information Conception. Open Data Strategy is fragmented into several principles and main goals of the Conception since it is not seen as a self-sustaining policy, but one of the building blocks of the digitization process. OD Strategy is supported primarily by the Principles P4 called Openness and Transparency and P13 called Open Data by Default of the Conception and the main objective 1.5 Development of the National Open Data Catalog and 5.10 Public Data Fund that strengthen the position of the open data both practically by supporting its position in data sharing process and legislatively by introducing the Open Data by Default principle. The Public Data Fund should provide guaranteed open data that users can rely on. In the first phase, these should be the code lists. 
See https://www.digitalnicesko.cz/informacni-koncepce-cr/ and https://archi.gov.cz/en:ikcr.";;;;30
3;yes;"The Free Access to Information Act No. 106/1999 Coll. and Act No. 111/2009 Coll. on Basic Registers were updated in July 2021 by Act No. 261/2021 Coll., which defined new obligations in open data publication and in fulfillment the base Register of Rights and Duties, i.e. to distinguish public and non-public data. Then, it was further amended in September 2023 in connection with the transposition of the Open Data Directive and the determination of new obligations associated with user-friendliness in the Open Data Portal and in April 2023 in connection with the transition of the open data agenda to the newly established Digital and Information Agency.
 The Information Conception including all its parts is regularly updated through changes in the National Architecture of eGovernment that is regularly approved at the meeting of the Working Group on ICT Architecture and Management under the Council of Government for Information Society. One of the main changes related to open data was the update of the National Architecture Plan in the section Czech Republic Public Administration Data Sharing (https://archi.gov.cz/en:nap:sdileni_udaju), Public Data Fund (https://archi.gov.cz/en:nap:verejny_datovy_fond) and Open data section (https://archi.gov.cz/en:nap:otevrena_data).";;;;10
4;yes;Yes, there are several regional or local Open Data Strategies, usually as a part of an overall development/smart/digitalisation strategy. For example: Action Plan 2050 for the City of Brno (https://brno2050.cz/wp-content/uploads/2018/12/Strategie_BRNO_2050_AP-2020_pracovn%C3%AD-verze_31-10-2018_web.pdf ), Smart Prague 2030 Strategy (https://smartprague.eu/files/koncepce_smartprague.pdf), Smart City Strategy of the City Uherský Brod (https://www.ub.cz/Public/docs/KOMPAS/Strategie_Smart_City.pdf ), or Smart Bohemian Region Strategy 2019-2023 (https://www.kraj-jihocesky.cz/sites/default/files/inline-files/SRJK_finalni%20verze%20dokumentu_pro%20zverejneni.pdf).;;;;10
5;yes;"See Information Conception and Implementation Plans of IC. https://www.mvcr.cz/webpm/clanek/rada-vlady-pro-informacni-spolecnost.aspx?q=Y2hudW09Ng%3d%3d 
The main measures to be implemented are:
Development of the National Open Data Catalog
Development of open formal standards for quality open data
Promotion of open data among the public
Update of Government Regulation 425/2016 Coll., on the list of information published as open data
Expansion of number of CZSO open data sets
Compilation of publication plans for open data by individual central public authorities
Publication of data on current activities, management and public administration, ideally in the form of barometers with the support of open data according to the definition of Act No. 106/2000 Coll.
The conversion of already published public data (by law) into open data (classes 3 and above)
Publication of open data in the Public Data Fund
Open data of the Ministry of the Environment

Moreover, with the transition of the digitization agenda strategy to the Government Council for Information Society, for the year 2023 were defined the another measurements to be implemented:
Fulfillment of legal obligations related to Open Data by Default principle
Metadata searchability of all official boards, public registers, HVDs and code books in one place - in the National Open Data Catalogue
Greater transparency of public administration
Possibility of further use of data in public administration and the private sector/ the public";;;;25
6a;yes;The amendment of the Act No. 106/1999 Coll. From September 2023 introduces the provision of dynamic data as open data and one of the mains is to ensure the usability of dynamic information that can carry high social and economic value. See https://www.zakonyprolidi.cz/cs/1999-106.;;;;15
