ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question
TotalScore;;;;;Total Score:
UnsureScore;;;;;Unsure Score:
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   "
D0.1;;;;;
R1;Entfällt;Deutschland;;;
R2;Entfällt;Bundesministerium des Innern und Heimat (BMI);;;
R3;Entfällt;xxx;;;
R4;Entfällt;xxx;;;
R5;Entfällt;xxx;;;
R6;Entfällt;2;;;
R7;Entfällt;3;;;
R8;400-600.000 EUR;Entfällt;;;
D0.2;;;;;
R9;ja;;;;
R10;ja;;;;
D1;;;;;
D1.1;;;;;
1;ja;"Ja, es gibt ein Open-Data-Gesetz auf Bundesebene. Im Juli 2017 trat § 12a des E-Government-Gesetzes (EGovG) in Kraft (Erstes Open-Data-Gesetz), mit dem erstmals eine gesetzliche Grundlage für die verpflichtende Bereitstellung offener Verwaltungsdaten durch Bundesbehörden geschaffen wurde. Durch das im Juli 2021 in Kraft getretene Zweite Offene-Daten-Gesetz wurden die bestehenden Pflichten nach § 12a EGovG inhaltlich weiter angepasst und auf die gesamte Bundesverwaltung ausgeweitet.

Das ebenfalls am 23. Juli 2021 in Kraft getretene Datennutzungsgesetz (DNG) soll das Informationsweiterverwendungsgesetz (IWG) modernisieren und ersetzen. Um die Nutzbarkeit von Daten zu verbessern, müssen offene Daten in maschinenlesbaren Formaten verwendet werden. Darüber hinaus regt der DNG Open-Data-Initiativen über die Grenzen der Bundesverwaltung hinaus an und etabliert das Prinzip „Open by Default“ auch für die Nutzung von Daten durch Länder, Kommunen und öffentliche Unternehmen in den Bereichen Wasser-, Verkehrs- und Energieversorgung . Das DNG setzt außerdem die EU-Richtlinie 2019/1024 (Richtlinie über offene Daten und Informationen des öffentlichen Sektors) um, die 2019 neu gefasst wurde.

Linkquellen:
(Zweites) Open-Data-Gesetz: http://www.gesetze-im-internet.de/egovg/__12a.html
Datennutzungsgesetz (DNG): http://www.gesetze-im-internet.de/dng/index.html";;;
2;ja;"Linkquellen:
https://www.bmi.bund.de/SharedDocs/downloads/DE/publikationen/themen/moderne-verwaltung/open-data-strategie-der-bundesregierung.html

Die am 6. Juli 2021 verabschiedete Open-Data-Strategie der Bundesregierung gibt einen Handlungsrahmen zur Verbesserung des Open-Data-Ökosystems des Bundes vor. Die Datenstrategie der Bundesregierung bildet den übergeordneten datenpolitischen Rahmen für die Open-Data-Strategie. Über einen Zeitraum von fünf Jahren umfasst die Open-Data-Strategie drei Handlungsfelder mit insgesamt 68 Umsetzungsmaßnahmen verschiedener Bundesministerien und -behörden. Zu den drei Handlungssträngen gehören die Verbesserung der Datenbereitstellung und der Ausbau von Dateninfrastrukturen, die Steigerung des innovativen, öffentlich-interessanten und verantwortungsvollen Umgangs mit Daten sowie die Förderung von Datenkompetenz und Datenkultur zur Steigerung der Qualität und Nutzbarkeit der bereitgestellten Daten. Die Umsetzung der Open-Data-Strategie wird durch ein kontinuierliches Monitoring begleitet.";;;
3;ja;"Die Open-Data-Strategie selbst nicht: Die Open-Data-Strategie befindet sich derzeit in der Umsetzungsphase (bis 2025).

ABER: Die Datenstrategie der Bundesverwaltung, aus der die Open-Data-Strategie direkt abgeleitet ist (siehe auch Antwort zu Frage 2), wird derzeit weiterentwickelt. Dies folgt einem entsprechenden Auftrag aus dem Koalitionsvertrag der aktuellen Bundesregierung. Dazu gehören auch grundlegende Elemente der Open-Data-Umsetzung (z. B. Forderungen nach einer stärkeren Bereitstellung offener Daten durch die Bundesverwaltung; die Umsetzung der bisherigen Open-Data-Strategie bleibt bestehen).
Die geplante Fortschreibung der Datenstrategie wird derzeit innerhalb der Bundesregierung diskutiert und überarbeitet. Aktuelle Informationen zu den neuesten Entwicklungen liegen daher noch nicht vor, werden aber voraussichtlich im Herbst nachgereicht.

Siehe die entsprechende Pressemitteilung des Digitalgipfels 2022: https://bmdv.bund.de/SharedDocs/DE/Pressemitteilungen/2022/094-wissing-innovation-durch-daten.html";;;
