ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;2440
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";2440
D0.1;;;;;;
R1;N/A;Estonia;;;;N/A
R2;N/A;Ministry of Economic Affairs and Communications;;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;6;;;;N/A
R7;N/A;4,5;;;;N/A
R8;400-600.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;yes;In addition to the fact that it is a single point of access to data, we find it very useful that on the same portal you can find  a lot of helpful and practical information like event announcements, news, studies, etc. We also very appreciate the community built around data.europa.eu.;;;;N/A
R10;no;Currently we are having some technical issues regarding reflection of our data on the European portal. Our open data team is dealing with this issue together with the European portal representatives in order to understand the cause of the problem.;;;;N/A
D1;;;;;;640
D1.1;;;;;;275
1;yes;"The Open Data Directive was adopted in Estonia as a legislative act called Public Information Act (PIA) https://www.riigiteataja.ee/en/eli/ee/510122021005/consolide/current .  This piece of legislation regulates data publishing in Estonia, including regulations regarding open data publishing, re-use of open data, high-value datasets, etc; There is also the Green Paper on Machine-Readable Open Government Data, which gives guidelines on open data publishing https://www.riha.ee/api/v1/systems/eaatv/files/cdbfa8bd-2594-8ad3-6022-ff3d3dbf6781";;;;30
2;yes;Our Open Data Action Plan was recently renewed and covers actions and strategic goals for years 2023-2024. New action plan is yet to be approved by the government, so it isn't publicly available yet. The main highlights of the plan include actions and strategies in 4 dimensions (public sector, private sector, education and legislation) with a focus on upskilling public officials, publishing open data and its quality improvement, as well as open data reuse growth. The general goals (publishing public sector data as open by default) are stipulated in the Public Information Act: https://www.riigiteataja.ee/en/eli/ee/510122021005/consolide/current. (includes the goal of fostering open access to publicly funded research data among other known principals from the OD PSI Directive). Previous Open Data and Data Management action plans for 2021-2022 are available on the national open data portal https://avaandmed.eesti.ee/instructions/action-plans-for-open-data-and-data-management-2021-2022.;;;;30
