ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;1545
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";1545
D0.1;;;;;;
R1;N/A;Greece;;;;N/A
R2;N/A;Ministry of Digital Governance;;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;5;;;;N/A
R7;N/A;1;;;;N/A
R8;<200.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;yes;Ease of use, access to useful information;;;;N/A
R10;partially;Frequent harvesting and updating;;;;N/A
D1;;;;;;512
D1.1;;;;;;210
1;Yes;"Open Data and further re-use of public sector information, new Law 4727/2020 (“Chapter I”) replacing L. 4305/2014, https://www.secdigital.gov.gr/wp-content/uploads/2020/07/secdigital-n-4704-2020.pdf

Response to reviewer - changed to ""other""";Provide more description;;;30
2;Not Applicable;"https://www.opengovpartnership.org/documents/greece-action-plan-2022-2024-december/

Response to reviewer - changed to N/A";Provide more description;;;30
3;yes;"Completely different, civil society oriented

Response to reviewer:
The new (2022-2024) plan was created at the end of 2022 to replace the previous one (https://www.opengovpartnership.org/documents/greece-action-plan-2019-2022/), please refer to the above (q. 2) link.";Please provide more information on the main changes;;;10
4;No;"Response to reviewer:
Regional and local organisations have worked on open data strategies but are not communicated.";;Please explain why not applicable is a suitable answers;;0
5;yes;"Open data on areas previously not open, datasets of high added value

Response to reviewer:
Yes, same answer as last year --> ""1. All public sector organisations should record all datasets
2. All datasets should be categorized to: open, open by fee/royalty, classified (personal data, intellectual property, national security etc.). Classified datasets should be recorded with caution but also with concrete reasoning.
3. The above mentioned record should be signed by the head of the organisation and publicly uploaded
4. Datasets provided open should be uploaded at least at the Central Government Open Data Portal""";"Please provide more information. Can we use the same answer as last year?

""1. All public sector organisations should record all datasets
2. All datasets should be categorized to: open, open by fee/royalty, classified (personal data, intellectual property, national security etc.). Classified datasets should be recorded with caution but also with concrete reasoning.
3. The above mentioned record should be signed by the head of the organisation and publicly uploaded
4. Datasets provided open should be uploaded at least at the Central Government Open Data Portal""";;;25
6a;No;"https://www.opengovpartnership.org/documents/greece-action-plan-2022-2024-december/

Response to reviewer - changed to N/A";Please describe the measures;;;0
6b;yes;https://www.opengovpartnership.org/documents/greece-action-plan-2022-2024-december/. Through APIs as they are considered HVDs;;;;15
6c;no;;;;;0
6d;No;"Response to reviewer:
Change answer to ""no""";Missing description;;;0
7;yes;The General Secretariat for Digital Governance and Process Simplification organizes an annual competition for the Digital Governance Awards. The purpose of the competition is to reward civil servants and officials who with their actions and ideas have contributed to the digital transformation of the Greek Public Administration and to the improvement of the provision of public services to citizens. https://www.secdigital.gov.gr/diagonismos-vraveion-psifiakis-diaky/ ;;;;15
8;yes;Further hackathons are organized by public or civil society organizations that include mainly the private sector (civil society, businesses etc.);;;;15
9a;yes;"1. All public sector organisations should record all datasets
2. All datasets should be categorized to: open, open by fee/royalty, classified (personal data, intellectual property, national security etc.). Classified datasets should be recorded with caution but also with concrete reasoning.
3. The above mentioned record should be signed by the head of the organisation and publicly uploaded
4. Datasets provided open should be uploaded at least at the Central Government Open Data Portal";;;;15
