ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;2405
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";2405
D0.1;;;;;;
R1;N/A;Spain;;;;N/A
R2;N/A;"Ministry of Economic Affairs and Digital Transformation
Public Business Entity Red.es";;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;7;;;;N/A
R7;N/A;4,75;;;;N/A
R8;400-600.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;yes;".- Contents of the data.europa academy
.- The news and reports prepared on the subject
.-  The anual county evalutation 
";;;;N/A
R10;yes;;;;;N/A
D1;;;;;;635
D1.1;;;;;;275
1;yes;"Spain has had a national open data policy since 2007. This open data policy has been evolving in accordance with the guidelines set by Europe. This policy is reflected in Law 37/2007

In addition to the aforementioned regulatory framework, Spain has a series of strategic documents that reinforce the open data policy for the 2020-2025 period. These documents include:

- The Digital Agenda for 2025, which contemplates the implementation of a National Artificial Intelligence Strategy that includes measures related to the availability of open data, which are essential for the correct operation and training of Artificial Intelligence systems.
- The Digitalization Plan for Public Administrations 2021-2025, which highlights the intention to evolve the model of access to public and private information to facilitate the development of high value-added services, based on the work developed by the Aporta Initiative.
- The IV Open Government Plan of Spain 2020-2024, which includes actions such as the improvement of real-time access to dynamic data through appropriate technical means and the promotion of data sets with high reuse value through their selection, the definition of common vocabularies and their publication.
Likewise, the Data Office, which assumes the governance policies and standards in data management and analysis that should govern the General State Administration, is working on a national data strategy and an update of the national open data strategy. See more: https://www.boe.es/eli/es/o/2020/07/31/etd803";;;;30
