ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;2497
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";2497
D0.1;;;;;;
R1;N/A;France;;;;N/A
R2;N/A;DINUM;;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;12;;;;N/A
R7;N/A;11;;;;N/A
R8;800-1.000.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;yes;Available courses on open data, ability to browse by catalogue, translation…;;;;N/A
R10;yes;;;;;N/A
D1;;;;;;640
D1.1;;;;;;275
1;yes;"The open data policy in France is called “Politique d’ouverture et de partage des données publiques”. The French government and the local authorities are strongly committed to opening government data and never ceases to reaffirm their desire to work toward.

Article 15 of the Declaration of the Rights of Man and the Citizen of 1789, which is part of the French constitution, states that Society has the right to hold any Public Official accountable for its administration. **This principle created very early a right to access the data and never stoped guided all the evolution in open data policy in France.**

The law of 17 July 1978 on freedom of access to administrative documents (”loi CADA”) establishes a framework on access to information, codified in the Code of relations between the public and the administration (Code des relations entre le public et l’administration).

The cornerstone of the French open data policy is the 2016’s Digital Republic Law [https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000033202746](https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000033202746), also transposed in the Code of relations between the public and the administration. **The Digital Republic Law** led to significant progress in terms of open data and national data policy including the “**Open Data by default**” principle and the Public Service Data.

**According to the french decree of october 25 2019, the Interministerial Digital directorate is in charge of the coordination and the promotion of the inventory, governance, production, circulation, use and opening of data. [https://www.legifrance.gouv.fr/loda/id/JORFTEXT000039281619](https://www.legifrance.gouv.fr/loda/id/JORFTEXT000039281619)**

**Recently edited by a modificative decree of April 22 2023, the french government confirmed the importance allocated to the open data policy in it’s governmental roadmap.**

[https://www.legifrance.gouv.fr/loda/id/JORFTEXT000047478124](https://www.legifrance.gouv.fr/loda/id/JORFTEXT000047478124?init=true&page=1&query=%222022%2F868%22&searchField=ALL&tab_selection=all)

In April 2021, Prime Minister Jean Castex, through a circular on the national data, algorithms and source code policy, reiterated the need for an ambitious open data policy, and called on the Government to make data a strategic priority: ""I would like the Government to have a renewed ambition in terms of the use, openness and circulation of public data, algorithms and source codes for the benefit of users, researchers, innovators and all our fellow citizens."" [https://www.legifrance.gouv.fr/circulaire/id/45162](https://www.legifrance.gouv.fr/circulaire/id/45162).

On top of the general framework, open data policy is also characterised by specific sectoral legislation. Here are few recent examples.

- The law on the orientation of mobility [https://www.ecologie.gouv.fr/loi-dorientation-des-mobilites](https://www.ecologie.gouv.fr/loi-dorientation-des-mobilites) with specific disposition on transport data including real-time data.
- The changes to the Research code [https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006071190/](https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006071190/) implemented by the Digital Republic Law regarding open research data

The Open Data Directive has already been transposed [https://eur-lex.europa.eu/legal-content/EN/NIM/?uri=uriserv:OJ.L_.2019.172.01.0056.01.ENG](https://eur-lex.europa.eu/legal-content/EN/NIM/?uri=uriserv:OJ.L_.2019.172.01.0056.01.ENG) and most provisions were already part of the French legal framework.

**In 2022, the french lawmaker once again get into high gear with the adoption of the “3DS” law (differentiation, decentralization, deconcentration and simplification) which stated for the acceleration of the sharing data processes between administrations, and especially between central administrations and local administrations.** [https://www.legifrance.gouv.fr/jorf/id/JORFSCTA000045197502](https://www.legifrance.gouv.fr/jorf/id/JORFSCTA000045197502)

**During the last Inter-ministerial Committee for Public Transformation (CITP), the Prime Minister announced that each ministry will adopt new ministerial roadmaps on data, algorithms and source code policy by the end of 2023. These new roadmaps, symbol of an invariably renewed ambition, present the ambitions and challenges of public policies related to data, algorithms and public source codes, the concrete priority actions to be launched and the governance set up to ensure their implementation.**

[https://www.gouvernement.fr/actualite/offrir-un-accompagnement-clair-et-des-solutions-rapides-au-francais](https://www.gouvernement.fr/actualite/offrir-un-accompagnement-clair-et-des-solutions-rapides-au-francais)";;;;30
2;yes;"In April 2021, Prime Minister Jean Castex, in a circular, underlined that the national data policy must be a strategic priority for the State and its relations with local authorities and private actors : [https://www.legifrance.gouv.fr/circulaire/id/45162](https://www.legifrance.gouv.fr/circulaire/id/45162)

The Government made a commitment to open more high-impact key datasets, APIs and source codes in the near future. The list of such datasets and their publication schedule is available here [https://ouverture.data.gouv.fr/](https://ouverture.data.gouv.fr/)

Each ministry has defined its strategy in the field of data, algorithms and source codes, and has broken it down into a plan of action over a 2 to 3 year period. The Minister for Public Transformation and Civil Service unveiled these 15 roadmaps on Monday 27 September 2021. These roadmaps include actions for all central government organisations and agencies. **Most of these roadmaps are foreseeing actions until 2024.**

More information is available at the following page [https://www.etalab.gouv.fr/politique-de-la-donnee-des-algorithmes-et-des-codes-sources-15-strategies-ministerielles-et-500-actions-pour-accelerer/](https://www.etalab.gouv.fr/politique-de-la-donnee-des-algorithmes-et-des-codes-sources-15-strategies-ministerielles-et-500-actions-pour-accelerer/) 

The roadmaps are available here [https://www.data.gouv.fr/fr/datasets/feuilles-de-route-ministerielles-sur-la-politique-de-la-donnee-des-algorithmes-et-des-codes-sources/](https://www.data.gouv.fr/fr/datasets/feuilles-de-route-ministerielles-sur-la-politique-de-la-donnee-des-algorithmes-et-des-codes-sources/)

**At the same time, the the Interministerial direction of digital, and espacially it’s department Etalab - Prime Minister’s service is also in charge of the monitoring and the implementation of the open data strategy.**";;;;30
