ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;1518
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";1518
D0.1;;;;;;
R1;N/A;Croatia;;;;N/A
R2;N/A;Central State Office for Development od Digital Society;;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;;;;;N/A
R7;N/A;6;;;;N/A
R8;200-400.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;yes;Open dana best practices in EU;;;;N/A
R10;yes;;;;;N/A
D1;;;;;;392
D1.1;;;;;;120
1;yes;"Open Data Policy
https://rdd.gov.hr/UserDocsImages//SDURDD-dokumenti//POLITIKA%20OTVORENIH%20PODATAKA.pdf 
The Right of Access to Information Act (RAIA) (Official Gazette 25/13, 85/15 and 69/22)
http://digarhiv.gov.hr/arhiva/1912/162307/FOI_Act-ENG_Version.pdf
In order to comply with requirements of the Directive (EU) 2019/1024 of the European Parliament and of the Council of 20 June 2019 on open data and the re-use of public sector information (OD Directive), the Croatian Parliament had adopted the Amendments to the RAIA (“Official Gazette”, No. 69/22), which entered into force in June 2022.
https://sredisnjikatalogrh.gov.hr/cadial/searchdoc.php?action=search&lang=hr&query=%22zakon+o+pravu+na+pristup+informacijama%22&searchText=on&searchTitle=on&resultdetails=basic&annotate=on&bid=F4NtHfvX0ieov0dK%2fqFcuw%3d%3d
We started activities drafting new Open Data Policy and the associated Action Plan.
The Croatian Parliament had adopted the Digital Croatia Strategy for the period  until 2032 (NN 002/2023).  The importance of open data is highlighted in the Strategy.
https://rdd.gov.hr/UserDocsImages//SDURDD-dokumenti//Strategija_Digitalne_Hrvatske_final_v1_EN.pdf";;;;30
2;not applicable;There is no specific strategy in place, but the existing policy refers to the objectives, actions/measures to be implemented, delivery timelines, responsible etc.;;Also: the Digital Croatia Strategy includes mention of the importance of open data;;30
3;no;;;;;0
4;no;;;;;0
5;no ;Response to reviewer: Action plan for implementing Open Data policy was never formalized, so the measures were not implemented;Last year there was an action plan. Could you please check this?;;;0
6a;No;"Measures implemented in open data policy promote publishing using the scoring system and the use of real-time data / dynamic data sets. 
Response to reviewer: please chanege our answer to NO";;Please explain further what this scoring system is and how it is used to incentivise publication of real-time data. In there are also other measures, please state explicitly what the measures are.;;0
6b;yes;"Measures implemented in open data policy promote publishing geo-spatial data as priority areas.
Response to reviewer: 
In Annex I of Directive (EU) 2019/1024, the topics of high-value data sets are determined by specifying six thematic categories of data:
1. geospatial data https://www.geohrvatska.hr/  - The GeoHrvatska browser was developed by the State Geodetic Administration in cooperation with the entities of the National Infrastructure for Spatial Data (NIPP), in order to bring the spatial data of the NIPP closer to citizens. In a simple, mobile and intuitive way, GeoHrvatska allows the user to use the official spatial data of NIPP subjects, i.e. the public authorities of the Republic of Croatia, and with the help of their location, get to know and explore the space that surrounds them. The browser consolidates and visualizes spatial data of NIPP subjects, distributed in six thematic areas: Quality of the environment, Land, Nature around me, Free time, Protected areas and Pollution in the vicinity.";;Please state explicitly what the measures are;;15
6c;no;;;;;0
6d;no;;;;;0
7;yes;"Organizing public events that promote the re-use of open data for different target groups.
Providing online education (webinar) about re-use of open data.
Edukacija Povjerenika
Response to reviewer: Education for state, public and local servants within the State School of Public Administration
https://dsju.hr/workshop-details/3169
https://dsju.hr/workshop-details/2880
https://dsju.hr/workshop-details/2807
https://dsju.hr/workshop-details/2761";;Please clarify if there are specific measures aim at the public sector (to differentiate from Q8);;15
8;No;"Organizing public events that promote the re-use of open data for different target groups.
Providing online education (webinar) about re-use of open data. 
Response to reviewer: please chanege our answer to NO";;Please clarify if there are specific measures aim at the private sector (to differentiate from Q7);;0
9a;yes;"Such obligation is not explicitly stated in the Open Data Policy, but there is legal obligation stipulated by the Right to Access to Information Act – according to Art 10. Para 1. Pt. 5. all the public authority bodies (including local and regional self-government units) are obliged to publicise registers and databases from their domain, or the information on the registers and databases they possess, as well as publicising the conditions to access and re-use of the data. In addition, Art 28. Para 1. of the RAIA imposes the obligation of all the public bodies to publish the data for re-use, which should be easily searchable, described by metadata, available in machine-readable and open format, aligned to open standards.

In addition, publication of the metadata is necessary also within the open licence that we have protected some register (open licence is necessary). It is regulated by the Rulebook on the types and contents of permits that determines the conditions of reuse of information, Art 4. Para.5: Metadata is always published with an open license, regardless of what permission the publisher publishes a set of data to which the metadata relates.";;;;15
9b;yes;"According to the Art 10. Para 1, pt. 5. of the RAIA, the public bodies are obliged to proactively publicise all the registers and databases within their scope of work, including the information on inventories containing data which can not be published as open data.   
For example, The State Geodetic Office maintains data inventory (link: https://dgu.gov.hr/UserDocsImages//dokumenti/Pristup%20informacijama/Zakoni%20i%20ostali%20propisi/Ostalo//Katalog_podataka_DGU_2018_v11.pdf), which also includes geospatial data that could not be published in open format  - however, the data is available upon request and charged in accordance with the Decree on Costs of Re-Use of Information (""""Official Gazette"""", No 87/18.).";;;;10
10a;no;N/A;This was started last year, have you made any progress this year?;;;0
