ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;2018
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";2018
D0.1;;;;;;
R1;N/A;Hungary;;;;N/A
R2;N/A;National Data Asset Management Agency;;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;4;;;;N/A
R7;N/A;5;;;;N/A
R8;<200.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;yes;The nature of single point of access which facilitate for public bodies to publish and for companies and citizens to reach wide range of data. Our goal is to create a similar single point of access that will be the core part of Hungary's open data ecosystem. ;;;;N/A
R10;partially;We are currently in talks with the dara.europa.eu about the harvesting method.;;;;N/A
D1;;;;;;620
D1.1;;;;;;275
1;yes;"Government Decree No. 1310/2015 (V. 21.) on the necessary measures for the widespread of the re-use of public data which requires the government to prepare a White Paper, including a model quantifying the socio-economic benefits, taking into account practical experience and good practices abroad, to establish a coherent government data policy to promote the re-use of public data, and to make it available for academic and public debate.

https://www.magyary.hu/wp-content/uploads/2019/07/AdatpolitikaiStrate%CC%81giaiJavaslat.20190627.Magyary.pdf

https://www.magyary.hu/wp-content/uploads/2019/09/Adatpolitikai_feher_konyv_201608.pdf

The White Paper on National Data-policy was published in 2016. The policy’s main focus is on the PSI re-use. In addition, the Government Decision 1573/2020 (IX. 9.) on Hungary's Artificial Intelligence Strategy (hereinafter: AI Strategy) and certain measures necessary for its implementation have a dedicated open data leg - since the availability of open data (and PSI) is a key factor in the success of any AI initiative. Within the framework of the AI Strategy, the National Data Asset Management Agency has been established. The National Data Asset Management Agency is responsible for establishing the legal framework for open data policy in Hungary.

https://ai-hungary.com/files/e8/dd/e8dd79bd380a40c9890dd2fb01dd771b.pdf

The government's commitment to the development of the data economy and the reuse of public data was embodied when the Government adopted Act No. XCI of 2021 on the National Data Asset, which was follow up by the Government Decree No. 607/2021 (XI. 5.) on certain detailed rules related to the utilisation of national data assets. The Decree regulates in detail the tasks of the National Data Assets Management Agency and states that the Agency shall be responsible for the implementation of the provisions of the Decree. It specifies the tasks of the Agency which, according to the Act, may participate in the re-use of public data under Act No. LXIII on Public Data, thus contributing to a more efficient channeling of available public data sets into the domestic economy. The Agency operates the National Public Data Portal in accordance with Article 34(5) of the Act No. XCI of 2021 on the National Data Asset.
https://net.jogtar.hu/jogszabaly?docid=a1200063.tv
https://net.jogtar.hu/jogszabaly?docid=a2100091.tv
https://net.jogtar.hu/jogszabaly?docid=A2100607.KOR
Also there is a new strategy called National Digitalization Strategy (2022-2030). This is an official open data policy.
Link: https://kormany.hu/dokumentumtar/nemzeti-digitalizacios-strategia-2022-2030";;;;30
2;yes;"There is a new strategy called National Digitalization Strategy (2022-2030). This is an official open data policy.
Link: https://kormany.hu/dokumentumtar/nemzeti-digitalizacios-strategia-2022-2030
The Strategy main highlights must be the folowing: It wishes to contribute to Hungary recognizing the necessity of digital transformation and putting digital infrastructure, economy, education and digital public services at the center of its competitiveness and modernization efforts. It focuses on improving every aspect of digitalization such as digital infrastructure, digital skills and competencies, digital economy and last but not least digital state.

Within the framework of the chapter 4.1.1 “Mathematical foundations of AI” of Hungary’s Artificial Intelligence Strategy Hungary's open data policy goals have been formulated. Such as, making data collection and re-use conscious,regulated and responsible data asset management in the public and private sectors. The English version of the Hungary's Artificial Intelligence Strategy is available here: https://ai-hungary.com/files/e8/dd/e8dd79bd380a40c9890dd2fb01dd771b.pdf";;;;30
3;yes;The new strategy, National Digitalization Strategy (2022-2030), was initiated in 2019 and was made official and published in an updated form in December 2022.;;;;10
4;yes;"Yes, the commitment to open data policies is also reflected at the local level in the smart city strategies of some Hungarian cities. Among the larger cities, Budapest, Debrecen, Zalaegerszeg and Szeged have already developed their own Smart City strategies. 
The Government has shown its commitment by adopting a government decree on the establishment and operation of the so-called ""smart city central platform service"". This decree names Monor as the municipality selected to test the services to be developed. The regional dimension does not apply to Hungary due to the size of the country.

https://otthonbudapesten.hu/sites/default/files/attachment/2021/ITS_2027_III_STRATEGIA_20210306.pdf
http://smartcity.debrecen.hu/en/strategy/ 
https://zalaegerszeg.hu/dokumentum/35747/Zalaegerszeg__Smart_city_koncepcio_es_strategia__roviditett.pdf 
https://docplayer.hu/17702150-Szeged-megyei-jogu-varos-smart-city-jovokep-es-koncepcio.html 
https://old.jozsefvaros.hu/tu_dokumentumok/6058_20181129_jegyzokonyv_mellek.pdf 
https://www.budapest13.hu/wp-content/uploads/2019/03/smart_city_koncepcio.pdf 

Also there is a new strategy called National Digital Citizenship Program, which aims to create a unified and excellent user experience online system for Hungarian citizens and the Hungarian public administration, which radically simplifies communication between the citizens and the various bodies of the government. https://www.dmu.gov.hu/documents/prod/DMU_nemzeti_digitalis_allampolgarsag_program_2022.pdf";;;;10
5;yes;"The National Digitalization Strategy outlines action pln eith measures to be implemented in the open data field, it can be found on page 22. Chapter 1., 1.4. Designation and justification of pillars. Also on page 88. Chapter 4. Vision and target system.
Link: https://kormany.hu/dokumentumtar/nemzeti-digitalizacios-strategia-2022-2030

More than 30 actions were proposed in the White Paper on national data policy. The government will decide which of these will be applied. Decision making in this is in progress. The adopted AI strategy has dedicated actions of data policy and data economy (see Chapter 5 of the AI strategy)
https://ai-hungary.com/files/e8/dd/e8dd79bd380a40c9890dd2fb01dd771b.pdf

Chapter V of the Data Strategy Proposal document deals in detail with the high-value data sets.
http://alfa-kozadat.ddns.net/uploads/page_images/2022-06-13-104746.691012AdatpolitikaiStrategiaiJavaslat.20190627.Magyary.pdf";;;;25
6a;yes;"In Chapter 2. of the National Digitalization Strategy it is emphasized separately for certain data types that it is necessary to provide access to real-time / dynamic data in order of the overall improvement.
Link: https://kormany.hu/dokumentumtar/nemzeti-digitalizacios-strategia-2022-2030

More than 30 actions were proposed in the White Paper on national data policy. The government will decide which of these will be applied. Decision making in this is in progress. The adopted AI strategy has dedicated actions of data policy and data economy (see Chapter 5 of the AI strategy)
https://ai-hungary.com/files/e8/dd/e8dd79bd380a40c9890dd2fb01dd771b.pdf";;;;15
6b;yes;"The White Paper states compliance with the INSPIRE directive. The Government Decree No. 241/2009 (X.29) on the establishment and operation of the National Environmental Geospatial Information System and the Act No. XLVI of 2021 on surveying and cartographic activities comply the harmonization. The Lechner Knowledge Center has been operating the website geoshop.hu, which offers surveying and cartographic spatial data services in digital form since 2010, where the online spatial data service is available to everyone in a simple and easy-to-understand way.

Chapter V of the Data Strategy Proposal document deals also with the geo-spatial data
https://www.magyary.hu/wp-content/uploads/2019/07/AdatpolitikaiStrate%CC%81giaiJavaslat.20190627.Magyary.pdf";;;;15
6c;yes;"National Digitalization Strategy: On page 8. you can see section called Goals:  Digital economy is one of the goals, it is emphasized there, that the priority goal of the state is to gather citizen-generated data in various fields and extend the national data asset by them. 
Link: https://kormany.hu/dokumentumtar/nemzeti-digitalizacios-strategia-2022-2030";;;;15
6d;yes;"Yes, the Chapter VI. of the Data Strategy Proposal document initiates this goal.
https://www.magyary.hu/wp-content/uploads/2019/07/AdatpolitikaiStrate%CC%81giaiJavaslat.20190627.Magyary.pdf";;;;10
7;yes;The Hungary's Artificial Intelligence Strategy outlines the development and establishment of Hungary's National Open Data Portal and initiates the Data Wallet which aims to support the re-use of open data by the private sector. The National Data Asset Management Agency will open public data bases in an organized way which can help businesses to develop high added-value products, such as apps, to make citizens' daily lives easier and simpler.;;;;15
8;yes;Yes, the National Data Asset Act  and the Government Decree No. 607/2021. (XI. 5.) on certain detailed rules relating to the use of national data assets defines the rules regarding the National Open Data Portal which is the core element of the re-use of public -data.;;;;15
9a;yes;Yes, the Government Decree No. 607/2021. (XI. 5.) on certain detailed rules relating to the use of national data assets set forth to prepare the National Data Asset Inventory containing a list of registers with personal data, public data and data of public interest by the National Data Asset Management Agency in cooperation with all the national public body.;;;;15
9b;yes;Yes, the National Data Asset Inventory includes registries containing personal data. The inventory will not be published.;;;;10
10a;yes;N/A;"Kindy fill in the column ""Publications of HCD in machine-readable formats via APIs"" in the table below. This column was hidden in the original questionnaire. Sorry.";;;20
10b;yes, regular consultations;The National Data Asset Management Agency has taken steps to involve certain stakeholders in the prioritisation process. The Agency does this through specific Cooperation Agreements. Within the frameworkf of this prioritisation process, the main public bodies holding the high-value data domains were the first ones to be involved (e.g. Hungarian Central Statical Office, Lechner Knowledge Center, Hungarian Meteorological Service).;;;;10
10c;yes;Yes, in Hungary we have identified which public bodies holds high-value datasets and at the same time we noted and encouraged them to comply with the implementing regulation. All of them started to progress.;;;;15
11a;yes;N/A;;;;15
11a.1;Yes;The National Digitalization Strategy outlines utilization of IT tools and solutions that foster application of green IT technoligies and incentive the importance of data collect process on the field of climate change.;;;0;
11a.2;Yes;National Open Data Portal;;;0;
11a.3;Yes;The National Digitalization Strategy supports the social aspects of digital transformation like reducing inequalities between job applicants and companies with the support of strenghtening IT and digital skills of the citizens.;;;0;
11a.4;Yes;The National Digitalization Strategy adapts the main pillars of the 2030 Policy Programme “Path to the Digital Decade” which is the key commun program to strengthen  the EU's position in the decade of the digital transformation.;;;0;
11a.5;Yes;The Strategy aims to reduce social inequalities. Our aspiration is that with the fostering of digital skills, the citizens will be competitive in the labor market and will raise awarness of information security among citizens which will lead to more secure and fair society.;;;0;
11a.6;No;;;;0;
11b;yes;"Yes, our main policy documents regarding data are focusing on the following objectives: 

• A key objective is to extend the national data ecosystem to economic and social actors beyond the public sector.
• Improving the conditions for data use for public purposes.
• Ensuring opportunities for data use for social and economic purposes.
• The National Digital Citizenship Program aims to create a unified and excellent user experience online system for Hungarian citizens and the Hungarian public administration, which radically simplifies communication between the citizens and the various bodies of the government.
• National Digitalization Strategy (2022-2030): wishes to contribute to Hungary recognizing the necessity of digital transformation and putting digital infrastructure, economy, education and digital public services at the center of its competitiveness and modernization efforts. It focuses on improving every aspect of digitalization such as digital infrastructure, digital skills and competencies, digital economy and last but not least digital state.";;;;N/A
D1.2;;;;;;185
