ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;2373
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";2373
D0.1;;;;;;
R1;N/A;Lithuania;;;;N/A
R2;N/A;The Information Society Development Committee (J. Belickas), Ministry of Economy and Innovation (I. Bražinskė);;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;7;;;;N/A
R7;N/A;7;;;;N/A
R8;200-400.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;yes;Leadership and open data initiatives, methodological assistance, dissemination of good practice, specific advice;;;;N/A
R10;yes;;;;;N/A
D1;;;;;;592
D1.1;;;;;;260
1;yes;"POLICY:
Lithuania has a national open data policy and has reached tangible results in amending legislation in this regard recently. 
Main legislation on open data policy:
1) The Law on the Right to Receive Information and Re-use of Data
https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.94745/asr 
Amendments to the Law on the Right to Receive Information and Re-use of Data entered into force in July 2021 transposing provisions of the Directive (EU) 2019/1024 on open data and the re-use of public sector information as well as establishing a Model for data opening which obliges institutions to inventory their data to know what data are owned by the state and open the data on user demand. The Law was revised on 01/01/2023.
https://eimin.lrv.lt/lt/naujienos/atveriami-dideles-vertes-duomenys-paskatins-nauju-produktu-kurima
2) Description of data opening procedure was approved by the Minister of Economy and Innovation on 01/04/2022
https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/327dd210495011ebb394e1efb98d3e67/asr
https://eimin.lrv.lt/lt/naujienos/viesojo-sektoriaus-duomenu-atverimo-procesas-bus-bendras-ir-aiskus
It ensures the overall data opening process of institutions, the quality of the open data, and favorable conditions for the reuse of data. It determines the data opening activities of institutions: appointment of persons responsible for organizing data opening, data inventory and creation of data sets to be opened, preparation of descriptions of data structure, usage of the State Data Management Information System for data anonymisation, data sets publication on the Lithuanian open data portal and ensuring feedback to open data users. 
3) Amendments to the Regulations of Lithuanian open data portal were made by Lithuanian Government on 25/03/2022
https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/6e0d9154391911eabd71c05e81f09716/asr
https://eimin.lrv.lt/lt/naujienos/verslui-paprastesnes-galimybes-gauti-trukstamu-duomenu
The essence of these changes is simpler and faster communication between data users (business) and data holders (public sector), as all communication takes place on the portal itself, without the need to write separate requests or inquiries. The business is able to request the missing data directly on the portal, if it cannot be found here. Thus, the data opening process becomes faster and of higher quality .";;;;30
