ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;2040
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";2040
D0.1;;;;;;
R1;N/A;Latvia;;;;N/A
R2;N/A;Ministry of Environmental Protection and Regional Development Republic of Latvia (hereinafter - MEPRD);;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;"10
===original===
Our national open data team consists of two parts: policy makers MEPRD Information Society Development Department and tehnical support State Regional Development Agency Republic of Latvia (hereinafter SRDA)";Thank you for the information. In addition, please add the size of these teams.;;;N/A
R7;N/A;"3
==original===
Coordinated at national level by MEPRD Information Society Development Department in coopertaion with non-governmental organisations.";Thank you for the information. In addition, please add the number of full time equivalent employees in the national open data team.;;;N/A
R8;<200.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;yes;A knowledgeable, supportive team with whom you can always find common ground and solutions when problems arise.;;;;N/A
R10;yes;;;;;N/A
D1;;;;;;572
D1.1;;;;;;250
1;yes;"Freedom of Information Law.
Cabinet of Minister regulations No 445 ""Procedures by which institutions place information on the Internet"". 
We note that these rules will also provide for the publication of a list of high-value datasets, their data and metadata formats and dissemination, as well as the dissemination of dynamic data. The amendments to the Regulation have now been submitted to the TAP for objections and comments from other authorities.

Update August
1.1 Policy framework 
1. https://likumi.lv/ta/en/en/id/50601-freedom-of-information-law;
https://tapportals.mk.gov.lv/meetings/cabinet_ministers/17464853-28a1-40de-949a-d03644b2e62a";In addition, please provide a link the legislation. In 2022, the following URL was provided: https://likumi.lv/ta/en/en/id/50601 and https://likumi.lv/ta/id/316109-kartiba-kada-iestades-ievieto-informaciju-interneta;;;30
2;yes;"Latvian Open Data strategy sets tasks and plan how to reach the goal ""open by default""
https://tap.mk.gov.lv/lv/mk/tap/?pid=40472319
https://data.gov.lv/lv/aktualitates/ministru-kabinets-apstiprina-informativo-zinojumu-latvijas-atverto-datu-strategija
The open data policy is also addressed in the Cabinet of Ministers' Order No 490 of 7 July 2021 ""On Digital Transformation Guidelines 2021-2027"", for example, by providing for the availability of open data on the Latvian Open Data Portal, i.e. by making it mandatory to publish all data contained in the public sector's publicly available information on the Latvian Open Data Portal by making open data of the public administration easily accessible.";;;;30
3;No;"Please see a comment: We would like to draw attention to the fact that Latvian legislation updated as necessary to take account of changes or trends in certain processes. 

";It is not clear whether or not if the strategy/policy has been updated in the previous 24 months. Please clarify and provide supporting links;;;0
4;yes;In Latvia we have a governmental strategy and there are municipalities that also have their own open data strategies, for example, Cēsu municipality: https://www.cesis.lv/images/userfiles/files/Att%C4%ABst%C4%ABbas_dokumenti/CNP-Datu-strategija-2021-final.pdf;;;;10
5;yes;One of the objectives of Latvia's Fifth National Open Government Action Plan 2022-2025 is to educate the public about information and data produced by public institutions, including open data, promoting their use, as well as data-driven solutions and collaboration in public administration.;;;;25
6a;yes;"The national strategy recommends to publish real-time or dynamic data. In addition, we would like to point out that the amendments to Cabinet of Minister regulations No 445 ""Procedures by which institutions place information on the Internet"" (hereinafter - amendments to regulations No 445) foresee a procedure for the institutions to control and update info pec in a timeframe commensurate with the updating of data.";;;;15
6b;yes;"The national strategy sets out the conditions under which certain measures must be taken to publish and access geospatial data.
Also amendments to regulations No 445, provisions will be added to the rules on the publication and re-use of the list of high-value datasets and the re-use of dynamic data.";;;;15
6c;No;"Work is currently underway to implement the Data Governance Act. 
In addition, it should be noted that national strategies/policies refer to this in the broader sense of public participation. 
For example:
https://www.mk.gov.lv/lv/media/651/download?attachment";Please relate your answer specifically to citizen-generated data and what you are currently doing to incentivise its publication.;;;0
6d;yes;We note that the Strategy states that open data should be published on the Latvian Open Data Portal (hereinafter - the Portal), but at the same time, in meetings with institutions, they are informed that the types of data published on the Portal are also available on data.europa.eu.;;;;10
7;yes;"The Strategy describes scenarios and recommends institutions to re-use the data of other public sector institutions. Cooperation with NGOs, raising funds for geoportal publication of specific geospatial data on the Open Data Portal for Latvia; the regulatory enactments stipulate that if an institution has open geospatial data at its disposal, it shall also publish it on the unified national geospatial information portal (https://geolatvija.lv). The strategy includes: 1. Open Data Platform - a public and private data sharing site for bussiness processes (for example, information on public transport movements, statistics etc.) (page 35 - Section 4.4.1: Service platforms, Paragraph 5.12); 2. Develop an open data culture in the private sector (page 39 - Section 4.4.2.1 Action sub-direction: Data governance framework, Paragraph 9); 3. A unified data management infrastructure is established, providing for broad sharing of public and private sector data, including across borders, on a common basis (page 40 - Section 4.4.2.3 Action sub-direction: National Data Governance Platform (Action required)). Link: https://likumi.lv/ta/id/324715-par-digitalas-transformacijas-pamatnostadnem-20212027-gadam 
In addition, we would like to point out that the above-mentioned amendments to Cabinet Regulation No 445 will provide for a re-use procedure.";;;;15
8;yes;The Strategy describes benefits of re-use of open data by the private sector and the action plan includes activities to support entrepreneurs creating innovations using open data.;;;;15
9a;yes;It requires public bodies to carry out audit to create data inventory (Action plan, page 36);;;;15
9b;yes;"In the future is there a plan to publish on the Portal a list of public authorities' data that cannot be published as open data. 

Update August
we are currently identifying the institutions that hold data under the Regulation (EU) 2022/868: 
https://forms.office.com/pages/responsepage.aspx?id=rZPVon3wVUyHyBBsJta6CLVVom0lrHRMie8IRpcx8K9UN01YM0k5MFlVN0RWRzkzQzE1VTRHVTcwVi4u&web=1&wdLOR=c12E925B4-EBF6-4293-BA14-794BC0DB1DC6";Are you please able to share a link to where the plan is publically available and quote the relevant section? Otherwise, it is difficult to consider future actions that are not currently implemented.;;;10
10a;yes;N/A;"Kindly fill in the column ""Publications of HCD in machine-readable formats via APIs"" in the table below. This column was hidden in the original questionnaire. Sorry.";;;20
10b;yes, regular consultations;;;;;10
10c;yes;"There are currently 26 high value datasets available on the portal, which can be found under the title ""high value dataset""
https://data.gov.lv/dati/lv/dataset?tags=augstv%C4%93rt%C4%ABg%C4%81+datu+kopa";;;;15
11a;yes;N/A;In addition to the information provided, could you please additionally provide a short explanation of the actions contain the in Plan.;"Thank you for your updated answer. What was meant that in the table below you state ""actions to compy with …"". If possible, could you please describe these actions with some further detail?";;15
11a.1;Yes;"Actions to comply with the selected priority are set out in the Latvian National Development Plan 2021-2027: https://www.pkc.gov.lv/sites/default/files/inline-files/NAP2027_apstiprin%C4%81ts%20Saeim%C4%81_1.pdf 
For example:
1. Education economic growth;
2. Nature and Environment - Green Course;
3. Nature and Environment - Green Course;
4. A cohesive, safe and open society";;;0;
11a.2;Yes;Actions to comply with the selected priority are set out in the Latvian National Development Plan 2021-2027  and the Digital Transformation Guidelines 2021-2027: https://likumi.lv/ta/id/324715-par-digitalas-transformacijas-pamatnostadnem-20212027-gadam;;;0;
11a.3;Yes;Actions to comply with the selected priority are set out in the Latvian National Development Plan 2021-2027;;;0;
11a.4;Yes;Actions to comply with the selected priority are set out in the Latvian National Development Plan 2021-2027;;;0;
11a.5;Yes;Actions to comply with the selected priority are set out in the Latvian National Development Plan 2021-2027;;;0;
11a.6;Yes;Actions to comply with the selected priority are set out in the Latvian National Development Plan 2021-2027;;;0;
11b;Yes;"Several events are planned for the future, such as meetings with local authorities to promote open data, open data days, etc.
";;;;N/A
D1.2;;;;;;190
12;yes;The Information Society Council led by Prime Minister is a consultative institution established by the Cabinet of Ministers, which aims to promote the formation of the information society in Latvia. During council meetings open data actions are always included in agenda. https://www.mk.gov.lv/lv/content/informacijas-sabiedribas-padome ;;;;30
13;hybrid;A mixed/ hybrid model is used to identify and govern data, it gives a broader view of the situation and allows to express more precise ideas about what is needed in the future.;;;;N/A
14;yes, all initiatives;"All the open data publishers in public sector can (are obliged) to use National Open data portal to publsih the data and are supported when using the portal.
But there are also municipalities that have an Open Data Strategy, such as Cesis 2021-2026: https://www.cesis.lv/images/userfiles/files/Att%C4%ABst%C4%ABbas_dokumenti/CNP-Datu-strategija-2021-final.pdf";;;;20
15;all public bodies;;;;;20
16;yes;"Contact details of the team responsiblle for open data activities are availabble at MEPRD home page, Latvian Open data porrtal contacts are available on portal website, also contact details of the SRDA experts are available on the SRDA website.

Update August
https://www.varam.gov.lv/lv/atvertie-dati;
https://data.gov.lv/lv;
https://www.vraa.gov.lv/lv/latvijas-atverto-datu-portals";For completeness, please provide the URLs for the pages listed (MEPRD, Latvian Open Data portal, SRDA).;;;20
17a;yes;"The Digital Transformation Guidelines 2021-2027: https://likumi.lv/ta/id/324715-par-digitalas-transformacijas-pamatnostadnem-20212027-gadam and National Open Data Strategy: https://tap.mk.gov.lv/lv/mk/tap/?pid=40472319&mode=mk&date=2019-08-20
Guideline (Page 37) 5.12 defines the action to be taken in relation to the open data platform. Section 6 of the Action Plan (table) lists the tasks and actions to achieve the objectives of the Latvian Open Data Strategy (Page 36.)";;;;20
17b;yes;Regulary via e-mail, mostly tehnical support.;;;;20
18;yes; In the MEPRD and in other institutions working with open data, there may be both civil service and contractual obligations, but there are no mandatory conditions.;;;;20
