ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;1587
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";1587
D0.1;;;;;;
R1;N/A;Montenegro;;;;N/A
R2;N/A;Ministry of Public Administration;;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;3;;;;N/A
R7;N/A;"maja.dragojevic@mju.gov.me; daliborka.spaic@mju.gov.me; ljiljana.novovic@mju.gov.me";;;;N/A
R8;<200.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;yes;Very reviewed by a lot of criteria.;;;;N/A
R10;yes;;;;;N/A
D1;;;;;;505
D1.1;;;;;;215
1;yes;"Article 12a of the Law on Free Access to Information from 2017 stipulates the obligation of public authorities to publish data on open data in an open format.
You can find the policy at:
https://www.ombudsman.co.me/spi/1613568996_zakon-o-slobodnom-pristupu-informacijama-1.pdf.
or: https://www.gov.me/dokumenta/9501b36d-675c-454f-b3d3-fe84661ad923  Drafting of the Law on Amendments to the Law on Free Access to Information, in accordance with the Open Data Directive, is underway, and you can find it at https://www.gov.me/dokumenta/0b5e116c-4907-4c09-9921-0e574a78ee12";;;;30
2;not applicable;"1. The  Strategy for public administration reform 2022-2026 is adopted in 2021. It contains also measuers and activities related to improvng managing open data in Montenegro.
Response to reviewer:
https://www.gov.me/dokumenta/823842f4-2ffd-4a0d-936e-c1b00c669115
objective 3.3.2 Public administration attractive employer – efficient system of assessment, promotion and rewarding based on merits and continuous development
objective 4.3 Improvement of information reuse and increasing the availability of open data  
2. NATIONAL ACTION PLAN FOR IMPLEMENTING THE OPEN GOVERNMENT PARTNERSHIP IN MONTENEGRO 2023-2024 (https://www.gov.me/en/documents/3b87202e-8a46-41ec-958f-f70655f86335 or https://www.otvorenauprava.me/wp-content/uploads/2023/04/Montenegro_Action-Plan_2022-2024_December_EN.pdf )
Response to reviewer:
 Promotion and improvement of open data policy and practice5.1. Promote access to the open data portal on the web of all state bodies and LGUs

5.2. Award annual awards	for the best open data initiatives/projects


5.3. Determine the obligation to adopt annual plans for the publication of Open data and the obligation to report to the Government on the implementation	of those plans

5.4. Establish calendars for the publication of open data and monitor the Frequency of updates of published data (minimum weekly or even daily updates, especially statistical data)



5.5. Conduct regular consultations with citizens, the economy and other interested actors on the need to publish new data sets of great importance

5.6. The	launch of an open data hub (Open Data Hub), which includes open membership of representatives of public administration, business, NGOs, scientific and educational academic communities, with the mission of improving the open data ecosystem and promoting the reuse of data sets on the portal

14. Improve the transparency of data on budget execution of loca self government units (LGUs)
14.2. Conduct training	on how to publish municipal budgets	in open data with a visual presentation of the budget structure (budgets for citizens)

16. Promotion of open data at the local level
16.1. Organize an ""open data caravan"" at the local level, in cooperation with the economy and NGOs

16.2. Organize in-house consultative meetings with management staff in LGUs on open data

16.3. Preparation of an analysis of the availability of publicly	displayed Contact information in local self-government bodies and LLCs founded by LSU

16.4. Create instructions for local self-government units on data	disclosure

16.5. Hold workshops for LGU officials on data disclosure";In addition to the links, can you please elaborate further on the main highlights of these documents? What measures/activities in these documents contribute to strategy?;;;30
3;yes;1. One of the strategic goals is a transparent and open public administration that will explicitly include open data with OPERATIONAL OBJECTIVE 4.3. Improving the reuse of information and increasing the availability of open data. (Strategy for public administration reform 2022-2026);;;;10
4;no;;;;;0
5;yes;"yes, the main measures improving the functioning of the legal protection system in the field of free access to information 
Response to reviewer:
Measures and activities from Public Administration Reform Strategy 2022-2026
OPERATIONAL OBJECTIVE 3.2 	Public administration attractive employer – efficient system of assessment, promotion and rewarding based on merits and continuous development
OPERATIONAL OBJECTIVE 4.3	Improvement of information reuse and increasing the availability of open data";;"Please elaborate. What do you mean by the ""legal protection system""? 

Please also describe further the activities of the action plan. The answer in 6a suggests there are more activities/measure.";;25
