ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;1322
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";1322
D0.1;;;;;;
R1;N/A;Malta;;;;N/A
R2;N/A;Malta Information Technology Agency (MITA);;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;1;;;;N/A
R7;N/A;0,5;;;;N/A
R8;<200.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;Yes;It is the official source.;;;;N/A
R10;Yes;;;;;N/A
D1;;;;;;490
D1.1;;;;;;225
1;Other;Malta has a legal instrument, Chapter 546 together with provisions for subsidiary laws for each of the Base Registers. The Law is not specific to open data but data in general.;"1) Please provide a URL to this document
2) Please add to the description if there are any aspects of the law that does mention open data explicitly.";;;30
2;yes;A holistic data strategy was published as draft for national discussion. It has now been revisted to focus on the public administration.;"Please (1) provide a URL and (2) describe the main highlights. If the strategy is still in consultation, please refer to either the intermediate outcomes of the consultation or information about the current (""old"") strategy that is still in place";;;30
3;Select answer for Q3;;Please briefly describe the main changes;;;0
4;Not Applicable;Strategy is at a National level since the regional scope is limited in Malta mainly due to size.;;;;10
5;yes;Yes, are measures in place to standardise and re-use aspects such as discovery, meta data management and tools to facilitate human readability.;;;;25
6a;yes;The strategy includes a digital first apporach with the functionality managed by data owners through APIs ;;;;15
6b;Yes;The strategy outlines 3 different types of data person animate, geospacial and organisational.;In addition to outlining geospatial data, are there any specific measure that incentivise the publication of geospatial data?;;;15
6c;no;No, although data altruism is encouraged it is not incentivised.;Please specify how data altruism is encouraged. We can then consider scoring the answer based on the description.;;;0
6d;yes;All data is to be registered on the National Data Portal (Register of registers)which is subsequently harvested by earo.europa.eu;;;;10
7;yes;The strategy is for data to be Open by default. Once Registered owners are required to link to this source data.;;;;15
8;yes;The strategy is for data to be Open by default. One of the measures is also to study the possibility of allowing extrenal organisations to use certain 'closed' data.;;;;15
9a;yes;Register the register and dataset in the NDP (Register of registers);;;;15
9b;yes;All data is to be regitered.;;;;10
10a;Select answer for Q10a;N/A;Please provide values between 1 and 5 (previously percentages were entered);;;0
10b;yes, other measures;Stakeholders who are currently using simillar closed data datasets;;;;5
10c;Yes;Each theme contact point is identifying the particlar dataset(s). A change to include the HVD categorisation in the meta data is being considered.;;;;15
11a;Yes;N/A;"Kindly elaborate on the actions mentioned below (eg what is the content/meaning of ""digital first approach"")";;;15
11a.1;Yes;Adopt paperless processes;;;0;
11a.2;Yes;Digital first approach;;;0;
11a.3;Yes;Digital access to services;;;0;
11a.4;No;;;;0;
11a.5;No;;;;0;
11a.6;No;;;;0;
11b;Yes;We look at data holistically with the 'option' given to the data owner to distinguish the dataset as open or closed.;;;;N/A
D1.2;;;;;;170
12;Yes;The NDP facilitates the discovery of all types of data help within the Public Sector and provides contact points to communicate with the data owners;;;;30
13;Hybrid;Data repositories are identified through legal instruments but data owners can register their registers/datasets;;;;N/A
14;Not Applicable;Due to Malta's size regional governance is limited.;;;;20
15;Not Applicable;Due to Malta's size regional governance is limited.;;;;20
16;Yes;The Data Governance Council is included in the PSI legal instrument and provisions are in place to handle data requests.;Please add a link to the governance structure and operating model;;;20
17a;No;;;;;0
17b;Yes;These responsabilities are performed by the same team.;;;;20
18;Yes;A proposal is in place for current Data Protection Officers to take over additional responsabilities ;Is there an update on this proposal or a URL to this statement? Are there officials roles in the civil service that relate to open data?;;;20
19;Yes;The team under the supervision of the Data Governance Coucil communicates with Ministry CIOs or his deligate.;Is supporting evidence available that record these exchanges such as meeting agendas, news piences, etc;;;20
20;Yes;The team's parent organisation has an MOU with the national Univertsity for such measures.;Please elaborate further on what these exchanges involve. Are  supporting documents avaialble (eg news pieces).;;;20
D1.3;;;;;;95
21;No;The Register of Registers contains links to the digital source and also the publisher of the specific dataset eminating from the register.;Are these plans (workflow) available online?;;;0
22a;Yes;We monitor and liaise with register owners in maintaining the register or registers.;;;;15
22b;Neutral;I think since last year's election, human resource changes need some further time to mature in their positions.;;;;N/A
23a;Yes;This information is also monitored and maintained in the NDP as part of the register of registers. ;;;;15
23b;Approximately half of the datasets;N/A;;;;10
23c;No change;N/A;;;;5
24a;N/A;Some data is purchased from third party organisations and might pose issues to publish, mostly of legal nature.;;;;N/A
24b;Yes;Provisions in the open tendering process of acquiring such data are being stipulated when possible.;;;;10
25a;Yes;Eg the Planning Agency publishes various geospacial datasets for various data owners. As a team we also provide assistance to data owners.;;;;15
25b;Yes;As per our strategy we encourage data owners to publish their data through APIs. As an organisation we provide various building blocks to assist such as Identity Managemnt and also Foundation Data Layer such as 'person' information.;;;;10
25c;Yes;Since the Planning Authority in Malta is the owner of the Base Map and has suffiecient expertise it publishes various datesets on behalf of the owners.;;;;10
25d;No;;;;;0
26a;No;;;;;0
26b;No;;;;;0
27a;Yes, 1-2;;;;;5
27b;National public bodies;;Please provide a few examples;;;N/A
D2;;;;;;65
D2.1;;;;;;65
28;Yes;We have a reuse of documents definition since we consider a holistic data approach including personal information;Please provide the definition of open data reuse;;;10
29;Yes, but the focus is limited;;Please mention which activities/ efforts can be observed at the level of public bodies´ re-use of data;;;5
30;Yes;The NDP monitors the use of APIs requests from the portal.;;;;20
31;I don't know;;;;;0
32;Yes;We will remain monitoring API usage for the HVD categorisation.;;;;15
33;Select answer for Q33;One of the key objectives in the strategy is Intelligence;"Please clarify. What does it mean that a key objective is ""intelligence""? The question is interested in how you define impact of open data.";;;0
34;No;;;;;0
35;I don't know;;;;;0
36;Yes;with academia, University of Malta;Please provide examples of such projects and collaborations (if possible, supported by URLs);;;15
D2.2;;;;;;0
37;Select answer for Q37;N/A;Please provide a brief description;;;0
37.1;Yes;;;;0;
37.2;No;;;;0;
37.3;No;;;;;
37.4;No;;;;0;
37.5;No;;;;0;
38;Select answer for Q38;N/A;Please provide a brief description;;;0
38.1;No;;;;0;
38.2;Yes;;;;0;
38.3;No;;;;0;
39a;I don't know;;;;;0
39b;I don't know;;;;;0
D2.3;;;;;;0
D2.3a;;;;;;0
40;I don't know;;;;;0
41;I don't know;;;;;0
42;Select answer for Q42;Yes, consumers see and report data issues and thus data owners make more effort to maintain the data.;This question is interested in reuse cases - examples of applications, projects, initatives that put open data to use and create impact on a topic (in this case, in the area of transparency and accountability of public services). The examples can come from government or civil socrity (businesses, NGOs, etc). Do you have such examples?;;;0
43;Select answer for Q43;Yes, for example the Data Strategy document used insight from the usage of the NDP.;This question is interested in reuse cases - examples of applications, projects, initatives that put open data to use and create impact on a topic (in this case, in the policy-making process). The examples can come from government or civil socrity (businesses, NGOs, etc). Do you have such examples?;;;0
44;Select answer for Q44;As per previous question the NDP usage helped us in determinning pain points in the Data Strategy;This question is interested in reuse cases - examples of applications, projects, initatives that put open data to use and create impact on a topic (in this case, in the decision-making process for government). The examples can come from government or civil socrity (businesses, NGOs, etc). Do you have such examples?;;;0
D2.3b;;;;;;0
45;I don't know;;;;;0
46;I don't know;;;;;0
47;I don't know;;;;;0
48;Select answer for Q48;;Please answer this question and provide an explanation;;x;0
