ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;2111
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";2111
D0.1;;;;;;
R1;N/A;Netherlands;;;;N/A
R2;N/A;Ministry for the Interior  and Kingdom Affairs;;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;11;;;;N/A
R7;N/A;3 a 4;;;;N/A
R8;400-600.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;I don´t know;;;;;N/A
R10;yes;;;;;N/A
D1;;;;;;507
D1.1;;;;;;180
1;yes;"Wet Hergebruik Overheidsinformatie  https://wetten.overheid.nl/BWBR0036795/2021-07-01
In this law, the Open Data Directive will be implemented.";;;;30
2;yes;"https://www.rijksoverheid.nl/documenten/rapporten/2021/10/31/nl-digitaal-interbestuurlijke-datastrategie-nederland
The IBDS describes the ambition and the approach for reaching these goals. The key points are:
- working towards technically, legally and ethically better considerations regarding data use
- develop government-wide system functions, like a federative data system
- Using concrete use cases with social value.";;;;30
3;yes;The strategy was send to Parlement in November 2021. In March 2023 an approach for the implementation in the coming years was published:  https://realisatieibds.pleio.nl/file/download/1c9729a6-70a9-4bda-a245-49c1d6d63adb/meerjarenaanpak-interbestuurlijke-datastrategie6maart2023.pdf RESPONSE: The strategy itself did not change, but there is now a document describing how to implement the strategy.;;Please also describe the main changes;;10
4;yes;Yes for example Amsterdam: https://www.amsterdam.nl/innovatie/digitalisering-technologie/data/amsterdamse-datastrategie;;;;10
5;yes;"https://www.rijksoverheid.nl/documenten/rapporten/2021/10/31/nl-digitaal-interbestuurlijke-datastrategie-nederland
Some of the measures/actions:
- publish a data manifest
- develop a federative data system
- assign responsibilities
- develop a 'toolkit' for data experts
- develop data leadership";;;;25
6a;no;;;;;0
6b;no;;;;;0
6c;no;;;;;0
6d;no;;;;;0
7;yes;The IBDS (national data strategy) supports the reuse of open data by creating a federative data system, that will make data easier findable and usable, aiming to increase the number of reuse cases, especially for social issues.;;;;15
8;no;;;;;0
9a;no;;;;;0
9b;no;;;;;0
10a;yes;N/A;"Kindy fill in the column ""Publications of HCD in machine-readable formats via APIs"" in the table below. This column was hidden in the original questionnaire. Sorry.";;;20
10b;yes, regular consultations;;;;;10
10c;yes;The HVD holders are in the process of together determining this,  likely as an additional entry in the 'Aanmerkingsregister' https://www.inspireaanmerking.nl/aanmerkingsregister which is also used for INSPIRE data holders. This should facilitate automated monitoring later on.;;;;15
11a;yes;N/A;;;;15
11a.1;Yes;Within the intergovernmental data strategy (IBDS), and the implementation of the HVD explicit links are made to public tasks and policy aims, such as the Green Deal targets. Individual organisations, e.g. the National Statistics Office do this too.;;;0;
11a.2;Yes;Within the intergovernmental data strategy (IBDS), and the implementation of the HVD explicit links are made to public tasks and policy aims, such as the Working Agenda Digital Society that is currently being prepared;;;0;
11a.3;No;;;;0;
11a.4;No;;;;0;
11a.5;No;;;;0;
11a.6;No;;;;0;
11b;Yes;We always try to find a balance between what is legally allowed, technically possible and ethically responsible. See: https://www.digitaleoverheid.nl/document/interbestuurlijke-datastrategie-2021/;;;;N/A
D1.2;;;;;;170
12;yes;"On National level there is a ""steering group open data"" in which all departments are involved. On local level the provinces, waterboards and communities have steering groups for data related matters. Larger cities have ""economic boards"" that are governing the development of data enabling infrastructures in cooperation with private and research parties. ";;;;30
13;hybrid;Hybrid since it combines the advantages of top-down and bottom-up;;;;N/A
14;yes, some initiatives;The National dataportal gives an overview of initiatives and events on national, regional and local level and are involved in a lot of these activities. ;;;;10
15;approximately half of the public bodies;;;;;10
16;yes;The Ministry of the Interior and Kingdom Relations is repsonsible for the open data policy. KOOP (Kennis en Exploitatiecentrum Officiele Overheidspublicaties) maintains the national open data portal. LEOO (Leer- en Expertisepunt Open Overheid) works on knowledge sharing about Open Data. As explained here: https://www.koopoverheid.nl/open-data--linked-data;;;;20
17a;yes;The responsibilities of the national team (data.overheid.nl) are described here: https://data.overheid.nl/ondersteuning/algemeen/over-dataoverheidnl;;;;20
17b;yes;The team maintaining the national portal is part of the national open data team. ;;;;20
18;yes;The (chief) data officers are often also responsible for open data. Some organizations (for example CBS) have a dedicated open data officer.;;;;20
19;yes;"Events and news items can be found on the website of the national data portal: https://data.overheid.nl/actueel
Knowledge and support is also shared via the website: https://data.overheid.nl/ondersteuning/data-publiceren/handreiking-open-data RESPONSE: Every 3 months there is a meeting about the national data strategy (https://realisatieibds.pleio.nl/events/view/f4bfbc3b-ef62-4ece-bc61-528c0b003c86/save-the-date-ibds-cafe-hoe-kunnen-data-maatschappelijke-opgaven-verder-helpen).";;The current answer points to more general sources of information. This question is interested in whether there is  some form of exchange between the national open data team and the (chief) data offices (as mentioned in Q18);;20
20;yes;For example on the Geoform, there is a lot of contact between data providers such as PDOK and users. Online, and on events: https://geoforum.nl/ and  https://geoforum.nl/c/events/49;;;;20
D1.3;;;;;;157
21;yes;There are standard publication plans on national and local level provided by the National dataportal and biggest cities. These plans also implement the DCAT standardized value list for mandatory fields to fill during publication. There is in addition a staged publication process. The biggest data owning organization first publish data in internal catalogues, before it is published in the public and national datapportals. ;;;;20
22a;yes;The implementation of the IBDS (strategy) is handled by an organization (ICTU) focusing on the realisation of the strategy (see: https://realisatieibds.pleio.nl/) by stimulating and facilitating the intergovernmental cooperation.;;;;15
22b;neutral;"The implementation program for IBDS started in 2022 and runs until 2031. This means that the implementation program has just started, and it's too early to state something about the level of implementation. Therefore the answer is neutral.""";;;;N/A
23a;yes;All public sector bodies provide their data free of charge, except for a couple of organizations that are allowed to charge fees, as regulated by specific laws.;;;;15
23b;the majority of datasets;N/A;;;;12
23c;no change;N/A;;;;5
24a;N/A;1. Data quality 2. Trust in data 3. Lack of data interoperability;;;;N/A
24b;yes;"The measures are described in the national data strategy: https://www.digitaleoverheid.nl/document/interbestuurlijke-datastrategie-2021/ 
For example the development of a federative data system, that will contribute to better data quality and interoperability. RESPONSE: The national data strategy also offers a toolkit that provides help with the responsible use of data. This could help enhance the trust in data. https://realisatieibds.pleio.nl/cms/view/628d59dd-0755-4c20-8217-d3f26d9d8a5c/toolbox-voor-verantwoord-datagebruik";;For interest, do you also have activities to address the issues of data quality and trust?;;10
25a;yes;"Extensive support content is availavble in Dutch for data publishers: https://data.overheid.nl/ondersteuning/data-publiceren/datasets-publiceren, combined with a ""handreiking"" which is an extensive guidline to help makes the choices how to publish data";;;;15
25b;yes;"Data holders are assisted by data hubs that are handling specific data; 
- Rijkswaterstaat is a data hub that supports data holders that have real time data on the infrastructure via: https://waterinfo.rws.nl/#!/nav/index/. Which is a real-time platform that people can use and enter.
- A data hub like NDW (National Road database) helps to gather real time data from various data holders and convert this to usable data for public and private users. 
So activities are conducted by sector based data hubs to support data holders. The data hubs connect to the National dataportal. ";;;;10
25c;yes;Geonovum is assisting relevant stakeholders (also under the INSPIRE flag) with the publication of geo data. Acitivites include the coordination of a frequent meeting between stakeholders within the geo domain regarding open data matters, see: https://www.geonovum.nl/geo-standaarden/inspire-europese-leefomgeving;;;;10
25d;yes;RIVM (National Institute for Public Health and the Environment) supports Citizen Science projects regarding measuring air quality: https://www.rivm.nl/lucht/meten-modelleren-berekenen/samen-meten  and supports the publication on this data portal: https://samenmeten.rivm.nl/dataportaal/;;;;10
26a;yes;The RADIO (National Academy for Digital and Information Government) provides such trainings: https://www.it-academieoverheid.nl/onderwerpen/d/data;;;;15
26b;no;;;;;0
27a;yes, >9;"- https://data.overheid.nl/actueel/evenementen
- https://www.open-overheid.nl/actueel/activiteiten?trefwoord=&periode=alle-activiteiten-uit-het-verleden&organisator=Alle+organisatoren&type=Alle+typen+activiteiten
- https://www.meetup.com/osgeonl/";;;;20
27b;a mix of the above;National government (BZK), Open Overheid, Koop, Academia, KvK etc.;;;;N/A
D2;;;;;;460
D2.1;;;;;;110
28;yes;"In the Who (Dutch law on the reuse  of governmental data) the definition of reuse is specified as follows:  hergebruik: het gebruik van informatie, neergelegd in documenten berustend bij een met een publieke taak belaste instelling, voor andere doeleinden dan het oorspronkelijke doel binnen de publieke taak waarvoor de informatie is geproduceerd, anders dan de uitwisseling van informatie tussen met een publieke taak belaste instellingen onderling uitsluitend met het oog op de vervulling van hun publieke taken; https://wetten.overheid.nl/BWBR0036795/2021-07-01";;;;10
29;Yes, there is a strong focus;The national open data team has conducted several activities to get insight in the level of reuse of open data, such as interviewing people/organizations about their reuse applications and creating the opportunity to submit reuse applications on the national open data portal.;;;;15
30;yes;To get insight in the level of reuse of open data, people can submit their applications based on open data on the national open data portal: https://data.overheid.nl/community/toepassingen;;;;20
31;no ;;;;;0
32;no;;;;;0
33;yes;Impact is defined as the effect on processes in four different domains: Economic, Environmental, Political/Governmental and Societal impact. https://data.overheid.nl/community/impact;;;;20
34;yes;- monitor statistics on open data portal, - create Impact stories, - create insight in applications of open data use. See https://data.overheid.nl/community/impact and  https://data.overheid.nl/impact;;;;30
35;no;;;;;0
36;yes;"Yes, government works with NGO's like Open State Foundation, Waag Society, University of Amsterdam, Univeristiy of Delft on various projects to create impact; most initiatives are focused on creating datasets that have a national coverage (instead of fragmented sets) or introducing impact frameworks or assessment frameworks (like the TaDa principles setup in Amsterdam in cooperation with the Waag, see https://www.tada.city";;;;15
D2.2;;;;;;110
37;yes;N/A;;;;40
37.1;Yes;x Data.overheid.nl analyses the log files for usage of the portal;;;0;
37.2;Yes;Metrics are being collected and analyzed by data.overheid.nl;;;0;
37.3;No;;;;;
37.4;Yes;The team of data.overheid.nl conducts interviews to measure and describe the impact of data re-use. Called Impact Stories;;;0;
37.5;No;;;;0;
38;Yes;N/A;;;;40
38.1;Yes;x user days;;;0;
38.2;No;;;;0;
38.3;Yes;"-Users can leave feedback on every dataset page of the data portal. 
-The data portal supports and facilitates data communities on different domains, which helps to get insight in the needs of these users
- Users can submit a 'dataverzoek' (request for data)";;;0;
39a;Yes;"Two ways: 
Impact stories are collected by conducting interviews: https://data.overheid.nl/actueel/impact-story
Applications are collected on the open data portal, where people can submit their cases: https://data.overheid.nl/community/toepassingen/toepassing-aanmelden";;;;20
39b;Yes;The Applications of open data are categorized by Theme, there are 14 main themes, such as Economy, Housing, Traffic. The cases are also classified by type of application (app/mobile/visualisation/website). See https://data.overheid.nl/community/toepassingen;;;;10
D2.3;;;;;;240
D2.3a;;;;;;60
40;No;"The ""impact stories"" we collect provide incredible insight in how public and private parties achieve results in all kinds of challenges. All stories are here: https://data.overheid.nl/zoek/nieuws?search=impact%20story
Some specific stories pointing to governmental impact: 
- https://data.overheid.nl/actueel/impact-story/impact-story-overheidsfinancien
- https://data.overheid.nl/actueel/impact-story/impact-story-gebiedsprogramma-haarlem
RESPONSE TO REVIEWER 1 COMMENTS:
No, there are no recent quantitative studies on open data impact.";Further to the impact stories (news items) do you have any data/measurements from impact assessments or similar studies on open data impact?;;;0
41;yes;In this impact story it is mentioned that the creation of this application improved the efficiency of the governmental organization because it put open data in one structured place, when first the civil servants had multiple different (personal) excel documents they had to search through: https://data.overheid.nl/actueel/impact-story/impact-story-gebiedsprogramma-haarlem;;;;15
42;yes;The transparency of the government is improved by this dashboard on their finances: https://data.overheid.nl/community/application/dashboard-overheidsfinancin;;;;15
43;yes;De Leefbarometer application is used as information in the policy-making processes regarding the quality of life in neighbourhoods: https://data.overheid.nl/community/application/leefbarometer;;;;15
44;yes;This dashboard ('Zicht op ondermijning') based on open data is used by municipalities in decision-making processes about preventing crime: https://data.overheid.nl/community/application/zicht-op-ondermijning;;;;15
D2.3b;;;;;;60
45;No;"The ""impact stories"" we collect provide incredible insight in how public and private parties achieve results in all kinds of challenges. All stories are here: https://data.overheid.nl/zoek/nieuws?search=impact%20story
Specific stories pointing to social impact: 
- https://data.overheid.nl/actueel/impact-story/impact-story-nieuwbouwmonitor
- https://data.overheid.nl/actueel/impact-story/impact-story-vzinfonl
- https://data.overheid.nl/actueel/impact-story/impact-story-studiekeuze123";Further to the impact stories (news items) do you have any data/measurements from impact assessments or similar studies on open data impact?;;;0
46;yes;"There is a dashboard based on open data that provides insight in equality of opportunity in education, which is used by the GKA (equal opportunity alliance) to take measures and reduce inequality (https://www.gelijke-kansen.nl/actueel/nieuws/2023/03/14/voortgangrapportage-2022):  https://data.overheid.nl/community/application/4104/datasets 
https://www.ocwincijfers.nl/themas/kansengelijkheid";;;;15
