ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;2294
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";2294
D0.1;;;;;;
R1;N/A;Norway;;;;N/A
R2;N/A;The Norwegian Digitalisation Agency (Digdir);;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;Core members working on the Open Data Maturity report: 3;;;;N/A
R7;N/A;Large parts of Digdir are dedicated to data sharing. Digdir has approximately 330 employees. Most of the agencies in the central administration have their own departments dedicated to data sharing.;;;;N/A
R8;>1.000.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;I don´t know;;;;;N/A
R10;partially;;;;;N/A
D1;;;;;;557
D1.1;;;;;;260
1;other;"Guidelines for making public data available - https://www.regjeringen.no/no/dokumenter/retningslinjer-ved-tilgjengeliggjoring-av-offentlige-data/id2536870/. Transposition of the Open Directive is still in progress: https://www.regjeringen.no/no/sub/eos-notatbasen/notatene/2018/juni/endring-viderebruksdirektivet/id2604081/

The Government has trough ""Data as a resource"" (https://www.regjeringen.no/en/dokumenter/meld.-st.-22-20202021/id2841118/?ch=2) set the following principles for its data policy:
1. Data must be as open as possible and as closed as necessary.
2. Data should be findable, accessible, interoperable and reusable (FAIR).
3. Data must be shared and used in ways that create value for the private sector, the public sector and society.
4. Data must be shared and used in ways that respect fundamental rights and freedoms and preserve Norwegian social values.

The Norwegian government has established a public committee to assess the appropriate implementation of the directive (https://www.regjeringen.no/no/dep/kdd/org/styrer-rad-og-utvalg/viderebruksutvalget/id2926740/). The committee's proposed regulation of the reuse of data will be based on the Public Access to Information Act with regulations and EU Directive (EU) 2019/1024 on open data and reuse of information from the public sector. The above-mentioned directive is a minimum directive, and therefore the committee is asked to consider whether Norway should go beyond the thematic categories that follow from the directive when it comes to datasets of high value, and also include other datasets than those covered by the EU's implementing act on datasets of high value.";;;;30
2;yes;"Norway has several strategic documents and policies that cover data sharing (including open data), digitalisation, artificial intelligence, etc. Listed below are some relevant documents

Digital agenda for Norway
Establishes information as a key resource in the public sector. Emphasis on once-only and holistic information management.
Establishes three main reasons why access to open public data is important for society:
1. Streamlining and innovation
2. Business development
3. An open and democratic society

In addition, cross-sectoral instruments have been established to promote access to and re-use of public data:
- Dataportal (data.norge.no)
- Dataset distribution service
- Guidelines for re-use of public data
- Guidance for making open data available
- Development of a Norwegian license for public data
The strategy also identifies important sectors with open data that are socio-economically important

National strategy on access to and sharing of research data
The strategy is part of the follow-up to Meld. St. 27 (2015–2016), Digital agenda for Norway.
The strategy deals with increased accessibility to and reuse of publicly funded research data. It describes the state of affairs on which the policy is based and the current situation at the research institutions. Three basic principles relating to the accessibility and sharing of research data are set out:
1. Research data must be as open as possible, as closed as necessary
2. Research data should be managed and curated to take full advantage of their potential
3. Decisions concerning archiving and management of";;;;30
3;yes;"These strategies is either new or updated
The action plan that follows up One digital public sector is continuously updated and is available here: https://www.digdir.no/handlingsplanen/handlingsplan-digitalisering-av-offellent-sektor/1229
Digitalisation circular (21/12/2022) (annualy updated)
Data as a resource : Data-driven economy and innovation - (26/03/2021) 
The action plan for geodata is continuously updated https://tiltaksplan.geonorge.no/
The expert group for the sharing of industrial data - (31/05/2022)";;;;10
4;not applicable;The digitalisation strategy and accompanying action plan are a collaboration between the government and The Norwegian Association of Local and Regional Authorities (KS). ;"Please provide a short explanation why ""not applicable"" is an appropiate answer in your national context, instead of ""no"".";;;10
5;yes;"Action plan for One digital public sector
https://www.digdir.no/handlingsplanen/handlingsplan-digitalisering-av-offentlig-sektor/1229
Excerpt from the list of specific follow-ups for the area of data sharing:
• Establish a national center for data sharing (established)
• Establish The Data Factory (https://datafabrikken.norge.no) as a project to facilitate G2B datasharing (completed)
• Establish a national toolbox for data sharing (established/reassessment)
• Investigate a legal obligation to publish open data (ongoing)
• Develop a strategy for artificial intelligence (completed)
• Develop a method for measuring the effects of data sharing (completed for open data from the public sector used in the private sector)

Digtial Agenda specifies that it will continue with and build upon existing tools for open data and that sectoral strategies be prepared in the culture, education, transport, mapping and Government spending sectors. Open data strategies have been made for five of these sectors and can be found here. 
•Culture https://www.regjeringen.no/no/dokumenter/kulturdepartementets-strategi-for-apne-data/id2576038/?q=strategi%20kultur
•Geodata: https://www.geonorge.no/Geodataarbeid/nasjonal-geodatastrategi/
•Research: https://www.forskningsradet.no/contentassets/e4cd6d2c23cf49d4989bb10c5eea087a/policy-for-apen-tilgang-til-forskningsdata.pdf
•Transport: https://www.regjeringen.no/no/dokumenter/strategi-for-tilgjengeliggjoring-av-offentlige-data--samferdselssektoren/id2598229/
•Education and Research: https://kunnskapsdata.no/";;;;25
6a;yes;"""Data as a resource"" describes dynamic/realtime data as an importent part of the future data driven economy. In the Government's follow-up points [unofficial translation]: Contribute to the development of standards for the collection and making available of real-time data, sensor data and the like from the public sector for further use.  https://www.regjeringen.no/no/dokumenter/meld.-st.-22-20202021/id2841118/?ch=5#kap5-6

Sharing of industrial data (Expert group) 
Sharing of industrial data recommends a sharper distinction between static data (datasets) and dynamic data (data streams). This is because dynamic data is more often operational than datasets, and for dynamic data there will be greater expectations of what obligations the provider of the data service has. The expert group does not explicitly differentiate between open and closed data, but instead looks closer at different usage rights (licensing) for data.";;;;15
6b;yes;We have a national geospatial strategy which outlines the responsibility the public sector has to implement measures in accordance with the Spatial Data Act.  https://www.regjeringen.no/en/dokumenter/national-geospatial-strategy-towards-2025/id2617560/?ch=1 . Geospatial data will be published in accordance to the High Value Dataset specifications;;;;15
6c;no;;;;;0
6d;yes;"We don't directly foster the discoverability of the aforementioned types of data, but our national data portal and our geo data portal (https://www.geonorge.no/) are automatically published on data.europe.eu. 

The Norwegian geodata strategy refers to the Inspire directive and points out that geodata should be easy to find, assess whether they are suitable for a relevant purpose and find out the conditions that apply to be able to use them.";;;;10
7;yes;"""Digital Agenda"" has an entire chapter of Information Management and the ‘Once Only’ Principal where reuse of data within the public sector is paramount.

In ""One digital public sector"" data sharing is one of six prioritised areas. Description: the public sector shall exploit the potential of sharing and using data to create user-friendly services, and to promote value creation in the business sector
https://www.regjeringen.no/en/dokumenter/one-digital-public-sector/id2653874/?ch=2

""One digital public sector"" states that The public sector shall share data when it can and protect data when it must. Open public data shall be made available for reuse for developing new services and value creation in the business sector https://www.regjeringen.no/en/dokumenter/one-digital-public-sector/id2653874/?ch=4

See question 5, or the action plan for updated status: https://www.digdir.no/handlingsplanen/samlet-oversikt-over-status-pa-handlingsplanens-tiltak/2595";;;;15
