ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;2485
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";2485
D0.1;;;;;;
R1;N/A;Poland;;;;N/A
R2;N/A;Ministry of Digital Affairs (MDA) - formerly Chancellary of the Prime Minister (CPM);;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;19;;;;N/A
R7;N/A;no data: open data team's members fulfill various ministerial tasks, carries out open data projects as well as legal, official matters;;;;N/A
R8;<200.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;yes;Having one reliable source of information on European open data issues is a main advantage - it save us time and effort spent on searching for information elsewhere, it is true still. Additionally, our team really appreciate all data.europa.eu academy's workshops and accompanying knowledgebase with the materials - good job for providing learning platform and a place for exchange of views during live events.;;;;N/A
R10;yes;;;;;N/A
D1;;;;;;640
D1.1;;;;;;275
1;yes;"The Ministry of Digital Affaires (MDA) (formerly the Chancellery of the Prime Minister(CPM)) pursues an open data policy in Poland based on several documents: Open Data Programme and the Open Data Act (regulations), but also Open Data Projects, Open Data Standards and the project of the National Repository of Scientific and Cultural Resources.
1. Open Data Programme: 
a. Open Data Programme 2016-2020 (pol.: Program Otwierania Danych Publicznych na lata 2016-2020)
In 2016-2020 MDA implemented first Polish open data strategy: Open Data Programme 2016-2020 (completed). The five Programme evaluation reports and one Programme finale research are published on dane.gov.pl.
b. Open Data Programme 2021-2027 (pol.: Program otwierania danych na lata 2021-2027)
The programme is a continuation of the open data strategy implemented by the MDA under the previous Open Public Data Programme 2016-2020. The new programme was adopted by a resolution of the Council of Ministers in February 2021. The Programme complements the Open Data Act and concentrates more on practical and technical mechanisms for opening data at the government level. Its main goal is among other to improve the quality and increase the amount of public data made available in an open manner. Examples of the planned activities include: increasing the amount of data resources made available by API on the dane.gov.pl portal, in particular dynamic data and high-value data and strengthening cooperation with data providers (e.g. conferences, hackathons, workshops, working meetings), increasing re-use and exchange of data, education, consolidation of Network of Open Data Officers. The Programme is addressed to the government administration but can also be implemented by other entities, e.g. public bodies at local level (cities/municipalities and regions) or private sector.                                               
URL: 
Open Data Programme 2021-2027: 
https://dane.gov.pl/pl/knowledgebase/useful-materials/program-otwierania-danych-na-lata-2021-2027                                                       
2. Regulations:
a. Act on access to public information
b. Open Data Act
In Poland constitutional right to the information is realised by Act on access to public information (Act of 6 September 2001 on access to public information). Moreover in accordance with the new Polish Open Data Act (Act of 11 August 2021 on open data and the re-use of public sector information) every person shall have the right to re-use public sector information (the right to re-use) (previously Act of 25 February 2016 on the re-use of public sector information). The Polish Open Data Act implement Directive 2019/1024 and introduces the foundations for opening and re-use data. As a general rule, all public sector content can be re-used free of charge and without any conditions (or under minimum requirements). Among the new developments, the Act emphasizes the automated and real-time provision of data via the portal and through the application programming interfaces (API), and introduces the foundations for data sharing by new entities, like public undertakings and research and scientific institutions and also data sharing by private sector on dane.gov.pl portal.                                                                                                                                                                  
URL:
Act on access to public information: https://www.dziennikustaw.gov.pl/DU/rok/2022/pozycja/902 
Open Data Act: https://dziennikustaw.gov.pl/DU/2021/1641
3. Open data projects: 
a.  Open data - access, standard, education 
b.  Open data plus
Open data projects support implementation of Open Data Programme 2016-2020/2021-2027. Main goal is to provide open data in manner that facilitates re-use of PSI; API development; open data portal development (dane.gov.pl); Open Data Laboratory (support data providers in the legal, technical and security areas of opening data); education; promotion open data in Poland.   
4. Project: National Repository of Science and Culture Objects (KRONIK@)
KRONIK@ (kronika.gov.pl) is a platform that collects Polish culture, science and administration heritage dispersed until recently in the digital space. It has been equipped with a multi-search engine so that it is possible to search the collected resources in both simple and advanced way, as well as on the OCR text layer. In addition, KRONIK@ provides a free repository for archiving resources and their long-term storage, securing them against removal or loss. The successive increase in the number of entities that will make their resources available on the KRONIK@ will contribute to the increase in the number of digitally available science and culture works. Currently, Kronik@ collects more than 16 million objects grouped within 70 searchable categories. In addition, Kronik@ provides anyone interested with access to the digital resources provided, as well as the opportunity to re-use these resources in their work, projects or research. Currently, the number of resources played and downloaded by Kronik@ has exceeded 2 million.
The project also developed a metadata standard introducing uniform data management rules enabling the exchange of information and integration between digital sources.
URL:
https://www.gov.pl/web/cyfryzacja/kronik-krajowe-repozytorium-obiektow-nauki-i-kultury 
https://kronika.gov.pl/  
5. New projects:
a. open data (general): continuation and development of the projects: Open Data Access, Standard, Education and Open Data Plus 
b. open data (science and culture ): continuation and development of the projeck: National Repository of Science and Culture Objects (KRONIK@)
The new projects is expected to increase the quantity and quality of public sectro information available for re-use, in particular high-value data and dynamic data.
URL: https://www.rozwojcyfrowy.gov.pl/strony/dowiedz-sie-wiecej-o-programie/o-programie/
6. Open data standards (legal, security, technical and API):
a. first version of the standards (2018)
b. standards after evaluation and public consultations (2020)
The standards provide guidelines on: legal regulations, data security and privacy protection, technical aspects and API standards
URL: https://dane.gov.pl/pl/knowledgebase/useful-materials/standardy-otwartosci-danych";;;;30
2;yes;"In 2016-2020 the MDA implemented first Polish open data strategy: Open Data Programme 2016-2020 (completed). The five Programme evaluation reports and one Programme finale research are published on dane.gov.pl. In 2020 the MDA developed a new comprehensive open data strategy: Open Data Programme 2021-2027. New document has been adopted by resolution of the Council of Ministers in February 2021. The Programme complements the Open Data Act and concentrates more on practical and technical mechanisms for opening data at the government level. Its main goal is among other to improve the quality and increase the amount of public data made available in an open manner and also creating an environment where economic and social benefits from open data are noticed and make provide a new services, products, business models and new jobs, and will be support strategic decision making.Open Data Programme 2021-2027 implement the key issues of open data and data management. Programm provides strategic tasks for 7 years.
Examples of the planned activities include: increasing the amount of data resources made available by API on the dane.gov.pl portal, in particular dynamic data and high-value data and strengthening cooperation with data providers (e.g. conferences, hackathons, workshops, working meetings), increasing re-use and exchange of data, education, consolidation of  Network of Open Data Officers. The Programme is addressed to the government administration but can also be implemented by other entities, e.g. public bodies at local level (cities/municipalities and regions) or private sector.                                                                                                                                                                                      
URL:
Open Data Programme 2021-2027: 
https://dane.gov.pl/pl/knowledgebase/useful-materials/program-otwierania-danych-na-lata-2021-2027";;;;30
3;yes;"A new Open Data Programme 2021-2027 has been adopted in February 2021. Above mentioned Open data standards have been updated in 2020. The Main changes of the Programme was described in q.2.
Open Data Programme  2021-2027 is adopted for a period of 7 years.
The monitoring system of the Programme assumes that the activities described in it will be subject to constant and systematic evaluation and analysis in terms of the degree of achievement of the assumed indicators. See more q. 5 i 22a. 
After two and four years after the Open Data Programme 2021-2027 was adopted and in the seventh year of the document implemented, Programme will be review and evaluation.
At present (since two years have passed since its adoption), the Programme, including Open Data standards, is under review and evaluation. 
In addition, a working group of strategic directions for data management has been established within the Task force for implementation of Open Data Programme 2021-2027. One of the objectives of this group is to evaluate the Open Data Programme 2021-2027.
URL: https://www.gov.pl/web/cyfryzacja/grupa-robocza-ds-strategicznych-kierunkow-zarzadzania-danymi
Currently work is also beginning on the evaluation of the Open Data Act. 
One of the elements of evaluation is research conducted with the participation of public sector and non-governmental organizations, in order to learn about experiences related to the implementation of the policy of data openness and data sharing.
URL: 
https://dane.gov.pl/pl/knowledgebase/useful-materials/raport-z-badania-wsrod-przedsiebiorcow-na-temat-wielkosci-i-charakterystyki-rynku-ponownego-wykorzystania-danych-publicznych-w-polsce";;;;10
4;yes;"Public bodies at local level (e.g. cities/municipalities and regions) purse independent open data policy, many of them have a policies for open data and run open data portals. Aslo entieties al local level are actively encouraged to publish data on dane.gov.pl. Moreover Open Data Programme 2021-2027 can be voluntary implemented by public bodies at local level, e.g. cities will be able to develop an annual schedule for opening selected data and making relevant data sets available at dane.gov.pl. Dane.gov.pl plans to harvest a new datasets from other local open data portals. 
Also the MDA plans training/education event for employees of bodies at local level. Example is MDA's new practical guide of opening data, which is the second edition of the handbook of open data. 
Second edition handbook of open data:
https://dane.gov.pl/pl/knowledgebase/useful-materials/podreczniki-dot-otwartosci-danych
Examples of local open data policies:
Kraków: https://www.bip.krakow.pl/?dok_id=167&sub_dok_id=167&sub=uchwala&query=id%3D20610%26typ%3Du
Poznań: https://www.poznan.pl/mim/wos/-,doc,1017,38312/-,91567.html 
Szczecin: http://bip.um.szczecin.pl/chapter_131308.asp?soid=979DF167A1C9499993C72E96C4B41D63 
Kołobrzeg http://umkolobrzeg.esp.parseta.pl/index.php?id=122698
Examples of local open data portals:
Górnośląsko-Zagłębiowska Metropolia (eng: Metropolis GZM): https://otwartedane.metropoliagzm.pl/ 
Warszawa: https://api.um.warszawa.pl/# 
Wrocław: https://www.wroclaw.pl/open-data/
Rzeszów: https://otwartedane.erzeszow.pl/ 
Jaworzno: https://otwartedane.um.jaworzno.pl/ 
Gdynia: https://otwartedane.gdynia.pl/ 
Gliwice: https://open-data-gliwice.hub.arcgis.com/
Gdańsk: https://www.gdansk.pl/otwarte-dane-w-gdansku";;;;10
