ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;2164
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";2164
D0.1;;;;;;
R1;N/A;Portugal;;;;N/A
R2;N/A;AMA - Agência para a Modernização Administrativa  IP // Administrative Modernization Agency, IP;;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;2;;;;N/A
R7;N/A;0;;;;N/A
R8;<200.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;Yes;"The integration of so many datasets from different countries and EU institutions; The possibility to assess datasets quality; The search tools and the possibility of using sophisticated tools; and finally the direct access to documentation, publications and the data.europe.academy.";;;;N/A
R10;Yes;;;;;N/A
D1;;;;;;502
D1.1;;;;;;235
1;yes;"A Law was approved and published in August 2021 (Law No. 68/2021) that transposes Directive 1024/2019. URL: https://dre.pt/dre/detalhe/lei/68-2021-170221042. Among several topics, this Law focuses on catalogs and inventories of documents and data available for reuse, including dynamic data, real-time data; with special importance for high-value datasets, (made available using API, with accessible quality metadata). This Law reinforces  formally, the central open data portal (dados.gov) as the national repository for the open datasets from the PA - Public Administration. Other aspects in line with the national policy for open data: 
1 - Resolution of the Council of Ministers (RCM) No. 30/2020, Measure 12 - ""Circular Data Economy"", that approves the Action Plan for the Digital Transition,""RCM No. 30 2020"";
2 - Law No. 26/2016, Article 10º |3, Article 19º |6 , that regulates access to administrative and environmental information and the reuse of administrative documents. One of its highlights it’s the implementation of the principle of active dissemination of information, on which the entities subject to this Law should make available a set of updated information on their websites, without the citizen having to ask for it; ""Law 26_2016"";
3 - Commission for Access to Administrative Documents (CADA), an independent administrative entity that works with the Assembly of the Republic and aims to ensure compliance with legal provisions regarding access to administrative information, in particular, Law No. 26/2016;
4 - RCM No. 91/2012, which Approves the National Digital Interoperability Regulation; ""RCM No. 91 2012"".
5 - Decree-Law No. 149/2015, CHAPTER IV, Article 28º |2, that establishes the legal regime for safeguarding intangible cultural heritage, ""Decree-Law No. 149/2015"";
6 - Decree-Law No. 47/2020. Article 6 |5, which designates entities to ensure the registration and processing of data in the National Register of Animals Used in Circuses, ""Decree-Law No. 47/2020"";
7 - Decree-Law No. 156/2019, CHAPTER III, Article 13 | 3, which regulates the creation and maintenance of a system for the collection, registration, and analysis of data on science and technology, ""Decree-Law No. 156/2019"";
8 - National Geographic Information System (SNIG) https://snig.dgterritorio.gov.pt/saber-mais/legislacao.";;;;30
2;not applicable;"Does not exist a formal National Open Data Strategy published yet. Since 2021, a project is underway for the National Data Strategy, (URL: https://portugaldigital.gov.pt/en/accelerating-digital-transition-in-portugal/get-to-know-the-digital-transition-strategies/national-data-strategy/). The document should be finshed until the end of 2022 but to our knowledge that was not accomplished.
Another project coordenated by the AMA (Administrative Modernization Agency) is in execution since August 2022 for the definition if the Data Strategy in the Public Administration (URL: not available); Both projects addresses open data as well. 
Other relevant informations are:
The Recovery and Resilience Plan (PRR) has a mission framework that also defines strategic objectives for open data. (URL: https://recuperarportugal.gov.pt/wp-content/uploads/2021/10/PRR.pdf). In addition to these references, there are others; that are also related to open data: 1 - In regards to public open data, the strategy is embedded in our ICT government strategy, as an enabler of innovation and competitiveness, with measures including: the extension of the open data disclosure and use via the national data portal; the disclosure of execution indicators and benefits accomplished by executing public administration policies, initiatives and projects; and, the provision of instruments that facilitate the participation of citizen in public decision processes. 2 - It is part of the National Strategy for AI to guarantee an ethical-by-design AI, where open data plays a relevant role. Please see URL: https://tic.gov.pt/pt/web/tic/guia .
View ""AI strategy"" on https://www.incode2030.gov.pt/sites/default/files/julho_incode_brochura.pdf. 3 - It is part of the INCoDE.2030's competencies to elaborate the ""National Open Data Strategy"" view more on this link https://www.incode2030.gov.pt/sites/default/files/portugal_incode_en_web_single_0.pdf. There is currently a preliminary report. See appendix ""preliminary-report"". Also within INCoDE.2030 there is a plan on data life cycle management in the Public Administration, which includes an extensive re-qualification of Public Administration agents and a training program for Chief Data Officers. INCoDE.2030 is an integrated public policy initiative dedicated to strengthening digital skills. 4 - The Portuguese simplification programme - SIMPLEX, which acts as a general purpose action plan for the modernization of the public administration, has measures related to open data. https://www.simplex.gov.pt/medidas. 5 - There are strategies for open data portals, sectoral or local, as an example: Lisbon City Council specific strategy http://lisboaaberta.cm-lisboa.pt/index.php/pt/estrategia-de-dados-abertos . 6 - A project is being executed at present time named ""Public Administration's Data National Strategy and Action Plan"" (""Estratégia Nacional de Dados na AP e respetivo Plano de Ação"") in which are included measures for the public administration's open data. Information about this project can be found in the transparency portal, URL: https://www.base.gov.pt/Base4/pt/detalhe/?type=contratos&id=9502376.";;;;30
3;yes;Law No. 68/2021 as described in line 12, it brought a set of changes/recommendations/obligations in the open data ecosystem/context.;;;;10
