ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;1653
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";1653
D0.1;;;;;;
R1;N/A;Romania;;;;N/A
R2;N/A;Secretariat-General of the Government;;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;2;;;;N/A
R7;N/A;0,5;;;;N/A
R8;<200.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;yes;Learning resources, access to best practices;;;;N/A
R10;yes;;;;;N/A
D1;;;;;;470
D1.1;;;;;;185
1;yes;Law 179/2022 on open data and public sector information re-use (transposing Directive 2019/1024) https://legislatie.just.ro/Public/DetaliiDocument/256414;;;;30
2;no;;;;;0
3;yes;The new Law was approved in June 2022 and has additional provisions on national level high value domains and datasets, on administrative measures for non-compliant PSB, licencing and public participation on establishing future HVDs.;;;;10
4;Yes;(Review 1: Answer revised to yes) Timisoara OGP Local Action Plan includes a commitment on open data: https://www.opengovpartnership.org/members/timisoara-romania/commitments/ROTMR0003/.  The commitment is aimed at increasing the quality and quantity of available open data. Proposed actions include peer exchanges, census of public data held by public institutions and other relevant stakeholders, publication of 10 high value open data sets and standardization of their structure, guidelines for periodic identification of high value data, publication and maintenance of the published data, engage re-users etc.;In the previous year, Timisoara municipality had a local policy in place (https://www.opengovpartnership.org/members/timisoara-romania/commitments/ROTMR0003/). Is this still valid? Are there any other regional/local level initiatives?;;;10
5;no ;;;;;0
6a;yes;"The Law transposing the Open Data Directive includes provisions on the obligation to publish real-time data. 
Review 1 - Clarification: the Law does not go in detail: art.8 (6) Public entities shall make the dynamic data they hold available to potential users for re-use, immediately after collection, through appropriate APIs and, where appropriate, by mass download. 
The implementing norms will go into further detail.";Please describe the measures more specifically.;;;15
6b;yes;"The Law transposing the Open Data Directive includes provisions on the obligation to publish geospatial data (Annex), as well as the requirement to include geo-location to all published data, where available. 
(Review 1 - clarification) Art 16 on High value datasets, (2) e) where available, information allowing spatialisation will be made available, such as geographical coordinates, SIRUTA code, addresses and the like. This will be further detailed in the implementing norms.";Please describe the measures more specifically.;;;15
6c;no;;;;;0
6d;yes;The law states that the data should be available / discoverable on the national open data portal, hence on data.europa.eu as well.;;;;10
7;Yes;(Review 1: Answer revised to yes) The law includes measures to ensure data requests are processed correctly (including sanctions on non abiding institutions), data is published in open formats with metadata and using open standards, it also recommends the CC licences for published data. In addition, the aplication norms, now under development, focus on the importance of maintaining a permanent dialogue with re-users, especially in prioritising data sets for publication, to align to their needs in terms of frequency, format, availability etc.;"In the previous ODM, you indicated “yes”. Is the previous year’s answer still relevant? ""The law includes measures to ensure data requests are processed correctly (including sanctions on non-abiding institutions), data is published in open formats with metadata and using open standards, it also recommends the CC licences for published data.""";;;15
8;yes;The law includes clear measures for data requests, redress cases and the implementing act (under consultation) includes provisions on prioritisation of publication and collaboration with re-users, so as to reflect their needs.;;;;15
9a;yes;Public bodies must publish and regularly update data inventories and publishing plans.;;;;15
9b;yes;the implementing act (under public consultation - https://data.gov.ro/blog/intalnire-de-lucru-elaborare-norme-de-aplicare-legea-nr-179-2022) reiterates the importance that these inventories should include all data held by the public entity.;;;;10
10a;yes;N/A;"Kindly fill in the column ""Publications of HCD in machine-readable formats via APIs"" in the table below. This column was hidden in the original questionnaire. Sorry.";;;20
