ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;1914
UnsureScore;;;;;Unsure Score:;10
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";1904
D0.1;;;;;;
R1;N/A;Republic of Serbia;;;;N/A
R2;N/A;Office for Information Technologies and Electronic Government ;;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;4;;;;N/A
R7;N/A;3;;;;N/A
R8;<200.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;yes;Connectivity with other EU and non EU portals, regarding datasets but as well relevant studies, research reports and other open data peers. ;;;;N/A
R10;yes;;;;;N/A
D1;;;;;;470
D1.1;;;;;;195
1;other;Republic of Serbia has adopted Law on Electronic Government in April 2018, which includes open data (definition, right to reuse, regulation of the National Open Data Portal, etc), in the following sections: article 4, article 25, article 26, and article 27. URL: https://www.ite.gov.rs/tekst/130/zakon-o-elektronskoj-upravi-i-podzakonska-akta.php;;;;30
2;not applicable;There is no national open data strategy, however, open data is prominently mentioned in the Programme for Development of Electronic Government in the Republic of Serbia for the period 2023 - 2025 with the Action Plan for its Implementation. Open data is part of the following sections: Special Goal 4, measures 4.1, 4.2, and 4.3. https://mduls.gov.rs/wp-content/uploads/Program-razvoja-elektronske-uprave-za-period-od-2023.-do-2025.-godine-sa-Akcionim-planom.pdf Additionaly, open data is prominently mentioned within the Strategy for the Development of Artificial Intelligence in the Republic of Serbia for the period 2020 - 2025. Open data is part of the following sections: 4.3, 4.3.2.1, 4.3.2.2, and 6.4.2 URL: https://www.srbija.gov.rs/tekst/en/149169/strategy-for-the-development-of-artificial-intelligence-in-the-republic-of-serbia-for-the-period-2020-2025.php;"Please provide an alternative link for ""https://www.srbija.gov.rs/tekst/437277"" as this URL does not work. The URL redirects to the home page https://www.srbija.gov.rs/";;;30
3;yes;The Programme for Development of Electronic Government in the Republic of Serbia has been updated with new measures for the implementation period of 2023-2025 (previosly for 2020 - 2022). One of the measures from the previous Action plan has been implemented and thus omitted in the new plan (measure 4.2. Advancement of the National Open Data Portal).;;;;10
4;yes;The City of Priboj has mentioned open data in their Plan for Development of the Municipality of Priboj for 2022 - 2028, in the development direction 4 (4.1. Digitalization and establishing the open administration, 4.2. Improving data management, opening the data and implementing the Smart City solutions). URL: http://www.priboj.rs/docs/plan_razvoja_opstine_Priboj_2022-2028.pdf;;;;10
5;yes;"Within the Programme for Development of the Electronic Government in the Republic of Serbia for 2020 - 2022, and the specific goal 4, there are four measures to be implemented in the open data field: 1. Successful implementation of the Open Data legal framework; 2. Support to open data reuse; and 3. Introducing the ""Smart City"" concept.";;;;25
6a;no;;;;;0
6b;no;;;;;0
6c;no;;;;;0
6d;no;;;;;0
7;yes;"Within the measure 4.2. Support to open data usage, one of the measurement units is ""Number of authorities supported for opening and/or reuse of open data"", with target value 62 by 2025 (baseline value was 28 in 2022)";;;;15
8;yes;"Within the measure 4.2. Support to open data usage, one of the activities is ""Conducting trainings towards opening and reuse of data (for public, private and civil sector, academia and media)""";;;;15
9a;no;;;;;0
9b;no;;;;;0
10a;Not Applicable;N/A;;;;20
10b;not applicable;;;;;10
10c;not applicable;;;;;15
11a;not applicable;N/A;;;;15
11a.1;N/A;;;;0;
11a.2;N/A;;;;0;
11a.3;N/A;;;;0;
11a.4;N/A;;;;0;
11a.5;N/A;;;;0;
11a.6;N/A;;;;0;
11b;not applicable;;;;;N/A
D1.2;;;;;;120
12;not applicable;There was an Open Data Working Group, which included stakeholders from the public sector, academia, CSO, and tech community, but the mandate has finished and will continiue. In the meantime, the group still meets, on informal meetups. ;;;;30
13;hybrid;Most of the decision-making process and open data ecosystem building goes by the bottom-up model, however in some cases a top-down model is more applicable, in order to produce more effective results (usually in cases of implementation of already agreed, planned, and publicly discussed measures/plans);;;;N/A
14;yes, all initiatives;All local and regional activities and initiatives are supported on the national level - technical support, promotional support, policy planning, standardization, data literacy activities, etc.;;;;20
15;approximately half of the public bodies;;;;;10
16;No;URL: https://hub.data.gov.rs/en/community/;In addition to the overview of current team members (the current URL), is there a document describing the governance structure/operating model?;;;0
17a;no;This answer is changed in light of the comment of the reviewer to the previous question. ;;;;0
17b;yes;Since the national open data team and the team maintaining the national open data portal are seated within the same institution - the Office for IT and eGovernment - there is a regular exchange ;;;;20
18;yes;The National Academy for Public Administration trains and certifies data officers. URL: https://www.napa.gov.rs/extfile/sr/2540/%D0%9E%D0%BF%D1%88%D1%82%D0%B8%20%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%20%D0%BE%D0%B1%D1%83%D0%BA%D0%B5%20%D0%B4%D1%80%D0%B6%D0%B0%D0%B2%D0%BD%D0%B8%D1%85%20%D1%81%D0%BB%D1%83%D0%B6%D0%B1%D0%B5%D0%BD%D0%B8%D0%BA%D0%B0%20%D0%B7%D0%B0%202021..pdf (page 549);;;;20
19;No;;;;;0
20;yes;Exchange of knowledge was accomodated through meetings within the Open Data Working Group (consisting of the public officials, CSO, media, tech community, academia, etc), and now through meetups. URL: https://www.ite.gov.rs/vest/sr/4333/sastanak-radne-grupe-za-otvorene-podatke.php, https://www.facebook.com/groups/104525646608201/permalink/1532308657163219/;;;;20
D1.3;;;;;;155
21;no;;;;;0
22a;yes;The Ministry of Public Administration and the Local Self-Governemnt monitores implementation of the Programme for Development of eGovernment, and publishes reports. URL: http://mduls.gov.rs/publikacije/;;;;15
22b;satisfactory;Most of the planned measures are implemented.;;;;N/A
23a;yes;Public sector bodies in Serbia don't charge for data.;;;;15
23b;all datasets;N/A;;;;15
23c;increased, or already all datasets;N/A;;;;10
24a;N/A;1) The policy needs to be updated in order to follow PSI Directive and strengthen the right to reuse open data through introducing complaint system in case that the user (requester) doesn't get data on request. 2) ambition bar needs to be raised in terms of open data release of high-value datasets 3) Data Officers need to be introduced on all levels of governance (national and local);;;;N/A
24b;yes;The Office for IT and eGovernment is currently scoping a new project with UNDP Serbia, where the mentioned challenges will be tackled. Additionaly, legislative change is planed as measure of the new Programme for Development of eGovernment for 2023 - 2025;;;;10
25a;yes;The Office for IT and eGovernment is at disposal to data providers for support in their open data publication process. Support is given through trainings on using the Open Data Portal, data quality, standardization, direct tailor made support for publishing, etc. These activities are also part of the Programme for Development of eGovernment for 2023 - 2025;;;;15
25b;yes;"The above-mentioned support is available to all data providers. Publishers of real-time or dynamic data are offered support with the followinf: 1. development of the harvesting module for their datasets; 2. development of API through the Guide available on the National Open Data Portal (https://data.gov.rs/sr/apidoc/)";Is anything specific offered to assist publishers of real-time or dynamic data?;;;10
25c;yes;The above-mentioned support is available to all data providers, while big data publishers are offered development of the harvesting module for their datasets (Republic Geodata Authority being one of them). In previous years, a great number of local self-governemnts released their geo-data in the open data, with some of them having GIS portals open by design.;;;;10
25d;yes;The above-mentioned support is available to citizens as well, as the publication of data on the National Open Data Portal is freely available to all users. Citizens are supported through various means, like for example through direct funding (e.g. https://klimerko.org/, https://www.undp.org/sites/g/files/zskgke326/files/migration/rs/Vazduh-gradjanima-Korak-po-korak.pdf);Is anything specific offered to assist publication of citizen-generated data?;;;10
26a;yes;Open Data course is availabe to all civil servants through the National Academy for Public Administration, as well as Open Data Officer course (introduced within their annual course plan). Additionaly, occasional tranings and schools are organized. ;;;;15
26b;yes;All trainings conducted through the National Academy for Public Administration are certified and offer a formal certification. ;;;;10
27a;yes, >9;Every year, National Open Data Week is organized, in collaboration with the open data community of users. Additionaly, other events are organized throughout the year. URL: https://hub.data.gov.rs/en/2022/03/18/open-data-week-begins/;;;;20
27b;a mix of the above;Since the call for events is opened to all stakeholders, the structure of the organisers is changing every year. National and local public bodies are usually included as supporters/speakers. Events are usually organized by universities, CSOs and private sector.;;;;N/A
D2;;;;;;440
D2.1;;;;;;125
28;yes;According to the Law on eGovernment, article 3, open data re-use is: use of open data or documents of the public sector bodies, by natural or legal persons, for commercial or non-commercial purposes, different from the original purpose of the production.;;;;10
29;Yes, there is a strong focus;Open Data reuse cases are captured on the National Open Data Portal. ;;;;15
30;Yes;Every user can and is encouraged to publish his/her re-use example on the National Open Data Portal. URL: https://data.gov.rs/sr/reuses/;;;;20
31;yes;Public sector bodies are regularly invited to be partners in the Data Innovation Challenges, which support use of their datasets (e.g. the last Data Innovation Challenge partnered up with the Ministry of Health, for the re-use of the diabetes data) URL: https://hub.data.gov.rs/2022/02/02/odgovori-na-izazov-otvorenih-podataka-i-obezbedi-budzet-za-razvoj-svoje-ideje/;;;;20
32;not applicable;Not applicable ;;;;15
33;no;;;;;0
34;yes;"Methodology is developed in partnership with UNDP, in 2019. URL (linked also on the National Open Data Portal) https://www.undp.org/sr/serbia/publications/potencijalni-uticaj-otvaranja-podataka-u-srbiji  Framework for open data impact indicators  which is proposed in this methodology  is
based on several dimensions.
First the dimension of balancing lead and lag indicators. Lead indicators show whether the right
things to enable open data impact are happening (as no impact would be possible otherwise),
and lag indicators to assess what impact is visible.
Second, establishing indicators along the entire value chain that leads to socio-economic impact
of open data, as apparent from the reviewed research. This value chain runs from data provision,
government efficiency gains, demand and adoption, time and resource investment by external
stakeholders, re-use examples, policy implementation, ecosystem formation, to higher order
usage and network effects.
For the different steps in that chain, both lead and lag indicators can be put forward, along with
the methods to measure them where such experience exists in the research taken into account.
Third, indicators as much as possible should be of the ‘vector’ type (measuring direction and
speed), which more likely leads to more objective measurements. The exact list of indicators is available starting from page 53 of the publication.";In addition to the URL, please briefly describe the key points of the methodology;;;30
35;I don't know;;;;;0
36;yes;One the examples of such collaboration is the Open Budget Platform, implemented in partnership of the government and the civil society (Observatory of Social Innovations). URL: https://budzeti.data.gov.rs/;;;;15
D2.2;;;;;;110
37;yes;N/A;;;;40
37.1;No;;;;0;
37.2;Yes;National Open Data Portal analytics shows which datasets are most commonly accessed.;;;0;
37.3;No;;;;;
37.4;No;;;;0;
37.5;Yes;Through regular communication with the Open Data Community;;;0;
38;yes;N/A;;;;40
38.1;No;;;;0;
38.2;No;;;;0;
38.3;Yes;In the programme for release of the local open data sets, with 28 LSGs, analysis of the re-user's needs is based on FOI requests. Next step was releasing of those datasets (budgets, geodata and subventions for the civil society, sports association, cultural organizations, etc.), and subsequently PBI dashboards were made for LSGs.;;;0;
39a;yes;Reuse cases are gathered on the National Open Data Portal, where users upload the data by themselves ;;;;20
39b;yes;Classification is done by the type of the reuse case (e.g. visualization, application, etc.), and by tags (e.g. health, mobility, etc.).;;;;10
D2.3;;;;;;205
D2.3a;;;;;;45
40;no;;;;;0
41;yes;With standardization and visualization of the local data on financial support to NGOs and sport associations, LSGs increased their efficiency and planning in expenditure of the budget for this kind of support in years to come. URL 1: https://app.powerbi.com/view?r=eyJrIjoiZjQwNjk2MmEtOGEwMi00OGQxLWE1ZTItYTU3ZjUyZjBjMDY0IiwidCI6ImU5ODY5ZDllLTVmMTYtNDE1Ni04OWIwLWQ1MTYzMGZmNzAwMCIsImMiOjl9&pageName=ReportSection URL 2: https://app.powerbi.com/view?r=eyJrIjoiZTMxZjc4OWYtOTMwMC00NDExLWE0MmMtZjJhMGY1MWRhMmU3IiwidCI6ImU5ODY5ZDllLTVmMTYtNDE1Ni04OWIwLWQ1MTYzMGZmNzAwMCIsImMiOjl9;;;;15
42;yes;With the use of open data sets on planned budgets of the local self governments, a platform which is visualizing around 200 local budgets has increased transparency in public spending on the local level. URL: https://budzeti.data.gov.rs/. The second example contributes to the more accountable and transparent public spending in the local level, in the area of subventions for projects of public interest: https://app.powerbi.com/view?r=eyJrIjoiZjQwNjk2MmEtOGEwMi00OGQxLWE1ZTItYTU3ZjUyZjBjMDY0IiwidCI6ImU5ODY5ZDllLTVmMTYtNDE1Ni04OWIwLWQ1MTYzMGZmNzAwMCIsImMiOjl9&pageName=ReportSection The third example contributes to the more accountable and transparent public spending associated with sports associations: https://app.powerbi.com/view?r=eyJrIjoiZTMxZjc4OWYtOTMwMC00NDExLWE0MmMtZjJhMGY1MWRhMmU3IiwidCI6ImU5ODY5ZDllLTVmMTYtNDE1Ni04OWIwLWQ1MTYzMGZmNzAwMCIsImMiOjl9&pageName=ReportSection;;;;15
43;yes;This examples helps governemnt create policies around digital literacy within education system in Serbia: https://mit.gov.rs/tekst/192/povezane-skole.php;These examples are covered already in Q41 and Q42. Also, that data does not seem to be updated since 2021. Can you provide another example of impact of open data on the policy-making process?;;;15
44;No;Previosly mentioned example enables the line ministry to take measures in order to increase digital literacy among schools. https://mit.gov.rs/tekst/192/povezane-skole.php;These examples are covered already in Q41 and Q42. Also, that data do not seem to be updated since 2021. Can you please provide another example of impact of open data on the decision-making process?;;;0
D2.3b;;;;;;60
45;no;;As this is an example of a reuse case, it would fit better under Q48. Do you instead have data such as an impact study or report that describes or measures the impact of open data on social challenges?;;;0
46;yes;One of the applications uses data on accesibility in the city of Bor, from crowdsourcing. It raises the awareness on need to change the infrastructure in this city. URL: https://data.gov.rs/sr/reuses/mapa-pristupachnosti-za-osobe-sa-invaliditetom-grada-bora/;;;;15
47;yes;Level of awereness on depopulation in Serbia is increased, through open data reuse in the following reuse example: https://depopulacija.rs/;;;;15
48;yes;Several applications are developed in the area of healthcare. One of them is Mediately (https://mediately.co/rs/drugs?q=18), developed by the private company, which is used widely among the medical staff, but citizens as well, to check the instructions for a medicine. The other is Covid 19 statistics visualization, developed by the Office for IT and eGovernment, which was highly relevant during the peak in the pandemic (https://covid19.data.gov.rs/?locale=en). And the third is Diabetes app, BI dashboard offering analysis on diabetes in Serbia, which contributes to better policy planning in this area (www.open-dijabetes.rs);;;;15
49;yes;Open Data Bootcamp DataTeka has been developed for the beginners and features open data examples from the National Open Data Portal, with a goal to increase data literacy: http://rbootcamp.rbind.io/general/;;;;15
D2.3c;;;;;;60
50;no;;;;;0
51;yes;Upon release of near to real-time air quality data in machine readable form, great number of applications emerged showing the condition of air quality (e.g. AirCare https://getaircare.com/index.html, etc), and importance of data in this area for advocacy and civic participation was enhanced. Additionaly, this inspired citizen science project, featuring small amateur air quality measuring stations, which can show air quality on a micro level of the neibourghood, and be add on to the official data (Klimerko, https://klimerko.org/home-page/). ;;;;15
52;yes;Already mentioned air quality datasets also inspired cross analysis with other datasets (e.g. analysis of the level of contribution of the public transport to the air pollution, Ekobus, https://www.ekobus.rs/). ;;;;15
53;yes;"Based on open data, and awarded application ""Forest and climate"" was developed, with a goal to show best possible location for forestation with several species. URL: http://sumeiklima.org/";;;;15
54;yes;One of the examples show solar potential in the city of Vranje: https://data.gov.rs/sr/datasets/solarni-potentsijal-grada-vranja/ The second shows energy consumption in the city of Nis and promotes energy efficiency: https://app.powerbi.com/view?r=eyJrIjoiZDRhYTJkOWMtZmZkYi00ODVlLWJhYmEtMWRmOWI1NWM0MWYxIiwidCI6ImU5ODY5ZDllLTVmMTYtNDE1Ni04OWIwLWQ1MTYzMGZmNzAwMCIsImMiOjl9&embedImagePlaceholder=true;;;;15
D2.3d;;;;;;40
55;no;;;;;0
56;no;;;;;0
57;yes;Level of innovation has most certanly increased, while open data gave contribution to this result. Maybe the most visible impact is seen with the Google Transit, which was not available in Serbia before, but now 5 cities are sharing their data on the public transport, which is feeding Google Transit, and other mobility apps as well.;;;;20
58;yes;Several small business (some of the women-led) are created thanks to open data proccess in Serbia (some of their first products are based on open data). For example: https://www.sigurnestaze.com/, https://techtailors.rs/, http://naopa.co/ Release of open data enabled them to create their products, which wouldn't be possible otherwise as they don't have funds to buy data. ;Please specify how the use of open data has made this impact on entrepreneurship and business creation? The link is currently not clear as the example refers to data science in general.;;;20
D3;;;;;;549
D3.1;;;;;;204
59;yes;URL: https://data.gov.rs/sr/;;;;20
60;yes;N/A;;;;10
61;yes;N/A;;;;10
62a;yes;N/A;;;;10
62b;yes;N/A;;;;10
63;yes;https://data.gov.rs/sr/apidoc/;;;;10
64;yes;https://data.gov.rs/sr/apidoc/;;;;10
