ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;2055
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";2055
D0.1;;;;;;
R1;N/A;Sweden;;;;N/A
R2;N/A;Agency for digital government (Digg);;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;6;;;;N/A
R7;N/A;3;;;;N/A
R8;200-400.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;yes;That there is also sections on training and use cases etc. And we just realised that there is a blogs section, where Sweden is not represented. We'll have to do something about that:);;;;N/A
R10;yes;;;;;N/A
D1;;;;;;547
D1.1;;;;;;235
1;yes;"Yes, there is a data strategy in Sweden since October 2021, and in chapter 4 about ""Styrning, reglering och uppföljning"" (in eng. governance, regulations, and follow-ups) the transposition of the open data directive into national law is specifically outlined as a strategically important area. 
LINK: https://www.regeringen.se/informationsmaterial/2021/10/data--en-underutnyttjad-resurs-for-sverige/

However, the actual investigation preseeding the national law was handled as a separate process, so the data strategy could be said to point to that work in a supportive manner, rather than investigation being a part of the data strategy. 
LINK to the government investigation: https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2020/09/sou-202055/

2022 (vi kan ta bort detta tycker jag):
Since 1th of August 2022, there is a new law in Sweden that fullfills the requirements layed out in the open data directive.
The government is proposing a new law on making data from the the public sector available. The amendments to the law are proposed to enter into force on 1 August 2022  (https://www.regeringen.se/rattsliga-dokument/proposition/2022/04/prop.-202122225/)  The Swedish Government outlined  a broader national digitalisation strategy already 2017 (https://www.regeringen.se/regeringens-politik/digitaliseringsstrategin/) how the digitization policy should contribute to competitiveness, full employment and economic, social and environmentally sustainable development. The strategy outlines the importance of public sector information and open data as a fuel for digital innovation and new services, improved efficiencies and for our democratic and transparent society in Sweden. The information produced or collected in the public sector is an asset that is common to state and municipal authorities and society in general. By refining, compiling and using information in other ways, different actors can create new commercial and non-profit services and thereby provide the conditions for society to take advantage of the value that the information can have when used for purposes other than the authorities' own activities. Operators who want to re-use public information should, as far as possible, access data. The Government believes that it should be as simple as possible for as many people as possible to assimilate the value of this information collection. Authorities should actively strive to enable efficient re-use of public information to facilitate the emergence of an information market.

To implement the  this strategy the Agency for Digital Government (DIGG) was established in September 2018 with the purpose to support digitalisation in public administration with infrastructure and shared digital services. DIGG are mandated to promote open and datadriven innovation, the re-use of public information. 

Efforts supporting the strategy
- DIGG is responsible for the national framework of Europeean Interoperability Framework (EIF) where ""open by default"" is one pillar, see q1. https://www.digg.se/utveckling-av-digital-forvaltning/svenskt-ramverk-for-digital-samverkan. 
- DIGG is responsible for the national open data portal and the open data strategy with guidelines and recommendations incl API strategy and access and quality of standardised basic data, methodological support and guidelines.";;;;30
2;yes;"Yes, the national data strategy is called (translated to english) ""Data - an underutilized resource for Sweden: A strategy for increased access to data for e.g. artificial intelligence and digital innovation.

Following the digitalization strategy from 2017  (https://www.regeringen.se/regeringens-politik/digitaliseringsstrategin/) there was a national data strategy published 2021 to increase the amount of data being published and used for innovation, AI-analyses etc. The aim of the data strategy is  strengthening welfare, competitiveness and a sustainable society. The strategy contains goals with timelines as: 1) All state administrative authorities that can streamline operations and simplify for companies and citizens with the help of shared data, AI and data-driven analysis must have started this work by 2025 at the latest. 2) Publicly funded research data must, where appropriate, be open and accessible by 2026 and 3)  Swedish companies should be leading players in the internal market for data in 2030. 
LINK: https://www.regeringen.se/informationsmaterial/2021/10/data--en-underutnyttjad-resurs-for-sverige/";;;;30
3;no;;;;;0
4;yes;"Yes, there are also other open data policies, for example the following:

# The Swedish Environmental Protection Agency has a policy for ""smart environmental  information"" that includes strategies  for open data, see: https://www.naturvardsverket.se/om-miljoarbetet/smart-miljoinformation/strategi-for-miljodatahantering

# The Land Survey agency is responsible for a strategy about geografical data which includes strategies for open data: https://www.lantmateriet.se/sv/webb/nationell-geodatastrategi/

# The Sundsvall municipality has a digitalisation strategy that includes sections for open data and data as a strategic resource: https://utveckling.sundsvall.se/malbild-och-strategi/strategiska-omraden-for-att-lyckas-med-digitalisering

# The Region Västra Götaland has a regional development strategy, and in the focal area ""Digitalisation"" (page 18), the importance of access to digital information that can be used freely is highlighted: https://www.vgregion.se/regional-utveckling/regional-utvecklingsstrategi/regional-utvecklingsstrategi/";;;;10
5;yes;"Yes, the national datastrategy outlines six strategic areas, and in each strategic area there are a number of strategic efforts/action plan described. The national datastrategy has goals including the open data field for 2023-2025. These can be for example specific goverment assignments or other types of actions and described goals. In particular the following strategic sections are related to open data: ""Insatsområde 1: Ökad tillgång till data"" (in eng. Increased access to data), ""Insatsområde 2: Öppen och kontrollerad datadelning"" (in eng. Open and controlled data sharing), ""Insatsområde 3: Samverkan och kultur (in eng. Cooperation and culture), and ""Insatsområde 4: Styrning, reglering och uppföljning"" (in eng. Governance, regulations and follow-up).

There are also policy documents from the Agency for Digital Government for example: https://www.digg.se/kunskap-och-stod/oppna-och-delade-data/offentliga-aktorer/nationella-principer-for-att-tillgangliggora-information.";;;;25
6a;No;UPDATED ANSWER:The values of dynamic data  and real time data are described in the datastrategy and the strategy outlines that the Agency for digital government shall outline measures. But the Agency of digital government has not received a governmental mission to actually follow up on the strategy or to outline measures based on the strategy. ;;"By dynamic data, we mean data that changes over time (see ""Guide to Answering""). Please describe the measures to incentivise the publication of real-time/dynamic datasets";;0
6b;yes;"Yes, geodata is a part of ""Focus area 1: Increased access to data"" in the national data strategy which will be measured. A lot of Geodata is fee-based in Sweden today, but it could change if they are regarded as High value datasets according to the implementation act for the Open data directive.";;;;15
6c;no;;;;;0
6d;yes;Yes, the national datastrategy states that metadata about datasets are to be shared through Sveriges dataportal which is shown on data.europa.eu.;;;;10
7;yes;"This is the goal of both the national strategy and the new datalaw implementing the Open data directive in Sweden. For example by increasing the amount of data. This will be measured in an annual  follow-up.There are also principles and guidelines from the Agency for Digital Government which include recommendations for increased interoperability etc which could be used for the follow-up, see:

# https://www.digg.se/kunskap-och-stod/oppna-och-delade-data/offentliga-aktorer/nationella-principer-for-att-tillgangliggora-information 
# https://www.digg.se/kunskap-och-stod/oppna-och-delade-data/offentliga-aktorer/vagledning-for-att-tillgangliggora-information ";;;;15
8;yes;"For example in the the goal for ""Increased access to data"" in the National data strategy:
Goal: Access to data shared openly or controlled to increase continuously.
In 2023, there must be shared data to meet prioritized societal challenges
as well as within a majority of data areas defined in the EU's data strategy.
The following areas are prioritized: priority societal challenges, European
common data areas, areas with identified valuable data sets
as well as areas where data is requested by e.g. business.";;;;15
9a;yes;Yes, but indirectly since the data strategy points out the new open data law as an important step for achieving increased data sharing and data use, and the requirements related to maintaining a data inventory is regulated in that law. The Agency for digital government (digg.se) is responsible for holding the national open data inventory via the national dataportal (dataportal.se).;;;;15
9b;yes;The Swedish data portal (the national data inventory) is for both open data and for shared data.;;;;10
10a;yes;N/A;"Kindy fill in the column ""Publications of HCD in machine-readable formats via APIs"" in the table below. This column was hidden in the original questionnaire. Sorry.";;;20
10b;yes, regular consultations;;;;;10
10c;yes;"The organisation in Sweden is decentralised and there is no national coordination for the implementation of the high-value datasets regulation, but The Agency for Digital Government (digg.se) have had webinars to inform the different organisations about the imlementation act and publishing legal support https://www.digg.se/kunskap-och-stod/oppna-och-delade-data/offentliga-aktorer/information-om-oppna-datalagen/vardefulla-datamangder. The different organisations concerned have had meetings to discuss the implementation within the national digital infrastructure at Digg (Ena) in the ""competence area data""-network.";;;;15
11a;yes;N/A;;;;15
11a.1;Yes;Green mobility has been highlighted in the data strategy.;;;0;
11a.2;Yes;The strategy explores how open data can be used to foster the digitalisation of public services.  ;;;0;
11a.3;Yes;One of the objectives of my country´s data strategy is to create economic value by stimulating new buiness opportunities.;;;0;
11a.4;Yes;The national data stratgy supports the flow of data to the European dataspaces.;;;0;
11a.5;Yes;This is a fundament in Sweden and the Agency for Digital Government supports with  legal aid regarding the digitalisation area.;;;0;
11a.6;Yes;One of the objectives in Swedens OGP-work is to increase transparency and facilitate public participation in policy debates.;;;0;
11b;yes;In 2022 the Agency for Digital Government proposed to the Swedish government that Sweden should join the IODC, and a government decision on this matter was made in mars 2023. Sweden is in the process of joining the IODC. https://www.regeringen.se/pressmeddelanden/2023/03/sverige-ansluter-sig-till-international-open-data-charter-data-fran-offentliga-forvaltningen-gors-mer-oppen-och-lattillganglig/;;;;N/A
D1.2;;;;;;160
12;yes;The Agency for Digital Government (digg.se) is responsible for the open data portal and the national guidelines. All data owners are responsible for their open data quality and compliance, as well as how they include the users and other stakeholders in the publishing and re-using process. This relates also to the government responsiblity for government registers. ;;;;30
13;hybrid;"The Swedish model is decentralised with government agencies, regional authorities and local municipalites. The federal government cannot give special assignments to municipalites so the model has taken into account for this, to rather use external government funding and incentives for the local/regional level.

#The ministry assigns centrally funded projects and initiatives to speed up progress in selected areas/domains/sectors. 
#Innovation agency funds and incentivives local and regional, and domain specific labs through government funding. 
#However, since our open by default policy and there are many initiatives that are developed and pursued at local level with no central guidance, or as a part of business development. 

We encourage local and sector-specific projects, however it is a challenge to coordinate all and drive them to publish the data so that it is visible through the national open data portal. To further incentivavives open data and data for innovation and AI development, Innovation agency Vinnova funds projects. Vinnova, The National Innovation Agency are financing and incentivising initiatives for open and datadriven innvotion incl establishment of open data labs, cubs and factories in each sector. Vinnova also promotes and finance civic-tech iniitatives for open data re-use and open innovation with open data. ";;;;N/A
