ID;Answer;Justification;Reviewer 1 Comments;Reviewer 2 Comments;Mark Question;Score
TotalScore;;;;;Total Score:;2324
UnsureScore;;;;;Unsure Score:;0
PreliminaryScore;;;;;"Preliminary Score: 
(Total - Unsure)   ";2324
D0.1;;;;;;
R1;N/A;Slovakia;;;;N/A
R2;N/A;Ministry of Investments, Regional Development and Informatization of the Slovak Republic (MIRRI SR);;;;N/A
R3;N/A;xxx;;;;N/A
R4;N/A;xxx;;;;N/A
R5;N/A;xxx;;;;N/A
R6;N/A;5;;;;N/A
R7;N/A;3;;;;N/A
R8;<200.000 EUR;N/A;;;;N/A
D0.2;;;;;;
R9;yes;All european datasets under one roof. Useful methodologies, guideliness, analyses, and use cases at the same place. Useful events. ;;;;N/A
R10;yes;;;;;N/A
D1;;;;;;595
D1.1;;;;;;255
1;yes;Yes. Transposition of Open Data Directive (2003, 2019)  is ensured via Law on Free Access to Information (FOA). Transposition of DIRECTIVE (EU) 2019/1024  of 20 June 2019 on open data and the re-use of public sector information is effective from 1st August 2022.;;;;30
2;yes;"Yes, there is still valid Strategic Priority of Open Data that is part of the National Strategy of the informatization of the public administration 2016:
https://www.mirri.gov.sk/wp-content/uploads/2018/10/SP_Otvorene_udaje_schvalena-2.pdf
The aim is to:
* incerasing the number of open datasets
* supporting use of open data
* increasing the open data quality (both in """"stars"""" convenience - 5stars.org and real data quality)
*supporting data economy
o Orientation towards better life quality services
o Orientation towards increasing competitiveness
o Bringing public administration closer to maximizing data usage
o Enable the modernization and rationalization of public administration through  ICT technologies (constantly improvement of services with the use of modern technologies) Additionally, there are other opendata policies that are complementary: 1) National strategy of informatization of the public administration 2021, update of 2016 strategy https://www.mirri.gov.sk/wp-content/uploads/2021/12/Narodna-koncepcia-informatizacie-verejnej-spravy-2021.pdf  2) Open Government Partnership National Action Plan of the Slovak Republic 2020-2021 https://www.opengovpartnership.org/documents/slovakia-action-plan-2019-2021/ 3) OGP National Action Plan of the Slovak Republic 2022-2024  https://www.opengovpartnership.org/documents/slovak-republic-action-plan-2022-2024/";;;;30
3;yes;Yes, National strategy of informatization of the public administration 2021 that defined strategic goals in open data was approved by the government of the Slovak republic at December 14, 2021 https://rokovania.gov.sk/RVL/Material/26748/1. Data Unit at MIRRI is currently working on the actualization of the Strategic priority Open Data that will be part of Strategic priority Management of data within the National strategy of informatization of public administration 2021. Response to reviewer: 2021 version includes new goals: Implementation of PSI Directive, Publication of requested datasets, Publication of HVD datasets, Application of ODMI index and its principles, standards and methodologies;;Please describe the main changes/differences between the 2016 version and the 2021 version in relation to open data;;10
4;yes;Yes, a few municipalities and self-governing region have their own (open) data policies, e.g. 1) City of Bratislava https://opendata.bratislava.sk/page/data (Directive of Data policy) 2) Self-governing region of Banská Bystrica *https://www.bbsk.sk/datova-politika-ubbsk (Strategy, Standards of dataset creation, Directive of data policy) Additionally, there are other municipalities and self-governing regions that publish open data at their portals/websites *incorrect link replaced;The second link does not seem to work: https://www.bbsk.sk/%C3%9Arad/Organiza%C4%8Dn%C3%A9jednotky%C3%9AraduBBSK/Oddeleniestrat%C3%A9gi%C3%ADaanal%C3%BDz/D%C3%A1tov%C3%A1politika%C3%9ABBSK.aspx;;;10
5;yes;Yes. National strategy of the informatization of the public administration 2021 defines these measures in area of open data:1) To transpose into legislative framework PSI Directive 2019, 2) To ensure that public bodies will be publish information primary as open data, in open formats and register them at data.gov.sk, 3) To publish HVD via API, 4) To provide methological, technical, educational support to public bodies and make available re-usable technical solutions that will help publish data, 5) To support accessibility of research data by  FAIR principle incorporated into national measures, 6) To implement methodologies, tools, standards, principles measured within ODMI, etc. https://www.mirri.gov.sk/wp-content/uploads/2021/12/Narodna-koncepcia-informatizacie-verejnej-spravy-2021.pdf (p. 56). As mentioned above, MIRRI is currently working on the Action plan of National strategy of the informatization of the public administration with detailed description of goals, milestones, measures. Additionally, working paper Strategic priortity Management of Data is in the process too - this document will update previous Strategic priority Open Data from 2017 that is still valid.;;;;25
6a;yes;Yes, based on the transposition of Open Data Directive 2019 into Law on Free Access to the information public sector bodies are obliged to make the dynamic data available for the purposes of their re-use right  after their creation, via API, if appropriate, through their download in a bulk. https://www.slov-lex.sk/pravne-predpisy/SK/ZZ/2000/211/ § 21g (3);;;;15
