;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;"Decision of the Council of Ministers no. 147, dated 18.2.2015 ""On the approval of the policy document for the implementation of open public data and the creation of an open data portal"" includes all the re-use of open data definitions
Page 1291 of the document: The final objective is that at the end of the 2014-2016 period, we will have open, qualitative, standardized, reliable and reusable data published on the portal www.opendata.gov.al for: - Legislation and draft legal acts; - On the government's budget and expenses; - On statistics; - On business registration; - On the performance of the education system; - On health; system performance

Page 1295: For the provision of data in the open data format according to international standards, work will be done with all institutions for the gradual implementation within the next four years of the following standards for the open data format defined in NAIS' regulation. Data are considered ""open"", if they are published in a way that complies with the following principles:
...
- The data must be reusable.";Complement;Yes;"Law no. 33/2022 ""On open data and reuse of public sector information"" in Article 6 ""Definitions"", point 11 provides that:
""Reuse"" is the use by natural or legal persons of documents held by public sector bodies within the framework of public duty or public enterprises within the framework of the services they provide, for commercial or non-commercial purposes, other than the original purpose to which document was produced.";;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";no;;Change;I don't know;;;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";I don't know;;Confirm;;;;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Not Applicable;;;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;"Open Data impact: Enabling increased data accessibility opens doors for expanding research through the utilization and generation of new insights from openly available data. It amplifies the prominence of one's research endeavors. By actively sharing and promptly analyzing data, productivity is heightened, and more efficient workflows are established. This accessibility empowers any individual to replicate and validate experiments. It elevates researcher accountability while curbing instances of academic dishonesty. Furthermore, it streamlines interdisciplinary research efforts, nurturing partnerships among scholars. Optimal data reutilization is achieved by opting for formats that facilitate effective data extraction.
===
The OGP Plan 2023-2025
                 https://ogp.gov.al/uploads/2022/12/Order%20OM_Nr%20145_dt%2020%2012%202021_on%20OGP%20Commite_eng.pdf

Commitment 4 Specific Objective: Expansion and increased accessibility of the Open Data Portal to increase transparency
Open data strengthens the governance of and trust in the public institutions, reinforces governments’ obligation to respect the rule of law, and provides a transparent and accountable foundation to improve decision-making and enhance the provision of public services  ";Confirm;;;;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";no;;Change;Yes;"Law no. 33/2022 ""On open data and reuse of public sector information"", defines the rules and procedures for the right to reuse open data for profit or non-profit purposes of documents held by public sector bodies or public enterprises in Republic of Albania.                                                         We do not have it at this moment.";;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";I don't know;;Change;Yes;"Article 19 of Law no. 33/2022 ""On open data and the reuse of public sector information"" provides that ""The Commissioner for the Right to Information and Protection of Personal Data is the body responsible for the protection, supervision and promotion of the right to reuse documents according to this the law"".
During 2014, the Commissioner has started written communication with public sector bodies and public enterprises in RSH to make them aware of the implementation of the law on open data. During this process, it has assisted these institutions for any ambiguity and is monitoring the implementation of this law by OSP and SP.";;;
;4.2 Measuring reuse;;;;;;;;
I8;"Have any public bodies in your country launched or performed any activities in the past year to understand which and how (open) datasets are reused?

For Explanation:
* If yes, which of the following activities?
* Multiple answers are possible.";yes;N/A;Confirm;;N/A;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;
I8-a;Automated feedback mechanisms tracking users´ access to datasets;new question;new question;Change;No;;;;
I8-b;Surveys;new question;new question;Change;No;;;;
I8-c;Interviews/workshops with reusers;new question;new question;Change;No;;;;
