;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;Use of non-private data in an easy (for automated tools) to process format by businesses, NPOs or other administrations than the administration publishing the data, in practical tools, services, visualisations or analyses;Confirm;;;;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";yes;Yearly search for thesises published with/about open data (https://data.gov.be/nl/studies-en-thesissen) and looking for reuse (also on regional level, see https://www.vlaanderen.be/datavindplaats/inspiratie);Confirm;;;;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";no ;;Confirm;;;;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;No;;;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";no;;Confirm;;;;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";no;;Confirm;;;;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;"Participation of public sector experts in OpenKnowledge community, and in activities like ""open summer of code""";Complement;Yes;"In addition, trainings / events like FLEXPUB including academia and public sector (e.g. https://soc.kuleuven.be/io/opleidingen/workshop-flexpub-psi-open-data), training ""Sustainable Business Models for Open Geospatial Data"" https://www.eurosdr.net/sites/default/files/images/inline/02_eduserv2024_sustainablebm4god.pdf";;;
;4.2 Measuring reuse;;;;;;;;
I8;"Have any public bodies in your country launched or performed any activities in the past year to understand which and how (open) datasets are reused?

For Explanation:
* If yes, which of the following activities?
* Multiple answers are possible.";yes;N/A;Confirm;Yes;N/A;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;
I8-a;Automated feedback mechanisms tracking users´ access to datasets;new question;new question;Change;Yes;Most portals use some sort of analytics (Matomo, Google Analytics …) to obtain info about most visited /downloaded data sources ;;;
I8-b;Surveys;new question;new question;Change;No;N/A;;;
I8-c;Interviews/workshops with reusers;new question;new question;Change;Yes;"Federal level 1-to-1 meetings with other public administrations and companies using (or looking into using) open data (about 1 per month), regional level eg Brussels (""user club"" meetings like https://be.brussels/en/about-region/publications-open-data-statistics/publications/publications-paradigm/users-club-datastore-listening-users), Flanders Region ""partner days geo and open data"" (https://www.wvigisco.be/event/partnerdag-geo-en-open-data)";;;
I8-d;Other;new question;new question;Change;No;n/a;;;
I9;"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.";Yes;N/A;Confirm;;N/A;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;
I9-a;Regular feedback sessions with portal users ;new question;new question;Change;Yes;Eg at regional level the Brussels Datastore User Club meetings, and Partner Days in Flanders Region (https://www.wvigisco.be/event/partnerdag-geo-en-open-data);;;
I9-b;Social media sentiment analysis ;new question;new question;Change;No;n/a;;;
I9-c;Other;new question;new question;Change;No;n/a;;;
I10;"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen? ";no;Rather on an ad-hoc basis;Confirm;;;;;
I11;"Are there any public bodies in your country that have developed a systematic ways of classifying the gathered reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: According to which categories are reuse cases classified (e.g. by policy field)?";I don't know;;Confirm;;;;;
;4.3 Created impact;;;;;;;;
;4.3a Governmental impact;;;;;;;;
