;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;"Open data is the public information collected, created and maintained by public sector organizations and published in an open machine-readable format (CSV, RDF, XML, JSON, etc.), allowing re-use for commercial or non-commercial purposes.
Reuse of public sector information is the use also for commercial or non-commercial purposes other than the original purpose for which it was created within the powers or functions of a public sector organization. The provision of public sector information to a public sector organization in connection with the exercise of its powers or functions is not reuse within the meaning of Access to Public Information Act. (Article 2a, APIA).

https://e-gov.bg/wps/portal/agency/home/data/data";Confirm;;;;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";yes;"The National Open Data Portal has processes in place at national level to monitor the reuse of open data. Tools are available to measure reuse, including number of users, dataset views and downloads, and overall portal usage. Using Google Analytics and Tableau, these statistics are publicly available at https://data.egov.bg/statistika?section=1&item=1 and https://lookerstudio.google.com/reporting/20a22fa9-a6dc-4f09-9c7b -192d5b24d1d1/page/DsNMB?s=jyhzby8b7FY.
Also there are regular meetings with the Open Data Portal' Users. Their feedback, comments and suggestions on existing data are sought and invited to suggest additional data that may be useful to them.";Confirm;;;;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";yes;"The Network of Open Data Liaison Officers is a network of representatives of all Bulgarian public authorities, coordinated by the National Open Data Team. The Network of Liaison Officers meets periodically to discuss the promotion and monitoring of open data within their organizations and with stakeholders. Such an event was held in June in Pazardzhik, where Institute of Public Administration provided training together with the National Open Data Team
The National Open Data Team also uses this network to send information to all public bodies, such as information about events, training, new portal features and support. The members of this network are also the points of contact for specific inquiries about the reuse of data published by their organization, ensuring that requests and questions are responsive.
Regular open data training is also available to all public sector bodies, which includes the importance of re-using open data and the impact and how to measure re-use.";Confirm;;;;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;No;Not yet. We are still in process.;;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;"https://egov.government.bg/wps/portal/ministry-meu/home/data/open-data/opendata-additionalinfo/
https://e-gov.bg/wps/portal/agency/home/data/opendata/opendata-additionalinfo
The impact of open data covers the activities carried out to monitor and measure the reuse of open data as a result of reuse in political, social, environmental and economic aspects. The impact leads to increased transparency, accountability, effectiveness and efficiency of government, the inclusion of marginalized groups, raising awareness and can help address a range of issues in different areas.";Confirm;;;;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";no;;Confirm;;;;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;"We actively collaborate with civil society within the Open Government Partnership Initiative. For the fourth plan of the initiative, a working group was created by decree of the Council of Ministers with specific activities, deadlines, partners and a controlling organization. Any activity must be in cooperation among government structures and civil society. A Coordination Council with control functions was established with the relevant Deputy Prime Minister as chairman and relevant government structures' representatives as members.

We actively work with NGOs (for example GATE Institute), Sofia University
https://data.egov.bg/news/view/63
https://data.egov.bg/news/view/51
The institution and the GATE Institute will join forces to build new models of interaction between higher education and state administration, says the cooperation agreement recently concluded between the two countries.

We actively collaborate with civil society in the framework of the Initiative

Initially, the cooperation will focus on knowledge exchange and data sharing in the field of open and spatial data, development and development of a geospatial reference architecture for interoperability and a technological spatial platform in the infrastructure of the administration.
 Participation of government and non-governmental organizations in joint working groups:
 Access to Information Program
https://www.aip-bg.org/
Society for the Earth
https://www.zazemiata.org/ 
NGO Links
http://www.ngolinks.eu/
";Confirm;;;;;
;4.2 Measuring reuse;;;;;;;;
