;Dimension 1: Open Data Policy;;;;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;;;;
;1.1 Policy framework;;;;;;;;;;;
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"https://e-gov.bg/wps/portal/agency/home/data/opendata/opendata-legal/opendata-legal-national 
The policy has been included in the Access to Public Information Act, the Ordinance on the standard terms and conditions for public sector information reuse and its publishing in open format, which contains specific provisions regarding publishing and reuse of public information in open format and in Decisions of the Council of Ministers approving the List of data sets by priority areas to be published in open format annually. The Act and the Ordinance settle the provisions regarding the right of access to public information, as well as the reuse of the public sector information. 
Pursuant the Electronic Government Act the Ministry of e-Government (MEG)  issues methodical guidelines and supports the administrations in defining the structure and contents of the datasets to be published on the Open Data Portal of the Republic of Bulgaria under the Access to Public Information Act.
The updated National eGovernment Strategy and the Roadmap for its implementation  including open data, and builds on the implementation of the objectives after 2018.
https://egov.government.bg/wps/portal/ministry-meu/strategies-policies/strategic-documents

Second Action Plan of the Republic of Bulgaria under  the “Open Government Partnership”: http://www.strategy.bg/Articles/View.aspx?lang=bg-BG&categoryId=&Id=15&y=&m=&d
Third Action Plan of the Republic of Bulgaria under the “Open Government Partnership”: http://www.strategy.bg/PublicConsultations/View.aspx?lang=bg-BG&Id=2130
The Fourth Action Plan of the Republic of Bulgaria under the “Open Government Partnership”: 
http://www.strategy.bg/Articles/List.aspx?lang=bg-BG&categoryId=17

Digital Bulgaria 2025, Roadmap and Reports:
https://egov.government.bg/wps/portal/ministry-meu/digital.transformation/itis-national-strategic-documents/np-digital-bulgaria-2025";Confirm;;;;;;;;
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";not applicable;"The open data principles are embedded in the National Updated eGovernment Strategy 2019-2025 - https://e-gov.bg/wps/wcm/connect/e-gov.bg-18083/1506d64e-0f16-4954-ba0b-dfd77ae58184/%D0%A1%D1%82%D1%80%D0%B0%D1%82%D0%B5%D0%B3%D0%B8%D1%8F+%D0%B7%D0%B0+%D1%80%D0%B0%D0%B7%D0%B2%D0%B8%D1%82%D0%B8%D0%B5+%D0%BD%D0%B0+%D0%B5%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%BE%D0%BD%D0%BD%D0%BE%D1%82%D0%BE+%D1%83%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5+2019-2025.pdf?MOD=AJPERES&CVID=nyx-ndJ&useDefaultText=0&useDefaultDesc=0
The Strategy provides for:
- the implementation of a Registry reform, which clearly provides for open data;
- decreasing the use of unstructured data;  
obligatory compliance with the open data principle (data generated by the public sector shall be in an open 
-machine-readable format, allowing for their reuse)";Confirm;;;;;;;;
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";no;;Confirm;;;;;;;;
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;"Establish measures for:
o Amendments in the existing legal framework (APIA and relative Ordinance);
o Appoint responsible persons (data officers) from each public body for opening and monitoring the usage of their own data;
o Support public bodies to define their data which to be provided in an open machine readable format;
o Issue guidelines for defining the structure and content of datasets and metadata;
o Motivate public bodies to prioritize datasets and to publish in maximum details high value datasets;
o Develop a channel of communication between public bodies and re-users;
o Increase citizens’ awareness;
o Initiate activities to explore the opinion of the potential users of the open data portal and promote the portal and priority datasets;
o Create a forum/working group with all stakeholders in open data process to engage data community
o Create mechanism for benchmarking of data openness and maturity on national level;
o Conduct a pilot project for cooperation among institutions for measuring the re-use;
o Take action to ensure that consumers are confident about the timeliness of the information by introducing mandatory binding of categories of information in the list within the meaning of Article 15a p.3 of APIA with active links to the place of their publication;
o Develop and validate internal rules / procedures for the maintenance and operation of the Open Data Portal

The updated National eGovernment Strategy ensures the implementation of the current European principles of e-government, introduced at national level, aincluding open data, and builds on the implementation of the objectives after 2018. This Strategy serves as a framework on the basis of which the policy strategies will be created by the relevant administrative bodies and their administrations. The Roadmap for its implementation has also been updated, taking into account the progress made in the implementation of the priorities set so far, as well as the agreements, partnerships and opportunities reached by the administration and its partners for further actions.";Confirm;;;;;;;;
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";no;;Change;Yes;"APIA, Provision of Dynamic Data, 
Article 41a1. (New, SG No. 82/2023, effective 29.09.2023) (1) Public sector bodies shall make dynamic data available for re-use using appropriate application programming interfaces (APIs) immediately after data acquisition and, where applicable, in the form of a downloadable information array.
(2) Where making dynamic data available for re-use immediately after their acquisition would exceed the financial and technical capabilities of the public sector body, thereby imposing a disproportionate effort, such dynamic data shall be made available for re-use within a timeframe or with temporary technical constraints that do not unduly prejudice the use of their economic and social potential.";;;;;;
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The measures related to the national open data portal aim to stimulate the publication and access to citizen-generated data. The portal allows anyone to post data regardless of whether they are a citizen or an organization. There is a separation in the designation of data from official sources (ie public sector organisations) and data from citizens. However the guidelines, publication process and tools are the same whether the data provider is a ministry or a journalist, activist, student. 
Enhancing the contribution of citizen science and citizen-generated data is also supported by the Research, Innovation and Digitization for Smart Transformation Programme.";Confirm;;;;;;;;
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";yes;"According to the national policy, all open government data has to be published via data.egov.bg. This ensures the discoverability and reusability of data.
The National Open Data Portal is the single point and meeting place between administrations, organizations (including research, business and government) and citizens interested in opening up public information and developing modern data-based services. Coordination of open data activities is carried out by the Electronic Identification and Data Unit in the Ministry of e-Government to facilitate interaction with the various target audiences. It ensures compliance with European standards and ensures the possibility of synchronizing national data with those at the European level.
All data which is published on the National Open Data Portal (data.egov.bg) is discloverable on European Data Portal (data.europa.eu).";Confirm;;;;;;;;
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Each public sector body shall annually plan the phased publication on the Internet in an open format of the data sets and resources it maintains, access to which it is free.  The executive authorities shall include in the annual activity objectives of the relevant administration under Article 33a of the Administration Act aims to ensure the phased publication on the Internet of the data and resources included in the Lists of annual priority data sets.

The open data principles are embedded in the National Updated eGovernment Strategy 2019-2025 - https://egov.government.bg/wps/portal/ministry-meu/strategies-policies/strategic-documents
The Strategy provides for:
- the implementation of a Registry reform, which clearly provides for open data;
- decreasing the use of unstructured data;  
obligatory compliance with the open data principle (data generated by the public sector shall be in an open 
-machine-readable format, allowing for their reuse)

https://egov.government.bg/wps/portal/ministry-meu/ministry/meu.regulations
The policy has been included in the Access to Public Information Act, the Ordinance on the standard terms and conditions for public sector information reuse and its publishing in open format, which contains specific provisions regarding publishing and reuse of public information in open format and in Decisions of the Council os Ministers approving the List of data sets by priority areas to be published in open format annually. The Act and the Ordinance settle the provisions regarding the right of access to public information, as well as the reuse of the public sector information. 
Pursuant the Electronic Government Act the Ministry of e-Government (MEG)  issues methodical guidelines and supports the administrations in defining the structure and contents of the datasets to be published on the Open Data Portal of the Republic of Bulgaria under the Access to Public Information Act.

Digital Bulgaria 2025, Roadmap and Reports:
https://egov.government.bg/wps/portal/ministry-meu/digital.transformation/itis-national-strategic-documents/np-digital-bulgaria-2025";Confirm;;;;;;;;
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";no;;Confirm;;;;;;;;
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;"According to Art. 15a. from Access to public information act 
Publication on the Internet
Each head of an administrative structure as per Article 15 Paragraph (1) shall make public on an annual basis a list of the categories of information publishable on the Internet regarding the areas of operation of the relevant administration as well as the formats in which such information is accessible.
Examples:
https://data.egov.bg/organisation/datasets/resourceView/1b86508d-0135-40f4-a046-530ea4f6965c

The maintenance team annually monitors and reports on the publication of open data by central, municipal and district administrations. An annual report for each of the administrations is made through the progress report.
https://e-gov.bg/wps/portal/agency/home/data/opendata/opendata-activities/opendata-reports
https://iisda.government.bg/annual_reports
https://www.strategy.bg/Publications/View.aspx?lang=bg-BG&Id=81";Confirm;;;;;;;;
P10-b;"Do these data inventories include the data collected by public bodies that cannot be published as open data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For Explanation:
* If yes, please briefly specify.";yes;"They included part of information like legislative acts, organogams and other information is public information but is not public  sector information for re-use.Indeed the provision of public sector information to a public sector body in connection with the implementation of the powers or functions thereof shall not constitute re-use within the meaning given by the Access to Public Information  Act.The list of categories of information in Internet contains both types of information.
https://www.navet.government.bg/bg/media/Spisyk_po_ZDOI_NAPOO.pdf
https://www.riosv-ruse.org/dialog/aktualen-spisak-na-kategoriite-informatziya
https://e-gov.bg/wps/portal/agency/about-us/administration-service/info-citizens/public-access-info";Change;No;;;;;;;
P11;"Is your country applying the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.";new question;new question;Change;Yes;In progress. It will be implemented with the upgrade of the portal, after the completion of the monitoring and alignment of the HVD and their publication on It.;;;;;;
;Categories of high-value datasets;Answers  2024;;Degree of progress (from 1 to 5);;;;;;;;
;;Organisational progress;Legal progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;;;;
;;Setting up new roles and workflows;Addressing legal barriers;Identification and inventory of high-value datasets;Publication of high-value datasets in machine-readable formats via APIs;Publication of high-value datasets as bulk download, where relevant;Standardised means to structure, describe, access high-value datasets;Ensuring metadata availability and quality;;;;
P11-a;Geospatial;3;3;3;1;1;2;2;;;;
P11-b;Earth observation and environment;2;2;3;1;1;2;2;;;;
P11-c;Meteorological;2;2;3;1;1;2;2;;;;
P11-d;Statistics;4;4;4;3;2;3;3;;;;
P11-e;Companies and company ownership;2;2;3;1;1;2;2;;;;
P11-f;Mobility;2;2;3;1;1;2;2;;;;
P12;"Have the public bodies in your country denoted relevant datasets as high-value datasets in their metadata following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
*  If yes, please specify how and highlight challenges, if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;No;"Not yet.  The change will be visible after the updrade of the portal. There will be DCAT-AP Compliance and New Category ""HVD"".";;;;;;
;1.2 Governance of open data;;;;;;;;;;;
P13;"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model ";new question;new question;Change;No;Ministry of e-Government;;;;;;
P14;"How would you classify the model used for governing open data in your country? 

For Explanation:
*  Please briefly explain why this model was chosen/works best for your country";top-down;"A centralized approach is chosen because it helps the efficient implementation of the open data policy. It allows Ministry of e-Government to track difficulties encountered by data publishers and data users which leads to a faster improvement throughout the received feedback from data users.
Strong central coordination is used for creating basic administrative capacity in the leading administration in conducting the open data policy.
As a result from coordinated and joint work led by the MEG, only a key expert from each administration in involved in the open data processing of the respective public body. This will reduce the administrative burden in other administrations.
Public bodies use a single person of contact regarding open data in the MEG.";Confirm;;;;;;;;
P15;"Does the governance structure ensure that the local and regional open data initiatives are facilitated and supported at national level?

For Explanation:
* If yes, please give an example of what kind of support.
* If not applicable, please explain why.";new question;new question;Change;Yes;through coordination between organisations and within working groups with representatives of local and regional organisations;;;;;;
P16;"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.";few public bodies;;Confirm;;;;;;;;
P17;"Is a document describing the responsibilities and governance structure of the national (and/or regional/local) open data team publicly available?

For Explanation:
* If yes, please provide the URL where this information is published. ";yes;https://egov.government.bg/wps/portal/ministry-meu/home/data/open-data/legislation/opendata-legal-national/;Confirm;;;;;;;;
P18;"Is there a regular exchange of knowledge or experiences between the national open data team and the team maintaining the national portal? 

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;"There is a regular exchange of knowledge between the two fully engaged experts with more than 7 years of experience in the team and some partly engaged experts for the activities regarding the National Open Data Policy (incuding National and European Legislation and Policy, Coordination, Working Groups, Initiativies like trainings; events; promotion; technical and metodological documents; questionnaires and reports) and National Open Data Portal (including updating technical specifications, proposals for development, administering and updating the content, creating new sections, granting access rights and roles, verifying data and metadata, supporting data officers and administrators from public sector organisations in the process of data publication and  communicating regulary with the technical team for out-of-warranty technical support of the portal.There are monthly requests and reports between techical team of the portal and open data team in MEG before every payment.";Confirm;;;;;;;;
