;Dimension 2: Open Data Portal ;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
;2.1 Portal features;;;;;
PT1;"Is there a national portal in your country for that enables users to search for open datasets and find where to download open data? 

For Explanation:
* If yes, please provide the URL of the national portal.";yes;https://data.egov.bg/;Confirm;;
PT2;"For Explanation:
* What is the technology stack of your portal (e.g. based on uData, CKAN, etc.)";new question;new question;Change;N/A;"Technology Stack:
3.6.1. Fluentd
Fluentd is a service for collecting data from log files and forwarding them through a specialized protocol to a centralized repository.
License: Open source software, distributed under Apache License v2.0.
3.6.2. Firewall
Configuration via iptables and Linux kernel firewall. It serves to block Internet traffic and allow defining services, ports, protocols, and traffic sources. It is used to increase information security.
License: open source software, distributed under the GNU GPL.
3.6.3. Load balancer
Optional item, in case of installation on more than one server with application software. It serves to distribute the load between multiple servers with an identical configuration. If needed, implementation is provided via Apache 2 and mod_proxy_balancer.
License: Open source software, distributed under Apache License v2.0.
3.6.4. Database (Master / Slave)
A relational database management system. The project envisages the use of MariaDB to store user profiles and other specific data required for the implementation of the Open Data Portal. This DBMS will not be used to store datasets.
License: open source software, distributed under the GNU GPL.
3.6.5. ElasticSearch node
ElasticSearch is a full-text search and data analysis system. It offers possibilities for storing and processing large volumes of information. The system supports the construction of clusters of single installations, which increase productivity and guarantee the impossibility of work.
This component will be used to store, search, process and analyze datasets.
License: Open source software, distributed under Apache License v2.0.
3.6.7. Greylog
Centralized storage of data collected from log files. It allows automated processing of the collected data, as well as preparation of various statistical reports and visualizations. In addition, the system allows for automated output when events are initiated.
License: open source software, distributed under the GNU GPL.
3.6.8. Web application
It represents an application server on which an open data portal is installed.
3.6.9. Data migration tool
Represents an installation of the automated data entry tool.
3.6.10. Automated data entry tool
The automated data entry tool is designed as a set of components located in the so-called ""container"" which is a system running on different operating systems. The installation of the automated data entry tool requires the installation of a special pad that implements the support of this container. For the base of work, choose Docker Community Edition. The open data tool will run seamlessly on any hardware capable of running the pad."
PT3;"Does the national portal offer to its users a way to programmatically query the metadata via an API?

For Explanation:
* If yes, please provide the direct-URL to this feature.";new question;new question;Change;Yes;"API on the portal, and through the API the portal users could call programmatically query the metadata.
https://data.egov.bg/api/getDatasetDetails?dataset_uri=5b15917a-8b95-4264-8008-68fb7ab490f0
It is the programatically query via API for the Dataset metadata - POST query.
https://data.egov.bg/api/getResourceMetadata?resource_uri=bafd364e-1b6c-4a8a-ac04-8de45de956c1

https://data.egov.bg/data/linkedData"
PT4;"Does the national portal offer to its users a way to programmatically query the metadata via a SPARQL access point?

For Explanation:
* If yes, please provide the direct-URL to this feature.";new question;new question;Change;No;
PT5;"Does the national portal offer/link to documentation on the use of APIs?

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";new question;new question;Change;No;
PT6;"Does the national portal offer/link to documentation on the use of SPARQL? 

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";new question;new question;Change;No;
PT7;"Does the national portal provide functionality for users to contribute datasets they have produced or enriched? 

For explanation:
* If yes, please (1) explain how  the portal facilitate the linking of documentation and supporting materials to these user-contributed datasets and (2) provide the direct-URL to this feature.  ";new question;new question;Change;No;
PT8;"Does the national portal offer a mechanism for users to provide general feedback, such  a 'Contact us' or 'Feedback' button that is placed in a visible spot and would allows users to send a general comment concerning the portal?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";yes;"https://data.egov.bg
Тhere is a button on the home page of the Portal that provides a direct chat option via a messenger plugin that reaches the admins of the Facebook page.";Confirm;;
PT9;"Does the national portal offer a mechanism for users to provide feedback on specific datasets, such as a 'feedback button' or a comment/discussion section under the dataset?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";yes;"https://data.egov.bg/data/reported
This link leads to a section where users send their feedback on specific datasets or resources to them. When submitting the feedback in the portal, a mechanism is implemented that notifies the organization responsible for maintaining the specific dataset or resource. At the time of submission of information by a user, he is obliged to enter his contact email, at which he receives a notification of the actions taken.";Confirm;;
PT10;"Does the national portal provide a mechanism for users to rate datasets?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";No;;Confirm;;
PT11;"Does the national portal enable users to find information and news on relevant open data topics in the country?

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";No;;Confirm;;
PT12;"Does the national portal offer the possibility for users to receive notifications when new datasets are available on the national portal (RSS, ATOM feeds, email notifications etc.)?

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";yes;https://data.egov.bg/datasets/rss;Confirm;;
PT13;"Does the national portal enable users to request datasets, such as through a ""request data"" button? 

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";yes;https://data.egov.bg/request;Confirm;;
PT14;"Are requests for datasets and their progress status presented in a transparent manner on the national portal? 

For Explanation:
* If yes, please provide the direct-URL to this feature.  ";yes;https://data.egov.bg/admin/data-requests/list;Confirm;;
PT15;"Does the team monitor the extent to which requests (either via the portal or otherwise) result in the publication of the requested data?

For Explanation:
* If yes, please describe how this monitoring is conducted.";yes;In addition to the portal's mechanism for data requests that reach the designated responsible institution, the team in the data department receives each request in the general specialized e-mail and tracks the process of fulfilling the request. For certain cases in which the request is feasible but additional assistance is needed, the respective responsible institution is contacted, which is coordinated by the head of the department. In the reporting periods during the year, the implementation of the received data requests is reflected and the cases in which they are not fulfilled are analyzed. If necessary, additional actions are taken to implement them, when there is no valid or legal reason why they should not be fulfilled until they are provided and published on the Portal.;Confirm;;
PT16;"Does the national portal offer a mechanism for users to exchange with others, such as a discussion forum?

For Explanation:
* If yes, please provide the direct-URL to this feature or describe how this functionality is provided.";yes;https://data.egov.bg/forums;Confirm;;
PT17;"Does the national portal showcase reuse cases, such as in a designated section of the portal?

For Explanation:
* If yes, please provide the direct-URL to this feature. ";No;;Confirm;;
PT18;"Does the national portal reference the datasets that the showcased reuse cases are based on (i.e. there is a link between the reuse case in the showcase and the underlying dataset on the portal)?

For Explanation:
* If yes, please provide the URL to this feature/to an example documenting this feature.";No;;Confirm;;
PT19;"Does the national portal provide the possibility for users to submit their own reuse cases?

For Explanation:
* If yes, please provide the direct-URL to this feature. ";no;;Confirm;;
PT20;"Does the national portal offer a preview function for tabular data?

For Explanation:
* If yes, please provide the URL to an example documenting this feature.";yes;https://data.egov.bg/organisation/datasets/resourceView/e7b8653c-b982-4e10-b662-735f3b1d058a;Confirm;;
PT21;"Does the national portal offer a preview function for geospatial data?

For Explanation:
* If yes, please provide the URL to an example documenting this feature.";yes;"https://data.egov.bg/covid-19?section=8&subsection=18&item=39 ; It is currently being developed and is available on the test environment of the Bulgarian open data portal (https://testdata.egov.bg/) - https://testdata.egov.bg/dataviz?section=17&item=50
It should be posponed due do Opendata and Spatialdata portal inegration process.";Confirm;;
PT22;"Do you promote high-value datastes on your national portal (e.g. use filtering features for reusers to easily find such datasets, use editorial features to promote the datasets, etc.))?

For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;No;
;2.2 Portal usage;;;;;
PT23;"Do you monitor the portal's traffic (e.g. in terms of number of unique visitors, visitor profiles, percentage of machine traffic, number of downloads according to the number of datasets etc.)? 

For Explanation:
* If yes, which tool(s) do you use?";yes;"Google Analytics, own portal tool for analytics. We found out which are the most frequently sought data sets from citizens and businesses; Where problems are observed when publishing (automated or manual), improving their quality. Social Media feeds: https://twitter.com/opendata_bg ; https://www.facebook.com/opendatabg ; https://www.linkedin.com/company/opendatabg";Confirm;;
PT24;"Do you run analytics on API usage?

For Explanation:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal";yes;N/A;Confirm;;
PT25;"Besides monitoring portal traffic, do you perform any further activities to better understand the behaviour and needs of users of your portal (e.g. web analytics, surveys, or analysis of social media feeds)?

For Explanation:
* If yes, please (1) specify the activities and explain (2) how they help you understand user needs";yes;Monitoring of channels through social networks, which are a source of information related to statistical and open data. Promotion of data from the portal, which we have found to be of public interest and those related to it from other publications, mainly through the page on Twitter and Facebook. The most significant data of public interest are also published as news and events on the portal.;Confirm;;
PT26;"Do you used the insights about portal usage and about the behaviour and needs of portal users to improve the portal accordingly?

For Explanation:
* If yes, please explain your process for improving the portal based on user insights and feedback
* If relevant, kindly highlight some improvements made in the past year";new question;new question;Change;No;
PT27;"Do you undertake any activities to promote the portal and attract new users or new audiences?

For explanation:
* If yes, please (1) explain what activities your perform, and (2) mention if these activities are directed at any specific target audience (e.g. business, public sector, academia, etc.)";new question;new question;Change;No;
PT28;"Do you monitor what keywords are used to search for data and content on the portal?

For Explanation:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal";new question;new question;Change;No;
PT29;"Do you monitor the most and least consulted pages?

For Explanation:
* If yes, please briefly (1) describe your process and (2) how you use the insights to improve the portal
* For informational purposes, kindly provide the URLs to the five most popular datasets on the portal";new question;new question;Change;No;
PT30;"Do you take measures to optimise the search and discoverability of content (data and editorial)? 

For Explanation:
*If yes, please briefly describe how your optimise the search";yes;When approving data from the Portal administrators, additional tags are added to associate the corresponding set with sematically close words and expressions;Confirm;;
PT31;"Is the metadata on your portal available in clear plain language to enable both humans and machines to read and understand it? 

For Explanation:
*If yes, please provide the URL to an example documenting this feature.";yes;;Confirm;;
;2.3 Data provision;;;;;
PT32;"To what degree do public sector data providers contribute data to the portal? 

For Explanation:
*Please describe what is the agreed approach.
* If less than the majority of data providers, please briefly explain why (e.g. technical incompatibilities, governance aspects, low awareness etc.).";all public sector data providers;The Law on Access to Public Information requires it and the requirement is complied with by the relevant organizations.;Confirm;;
PT33;Do you identify the data providers that are not yet publishing data on the national portal?;yes, or all public sector data providers already publish data;N/A;Confirm;;N/A
PT34;"Were there concrete actions taken to assist these data providers with their publication process?

For Explanation:
* If yes, could you provide some examples of the actions taken in this regard.";yes, or all public sector data providers already publish data;Trainings are organized for newly appointed employees, helping them to define the structure and its scope, to anonymize personal data, as well as to exclude information that is protected by a special law and remains outside the scope of open data. Meetings and working groups are organized to unify data from regional and local structures. At the moment, we are actively working with Basin Directorates, which are 4 in number for Bulgaria. A similar initiative is forthcoming with the regional administrations of education, making up 28 administrative structures.;Confirm;;
PT35;"Besides the national open data portal, are there other regional and local portals? 

For Explanation:
* If yes, please provide a complete list and the links to these portals.";no;;Confirm;;
PT36;"Are regional and local portals listed above and their data sources discoverable via the national portal? 

For Explanation:
* If not applicable, please briefly explain why. ";not applicable;In Bulgaria, the open data policy is centralized and in order to facilitate users in the adopted approach to publishing information in one place, therefore a unified national platform for publishing open data has been created, namely the national open data portal. All public sector organizations (central, local and regional) within the scope of the Access to Public Information Act have created a profile on the national portal. Citizens and non-governmental organizations can also publish data on it through their own profiles.;Confirm;;
PT37;"To what degree are  regional and local sources harvested automatically? 

For Explanation:
* If less than the majority of existing sources is harvested by the national portal, please briefly explain why.                        
* If not applicable, please briefly explain why. ";not applicable;Besides the national open data portal thete aren't other regional or local portal because of the policy in the country.;Confirm;;
PT38;"Does the national portal include datasets that are real-time or dynamic?

For Explanation:
* If yes, please provide URLs to real-time and/or dynamic data featured via the national portal. ";No;;Confirm;;
PT39;"Does the national portal provide a way for non-official data (i.e. not stemming from official sources, such as community-sourced/citizen-generated data) to be published? 

For Explanation:
* If yes, please explain how non-official data is distiguished for offical data (e.g. using a different section of the portal or tags) 
* And please provide a URL to an example of a non-official dataset on the portal ";new question;new question;Change;No;
PT40;"Does the national portal allow users to see what data exists but cannot be made available as open data?

For Explanation:
* If yes, please (1) provide the URL to an example and (2) briefly describe the approach used to ensure this transparency.";no;;Change;No;
;2.4 Portal sustainability;;;;;
PT41;"Does the national portal have a strategy to ensure its sustainability?

For Explanation:
* If yes, please (1) provide the URL to this document and (2) describe the main measures to keep the portal running in the long-term and continue to serve its audience";new question;new question;Change;No;
PT42;"Is your national portal active on social media? 

For Explanation:
* If yes, please provide the URL(s) to your social media accounts. ";yes;"Twitter: https://twitter.com/opendata_bg 
Facebook: https://www.facebook.com/opendatabg
LinkedIn: https://www.linkedin.com/company/opendatabg";Confirm;;
PT43;"Are the portal’s source code and relevant documentation and artefacts made available to the public (e.g. on platforms such as GitHub or GitLab)?

For Explanation:
*If yes, please provide the (1) platform name and (2) the URL to the portal’s account on this platform.  ";yes;"GitHub
https://github.com/governmentbg/data-gov-bg";Confirm;;
PT44;"Do you monitor the characteristics of the data published on the portal, such as the distribution across categories, static vs. real-time data and how these change over time?

For Explanation:
* If yes, please provide the direct-URL to this feature";yes;https://data.egov.bg/stats?section=1&item=1;Confirm;;
PT45;"Does this monitoring enable the portal team and/or data providers to take action to improve their performance on the national portal?

For Explanation:
* If yes, please (1) explain how and (2) if applicable provide the direct-URL to this feature. ";yes;A target value has been set for the published data on a monthly basis and in case of a decrease in the number, compared to the set value, actions are taken to control and support the process of publishing data by the responsible institutions. According to the graph, it can be seen in which categories there is a decrease in the number of regularly published data. https://data.egov.bg/statistika?section=1&item=1 ;Confirm;;
