;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;"The definitions is outlined in the CY Open Data Strategy Document.
""The concept of ""re-use of public information"" refers to the right of persons or legal entities to obtain information from public bodies and (re)use it for commercial or non-commercial purposes""";Confirm;;;;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";yes;"There is a combination of processes for estimate the level of re-use in Cyprus. These include:
a. WebAnalytics of Traffic on the national portal: URL: https://bit.ly/2TjEk7f
b. Catalogues of Apps that use data URL: https://www.data.gov.cy/application-showcases
c. Surveys: https://www.data.gov.cy/Studies-Publications_EL
d. Meet ups and events that engage the ecosystem of open data";Change;Yes;"There is a combination of processes for estimate the level of re-use in Cyprus. These include:

a. WebAnalytics of Traffic on the national portal
URL: https://www.data.gov.cy/el/dataset/statistika-episkepsimotitas-ethnikis-diadiktyakis-pylis-anoikton-dedomenon

b. Catalogues of Apps that use data
URL: https://www.data.gov.cy/index.php/en/studies-publications

c. Surveys:
URL: https://www.data.gov.cy/index.php/en/showcases

d. Meet ups and events that engage the ecosystem of open data
URL: https://www.data.gov.cy/el/node/68";;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";yes;"(i) The structured training programme offered to all PSI Liaison Officers includes a module dedicated to open data impact (creating tools to monitor/measure). The aim of this particular module is to create awareness of open data impact and how the presence of such impact can help the organisations to make the case for securing additional resources for making more data available.
URL: https://t.ly/OPgT
(ii) The Open Data Team encourages and support events aimed to present use cases of Government to Government (G2G) re-use. These events bring together PSBs as publishers and re-users together, something that creates awareness of the impact of re-use of a PSB's data by other PSBs. Examples of such events are: GIS Open Day ( https://bit.ly/3zikDzF ), GVFM System Open Days ( https://t.ly/wuB4 ).
(iii) Further, the National Open Data Portal has a dedicated section for Open Data Impact where PSBs can find some guidelines on how they can measure the level and impact of the re-use of their data.
URL: https://www.data.gov.cy/open_data_impact, https://www.data.gov.cy/Studies-Publications_EL";Change;Yes;"(i) The structured training programme offered to all PSI Liaison Officers includes a module dedicated to open data impact (creating tools to monitor/measure). The aim of this particular module is to create awareness of open data impact and how the presence of such impact can help the organisations to make the case for securing additional resources for making more data available.
URL: https://www.data.gov.cy/en/supportive-material

(ii) The Open Data Team encourages and support events aimed to present use cases of Government to Government (G2G) re-use. These events bring together PSBs as publishers and re-users together, something that creates awareness of the impact of re-use of a PSB's data by other PSBs. 
Examples of such events are: 
- GIS Open Day (https://www.kios.ucy.ac.cy/5th-kios-gis-day-mapping-everything/)
- GVFM System Open Days ( https://www.data.gov.cy/el/node/76).

(iii) Further, the National Open Data Portal has a dedicated section for Open Data Impact where PSBs can find some guidelines on how they can measure the level and impact of the re-use of their data.
URL: https://www.data.gov.cy/index.php/en/studies-publications.";;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"By monitoring statistics (downloads, apps created, use cases, etc).
(i) The dataset contains the above statistical data about the open data website. URL: https://www.data.gov.cy/el/dataset/statistika-episkepsimotitas-ethnikis-diadiktyakis-pylis-anoikton-dedomenon
(ii) Statistics (need log in)URL: https://www.data.gov.cy/el/ekan/statistics/dashboard";;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;"The official definition of Open Data Impact in Cyprus is outlined in section ""Open Data Impact"" (page 16) of the Open Data Strategy 2023-2027 document.
URL: https://bit.ly/3Iee1Gk
Translation:  By ""open data impact"" we mean all those changes, improvements, opportunities, direct and indirect, which occur through the re-use of open data. This impact is not limited to a single area and can take many forms: economic, social, political, environmental, etc.
";Change;Yes;"The official definition of Open Data Impact in Cyprus is outlined in section """"Open Data Impact"""" (page 16) of the Open Data Strategy 2023-2027 document.

Translation:  By """"open data impact"""" we mean all those changes, improvements, opportunities, direct and indirect, which occur through the re-use of open data. This impact is not limited to a single area and can take many forms: economic, social, political, environmental, etc.

Open Data National Strategy 2023-2027
New URL:
https://www.data.gov.cy/sites/default/files/%CE%91%CE%94%CE%94%20-%20%CE%A3%CF%84%CF%81%CE%B1%CF%84%CE%B7%CE%B3%CE%B9%CE%BA%CE%AE%20%CE%91%CE%BD%CE%BF%CE%B9%CE%BA%CF%84%CF%8E%CE%BD%20%CE%94%CE%B5%CE%B4%CE%BF%CE%BC%CE%AD%CE%BD%CF%89%CE%BD%202023-2027.pdf";;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";yes;"The methodology includes a number of actions / mechanisms such as:
(i) Desktop Research: Carried desktop research in order to identify new re-use cases in the form of applications and websites developed with the re-use of open data. The identified re-use cases are then published with the consent of the developer on the National Open Data Portal, in the section “Showcases”.     
URL: https://www.data.gov.cy/application-showcases 
(ii) Open Data Portal Satisfaction Surveys: We have included a couple of questions on reasons of re-use in the 2018 Survey. We plan to incorporate additional questions in the next survey.
(iii) Monitoring the performance portal's indexes such as number of visitors, datasets' downloads, traffic through APIs and how these changed over time gives a proxy on the extend of re-use, especially in those areas where re-use does not take the form of applications.
(iv) Interaction and interviews of re-users of open data. 
(v) Commissioning Impact Studies at regular intervals in order to record visible and non-visible re-use cases and their impact. URL: https://www.data.gov.cy/Studies-Publications_EL";Change;Yes;"The methodology includes a number of actions such as:
(i) Desktop Research: Carried desktop research in order to identify new re-use cases in the form of applications and websites developed with the re-use of open data. The identified re-use cases are then published with the consent of the developer on the National Open Data Portal, in the section “Showcases”.     
URL: https://www.data.gov.cy/en/showcases

(ii) Open Data Portal Satisfaction Surveys: We have included a couple of questions on reasons of re-use in the 2018 Survey. We plan to incorporate additional questions in the next survey.

(iii) Monitoring the performance portal's indexes such as number of visitors, datasets' downloads, traffic through APIs and how these changed over time gives a proxy on the extend of re-use, especially in those areas where re-use does not take the form of applications.

(iv) Interaction and interviews of re-users of open data. 

(v) Commissioning Impact Studies at regular intervals in order to record visible and non-visible re-use cases and their impact.
URL: https://www.data.gov.cy/index.php/en/studies-publications";;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;"During the past years we have seen a trend for closer collaboration between the government and the academic/research sector to create impact through open data. There are a number of very successful projects, some of which are :
a. The National Open Data Portal itself is a product of collaboration between the Public Administration and Personnel Department of the Ministry of Finance and the Open University of Cyprus which hosts and provides technical support for the portal. URL: data.gov.cy 
b. The GNOSIS project which resulted to the developmen of the ""GNOSIS"" platform aims to create impact on road safety through the provision an integrated GIS system that that collects and store and presents the much needed data that enable better decision making by the road network authority. The GNOSIS platform utilises open data from the Lands and Surveys Department and the Department of Public Works. URL: https://bit.ly/3tAH13A";Confirm;;;;;
