;Dimension 1: Open Data Policy;;;;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;;;;
;1.1 Policy framework;;;;;;;;;;;
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"The general policy is integrated into the national Open Data and PSI Re-Use Law.
URL: https://bit.ly/3Q0Vuzw 

The main highlights of the Policy are: 
a. All Public Sector Data is Open by default with the exception of data to which access is prohibited.
b. Public Sector Bodies annually update their data catalogue and publish their data online on the National Open Data Portal.
c. Implementation mechanism set up through the PSI law (Licencing Authority, Charging Authority, Review Body, Open Data Board, etc).
d. All data is made available under the Creative Commons Attribution Only and the Creative Commons Share-Alike Licences unless the Licensing Authority grants permission to Public Body use any other licence or impose additional rules.";Confirm;;;;;;;;
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"The National Strategy 2023-2027 is based on four main Pillars:

A. Providing the required legal framework that promotes and encourages the supply of high quality and PSI for Re-Use (free or marginal cost, simple licences, dispute mechanism, etc).
B. Providing the necessary infrastructure for the dissemination of PSI in the form of a National Open Data Portal that is modern and fit for purpose.
C. Maintaining, expanding and supporting (through the provision of training, etc) the already existing network of PSI Liaison Officers in PSBs.
D. Promoting PSI Re-Use in both Private and Public Sector, through joint events and facilitating constant dialogue between suppliers and users.

URL: https://bit.ly/3Iee1Gk";Change;Yes;"The National Strategy 2023-2027 is based on four main Pillars:

A. Providing the required legal framework that promotes and encourages the supply of high quality and PSI for Re-Use (free or marginal cost, simple licences, dispute mechanism, etc).
B. Providing the necessary infrastructure for the dissemination of PSI in the form of a National Open Data Portal that is modern and fit for purpose.
C. Maintaining, expanding and supporting (through the provision of training, etc) the already existing network of PSI Liaison Officers in PSBs.
D. Promoting PSI Re-Use in both Private and Public Sector, through joint events and facilitating constant dialogue between suppliers and users.

Open Data National Strategy 2023-2027
URL: https://www.data.gov.cy/sites/default/files/%CE%91%CE%94%CE%94%20-%20%CE%A3%CF%84%CF%81%CE%B1%CF%84%CE%B7%CE%B3%CE%B9%CE%BA%CE%AE%20%CE%91%CE%BD%CE%BF%CE%B9%CE%BA%CF%84%CF%8E%CE%BD%20%CE%94%CE%B5%CE%B4%CE%BF%CE%BC%CE%AD%CE%BD%CF%89%CE%BD%202023-2027.pdf";;;;;;
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";not applicable;"response to reviewer
Due to the small size of the country and to the centralised government system the policy/strategy making process exists only at a national level. ";Confirm;;;;;;;;
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;"The action plan includes a total of 38 actions (with relevant timeframes) allocated to each of the following 4 main pillars (as outlined in Q2, above):

1) Providing a legal framework that promotes and encourages the use and re-use of Open Data
2) Providing the necessary infrastructure for the dissemination of Open Data.
3) Maintaining, expanding, and supporting the existing network of Open Data Liaison Officers.
4) Promoting Open Datareuse.

Furthermore, actions range from strengthening the open data governance and reviewing the national law, to improving the infrastructure (National Portal), to organising events to promote the re-use of open data in Cyprus and engage all actors (hackathons, open days, etc), to supporting and providing much needed training to PSBs to release their data. ";Confirm;;;;;;;;
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Provision of support for publishing dynamic data and HVDs (Action Γ9 of the Analytical Action Plan)
Access to Consulting Services and Technical Support (internal and external) [Action B9 of the Analytical Action Plan]";Confirm;;;;;;;;
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The Strategy provides the opportunity to publish citizen generated data that was initially based on government open data to be published on the portal in the form of related content. (see Section ""Εμπλουτισμός Πύλης με Επιλεγμένα Δεδομένα Μη Κυβερνητικών Φορέων""(page 14) of the Open Data Strategy 2023-2027 URL: https://bit.ly/3Iee1Gk)
i.e.  Pothen Eshes citizen tranformed data that builds on a public datatset relating to the declaration of assets of politically exposed persons. link: https://bit.ly/3NZdnNe ";Change;Yes;"The Strategy provides the opportunity to publish citizen generated data that was initially based on government open data to be published on the portal in the form of related content. (see Section """"Εμπλουτισμός Πύλης με Επιλεγμένα Δεδομένα Μη Κυβερνητικών Φορέων""""(page 14) of the Open Data Strategy 2023-2027.

Open Data National Strategy 2023-2027
URL:
https://www.data.gov.cy/sites/default/files/%CE%91%CE%94%CE%94%20-%20%CE%A3%CF%84%CF%81%CE%B1%CF%84%CE%B7%CE%B3%CE%B9%CE%BA%CE%AE%20%CE%91%CE%BD%CE%BF%CE%B9%CE%BA%CF%84%CF%8E%CE%BD%20%CE%94%CE%B5%CE%B4%CE%BF%CE%BC%CE%AD%CE%BD%CF%89%CE%BD%202023-2027.pdf

i.e.  Pothen Eshes citizen tranformed data that builds on a public datatset relating to the declaration of assets of politically exposed persons. Open Dataset New URL: https://www.data.gov.cy/el/dataset/diloseis-perioysiakon-stoiheion-orismenon-dimosia-ektetheimenon-prosopon-kai-orismenon";;;;;;
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";yes;"Action Γ11 of the 2023-2027 Analytical Action Plan for the examination/adoption of ways to imporove the discoverability of data on the National Data Portal, especially for the cases of 'data categories of special interest' such as non-public sector data, HVDs, geospacial data, Inpire data, etc.
This resulted to the  latest update of the ""Technical Guidelines Document"", which defined specific data tags to be used for each special interest category. ";Confirm;;;;;;;;
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Action Γ6  of the Analytical Action Plan refers to the design and delivery of a training program for middle-management and top-management civil servants in collaboration with the Cyprus Academy of Public Administration. The particular program aims to promote Open Data to the high levels of the hierarchy and includes modules on:
a. Open Data and Government Policies
b. Public Sector Bodies' obligations under the Open Data law
c. Show cases of Re-Use 
d. Benefits and Opportunities of Open Data
e. Evidence based and data-driven policies

UPDATE 29/08
The trainning program described in the CY Open Data Strategy is a measure designed to raise middle and top manahement awareness about  how open data, if re-used by public institutions, can enhance decision making  and policy formulation. Modules c, d and e of the described training program are designed to do exactly this.
 ";Confirm;;;;;;;;
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Action Δ.10 of the of the Analytical Action Plan refers to the support of measures that  
promote the concepts of smart cities, sustainable mobility, etc through open data.
Further the applications/re-use cases of open data are published on the National Portal and their developers are offered the opportunity to present their work in events organised by the Open Data Team and through articles published on the portal.";Confirm;;;;;;;;
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;"National Open Data and PSI Law - Article 16 - All PSBs must prepare / maintain and update their data catalogue

URL:https://bit.ly/3Q0Vuzw 

UPDATE 29/08/23
The preparation and maintenance of data inventories by public bodies is obligatory by Law 143(I)/2021 for Open Data and PSI Re-Use.

More specifically, according to Article 16 of the above mentioned Law, public bodies must maintain data catalogues that lists : a) data available for publication as open data through data.gov.cy  b) data for which access is permitted according to the applicable law regulating access to information and which are
available for further use but not available online.  c)  data for which the public sector bodies, exceptionally, impose conditions for further use, through special permission or through enforcement of fees in accordance with the provisions of articles 13 to 15;
";Confirm;;;;;;;;
P10-b;"Do these data inventories include the data collected by public bodies that cannot be published as open data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For Explanation:
* If yes, please briefly specify.";yes;"National Open Data an PSI Law - Article 16 - All PSBs must prepare / maintain and update their data catalogue annually.
Please see attachment ""Policy Q9b - Data Publication Plan - PAPD""";Confirm;;;;;;;;
P11;"Is your country applying the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.";new question;new question;Change;Yes;"With the passing of Law 143(I) of 2021, Article 21 - High-value data sets and regulations on publication and further use was added to Part VI. In the article there are provisions concerning the possession and disposal of high-value data sets as well as a reference to the cases where these provisions do not apply. Also, in the Appendix of the article there is a table with the 6 thematic categories of the High Value datasets.
The Open Data team provision of support for publishing dynamic data and HVDs. Access to Consulting Services and Technical Support (internal and external) (Actions Γ9 of the 2023-2027 Analytical Action Plan).
All Organizations and Users responsible for HVD, have been well informed and supported by Consulting Services and Technical Support for the fastest transition to the regulation (EU) 2023/138. Most of the Organizatios affected have been harminized to HVD, but there are still some large organizations with large amount of data, although the support, need more time to harmonize with the regulation.";;;;;;
;Categories of high-value datasets;Answers  2024;;Degree of progress (from 1 to 5);;;;;;;;
;;Organisational progress;Legal progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;;;;
;;Setting up new roles and workflows;Addressing legal barriers;Identification and inventory of high-value datasets;Publication of high-value datasets in machine-readable formats via APIs;Publication of high-value datasets as bulk download, where relevant;Standardised means to structure, describe, access high-value datasets;Ensuring metadata availability and quality;;;;
P11-a;Geospatial;4;4;4;3;3;3;3;;;;
P11-b;Earth observation and environment;4;4;4;3;3;3;3;;;;
P11-c;Meteorological;5;5;5;4;4;4;4;;;;
P11-d;Statistics;5;5;4;4;4;4;4;;;;
P11-e;Companies and company ownership;4;4;4;3;2;2;3;;;;
P11-f;Mobility;4;4;4;3;2;3;3;;;;
P12;"Have the public bodies in your country denoted relevant datasets as high-value datasets in their metadata following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
*  If yes, please specify how and highlight challenges, if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"The Open Data team on October 2022, had assigned to a Consulting Services Contractor the provision of support for publishing dynamic data and HVDs to Public Bodies (POs) relevant to the regulation (EU) 2023/138 on high-value datasets. The scope of the study was to analyse Public Bodies' degree of readiness, to identify the deficiencies and gaps currently present and to draw an action plan for compliance with the new regulation. The tender gave access to six (6) Public Bodies of Consulting Services and Technical Support (internal and external) (Actions Γ9 of the 2023-2027 Analytical Action Plan). The contractor together with the six (6) Public Bodies, denoted the high-value datasets that concern them. On May 2023, the contractor gave us the final report and a separate report for each of the six Public Bodies, presenting an Action Plan for compliance with the regulation.

Adoption of HVD tags through the Technical Guidelines document as an interim measure until the adoption of the new DCAT-AP
URL: https://www.data.gov.cy/en/techincal-guidelines";;;;;;
;1.2 Governance of open data;;;;;;;;;;;
P13;"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model ";new question;new question;Change;Yes;"Open Data Liaison Officers and Private/Academic Sector Actors are engaged through the Open Data Team who ensures that their views are reflected in the Open Data Action Plan proposals to the Minister of Finance (please see organograms in strategy document).
The 2021 Open Data and Open Data and PSI Re-use Law aims, among others, to further strengthen the engagement of various open data stakeholders through the new Open Data Governance Board, where the main stakeholders groups will be represented.
The new Cyprus Open Data Law (pending before the Parliament for approval) introduces a national Open Data Governance Board where all stakeholders will be represented (government bodies, re-users organisations, universities, private sector companies, civil society organisations).";;;;;;
P14;"How would you classify the model used for governing open data in your country? 

For Explanation:
*  Please briefly explain why this model was chosen/works best for your country";top-down;Cyprus being a small country with limited resources at regional level has been employing so far a top-down approach on open data governance issues. However, from 2019 there is push for moving to a hybrid(ish) governance model with the introduction of a dedicated Open Data Governance Board where all main stakeholders are represented.The new legislation (published on November 2021) introduces the new national Open Data Governance Board.;Confirm;;;;;;;;
P15;"Does the governance structure ensure that the local and regional open data initiatives are facilitated and supported at national level?

For Explanation:
* If yes, please give an example of what kind of support.
* If not applicable, please explain why.";new question;new question;Change;Yes;Besides the centrally organised events, organised and facilitated by the Open Data Team, there are a number of Open Data Initiatives (in the form of events / hackathons, etc.) that are undertaken by semi-governmental organisations, municipalities or even private initiatives. In those cases the facilitation of those initiatives is undertaken by the organiser and the Open Data Team supports (either by promoting / sponsoring the event or by making available speakers/mentors etc).;;;;;;
P16;"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.";not applicable;Due to the small size of the country and to the centralised government system, local and regional public bodies in the majority of times co-organise events with the Open Data Teams. For examples events that relate to GIS data are co-organised with the Department of Lands and Surveys while initiatives that relate to smart cities are co-organised with municipalities.;Confirm;;;;;;;;
