;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;According to the documentation attached to the amendment to the Act No. 106/1999 Coll. re-use can be defined as the development of applications and services based on open data that are machine readable, with available metadata and legal openness. See https://www.psp.cz/sqw/text/tiskt.sqw?O=9&CT=222&CT1=0.;Confirm;;;;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";yes;"In 2022 the National Open Data Team prepared an analysis for identification the level of the re-use of open data as a part of the analysis of the open data impact in the Czech Republic. There were at least 69 applications, portals and services based on open data identified. Moreover, according to the questionnaire sent out to all open data providers in December 2022, 15 (of a total of 56 that participated
in the questionnaire) providers regularly monitor the re-use of their open data. Results are published in the respective Annual Reports on the State of Open Data in the National Open Data Portal (https://data.gov.cz/výroční-zprávy/).
";Complement;;The National Open Data Team annually prepares an analysis of the re-use of open data as a part of the analysis of the open data impact in the Czech Republic. At least 78 applications, portals and services based on open data were identified. Moreover, according to thequestionnaire sent out to all open data providers at the beginning of  2024, 22 (of a total of 67 that participated in the questionnaire) providers regularly monitor the re-use of their open data. Results for the year 2023 will be published in the Annual Report on the State of Open data on the national portal during the summer 2024.  Examples of 27 applications can be found on the  national portal https://data.gov.cz/aplikace.  ;;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";yes;"The National Open Data Team strongly encourage all public bodies to monitor the re-use of the data. Monitoring is required primarily for the Open Data Working Group members that subsequently have to report the results to the National Open Data Team through annual questionnaire about the state of open data in the Czech Republic. The results are available through the respective Annual Reports on the State of Open Data here: https://data.gov.cz/výroční-zprávy/.
";Complement;;The National Open Data Team strongly encourage all public bodies to monitor the re-use of the data. Monitoring is required primarily for the Open Data Working Group members who subsequently have to report the results to the National Open Data Team through an annual questionnaire about the state of open data in the Czech Republic. The results will be available through the respective Annual Reports on the State of Open Data later in the summer 2024 here: https://data.gov.cz/výroční-zprávy/. There is a new feature on the national data portal where anyone can suggest an application that uses the open data. We are encouraging all our providers to upload their re-use solutions and applications they have for users. https://data.gov.cz/aplikace ;;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;We have added a new specification that indicates the HVD datasets into the technical standard (https://data.gov.cz/ofn/) that is obligatory for all providers and that allow us to indetify what data are HVD. As all the applications in the catalogue (list of applications: https://data.gov.cz/aplikace) on the data portal are connected to the specific data set we can monitor also the reuse of the high-value datasets.   ;;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;"The definition of the impact of open data is described in the Methodology for Developing an Analysis of the Impact of Open Data in the Czech Republic. The document was prepared as one of the objectives of the project KODI financed from the Operational Programme Employment and is published online https://data.gov.cz/kodi/. 
Impact of open data - Changes of the established ways of behavior and attitudes in the society through the values and services created on the basis of open data and their gradual implementation into the life of the society.";Confirm;;;;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";yes;The methodology is based on an indirect approach that is based on the identification of the value of open data across the whole of Czech society and takes into account various aspects such as the quality of open data, the existence of applications, data enrichment or benefits for providers. ;Confirm;;;;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;The collaboration between the government and the academia is embodied in the KODI project led by the National Open Dat Team and financed from the Operational Programme Employment where the majority of the team comes from the academic sector (ex. Faculty of Mathematics and Physics at the Charles University, Faculty of Law at the Masaryk University, or the Prague University of Economics and Business). All objectives of the project are available o the Portal:  (see Objective C3V11). Moreover there is a regular cooperation between the National Open Data Team and the NGO OSF Prague at the programme Our State, Our Data (see https://osf.cz/programy/ziva-demokracie/nas-stat-nase-data/) that supports the open data re-use in different projects and activities across the civil society in the Czech Republic.;Complement;;The collaboration between the government and academia is embodied in the NPO project (Czech version of the Recovery and Resilience Facility project) led by the Data Team until 2025. This project covers the development of the National open data catalogue as well as the data management activities. In the project participate representatives e.g. from Faculty of Mathematics and Physics at Charles University, Faculty of Law at Masaryk University, or Prague University of Economics and Business. Moreover, there is regular cooperation between the National Open Data Team and several civil sector communities e.g. https://www.czechitas.cz/, https://www.opencontent.cz/ as well as the informal community of Open Data Limo. ;;;
