;Dimension 1: Open Data Policy;;;;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;;;;
;1.1 Policy framework;;;;;;;;;;;
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"The Act Amending the Law on the Reuse of Public Sector Information of 10 May 2021 (PSI-loven) implements the Open Data Directive 2019/1024 of 20 June 2019. As a result, Denmark notified the Commission the full transposition of the Directive. 

Response: https://www.retsinformation.dk/eli/lta/2021/1764 ";Complement;Yes;"The Act Amending the Law on the Reuse of Public Sector Information of 10 May 2021 (PSI-loven) implements the Open Data Directive 2019/1024 of 20 June 2019. As a result, Denmark notified the Commission the full transposition of the Directive. 

Link: https://www.retsinformation.dk/eli/lta/2021/1764 ";;;;;;
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"o The national strategy for digitisation (2022-2026) is based on 9 visions for the digital development of Denmark, the 7th being ""A strong, ethical, and responsible digital foundation"", which includes improved access to data: https://fm.dk/media/25845/danmarks-digitaliseringsstrategi-sammen-om-den-digitale-udvikling_web.pdf, p. 45ff. An (unofficial) translation of the relevant passage would be: ""The Danish government aims to ensure that public data is usable and shareable across Danish society in ways that are effective, standardised, and data-ethically responsible. [...] The first step towards this goal is making it easy for users to find public data, and for them to evaluate what this data can and may be used for."" 
In line with this, one of the initiatives of the strategy is the development of a national metadata portal. (no. 44). Moreover, a number of the initiatives in the strategy will make more and better data available (see Q3). 

o In general, publication of Danish public sector data follows a ""publish with purpose"" principle (see the recitals to the Danish implementation of the Open Data Directive: https://www.folketingstidende.dk/samling/20201/lovforslag/L160/20201_L160_som_fremsat.pdf, 3.3.2. and the national audit authority (Rigsrevisionen's) report on open data in the public sector: https://rigsrevisionen.dk/Media/637684152375842683/309-21.pdf, p. 1)

o Public authorities are encouraged to publish any data that is not confidential or otherwise protected. A technical guide has been developed to support this effort: https://arkitektur.digst.dk/metoder/begrebs-og-datametoder/teknisk-vejledning-til-udstilling-af-offentlige-data/teknisk as well as a reference architecture for the disclosure of data by transmission: https://arkitektur.digst.dk/node/1097
";Complement;Yes;"o The national strategy for digitisation (2024-2027) is based on 7 themes for the digital development of Denmark, the 5th being ""A strong, ethical, and responsible digital foundation"", which includes improved access to data: https://www.digmin.dk/Media/638357207253210400/SVM%20regeringen_Danmarks%20digitaliseringsstrategi_2023_V9_Online_Final%20(1)-a.pdf, p. 22ff. The strategy was confirmed in early 2024 through a political agreement between the government and all of the parties in parliament: https://www.regeringen.dk/nyheder/2023/politisk-aftale-paa-plads-om-danmarks-nye-digitaliseringsstrategi/. The strategy contains around 30 initiatives aimed at digitization, many of these dealing with increased access to open (and non-open) public data. The total funding for the strategy is around 100m  Euro over the next four years. 

o In general, publication of Danish public sector data follows a ""publish with purpose"" principle (see the recitals to the Danish implementation of the Open Data Directive: https://www.folketingstidende.dk/samling/20201/lovforslag/L160/20201_L160_som_fremsat.pdf, 3.3.2. and the national audit authority (Rigsrevisionen's) report on open data in the public sector: https://rigsrevisionen.dk/Media/637684152375842683/309-21.pdf, p. 1)

o Public authorities are encouraged to publish any data that is not confidential or otherwise protected. A technical guide has been developed to support this effort: https://arkitektur.digst.dk/metoder/begrebs-og-datametoder/teknisk-vejledning-til-udstilling-af-offentlige-data/teknisk as well as a reference architecture for the disclosure of data by transmission: https://arkitektur.digst.dk/node/1097
";;;;;;
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;"o The national strategy mentioned above is complemented by a joint public sector strategy which is a collbaration between the three levels of government: https://fm.dk/media/26022/digitalisering-der-loefter-samfundet_den-faellesoffentlige-digitaliseringsstrategi-2022-2025_web.pdf, https://fm.dk/nyheder/nyhedsarkiv/2022/juni/regeringen-kl-og-danske-regioner-enige-om-ny-faellesoffentlig-digitaliseringsstrategi/

In addition to this, the association of Danish municipalities published its data strategy for local governments in 2022: https://www.kl.dk/media/48578/kommunernes-datastrategi.pdf. One of the principles of the strategy is that ""Municipalities [should] make standardized data available to other [users]."" (p. 11)";Confirm;;;;;;;;
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;Please refer to the initiatives from the strategies mentioned in Q2-Q4. The strategies are made up of overall visions as well as concrete initiatives to be implemented in the coming years.;Complement;Yes;Please refer to the initiatives from the strategies mentioned in P2-P3. The strategies are made up of overall visions as well as concrete initiatives to be implemented in the coming years.;;;;;;
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"o The PSI law, the Danish implementation of the ODD, requires that dynamic data, when made available, is done so through API access, and if relevant, mass download: https://www.retsinformation.dk/eli/lta/2021/176, kap. 4, §7, stk. 3
o Among other things, the strategy includes a national plan for mobility data (18) and a test of intelligent transport systems (40). These will increase the access to and usability of real time data about traffic. ";Complement;Yes;"o The PSI law, the Danish implementation of the ODD, requires that dynamic data, when made available, is done so through API access, and if relevant, mass download: https://www.retsinformation.dk/eli/lta/2021/176, kap. 4, §7, stk. 3
o Among other things, the strategy includes a national program for improved access to data from the utilities sector (electricity, water, and heating, cf. initiative 3.1) and from car charging stations (initiative 3.3). https://via.ritzau.dk/files/13560322/13781061/68941/da";;;;;;
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"o The strategy includes initiatives that make it easier for citizens to grant and withdraw consent or authorisation to the authorities to process and/or share their data (initiatives 8 and 9). One possible use case is the sharing of citizen-generated data. In addition to this, initiative 30 contains the plan to develop a strategy for the handling of ""self-reported"" data in the health sector.

A concrete example of this is the ""DataDonor"" initiative from the Region of Southern Denmark: https://syddansksundhedsinnovation.dk/projekter/datadonor-platformen";Complement;Yes;"In a Danish context, citizen-generated data is especially prevalent and relevant in the health sector. The effort to increase access to these data - when ethically and legally permissible and possible to do so - is supported by the Danish Life Science Strategy: https://www.em.dk/Media/638380759704342521/Agreement%20on%20a%20strategy%20for%20life%20science.pdf, more specifically the Danish Life Science Cluster: https://www.danishlifesciencecluster.dk/ and its national network for citizen-generated data: https://www.danishlifesciencecluster.dk/netvaerksgrupper/nationalt-netvaerk-om-borgerskabte-data/ which tackles ethical, technical, and organisational challenges in this area. 

A new life science is expected to be launched in 2024: https://www.em.dk/aktuelt/temaer/life-science";;;;;;
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";yes;o The national metadata portal is being developed to allow for easy harvesting of metadata to data.europa.eu, e.g. by using the DCAT metadata standard. ;Confirm;;;;;;;;
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"o The strategy carries on and develops the work done in previous strategies with regard to data sharing across public authorities through the promulgation of common architectural principles and standards (initiative 49). The website for the common digital architecture (FDA) was recently overhauled with a focus on increased faciliation of the re-use of data and digital building blocks: https://arkitektur.digst.dk/
o Moreover, the national metadata portal (initaitive 44) also supports the re-use of open data by the public sector.";Complement;Yes;"o The strategy carries on and develops the work done in previous strategies with regard to data sharing across public authorities through the promulgation of common architectural principles and standards. 

c The strategy also supports the modernization of the Danish basic data registries (cf. iniatitive 5.1 https://via.ritzau.dk/files/13560322/13781061/68941/da), the Danish groundwater database (cf. 3.2) as well as the digitization of the geographical aspects of legislation, which will make it easier to reuse geodata in legal contexts (cf. 5.3)

c Moreover, the strategy includes initiatives to increase data sharing within the public sector to decrease the burden of reporting on private companies (cf. initiatives 4.2 and 4.5). ";;;;;;
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;o The national data portal is being built with private sector users of open data in mind. The same goes for many of, if not all the initiatives mentioned in 3). The portal was built in collaboration between Government and the Danish Business Authority and has conducted several user tests with private sector representatives. ;Complement;Yes;In addition to the data improvements mentioned in P8 (all of which will also benefit the private sector), the strategy includes an initiative to increase Danish participation in the European digital economy, e.g. through an increased focus on and funding of Danish and European data spaces, which will improve data access for private parties (cf. initiative 7.1). The program on utilities data (initiative 3.1) can be seen as a sector-specific example of one such data space effort in which public and private sector parties collaborate on standards and agreement for the sharing of data in this field. ;;;;;;
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;"From §11 of the Danish implementation of the Open Data Directive: ""Den offentlige myndighed og offentlige virksomhed offentliggør en oversigt over dokumenter og datasamlinger, der stilles til rådighed for videreanvendelse efter denne lov."" English: ""The public sector body and public undertaking [must] publish an overview of the data that is being made available according to this law.""  https://www.retsinformation.dk/eli/lta/2021/1764

The national data portal is meant to support this effort by giving a central overview of all the data made available by public sector bodies. ";Confirm;;;;;;;;
P10-b;"Do these data inventories include the data collected by public bodies that cannot be published as open data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For Explanation:
* If yes, please briefly specify.";yes;"Data inventories will also be maintained for health and demographic data; data which is usually not open at the individual level, but which e.g. reasearchers can gain access to - including as mandated by the DGA. ";Confirm;;;;;;;;
P11;"Is your country applying the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.";new question;new question;Change;Yes;The Danish Agency for Digital Government and the authorities with whom we collaborate are close to having identified what Danish datasets are considered HVD. All the data that might fall into this category is already publically available for free through the required means of access. What remains is to denote the data as such. In this regard, The Danish Agency for Digital Government is awaiting an authoritative decision on how to denote HVD status for INSPIRE metadata, and how to map this to DCAT-AP. ;;;;;;
;Categories of high-value datasets;Answers  2024;;Degree of progress (from 1 to 5);;;;;;;;
;;Organisational progress;Legal progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;;;;
;;Setting up new roles and workflows;Addressing legal barriers;Identification and inventory of high-value datasets;Publication of high-value datasets in machine-readable formats via APIs;Publication of high-value datasets as bulk download, where relevant;Standardised means to structure, describe, access high-value datasets;Ensuring metadata availability and quality;;;;
P11-a;Geospatial;4;5;4;5;5;5;4;;;;
P11-b;Earth observation and environment;4;5;4;5;5;5;4;;;;
P11-c;Meteorological;4;5;5;5;5;5;4;;;;
P11-d;Statistics;5;5;4;5;5;5;4;;;;
P11-e;Companies and company ownership;4;5;5;5;5;5;4;;;;
P11-f;Mobility;4;5;5;5;5;5;4;;;;
P12;"Have the public bodies in your country denoted relevant datasets as high-value datasets in their metadata following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
*  If yes, please specify how and highlight challenges, if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;No;Since there is  as of yet no EU consensus on how to map HVD information from INSPIRE to DCAT-AP, this is not currently possible for a large number of the datasets in question. This is currently the main challenge for the implementation. ;;;;;;
;1.2 Governance of open data;;;;;;;;;;;
P13;"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model ";new question;new question;Change;Yes;"o 1. Basic Data is governed by the Steering Group for Basic Data and a number of sub-groups/forums: https://datafordeler.dk/vejledning/grunddata/  
2. Wrt. geographic data/INSPIRE-data, The Agency for Data Supply and Infrastructure runs The Coordination Committee (""Samordningsudvalget""): https://inspire-danmark.dk/english/inspire-denmark/the-coordination-committee-for-infrastructure-for-digital-spatial-information
The committee acts as a channel for discussing political and strategic aspects of the spatial information infrastructure and government policies and management areas with geodata angles. In recent years, the Committee has, among other things, dealt with data quality in geo-referenced legislation, the interaction between new technologies and the geographical infrastructure, the quality of metadata, and the use of geodata for differentiated and automated regulation.
3. The Agency for Digital Government is responsible for two cross-government forums that deal with (open) data issues more broadly: One with representatives from upper management, another with technical personnel. 

The first is the Steering group for digital innovation and the green transition (Styregruppen for digital innovation og grøn omstilling, DIGO): https://digst.dk/strategier/den-faellesoffentlige-digitaliseringsstrategi/organisering-af-samarbejdet-om-den-faellesoffentlige-digitaliseringsstrategi/ 
The second is the Forum for data distributors (which does not have an associated website)
User feedback from stakeholders external to the public sector is provided to these groups either directly to the participating authorities, or through the National Data Portal service organisation. ";;;;;;
P14;"How would you classify the model used for governing open data in your country? 

For Explanation:
*  Please briefly explain why this model was chosen/works best for your country";hybrid;"o According to the Danish Constitution, municipalities have a right to self-government, and the state has a right to oversee this. The Basic Data Programme is governed by all three levels of government (local, regional, and national) in cooperation.

Within national government, data governance is similarly decentralised. I.e., each agency is largely responsible for deciding which data to make available as open data (with exceptions such as HVD). When they choose to do so, however, they must live up to the provisions of the PSI law. ";Confirm;;;;;;;;
