;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;"According to Public Information Act (https://www.riigiteataja.ee/en/eli/ee/510122021005/consolide/current) § 3.  Re-use of public information
 (1) The re-use of information is the use of such public information, the public use of which is not restricted by law or pursuant to the procedure established by law (hereinafter open data), by natural persons or legal persons for commercial or non-commercial purposes other than the initial purpose within the public duties for which the information was obtained or produced. The exchange of information between holders of information for the performance of their public duties does not constitute re-use of information.";Confirm;;;;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";yes;Use-cases of open data can be found through national portal, page called use-cases (https://avaandmed.eesti.ee/usage-stories). As well, natinal portal provides information on the number of dataset's downloads, which can indirectly indicate the level of re-use. We also discuss use-cases during monthly working group meetings, where authorities present their use-cases. Use-cases are also shared during big annual event - Open Data Forum. ;Confirm;;;;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";yes;One of the means to encourage pubic bodies to reuse open data is annual competition, where  we select best data publishers, best reuse cases and best visualization cases. During the year we are trying to find the most noticeable/valuable cases to make a shortlist in 3 categories. Digtal voting is open for everyone and we distribute an information about the competition via our mailing lists, social media and through our events. Winners get an award from the ministry, usually we present books on the topic reletad to data. Winners as well get marked on our portal.  After we winners have been choosen, they are invited to share their knowledge in our data working group meeting. Information about this year winners can be found here https://medium.com/digiriik/eesti-avaandmete-valdkonna-silmapaistvad-panustajad-2023-1f353177c0b0;Complement;;During our yearly survey among public sector authorities, which helps us to assesses the level of data and data managment maturity acrosspublic sector, we encourage public bodies to monitor the reuse of their open data and share their reuse cases with us, so we can publish them.;;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;Estonia has processes in place to monitor and measure the level of reuse of high-value datasets. Last year, a mapping of use cases was conducted, focusing on the utilization of valuable datasets in scientific research. This year, the process will be repeated to provide an overview of their usage from a scientific perspective. Additionally, public institutions are informed and separately asked for information about use cases based on categories.;;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;The Information Society Strategy (https://www.mkm.ee/media/6970/download) the impact of data and its meaning is covered in many points: 1) data-driven state where any decision is based on data and that is reached by re-using data (pg 14), 2) Consent Service (https://github.com/e-gov/NT/blob/master/EN.md) and the economic impact to be had from sharing your personal data. Not open data but it still emphasizes the importance of data re-use because of its economic potential (pg 18). MoEAC has defined impact through use cases where opening up has had any type of impact.;Confirm;;;;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";yes;"Our methodology is heavily centered around use cases/user stories because we had a discussion about measuring impact with numbers being the centre of it all, but it is very difficult to assign ""a price"" to a dataset. MoEAC and Statistics Estonia composed a questionnaire made up of 7 questions that ranged from defining the profile of a data re-users (to basically understand your customer) to actual examples they know of that are stemmed from their agency's datasets.
This  year we plan to carry out a procurement to analyze the impact of open data in Estonia, overall value of open data, and creat methodology for further measurments.";Complement;;our methodology is stil centered around gathering information about reuse cases.;;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;E.g. last year we carried out the first Estonian government AI testbed competition, which invited everyone with expertise in data science and analysis to join an experimental testbed to find solutions to real-world problems using open data (https://medium.com/digiriik/esimesed-riiklikud-andmeteaduse-taibutalgud-d2ee7ec582ee). Universities took part of this competition and in this collaboration we have created more than 300 AI based soulitions for solving 5 problems formulated by public sector.  ;Complement;;"This year we launch an award for the best scientific papers and thesises written on the open data topics, including topic of creation of some new open data use cases.
We collaborate with academia through hackathons, where we encourage to use open data for the solutions to be created, therefore fostering the reuse of open data. 
To include non-governmental organisations in conversation and foster open data reuse, we invite them on our events like Open Data Forum or online event called Data working group.";;;
