;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;According to L. 4272/2020;Confirm;;;;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";I don't know;;Change;Yes;"In data set we have an index for potential visits and downloads. We also request good practice of reuse and we organise hackathons for reuse.
Example:
https://data.gov.gr/datasets/oasa_ridership/
https://crowdhackathon.com/open-data/en/ ";;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";I don't know;;Change;Yes;"Awards for good practices to public servants:
https://digitalawards.gov.gr/ ";;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"The same as the typical dataset. Example: https://data.gov.gr/datasets/apdkriti-meteo/

RtR: The same process as ""normal"" datasets is used and applied totally at all datasets that include possible high value ones when published.

The challenge is to denote datasets as high value which is currently work in progress.";;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";no;;Change;Yes;The training courses in teh national School Of public sdrministration The training courses in the National Center of Public Administration and Local Government have analytic strategic documents regarding the reuse and the benefits of open data. As an example see:  https://elearning.ekdd.gr/pluginfile.php/20209/mod_resource/content/7/%CE%9F%20%CF%81%CF%8C%CE%BB%CE%BF%CF%82%20%CF%84%CF%89%CE%BD%20%CE%91%CE%BD%CE%BF%CE%B9%CE%BA%CF%84%CF%8E%CE%BD%20%CE%94%CE%B5%CE%B4%CE%BF%CE%BC%CE%AD%CE%BD%CF%89%CE%BD%20%CF%83%CF%84%CE%B7%CE%BD%20%CE%91%CE%BD%CE%BF%CE%B9%CE%BA%CF%84%CE%AE%20%CE%94%CE%B9%CE%B1%CE%BA%CF%85%CE%B2%CE%AD%CF%81%CE%BD%CE%B7%CF%83%CE%B7.pdf ;;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";no;;Change;Yes;"Recommendations for presenting important reuse examples and ideas in the data.gov.gr portal:
Example: https://repository.data.gov.gr/related ";;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;"Looking for a uniform and concrete way to measure and provide the necessary information for decision making

Response to reviewer, e.g.:
https://stirdata.eu/
https://opendata.ellak.gr/2023/09/21/ekdilosi-know-your-data-xeklidonontas-tin-axia-ton-dedomenon-triti-26-septemvriou-2023-1100/";Complement;;"New memorandum of understanding among academia and the government:
https://opendata.ellak.gr/2024/05/15/mninonio-eellak-mindig/";;;
;4.2 Measuring reuse;;;;;;;;
I8;"Have any public bodies in your country launched or performed any activities in the past year to understand which and how (open) datasets are reused?

For Explanation:
* If yes, which of the following activities?
* Multiple answers are possible.";I don't know;N/A;Change;Yes;N/A;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;
I8-a;Automated feedback mechanisms tracking users´ access to datasets;new question;new question;Change;Yes;See data.gov.gr portal that automatically registers the use of each dataset.;;;
I8-b;Surveys;new question;new question;Change;Yes;"In the context of academic and universities studies e.g. http://ikee.lib.auth.gr/record/298019/files/GRI-2018-21665.pdf
https://polynoe.lib.uniwa.gr/xmlui/handle/11400/3940";;;
I8-c;Interviews/workshops with reusers;new question;new question;Change;Yes;See the relevant workshops form the National center of public administration and local government. https://www.ekdd.gr/images/ektheseis_politikis/ekthesi_anoikta_dedomena.pdf;;;
I8-d;Other;new question;new question;Change;No;;;;
