;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;"The Law 37/2007 on public sector re-use defines the re-use of open data as a guarantee that must be ensured by all public administrations in Spain. The definition is as follows:  

""The re-use of public sector information consists of the use by natural or legal persons of information generated by public sector bodies, for commercial or non-commercial purposes. Re-use involves, by way of illustration, activities such as copying, disseminating, modifying, adapting, extracting, rearranging and combining the information"".  

Following the incorporation of the provisions of the European Directive 2019/1024, Law 37/2007 includes a series of guidelines to ensure and encourage re-use: Offer data in machine-readable formats, with the highest level of accuracy, accessible, easy to find and locate, massively downloadable, in real time for dynamic data and published together with its metadata.  

In order to inform the public about the key changes to the Law, this summary infographic was produced last March 2023: https://datos.gob.es/en/blog/keys-law-re-use-public-sector-information-spain ";Complement;Yes;"The definition included in Law 37/2007, detailed in the previous year's response, is still in force, and work is being done to disseminate it and make it known to society as a whole. Between March and April 2024, a campaign has been carried out to bring this and other definitions related to open data closer to citizens. A series of gifs and an interactive infographic have been created and disseminated on social networks on concepts related to the subject.
•	Interactive infographic: https://datos.gob.es/en/documentacion/glossary-data-related-terms
•	Broadcast on Twitter: https://x.com/datosgob/status/1765775037053731207?s=20
•	Spread the word on LinkedIn: https://www.linkedin.com/feed/update/urn:li:activity:7171519979584897025";;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";yes;"The national open data portal (datos.gob.es) contains more than 68,500 federated open datasets and analytics tools are used to monitor the number of visits and downloads.    

Analytics tools, such as Google Analytics, are used to monitor visits and downloads of the datasets in the National Open Data Catalogue. Various customised reports are used to monitor dataset visits, audience type, downloads, etc. See here: https://datos.gob.es/sites/default/files/datosgobes/dimension2_2023_evidencia_pregunta_30.png 

Since 2020, the entity that coordinates the national open data portal, Iniciativa Aporta, started monitoring sectoral communities in relation to open data to encourage their participation. Contact with communities of data re-users is a strategy to measure the impact of open data re-use in Spain.   

Some of the communities that have been contacted over the last year are the geographic data systems (GIS) communities https://datos.gob.es/en/noticia/4-examples-communities-related-geographic-data-and-gis-systems 

- Gis and Beers: http://www.gisandbeers.com/  

- Geovolunteers: https://geovoluntarios.org/  

- GIS Community: facebook.com/ComunidadSIG  

- Geo Developers: https://www.geodevelopers.org/  

On the other hand, users can register applications and companies that reuse open data, and once the information has been checked to corroborate that it is correct, it is included in the portal.  Communication with users can be done through: https://datos.gob.es/en/report ";Complement;Yes;"The process of monitoring the re-use of open data from the national open data initiative remains the same. However, it has been adapted to new technological developments in the platform linked to the project in order to track access to the datasets more comprehensively. Over the last year, Google Analytics 4 (GA4) has been implemented, which provides a more accurate measurement of these metrics. For example, to visualise the most popular datasets in real time, a customised and interactive report has been created in Data Studio. See here:
•	https://datos.gob.es/sites/default/files/datosgobes/evidencia_1/evidencia_1.1.png
•	https://datos.gob.es/sites/default/files/datosgobes/evidencia_1/evidencia_1.3.png
Monitoring of companies and applications has also continued. Between June 2023 and May 2024, some 40 success stories have been added/updated to the repositories of applications and companies in datos.gob.es. For the identification of new use cases, two paths have been followed:
•	Social media campaigns to encourage other reuse companies to share their experience with us: https://x.com/datosgob/status/1756941591950815650?s=20
•	Active search, through monitoring of social networks, web portals and media to identify projects likely to use open data. In total, more than 30 additional projects have been identified and contacted to learn more about their use of open data.
With regard to the data communities, work has continued on monitoring the stakeholders already identified, as well as on the active search for new interest groups. In this respect, focus has been put on developer groups such as PyData (ttps://pydata.org/) and research groups such as FISABIO(https://datos.gob.es/en/blog/relevance-open-data-medical-research-case-fisabio-foundation).
In addition, close contact is maintained with all public bodies at regional and local level that carry out their own monitoring of use cases, such as the Junta de Castilla y León (https://datosabiertos.jcyl.es/web/es/aplicaciones.html)or the Zaragoza City Council (https://www.zaragoza.es/sede/portal/datos-abiertos/). This makes it easier to cover the whole of Spain.";;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";yes;"-> The current legislation in Spain states all public bodies have the duty to encourage the re-use of their data. Among others, Law 37/2007 requires each organisation to set up the Unit responsible for information, which is entrusted with different functions, including coordinating re-use activities and encouraging promotional, awareness-raising and training activities https://www.boe.es/buscar/act.php?id=BOE-A-2007-19814#:~:text=Subir-,%5BBloque%2017%3A%20%23a1%2D2%5D,-Art%C3%ADculo%2010.bis 

->There is also an agreement between the General State Administration and the public business entity Red.es, valid until May 2027, aimed at promoting openness and reuse of information in the public sector. In this agreement, it is agreed that a general function of promoting the reuse of information in the state public sector will be exercised, developing, to this end, study actions around reusing open data. See more: https://datos.gob.es/sites/default/files/datosgobes/dimension1_2023_evidenciapregunta_17a.png 

->In the last year, work has been carried out on the preparation of different official documents aimed at further encouraging the reuse of open data from the administrations. Among others:  

- Open Data Strategy (in the process of being drafted): https://datos.gob.es/sites/default/files/datosgobes/dimension1_2023_evidenciapregunta_3.png 

- National Open Government Plan: a commitment to use open data in the fight against political corruption and the development of regulations. https://transparencia.gob.es/transparencia/dam/jcr:fbb7d024-51e5-42f5-a31b-d08780e94055/170123%20IV%20PLAN%20DE%20GOBIERNO%20ABIERTO_ACTUALIZACION_EN_def.pdf 

- Data Driven Government Manifesto (draft): https://datos.gob.es/sites/default/files/datosgobes/dimension2_2023_evidenciapregunta_32.png 

- UNE specifications on data governance, management and quality https://datos.gob.es/en/blog/une-specifications-government-management-and-data-quality (All three standards are free of charge upon registration). 

      - UNE Specification 0077:2023 Data Governance: https://tienda.aenor.com/norma-une-especificacion-une-0077-2023-n0071116 

      - UNE Specification 0078:2023 Data management: https://tienda.aenor.com/norma-une-especificacion-une-0078-2023-n0071117 

     - UNE 0079:2023 Specification UNE 0079:2023 Data quality management: https://tienda.aenor.com/norma-une-especificacion-une-0079-2023-n0071118 ";Complement;Yes;"In addition to the general state regulations mentioned in last year's response (Law 37/2007), work has continued this year to expand the regulatory framework at both local and sectoral level that affects this need. 
To this end, the new Standard Ordinance of the Spanish Federation of Municipalities and Provinces (FEMP) on Data Governance, which has been developed by a multidisciplinary group of experts in the field, and which is offered to the more than 8,000 municipalities in Spain as a model to follow, underlines the importance of measuring usage and offers guidelines to promote the use and monitoring of open data held by municipalities and councils, taking into account their particular needs (https://datos.gob.es/en/blog/new-femp-model-ordinance-data-governance). Among other issues, the ordinance includes:

•	Article 5: Promoting data orientation in the local community. The local authority administration will promote interoperability and the use of data in the local community, and will develop training and dissemination actions to promote the data culture and knowledge of the regulations on transparency and re-use of public information.

•	Article 23: Where one or more data sets are used for the automated formation of administrative acts or other decisions, this fact shall be recorded in the Inventory of data sets and information sources, indicating the nature of those acts and decisions.
References to open data, its use and monitoring in sectoral laws are also included. For example, the Draft Law (PL) on Sustainable Mobility, is committed to a digital and innovative transport system in which open mobility data will play a key role (https://datos.gob.es/en/noticia/boosting-promotion-open-data-through-sustainable-mobility-bill). Among other issues, this law encourages research and the creation of new developments and businesses based on the data generated in the transport and mobility ecosystem. In addition, the Law promotes the creation of a sandbox or testing environment to serve as an incubator for innovative mobility projects. The outcome of the tests will allow the administration to monitor the situation and acquire learning by observing the market in a controlled environment controlled environment.

Likewise, Royal Decree-Law 6/2023, of 19 December, which approves urgent measures for the implementation of the Recovery, Transformation and Resilience Plan for the public service of justice, civil service, local government and patronage, in its chapter 6 linked to Open Data, regulates the Justice Administration Data Portal, which should provide citizens and professionals with processed and accurate information on the activity, workload and other relevant data of all judicial and prosecutorial bodies, services and offices in Spain, provided by the Justice systems in the terms defined by the State Technical Committee for e-Justice Administration.

According to the aforementioned Royal Decree, to this end, the National Judicial Statistics Commission will determine the judicial statistics information to be published on the Portal. Within this Portal there will be a section where the information will be considered as ""open data"" 
";;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"So far, the process of monitoring the use of HVD is partly the same as the one followed to measure the degree of re-use of other open data. 
In particular, qualitative analyses are being carried out through the collection of use cases. This procedure is detailed in the document ""Iniciativa Aporta. Implementation Strategy"" and summarised in the article ""Measuring the impact of open data"":
https://datos.gob.es/en/blog/measuring-impact-open-data
In this line, and in relation to the HVDs linked to the INSPIRE directive, i.e. geospatial, earth observation and mobility, a dissemination campaign has been carried out on cases of re-use based on data related to these categories. Specifically, the catalogue of solutions housed in datos.gob.es has been enriched with numerous applications developed based on this type of data.
See here:
https://datos.gob.es/es/aplicaciones?search_api_views_fulltext=Centro+National+Information+Geogr%C3%B3n+Geogr%C3%A1fica+%28CNIG%29&amp;search_submit=Search
These examples of re-use, aimed at reflecting the impact of this type of data, have been disseminated through a recently published note: https://datos.gob.es/es/blog/aplicaciones-de-datos-geograficos-abiertos-del-centro-nacional-de-informacion-geografica
In addition, studies are beginning to be carried out to measure the impact of these data categories. For example, in the case of geospatial data, the following reports have been produced:
•	Geospatial data in the Ministry of Transport and Sustainable Mobility. Impact of information co-produced by IGN and CNIG (2024). https://www.idee.es/resources/documentos/CNIG-ES_Cost_Benefit_Central_SDI_Node_v018.pdf
•	ICEARAGON and ARAGEA performance report by the Government of Aragon (2024), where it is estimated that these services have resulted in savings of almost two million euros for all Aragonese in 2023. https://www.aragon.es/documents/d/guest/informe_rendimiento_2023

The summary of both reports is available here: https://datos.gob.es/en/blog/what-value-open-geographic-data

In parallel to the collection of use cases linked to HVD, a series of analyses are being carried out to identify the high-value data available in Spain:

•	Statistical data:  https://ine.es/ss/Satellite?L=es_ES&c=INEmasNoticia_C&cid=1259954427449&idp=1254736092075&pagename=masINE%2FmasLayout ; https://datos.gob.es/en/blog/high-value-statistical-datasets-foreseen-national-statistical-plan-2021-2024 
•	Geospatial data: https://datos.gob.es/en/blog/complying-europe-inspire-and-high-value-geospatial-assemblies-regulation
•	Earth observation and environmental data: https://datos.gob.es/es/blog/cumpliendo-con-europa-el-reglamento-de-conjuntos-de-alto-valor-de-observacion-de-la-tierra-y
•	Content relating to the remaining high-value categories will be published soon, currently available here:
o	https://datos.gob.es/sites/default/files/datosgobes/evidencia_2/evidencia2.png
o	https://datos.gob.es/sites/default/files/datosgobes/evidencia_2/evidencia3.png";;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;"The Aporta Initiative, the Spanish government's current national strategy, has been working and developing actions under the premise that measuring the impact of open data must be done from both a qualitative and quantitative point of view (see more: https://datos.gob.es/en/blog/measuring-impact-open-data ). Currently, in the Initiative's implementation strategy, the following definition is included in the section ""Definition and application of progress and impact indicators"":  

Within the framework of the Aporta Initiative, impact is understood as: any positive effect or benefit obtained directly or indirectly for individuals, communities or society, which occurs over a certain period and which results from the development of different activities in each area characterised using open data to an end.   

Link to the strategy: https://datos.gob.es/sites/default/files/datosgobes/iniciativa_aporta_-_estrategiaejecucion_2021_v01.pdf (page 5)  

The new national open data strategy, which is currently under development, continues to underline the need to further specify and work on the definition of impact indicators for open data policies to evolve from more quantitative to more qualitative measures. See here:   

https://datos.gob.es/sites/default/files/datosgobes/dimension2_2023_evidenciapregunta_34.png

";Confirm;;;;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";yes;"-> In the section ""Definition and application of progress and impact indicators"" from the document ""Iniciativa Aporta. Implementation Strategy"", is stated:   

Attention will be paid to the definition and regular maintenance of progress and impact indicators for the opening and re-use of public sector information. To this end, and being aware of the difficulty involved in measuring impact, we will work on the approach to impact measurement that we have been following from the open data and reuse of public information initiative of the Government of Spain and which is inspired by the recommendations provided by several guides that we consider to be of reference in this aspect: the UNE 178301:2015 standard, the framework of common methods for the evaluation of open data, the guide for the empirical analysis of government open data initiatives and the taxonomy of the impact of open data. (...)  

See more here: https://datos.gob.es/sites/default/files/datosgobes/iniciativa_aporta_-_estrategiaejecucion_2021_v01.pdf (page 5)  

The method used to measure this impact is based on the two main components mentioned above: a quantitative analysis through indicators on data publication and its characteristics, and a qualitative analysis through the collection of data use cases. More details here: https://datos.gob.es/en/blog/measuring-impact-open-data   

->In addition to this methodology, the Asociación Multisectorial de la Información (ASEDIE), which brings together the infomediary companies in our country, periodically develops reports on the impact of open data on public and private companies in Spain.  

https://datos.gob.es/en/noticia/11th-edition-asedies-infomediary-sector-report-available  

In order to measure the economic impact of the reuse of data, a methodology is developed that has proven to be effective year after year. See details in the Chapter 2 of the report: https://static1.squarespace.com/static/600a99c4d2a8133c3599fc67/t/6447cfd13b93713076afc842/1682427878064/Asedie+Report+2023+VF.pdf ";Complement;Yes;"During this year a new methodology proposal has been created to measure the impact of open data in Spain: https://encuentrosdatosabiertos.es/wp-content/uploads/2024/05/Reto-3-%E2%80%93-Metodologias-para-medir-el-impacto-del-dato.pdf. This reference document, developed by a multidisciplinary working group from different public administrations and universities, was presented during the III National Meeting on Open Data.
In addition, work has been carried out this year to refine the methodology outlined in the 2023 response. To this end, a report has been produced which analyses existing best practices for measuring the impact of open data in Europe, based on the Open Data Maturity Study 2022. The report provides a comparative analysis of the countries that have scored above 500 points in the Impact dimension, regardless of their overall score and position in the ranking. On this basis, it draws recommendations and good practices that aim to provide ideas on how to improve the impact of open data on each indicator. https://datos.gob.es/sites/default/files/doc/file/informe-buenas-practicas-en.pdf.
Agencies and foundations are also working to develop methodologies to measure the impact of data. For example, the COTEC Foundation's report, The Reuse of Open Data 2024, includes a section called ""2.3. Methodology for studying the re-use of published data"", which details the methodology followed. https://cotec.es/proyectos-cpt/la-reutilizacion-de-datos-abiertos-2024/";;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;"Different public organizations have signed agreements with universities and organizations to promote the use of open data and create impact. Some examples include: 

-> ASEDIE (Multisectoral Association of Information) has signed collaboration agreements with different institutions, including: 

- With the Complutense University of Madrid to align experimental phases and doctoral studies related to measuring the value of public data. See here: https://www.asedie.es/s/CONVENIO-LA-UNIVERSIDAD-COMPLUTENSE-DE-MADRID-Y-ASEDIE-VF-2022.pdf 
- With the Madrid City Council and the Junta de Castilla La Mancha to advance the improvement of access to public information, promoting the maximum opening of public data and its reuse. See here: https://static1.squarespace.com/static/600a99c4d2a8133c3599fc67/t/6287794e16eb0532cb53c89f/1653045582869/PROTOCOLO+CASTILLA-LA+MANCHA-ASEDIE%5B2%5D.pdf 
-> Different public organizations are signing collaboration agreements with universities to encourage the creation of social value around data. Examples of these include: 
- The Valencian Community approved a collaboration agreement with the Polytechnic University of Valencia to promote the development of activities related to transparency and open data in 2023: https://datos.gob.es/en/noticia/valencian-community-collaborates-polytechnic-university-valencia-transparency-and-open-data 
- The Junta de Castilla y León and the University of Valladolid signed an agreement for the development and operation of the Chair of Transparency and Open Government: https://comunicacion.jcyl.es/web/jcyl/Comunicacion/es/Plantilla100Detalle/1284877983892/NotaPrensa/1285258921855/Comunicacion 
- The Provincial Council of Córdoba has signed an agreement with the University of Córdoba that materialized in the Eprinsa Chair of Digital Transformation: https://www.uco.es/ucoeprinsa/ 
The Valencian Community and the Universitat Jaume I de Castellón (UJI) jointly promote the Chair of Public Transparency that will carry out activities related to transparency, access to information, good governance, open data and institutional integrity. https://www.ondacero.es/emisoras/comunidad-valenciana/castellon/noticias/uji-consell-impulsan-catedra-transparencia-publica_2023012063ca7ddfeb5eb6000192541f.html 
-> The Government of the Canary Islands has requested to join the International Open Government Alliance and will strengthen collaboration with local entities on the islands to mainstream the policies of Open Government. ";Complement;Yes;"In addition to the agreements published during previous years, more agreements have been signed in recent months to promote openness and data sharing, as well as related capacity building. Some examples are:
•	The Government of Navarre signed an agreement with the Public University of Navarre (UPNA) to disseminate datasets on its structure, activity, economic data and staff: https://www.navarra.es/es/-/nota-prensa/el-portal-de-datos-abiertos-de-navarra-incorpora-informacion-aportada-por-la-upna-reutilizable-por-entidades-y-particulares
•	The University of Burgos has implemented an open science policy to foster collaboration and knowledge sharing and provide equal access to scientific and research work to foster collaboration and knowledge sharing and to provide equal access to scientific and research work: https://www.ubu.es/bibliometria/politica-de-ciencia-abierta-de-la-universidad-de-burgos
•	The Carlos III University of Madrid (UC3M) has joined forces with the Regional Government of Madrid to constitute the Chair on Territorial Dynamism which will promote research and the development of open data analysis activities, among others: https://cadenaser.com/cmadrid/2023/11/30/la-uc3m-tambien-tendra-una-catedra-sobre-dinamismo-territorial-de-la-mano-de-la-comunidad-de-madrid-ser-madrid-sur/
•	The Generalitat Valenciana has renewed the collaboration agreement between the Presidency and the Miguel Hernández University (UMH) to carry out activities on transparency, access to public information, good governance, open data and institutional integrity during 2024: https://cadenaser.com/comunitat-valenciana/2024/05/07/el-consell-renueva-la-colaboracion-con-la-universidad-miguel-hernandez-en-materia-de-transparencia-buen-gobierno-y-datos-abiertos-radio-elche/
•	The Ministry of Agriculture, Fisheries and Food has signed an agreement with the Datagri forum, made up of various agricultural cooperative organisations, etc. The agreement covers both the next two editions of the forum and the study and analysis of the impact on the agri-food sector of the European regulatory framework on the governance, management and use of agricultural data. https://www.mapa.gob.es/es/prensa/ultimas-noticias/el-ministerio-de-agricultura-pesca-y-alimentaci%C3%B3n-consolida-su-apoyo-al-foro-datagri-para-impulsar-la-transformaci%C3%B3n-digital-del-sector-agroalim/tcm:30-664802 
•	The Agreements Commission of the Universidad Rey Juan Carlos approved in ordinary session the subscription of the Agreement between the university institution and ASEDIE, for the creation of the Observatory on Open Data Reuse. https://www.asedie.es/es/blog/convenio-entre-la-urjc-y-asedie-para-la-creacin-del-observatorio-open-data-reuse";;;
