;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";no;;Confirm;;;;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";no;;Confirm;;;;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";no ;;Change;Yes;The Operating Model for Sharing Data includes guidance and instructions for monitoring re-use in Chapter 8: https://www.avoindata.fi/en/operating-model/8-monitoring-data-use;;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;No;;;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;"In the report ""Use and impacts of open data"" (published 2017 by the Prime Minister´s Office) researchers assessed the economic impacts of open data in Finland and proposed concrete means how to enhance the impact of open data in our society (https://tietokayttoon.fi/documents/10616/3866814/40_avoimen+datan+16032017.pdf/0444467d-5400-4f0c-8728-2447cef039ad/40_avoimen+datan+16032017.pdf?version=1.0&t=1489650786000). As an example form sector specific definition: The aims for opening non confidential social and health data have been defined. The aims are to support public welfare and to provide business opportunities.";Confirm;;;;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";yes;Opendata.fi uses the STEEP analysis methodology to measure the social, technological, economic, environmental and political impact of open data.;Confirm;;;;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;"HRI Loves Developers meetups organized by the City of Helsinki: https://hri.fi/fi/ohjeet/datan-hyodyntajalle/kehittajayhteistyo/, 
HRI collaborates with the Universities and Universities of Applied Sciences in Helsinki Region: https://hri.fi/fi/hrin-vuosi-2020-verkkotapahtumia-ja-mielenkiintoisia-data-avauksia/ and https://hri.fi/fi/hrin-vuosi-2021-avoimen-datan-arkea-ja-juhlaa/. In addition Sitra IHAN https://www.sitra.fi/en/projects/ihan-business-programme/.";Confirm;;;;;
;4.2 Measuring reuse;;;;;;;;
I8;"Have any public bodies in your country launched or performed any activities in the past year to understand which and how (open) datasets are reused?

For Explanation:
* If yes, which of the following activities?
* Multiple answers are possible.";yes;N/A;Confirm;;N/A;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;
I8-a;Automated feedback mechanisms tracking users´ access to datasets;new question;new question;Change;Yes;"Matomo web analytics regarding hri.fi open data portal (e.g. hri.fi/data/en_GB/statistics)

Opendata.fi portal has implemented tools for monitoring the re-use of datasets for dataset providers";;;
I8-b;Surveys;new question;new question;Change;Yes;Helsinki Region Infoshare’s annual user survey: https://hri.fi/fi/hrin-kayttajakysely-2024-hyva-etta-olette-olemassa/;;;
I8-c;Interviews/workshops with reusers;new question;new question;Change;Yes;"Helsinki Region Infoshare’s regular open meetups https://hri.fi/fi/ohjeet/datan-hyodyntajalle/hri-loves-developers-tapahtumat/ 

";;;
I8-d;Other;new question;new question;Change;Yes;Open data from the Finnish Environment Institute Syke (https://www.syke.fi/en-US/Open_information) has been available for nature conservation, land use and urban planning 2008 onwards. Syke collects data on the amount of downloaded data packages and web map service queries in its Open data service. These numbers are not publicly available. Data is published in several repositories and services. When, for example the Zenodo repository is used, it provides open information on downloads of data:  https://zenodo.org/communities/syke/records?q=&l=list&p=1&s=10&sort=newest ;;;
I9;"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.";Yes;N/A;Change;Yes;N/A;;;
