;Dimension 1: Open Data Policy;;;;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;;;;
;1.1 Policy framework;;;;;;;;;;;
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"The open data policy in France is called “Politique d’ouverture et de partage des données publiques”. The French government and the local authorities are strongly committed to opening government data and never ceases to reaffirm their desire to work toward.

Article 15 of the Declaration of the Rights of Man and the Citizen of 1789, which is part of the French constitution, states that Society has the right to hold any Public Official accountable for its administration. **This principle created very early a right to access the data and never stoped guided all the evolution in open data policy in France.**

The law of 17 July 1978 on freedom of access to administrative documents (”loi CADA”) establishes a framework on access to information, codified in the Code of relations between the public and the administration (Code des relations entre le public et l’administration).

The cornerstone of the French open data policy is the 2016’s Digital Republic Law [https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000033202746](https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000033202746), also transposed in the Code of relations between the public and the administration. **The Digital Republic Law** led to significant progress in terms of open data and national data policy including the “**Open Data by default**” principle and the Public Service Data.

**According to the french decree of october 25 2019, the Interministerial Digital directorate is in charge of the coordination and the promotion of the inventory, governance, production, circulation, use and opening of data. [https://www.legifrance.gouv.fr/loda/id/JORFTEXT000039281619](https://www.legifrance.gouv.fr/loda/id/JORFTEXT000039281619)**

**Recently edited by a modificative decree of April 22 2023, the french government confirmed the importance allocated to the open data policy in it’s governmental roadmap.**

[https://www.legifrance.gouv.fr/loda/id/JORFTEXT000047478124](https://www.legifrance.gouv.fr/loda/id/JORFTEXT000047478124?init=true&page=1&query=%222022%2F868%22&searchField=ALL&tab_selection=all)

In April 2021, Prime Minister Jean Castex, through a circular on the national data, algorithms and source code policy, reiterated the need for an ambitious open data policy, and called on the Government to make data a strategic priority: ""I would like the Government to have a renewed ambition in terms of the use, openness and circulation of public data, algorithms and source codes for the benefit of users, researchers, innovators and all our fellow citizens."" [https://www.legifrance.gouv.fr/circulaire/id/45162](https://www.legifrance.gouv.fr/circulaire/id/45162).

On top of the general framework, open data policy is also characterised by specific sectoral legislation. Here are few recent examples.

- The law on the orientation of mobility [https://www.ecologie.gouv.fr/loi-dorientation-des-mobilites](https://www.ecologie.gouv.fr/loi-dorientation-des-mobilites) with specific disposition on transport data including real-time data.
- The changes to the Research code [https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006071190/](https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000006071190/) implemented by the Digital Republic Law regarding open research data

The Open Data Directive has already been transposed [https://eur-lex.europa.eu/legal-content/EN/NIM/?uri=uriserv:OJ.L_.2019.172.01.0056.01.ENG](https://eur-lex.europa.eu/legal-content/EN/NIM/?uri=uriserv:OJ.L_.2019.172.01.0056.01.ENG) and most provisions were already part of the French legal framework.

**In 2022, the french lawmaker once again get into high gear with the adoption of the “3DS” law (differentiation, decentralization, deconcentration and simplification) which stated for the acceleration of the sharing data processes between administrations, and especially between central administrations and local administrations.** [https://www.legifrance.gouv.fr/jorf/id/JORFSCTA000045197502](https://www.legifrance.gouv.fr/jorf/id/JORFSCTA000045197502)

**During the last Inter-ministerial Committee for Public Transformation (CITP), the Prime Minister announced that each ministry will adopt new ministerial roadmaps on data, algorithms and source code policy by the end of 2023. These new roadmaps, symbol of an invariably renewed ambition, present the ambitions and challenges of public policies related to data, algorithms and public source codes, the concrete priority actions to be launched and the governance set up to ensure their implementation.**

[https://www.gouvernement.fr/actualite/offrir-un-accompagnement-clair-et-des-solutions-rapides-au-francais](https://www.gouvernement.fr/actualite/offrir-un-accompagnement-clair-et-des-solutions-rapides-au-francais)";Complement;Yes;"Among the new developments in terms of policy, we can mention:

The roadmap of the DINUM, which places significant emphasis on valorizing and harnessing data as a lever for the effectiveness of public action.

https://www.numerique.gouv.fr/uploads/Feuille-de-route-DINUM.pdf
The Data and Territories report dedicated to enhancing access to public services and the deployment of digital technology in territories, which aims notably to establish governance to facilitate dialogue between the State and local authorities on data and to facilitate access to data for local authorities.

https://www.transformation.gouv.fr/files/ressource/Rapport_Mission_Data_Territoires.pdf.      The State and the territories have also co-constructed a technical and organizational strategy and developed a common action plan :  the ""Digital and Data"" Roadmap, created with more than 300 national and territorial public agents : https://www.info.gouv.fr/france-nation-verte/a-proposfeuille-de-route-numerique-donnees";;;;;;
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"In April 2021, Prime Minister Jean Castex, in a circular, underlined that the national data policy must be a strategic priority for the State and its relations with local authorities and private actors : [https://www.legifrance.gouv.fr/circulaire/id/45162](https://www.legifrance.gouv.fr/circulaire/id/45162)

The Government made a commitment to open more high-impact key datasets, APIs and source codes in the near future. The list of such datasets and their publication schedule is available here [https://ouverture.data.gouv.fr/](https://ouverture.data.gouv.fr/)

Each ministry has defined its strategy in the field of data, algorithms and source codes, and has broken it down into a plan of action over a 2 to 3 year period. The Minister for Public Transformation and Civil Service unveiled these 15 roadmaps on Monday 27 September 2021. These roadmaps include actions for all central government organisations and agencies. **Most of these roadmaps are foreseeing actions until 2024.**

More information is available at the following page [https://www.etalab.gouv.fr/politique-de-la-donnee-des-algorithmes-et-des-codes-sources-15-strategies-ministerielles-et-500-actions-pour-accelerer/](https://www.etalab.gouv.fr/politique-de-la-donnee-des-algorithmes-et-des-codes-sources-15-strategies-ministerielles-et-500-actions-pour-accelerer/) 

The roadmaps are available here [https://www.data.gouv.fr/fr/datasets/feuilles-de-route-ministerielles-sur-la-politique-de-la-donnee-des-algorithmes-et-des-codes-sources/](https://www.data.gouv.fr/fr/datasets/feuilles-de-route-ministerielles-sur-la-politique-de-la-donnee-des-algorithmes-et-des-codes-sources/)

**At the same time, the the Interministerial direction of digital, and espacially it’s department Etalab - Prime Minister’s service is also in charge of the monitoring and the implementation of the open data strategy.**";Complement;Yes;See previous question. We can also mention the national portal roadmap : https://www.data.gouv.fr/fr/pages/roadmap/;;;;;;
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;"Subnational governments (regions for NUTS 1, departments for NUTS 3, and communes as local administrative units) remain independent in their own strategy and are not obliged to publish their data on the national portal data.gouv.fr. Nonetheless, the principle of open data by default enshrined in the law (Code des relations entre le public et l'administration) applies to all subnational governments with at least 3500 inhabitants.

Every year, more and more local actors are adopting strategies within this framework. According to the last local open data observatory provided by the french national association “Open Data France”, the number of local authorities involved in an open data strategy increased by 18% compared to 2021. Today, there are approximately 250 local open data portals in France.

(https://www.observatoire-opendata.fr/wp-content/uploads/2023/03/Copie-de-Observatoire_Open_Data_Territoires_Edition2022.pptx-1.pdf)

For example : 

- Lyon : https://data.grandlyon.com/demarche)
- Lille : https://opendata.lillemetropole.fr/page/demarche/
- Nantes’ metropolitan data charter https://metropole.nantes.fr/charte-donnee
- DataSud : https://www.datasud.fr/presentation-du-projet-datasud/

On top of that, the data, algorithms and source codes roadmap of the Ministry of Territorial Cohesion points out the strategy of the State on how to improve data sharing between national and local actors. 

(https://www.numerique.gouv.fr/uploads/feuillederoute_mctrct.pdf)

In a different way, the french government also allocated a “Digital transformation of local authorities (ITN7)"" fund, part of the France Relance plan, in order to grant various projects to help local authorities to adopt open data practices and draw their own strategies in this area. This fund contributed to the implementation of “Collec-Data”, a praised project on the occasion of “Digital and Territories day”, that has helped Breton local authorities to scale up their use of open data. The Collec-data platform now allows more than 1600 local authorities to automatically publish their data and will soon allows them to massify the publication of data and systematize the valorization.

(https://www.numerique.gouv.fr/actualites/retour-sur-la-journee-numerique-et-territoires/)

This movement is also promised to a strong acceleration thanks to the adoption of the 3DS law, previously mentioned, which is going to facilitate the coordination of data exchanges between the national and local levels. In addition, and to support this movement, the french minister of transformation and public service charged three politicians to identify the opportunities for the enhancement of data exploitation by local authorities with a strong impact-driving focus. This analysis should help local authorities in the construction of their own data policies and strategies at their own level and incentivise their initiatives in the open data field.

(https://www.transformation.gouv.fr/files/presse/cp_utilisation_donnee_collectivites_territoriales_mission.pdf)

Moreover, the national association Open Data France is also currently conducting a study on the whole french territory to identify all the local open data use cases, in close connection with many different public bodies such as the national portal data.gouv.fr.

(https://www.opendatafrance.net/2023/04/12/data-impact-identifions-ensemble-les-cas-dusages-territoriaux-de-donnees/)";Complement;Yes;See the Data and Territories report https://www.transformation.gouv.fr/files/ressource/Rapport_Mission_Data_Territoires.pdf;;;;;;
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;"In April 2021, the Prime Minister, in a circular, underlined that the national data policy must be a strategic priority for the State and its relations with local authorities and private actors. The circular mandates that:

- All ministries, as well as all regional State authorities (préfets) have to nominate a CDO in order to ensure a data opening governance at the highest hierarchical level;
- The Interministerial Director for Digital Affairs, acting as General Data Administrator, will coordinate the network of CDOs
- An ""ombudsman for general interest data"" will be nominated to negotiate with private actors that have data that is deemed to be of general interest;
- The Ministry of Research will set up a charter to speed up the processing of requests from researchers wishing to access data;
- Each Ministry will need to animate the ecosystems of data and source code reusers, in order to identify high value-added datasets, define possible standards and encourage sharing, with a focus on the Open Government Partnership forum as an arena for such exchanges;
- Each ministry will have to set up a roadmap for data, algorithms and source code strategy, with actions and deadlines. The roadmap will also list the skills in those fields within the personnel of the ministries.
- Open data will be referenced in the national portal data.gouv.fr

Moreover, the Government made a commitment to open more high-impact key datasets, APIs and source codes in the near future. Some of those engagements are marking out their action until 2025.** The list of such datasets and their publication schedule is available here (https://www.data.gouv.fr/fr/datasets/tableau-de-suivi-des-ouvertures-de-donnees-codes-sources-et-api-publics-avril-2021/)";Complement;;"Roadmap are still produced for each ministries. The latest are not available yet. The State and the territories have also co-constructed a technical and organizational strategy and developed a common action plan :  the ""Digital and Data"" Roadmap, created with more than 300 national and territorial public agents : https://www.info.gouv.fr/france-nation-verte/a-proposfeuille-de-route-numerique-donnees";;;;;;
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The 2015 law on growth, activity and equal economic opportunities (Loi Macron) had set obligations to publish data on real time transport schedules [https://www.legifrance.gouv.fr/loda/id/JORFTEXT000030978561/](https://www.legifrance.gouv.fr/loda/id/JORFTEXT000030978561/). The 2019 law on the orientation of mobilities [https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000039666574/](https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000039666574/) made a step further by not only transposing into national law the European Delegated Regulation 2017/1926 of 31 May 2017 [https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32017R1926](https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32017R1926), but also by including dynamic data. According to this law, static and dynamic travel and traffic data, as well as historical traffic data, shall be made accessible and reusable.

The Open Data parliamentary mission led by MP Éric Bothorel also points out the key role of real-time data, especially within the transport domain.

The transport.data.gouv.fr task force deploys special efforts to promote real-time data. This includes [documentation](https://doc.transport.data.gouv.fr/producteurs/operateurs-de-transport-regulier-de-personnes/temps-reel-des-transports-en-commun) on standardisation, an [inventory of real time](https://transport.data.gouv.fr/real_time) data yet to be standardised, and [discussion with stakeholders](https://doc.transport.data.gouv.fr/documentation/liste-des-rencontres-publiques/20-09-2018-transport-regulier-temps-reel).

The data, algorithms and source codes roadmap of the Ministry of Ecological Transition clearly underlines the need for systematic access to real-time data, especially related to environmental phenomena, to improve the impact of environmental policies. [https://www.data.gouv.fr/fr/datasets/r/25f0f375-df81-4cc5-8eae-c277a729923f](https://www.data.gouv.fr/fr/datasets/r/25f0f375-df81-4cc5-8eae-c277a729923f)";Complement;;"The enhancement of real-time information for public transport is one of the main actions of the previously mentioned roadmap.
Among the objectives are:

Achieving 100% real-time information for public transport
Providing a comprehensive real-time database of road and parking information


Improving the real-time availability of data on water withdrawals






";;;;;;
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"All the measures outlined in the roadmap of the Ministry of Civil Service and Public Transformation (Ministère de la transformation et de la fonction publiques) related to the national open data portal [data.gouv.fr](http://data.gouv.fr) aim also at incentivising the publication and the access to citizen-generated data. The portal allows everyone to publish data, with a badge to identify data from official sources (i.e. public sector organisations). But the guides, the publication process, and the tools are the same, whether the data provider is a ministry or a journalist, an activist, a student.

For example, the tools that help improve the quality of data, [schema.data.gouv.fr](http://schema.data.gouv.fr) and publier.etalab.studio, are both free and open to use.";Confirm;;;;;;;;
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";yes;"The French open data policy makes it mandatory for central government and national public sector organisations to publish data on [data.gouv.fr](http://data.gouv.fr) (the obligation is stated both in the 2019 decree creating the DINUM [https://www.legifrance.gouv.fr/loda/id/JORFTEXT000039281619/](https://www.legifrance.gouv.fr/loda/id/JORFTEXT000039281619/) and in the 2021 Prime ministerial circular on data policy [https://www.legifrance.gouv.fr/circulaire/id/45162](https://www.legifrance.gouv.fr/circulaire/id/45162)). This centralisation is also done in order to foster the discoverability on data.europa.eu, as the data.gouv.fr catalogue is harvested by the European portal. To keep the discoverability standards at the highest level through the time, the data.gouv team has strategically chosen to frequently integrates the feedback of the plateform’s users. Thanks to this strategy, in 2022 the national portal benefited of several modifications enhancing the discoverability of all the data uploaded and harvested such as :

- A complete overhaul of the search engine and research experience to improve its efficiency;
- An overhaul of the previsualization system and the implementation of a data explorer tool.
- An overhaul and an update of the thematic inventory to spotlight some symbolic data.

In the roadmap of the Ministry of Civil Service and Public Transformation (Ministère de la transformation et de la fonction publiques), action A24 focuses on improving data quality and the creation of a data quality label on data.gouv.fr. This label will incentivise data producers to fill in all metadata, and as a consequence will improve discoverability both on data.gouv.fr and data.europa.eu.";Complement;;We invested a lot in DCAT lately to make sure we can display data from data.gouv.fr on data.europa.eu in the best possible maneur. Citizen generated data and data from other stakeholders such as medias are discoverable.;;;;;;
