;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;"Right of Access to Information Act (NN 25/13, 85/15, 69/22) defines re-use as the use of the public authority information by natural persons or legal entities, for commercial or non-commercial purposes different from the original purpose
within the public purpose for which this information was created, and which is realised within the frame of the law or other scope prescribed by the regulations, or business that is generally considered a public affair. The exchange of information among public authorities in order to perform tasks within their scope is not considered re-use.
http://digarhiv.gov.hr/arhiva/1912/162307/FOI_Act-ENG_Version.pdf ";Complement;Yes;"https://sredisnjikatalogrh.gov.hr/srce-arhiva/1608/134237/ZPPI-2022-procisceni-tekst.pdf                                                                       Right of Access to Information Act (NN 25/13, 85/15, 69/22) defines re-use as the use of the public authority information by natural persons or legal entities, for commercial or non-commercial purposes different from the original purpose
within the public purpose for which this information was created, and which is realised within the frame of the law or other scope prescribed by the regulations, or business that is generally considered a public affair. The exchange of information among public authorities in order to perform tasks within their scope is not considered re-use.
";;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";No;"Google Analytics on national open data portal data.gov.hr
Response to reviewer: we change the answer to NO";Confirm;;;;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";no ;;Confirm;;;;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;No;After the adpoption of the action plan (the process of adoption and entry into force is under way), Croatia will, thorugh the plan, establish procedures for monitoring and measuring the level of reuse of high-value datasets ((EU) 2023/138).   With the action plan, Croatia will establish procedures for monitoring and measuring the level of reuse of high-value datasets ((EU) 2023/138). The action plan identified and recognized all institutions that have high-value data sets. Through these Measures, the necessary will be ensured, for example Measure 1 Encouraging the opening of data sets that have been identified as high-value sets for state administration bodies, Determination of the list of high-value data sets and competent public authorities, Publication of high-value sets, Publication and updating of available high-value data sets, Preparation technical prerequisites for the publication of high-value data sets from the scope of work, all in accordance with the Implementing Regulation of the Commission (EU);;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;"Central State Office for the Development of Digital Society implemented project “Adjustment of Information Systems of Public Sector Bodies to Open Data Portal” in the frame of The European Social Fund and there is a methodology in place that defines the impact of the public bodies open data:
https://rdd.gov.hr/eu-projekti/prilagodba-informacijskih-sustava-tijela-javnog-sektora-portalu-otvorenih-podataka-open-data/provedba-projekta/1445";Confirm;;;;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";yes;"The ex-post index of the influence of the set of open data is a measure of the realized influence of the set of open data in solving the problem area. Due to its complexity and all the variables involved, the construction of the impact index of the open data set is built according to four categories:
- Economic impact,
- Social impact,
- Political influence,
- Environmental impact.
At the same time, it is important to emphasize that the construction of the ex-post index of influence of the set of open data additionally includes a fifth category - the index of use. Usage index - which is constructed based on the download rate, referencing rate, rating of the usefulness of the data set by the user and the up-to-dateness of the data set.

1) Total impact index value of open data set (A)
2) Economic Impact Index (B)
3) Social Impact Index (C)
4) Political Influence Index (D)
5) Environmental Impact Index (E)
6) Usage Index (F) - Ex-post
Where A = B + C + D + E + F

B) The economic impact index is constructed based on scores on questions divided into three categories:
1. Macroeconomic impact,
2. Microeconomic and sectoral impact, and
3. Impact on the public sector.
C) The social impact index is constructed based on three categories:
1. housing,
2. inclusion of marginalized social groups, i
3. reduction of social inequalities.
D) The political influence index of the open data set is constructed based on the following categories:
1. transparency and responsibility,
2. effectiveness,
3. efficiency, i
4. decision making.
E) The environmental impact index is constructed based on the four selected most important environmental impact categories
1. Water and/or air quality,
2. Management/management of waste,
3. Environmentally friendly transport, and
4. Noise level
F) The usage index is used exclusively in the construction of the ex-post index of the influence of the set of open data after a minimum of one year has passed since the publication of the data set.
The usage index consists of:
1. download rates,
2. referencing rates,
3. evaluations of the usefulness of the data set by users i
4. assessments of the up-to-dateness of the data set based on the up-to-date report,

";Confirm;;;;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;"https://www.dorscluc.org/  At the Faculty of Electrical Engineering and computing in Zagreb, organized by the Central State Office for the Development of Digital Society, as part of the project “adaptation of information systems of public sector bodies to open data Portal (open data)”, a Datathon was held in which eight student teams participated with nine conceptual solutions from the social, political, environmental and economic field. Innovative IT solutions presented on datathon enable better promotion and visualization of open data. 
https://rdd.gov.hr/vijesti/pobjednici-datathona-napravili-it-rjesenja-za-promociju-otvorenih-podataka-i-osvojili-vrijedne-nagrade/2048 Thus, the academic community, civil society and the Government's Central Office for the Development of Digital Society participated.";Confirm;;;;;
