;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;"A piece of data or content is open if
anyone is free to use, reuse, and redistribute it —
subject only, at most, to the requirement to attribute
and/or share-alike” (http://opendatahandbook.org/).";Complement;;"In the Open Data Strategy 2023-2027 in Appendix 3 under Open Data Terminology, we have given a definition of data reuse as "" The Open Data Directive defines reuse as the use by persons or legal entities of documents held by public 
sector bodies.""

https://data.gov.ie/docs/Open.Data.Strategy_FINAL_ENG.pdf";;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";yes;"Yes, there are a number of national level processes to monitor the reuse of open data.   Tools are available on the National Open Data Portal to measure reuse, including number of views and downloads of datasets, and overall usage of the portal. Utlising Fathom Analytics and Tableau, these statistics are publicly available at https://data.gov.ie/stats and dataset metrics are available on the dataset listing page https://data.gov.ie/dataset

The Stats page on the portal provides all portal users an overview of data reuse nationally. https://data.gov.ie/stats
This monitors and presents the metrics on the degree to which data is accessed.  Part of the remit of the Open Data Unit is to maintain a strong network of contacts with both data creators, managers and users.  Meetings are organised with data users and their feedback is actively sought on the portal, inviting them to comment on existing data and suggest further data that might be useful to them.";Confirm;;;;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";yes;" Yes, there are a number of tools in place to support and incentivise public bodies in measuring the reuse of their own and other public bodies’ open data. There is the KPI tool that has just been developed to allow data publishers to monitor their datasets- show when the data was uploaded, what was deleted and the currency of their data.  The KPI tool allows PBs to compare the quality of their data with other PBs and monitor their own progress over time.
https://data.gov.ie/kpi-report; https://data.gov.ie/qa-report

In general, Open Data allows Public Service Bodies (PSBs) to deal more efficiently with FoI requests and Parliamentary Questions as the data requested is already in the public domain and answers can simply be made in the form of a url to the relevant dataset.
The National Open Data Portal provides information on the number of views for each dataset on the portal.  This is 'upfront' and can be easily viewed when you go into view a dataset. This visibility and transparency encourages PSBs to more closely their dataset numbers in relation to similar organisations and provides impetus within the organisation for continuous improvement.  The most visited datasets are ranked on the open data portal at https://data.gov.ie/stats and the most popular Covid datasets are featured on the front page of the portal.
    
There is evidence that the release of open data led to increased efficiencies in some public bodies.  For example since Failte Ireland (Irish tourism board) released their data via API, instead of running custom queries and excel exports for individual requests, they can now direct people to their Open Data API.  Fáilte Ireland would have had numerous queries from consultants, research agencies, other government organisations as well as developers of web applications.  This was time consuming and data wasn’t current once the query was run. The data is now dynamic and has lessened the burden on internal ICT resources to manage ad hoc queries on data.  https://data.gov.ie/organization/failte-ireland.  An example of use of the Failte Ireland API opendata can be found here https://data.gov.ie/showcase/failte-maps
In addition to these tools provided by the National Open Data Portal described above, public bodies are supported through network groups and training. 
The Open Data Liaison Officer Network is a network of representatives from all Irish public bodies, coordinated by the National Open Data Team. The Liaison Officer Network meets periodically to discuss the promotion and monitoring of Open Data within their organisations and with their stakeholders. The National Open Data Team also uses this Network to push out information to all Public Bodies, such as information about events, training, new features of the portal, and supports. Members of this Network are also the contact points for specific queries about the reuse of data published by their organisation, ensuring the responsiveness of requests and questions. 
Regular Open Data Training is also available to all public-sector bodies, which includes the importance of open data reuse and impact and how to measure reuse. ";Confirm;;;;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"Ireland has an Open Data Strategy and emphasises compliance with EU regulations. Also as part of our Circular 2020/21 of the Open Data Directive, Section 14 and 15 lists Actions Required of public bodies. The publication of HVDs is monitored by adding this feature as a filter category, so the data can be easily identified (https://data.gov.ie/dataset/?high_value_dataset=true). In addition, both our internal tracker software identifies issues around which users have questions on HVDs and the portal feedback mechanism allows users to respond to HVD questions or issues.
In addition, the metadata includes a European Legislation Identifier with links to  relevant HVD legislation.
";;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;" The definition of Open Data Impact is set out in the Open Data Evaluation Framework (Section 4.3) https://data.gov.ie/uploads/page_images/2019-04-24-104508.655717Open-Data-Evaluation-Framework.pdf, which recommends both a macro and micro approach. A macro impact evaluation to examine the broad outcomes of the initiative from a social, political and economic perspective.  At a micro level, particular case-studies can be explored to get a clear understanding of the impact of Open Data in specific sectors and under a certain set of conditions.  The Most Significant Change technique could be used as a framework to capture and analyse particular stories.  

The Impact of Open Data is one of the seven themes in the National Open Data Strategy 2017-2022: Theme 6: Evaluate the impact, benefits and risks of the Open Data Initiative and benchmark against other jurisdictions. This outlines “the development of metrics that allow benefits capture, for example, what contribution Open Data makes to improve efficiency and effectiveness of public service delivery. Carry out and publish an evaluation of the impact, benefits and risks of the Open Data Initiative. Consider evaluation frameworks in use in other jurisdictions which address benefits and return on investment”.

Consultation with stakeholders is taking place on the next National Open Data Strategy and it is envisaged that the impact of open data will be a key area, especially in relation to high value datasets.";Complement;;"In the Open Data Strategy 2023-2027 we describethe benefits of using Open Data and the impact it can have. The Impact of Open Data is a strong theme in the current strategy. Under the Publishers Pillar, one of the goals is . ""Demonstrating the value and impact of Open Data and identifying success indicators to provide evidence on the business case for increased Open Data use"". Under the Platform Pillar, one of the goals is "". Raising recognition of the value and impact Open Data offers, to align and secure the resources needed to realise its full potential 
for organisations and communities. Supporting the network of Open Data Liaison Officers to do this on the ground in their own organisations is essential"".The strategy outlines that ""For data to have the most effective impact, it needs to be appropriately accessible, mobile and reusable. That means encouraging better coordination, access to and sharing of data of appropriate quality.""

We look at impact through the lens of the benefits Open Data can have. The strategy outlines ""On an individual level, the use of Open Data benefits us every day – from 
planning our journeys, knowing what 
weather awaits us at our destination, 
to understanding how much we have 
exercised and identifying a good beach for 
swimming...The Open Data 
Governance Board (ODGB) has provided 
best practice in data governance, 
identified opportunities for improved 
access to government data and identified 
the opportunities to realise the longterm social, political, environmental 
and economic benefits of Open Data 
for Ireland. "" This can all be read in further detail on page of the strategy ""Benefits of Open Data""
 https://data.gov.ie/docs/Open.Data.Strategy_FINAL_ENG.pdf";;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";yes;" Defining metrics to measure data use or impact can be difficult, especially if what is being measured is  subjective, for example, data quality. However, there are a number of indicators that can be
automated and consistently reviewed to measure data access, such as dataset views and downloads
on a data catalogue. For example, data.gov.ie uses Fathom Analytics to record dataset page views and downloads. If a publisher publishes data via an API, the number of API requests can be measured to better understand usage. 

Impact stories and Showcases on the Portal provide examples of use and demonstrate the potential of open data, facilitating wider access to the data, and can encourage further use of the data. Examples can be provided by the publisher directly, or contributed by other users with the support of the publisher.  https://data.gov.ie/showcase/active-travel-counts
https://data.gov.ie/showcase/muhds-lihaf-story-map";Complement;;"The strategy also commits to measuring impact. ""Measuring for Success Progress on implementing the commitments within this Strategy will be continuously measured, evaluated, and reported on. We will incorporate a broader set of outcomes to measure the impacts _x000D_
of our interventions on societal well-being, _x000D_
as per the commitment set out in the _x000D_
Programme for Government. Risks and _x000D_
dependencies surrounding our priorities _x000D_
and goals will also be continuously _x000D_
monitored and managed. A key focus _x000D_
of our evaluation approach will be on _x000D_
identifying lessons learned that can be _x000D_
applied to future work.""";;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;" At the end of 2022, DataSoc in University College Dublin recieved an Open Data Engagement Fund award to run two hackathons for third level students using open data.  DataLink Hackathon – a two week competition where 3rd level students across the country are given a problem statement and many datasets, they have two weeks to complete and submit their solutions.Women in Tech Hackaton – a group of 40 girls, split into groups of 4 are given a problem statement and many datasets and are given 3 hours to make a 2 page PowerPoint

The Smart cities iniative aims to provide information and a platform for feedback to both the public and civic groups.  It started with SmartDublin (https://smartdublin.ie/), but has since increased to other local areas- Smart Docklands, DCU, Dún Laoghaire, Balbriggan, D8 (https://smartdublin.ie/smart-districts/smart-d8/).  

The Hale & Hearty EU funded Action was a collaboration of governmet and private sector partners to create a thematic knowledge base and app to support puvlic health and well being in an accessible, intuitive way (https://data.gov.ie/haleandhearty; https://haleandhearty.ie/).  This Action collaborated with NGOs like Sports Ireland and the Cork Healthy Cities (https://corkhealthycities.com/) and WHO sponsored programme.";Complement;;"Yes, our Annual Engagement Fund helps promote collaboration between government and civil society and academia to create open data impact in our country. This year we funded 6 projects as can be seen here at: https://data.gov.ie/blog/open-data-engagement-fund-winners-2023-2024
Showcases can be seen here at: 
https://data.gov.ie/blog/focus-on-the-open-data-engagement-fund and https://data.gov.ie/blog/european-peatlands-and-policies-open-data
";;;
