;Dimension 1: Open Data Policy;;;;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;;;;
;1.1 Policy framework;;;;;;;;;;;
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"The Open Data Directive was transposed into Irish Law on July 22nd 2021 through Statutory Instrument 376/2021, the European Union (Open Data and Re-use of Public Sector Information) Regulations 2021.  These regulations fully transposed the Directive in to Irish law.  They also include the request regime for accessing open datasets and the appeals process a requester can utilise if they are not provided with the data requested. SI 376/2021 is the basis for Irish Government policy on open data.
The regulations may be accessed at https://www.irishstatutebook.ie/eli/2021/si/376/made/en/html

An official government Circular which provides instructions and guidance for all public service organisations on implementing the Open Data Directive was issued in December 2021.  This Circular sets out the actions public bodies and public utilities need to carry out to meet their obligations under the Directive.  Circular 20/2021 – Open Data Directive https://www.gov.ie/en/circular/523a7-circular-202021-open-data-directive/  

Our Open Data policy is to encourage and drive the publication, uptake and use of Open Data and in doing so add value to the economy by increasing transparency, stimulating new business applications, building trust in Government and improving the lives of citizens by delivering better services.
This is being achieved by:
• Encouraging the release of all appropriate high value government data as Open Data by default 
• Building a value driven economy by making it publicly available and freely reusable 
• Engaging with a broad community of stakeholders to promote and encourage the use of Open Data";Confirm;;;;;;;;
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"During 2022 a series of public consultations in the form of Townhall meetings and professional consultations with our open data network were held to guage the priorities to be included in the next open data strategy.  These priorities are included in the draft strategy currently being reviewed.  This strategy will be published as 'THE IRISH OPEN DATA STRATEGY 2023-2027' later in 2023.
Until then, the current open data strategy remains operational and is accessible at;  https://data.gov.ie/uploads/page_images/2018-03-07-114306.063816Final-Strategy-online-version1.pdf 
The national Open Data Strategy for 2017-2022 was published in July 2017. The vision is for Ireland to be a leader in Open Data and to create an environment where the economic, social and democratic benefits of Open Data are recognised and realised. Two core objectives of the Strategy are the publication of high value government data in open format, making it publicly available and freely reusable; and engaging with a broad community of stakeholders to promote its social and economic benefits. 
The Strategy sets out actions under seven strategic themes: 
- broaden the range of public bodies actively engaged in the Open Data initiative; 
- broaden the scope of the Initiative and improve the quality, quantity and range of datasets available on the Portal data.gov.ie; 
- continued engagement with stakeholders and encourage the use of Open Data; 
- support and encourage various groups of Open Data Users, 
- the provision of a framework to support and train public bodies in their Open Data activities; 
- evaluation of the impacts and benefits of the Initiative; and
- ensuring that effective governance structures are in place to implement the Strategy.
The necessary actions to achieve the objectives of the Strategy are set out in an Implementation Plan which specifies the responsible body for each action and a timeframe for delivery. 

Our Open Data Strategy is closely aligned with other key government priorities and associated policies including:
• Public Service Reform Programme
   Connecting Government 2030: A digital and ICT Strategy for Ireland's Public Service
• Public Service Data Strategy 2019-2023
• Data Sharing and Governance Act 2019
• National Data Infrastructure
- Freedon of Information 2014

*******The national Digital Strategy published in February 2022 ********

The Public Service Data Strategy 2019-2023 underpins the Open Data Strategy and states that high quality and well-governed data, accessible by third parties through an API-first, interoperable architecture, will further drive increases in the availability and value of open data in Ireland.
https://www.gov.ie/en/publication/1d6bc7-public-service-data-strategy-2019-2023/";Change;Yes;"Here is the link to Ireland's latest Open Data Strategy 2023-2027 

https://data.gov.ie/docs/Open.Data.Strategy_FINAL_ENG.pdf 

This Open Data Strategy 2023-2027 lays 
out how we can build on progress to date 
and ensure the better use of data across 
businesses, government, civil society and 
individuals. It seeks to maintain the high 
level of Open Data use set during the 
pandemic, and to enable the use of Open 
Data to innovate, experiment and drive a 
new era of growth. 
The strategy provides a framework for 
the actions the Public Service will take 
on Open Data over the next five years. 
Opportunities are laid out across three 
pillars for unlocking the power of Open 
Data in Ireland. Guiding goals and actions 
are provided for 1. data publishers, 2. the 
development of the Open Data platform 
and 3. for data users. 

The strategy lays out Ireland's Open Data Vision and Mission. Our Vision: Creating easy access to high quality government data,  promoting trust and stimulating innovation.
Our Mission :To continue to strengthen our networks and improve communications between our data publishers and users to ensure the transparency, quality and relevance of Open Data. 

The Strategy also lays out Open Data Principles and Values, The Benefits of Open Data, what Open Data looks like in action, our Stakeholder Engagement, Evaluation and Governance and Public Sector Achievments since the first strategy.

";;;;;;
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;"Local Authorities (https://data.fingal.ie/ ; https://data.corkcity.ie/)
EPA (https://data.epa.ie/api-list/wfd-open-data/)
OSI (https://irishriverproject.com/2023/02/17/osi-open-data-strategy/)
Met Eireann (https://www.met.ie/cms/assets/uploads/2017/08/Met_Eireann_Strategy_2017-2027.pdf)
Tusla (https://www.tusla.ie/uploads/content/Tusla_Data_Management_Strategy_2019-2022.pdf)
Dept. of Housing
CSO (https://www.cso.ie/en/media/csoie/releasespublications/documents/corporatepublications/CSO_Statement_Of_Strategy_2020-2023.pdf)";Complement;Yes;"Irelands's Fourth Open Government Partnership National Action Plan

https://www.gov.ie/en/publication/163db-irelands-fourth-open-government-national-action-plan-2023-2025/ One of this plans major commitments is to Open Data.

Department of Transport
Data Strategy
2024-2030 contains many commitments to Open Data Throughout

https://www.gov.ie/pdf/?file=https://assets.gov.ie/291948/23e611f0-f3ff-4729-b0ff-0a43375ea8b7.pdf#page=null

‘Young Ireland: National Policy Framework for Children and Young People 2023-2028’ at 2023 Child Summit

https://www.gov.ie/en/press-release/4e0c2-government-launches-young-ireland-national-policy-framework-for-children-and-young-people-2023-2028-at-2023-child-summit/ AND 

https://www.gov.ie/en/publication/03f4b-children-and-young-peoples-indicator-set/

The indicator has added the provision of open data.";;;;;;
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;" The 2017-2022 Strategy sets out seven strategic themes which guide the implementation of the Open Data initiative over the lifetime of the Strategy.  A list of actions under each theme specifies the timeline for implementation and the stakeholders responsible. These include: B35 broaden the range of public bodies actively engaged in the Open Data Initiative; 
• improve the quality, quantity and range of datasets available and improve the range of services available on the national Open Data portal; 
• continued engagement with stakeholders to encourage the use of Open Data; 
• support and encourage various groups of Open Data users including public service bodies; 
• evaluation of the impacts, benefits and risks of the Initiative; and 
• ensure that effective governance structures are in place to implement the Strategy.   

The necessary actions to achieve these objectives are set out in an Implementation Plan which specifies the responsible body for each action and expected timeframe for delivery.  The action plan is set out in pages 19 to 26 of the Open Data Strategy document.  https://data.gov.ie/uploads/page_images/2018-03-07-114306.063816Final-Strategy-online-version1.pdf   
Public bodies provide updates on progress made in their implementation of the Strategy regular intervals to the ODU and on request.  The ODU works with individual PBs to help them progress the publication of open datasets.";Complement;Yes;"In the Open Data Strategy 2023-2027 there is an action plan with measures to be implemented in the open data field under the three pillars of the strategy- Publishers, Platform and Users. These actions will be implemented over the lifetime of the strategy. 

Under Pillar 1, Publishers, the goal is to support publishers and drive the production of 
high-value and high-quality datasets responsive to  users’ needs. This will include describing the benefits and the key role Open Data plays in transparent and 
evidence-based decisions.

We will deliver on this goal through the following actions: 
1. Mapping and indexing public services data sets to be easily 
discoverable and compliant with standard open formats and licences.
2. Facilitating increased publication of relevant data not currently 
available to align with stakeholders’ data needs.
3. Ensuring timely and consistent upload frequency for published data 
sets.
4. Demonstrating the value and impact of Open Data and identifying 
success indicators to provide evidence on the business case for 
increased Open Data use.
5. Promoting real-time use of Open Data in government bodies to 
enhance fully transparent decision-making. Educating a critical mass 
of public servants on effective data management strategies is central 
to the delivery of this goal.
6. Using best practice feedback insights to learn from and refine the 
quality and range of data published. 
7. Ensuring the publication of high-quality and high-value datasets by 
building a community of practice through stakeholder engagement, 
training and support.
8. Promoting greater clarity among publishers and potential publishers 
on what data they should make available as Open Data.

Under Pillar 2, platform, the goal is To drive a thriving Open Data ecosystem supported 
by a trusted Open Data platform responsive to 
stakeholders’ needs. Deliver valued outcomes for users, working to high standards of governance and 
open communication.

We will deliver on this goal throuh the following actions: 
1. Updating our Open Data platform to deliver better searches, graphics 
and an improved personalisation of experience through effective 
stakeholder collaboration and feedback loops.
2. Providing publishers with quality insight reports on data use building 
sector-specific knowledge on the uptake and use of valued datasets. 
3. Strengthening our governance frameworks to meet high standards in 
privacy, security and ethics to enhance trust in our systems.
4. Developing the capacity and capability of our Open Data ecosystem 
through stakeholder events, funding and creating opportunities for 
networking across sectors.
5. Raising recognition of the value and impact Open Data offers, to 
align and secure the resources needed to realise its full potential 
for organisations and communities. Supporting the network of 
Open Data Liaison Officers to do this on the ground in their own 
organisations is essential.
6. Sharing best practice learning from international partners and 
research communities to improve and innovate our Open Data 
platform and ecosystem.

Finally, Under Pillar 3, Users, the goal is to support stakeholders across all sectors to shape and improve easy access to and use of trusted Open Data sources to benefit our stakeholder 
communities.

We will deliver on this goal through the following actions: 
1. Building data visualisation capability within our Open Data portal 
that will make Open Data more user-friendly to discover, access and 
understand.
2. Hosting opportunities for our network of users to share learning and 
experience.
3. Supporting better communication, engagement and community 
outreach events.
4. Creating effective feedback loops with user groups and communities 
of interest to understand how Open Data can serve their needs and 
improve their experience of Open Data access and use. 
5. Facilitating collaborative partnerships to strengthen users’ 
involvement to co-create and increase Open Data use across sectors 
and in our communities.";;;;;;
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Action 2.3 of the Open Data Strategy implementation plan ensures priority for release of those datasets that are recognised as ‘high-value’ (where use has been identified) as well as real-time data with options for access e.g. multiple format download, APIs etc.
Action 2.7 also asks public bodies to consider ways in which they can make specific commitments to long term support and maintenance of high-value datasets, such as agreements, good practice guides, etc. 
The Public Service Data Strategy 2019-2023 ensures that high quality and well-governed data, accessible by third parties through an API-first, interoperable architecture, will further drive increases in the availability and value of open data in Ireland.
Actions in Section 5 of the Public Service Data Strategy include:
• Develop a Government data catalogue, for internal and public use, cataloguing key data holdings within PSBs, supporting reuse and transparency 
• Develop a Government API portal, as part of the Interoperability Platform, supporting the discovery of data and services that are available for reuse via a machine to machine mechanism.

The technical services framework for Open Data and Data Management Technical Services Framework has been established.  This provides a cost effective, consistent procurement framework which allows public bodies to meet their obligations under the Open Data Directive and will facilitate greater access to dynamic and HVDs via APIs. The Framework will contains services under 3 categories:
1. Data Management 
• Data Audits, 
• Data Extraction, Transform and Load (ETL) and Preparation Services
• Develop a Publication Plan and Publish data 
• Data Maintenance
• Data Maturity Assessment
2. Fully Hosted and Managed Open Data Platform Solution
3. Development services for the APIs etc.
In addition to this, the Open Data Unit advises on and advocates for the establishement of harvestors to ensure access to data is as efficient and up to date as possible.
";Complement;;"Under Pillar 1 of the Open Data Strategy, the Publishers Pillar, action item number 5 commits to ""Promoting real-time use of Open Data in government bodies to enhance fully transparent decision-making. Educating a critical mass of public servants on effective data management strategies is central 
to the delivery of this goal"". 

Under Public Sector Achievements 
since the first Open Data Strategy outlined on page 13 of the National Strategy, it is outlined that our new portal has ""provided the public with access to Climate model data, NWP data and Radar data in near real time. This has the potential to provide a significant resource for Climate action but also for the participation of Small and Medium Enterprises 
to develop data services and tools based on our data offerings"".

In Appendix 1 under ""Use Cases"", we outline the E-Car Connect Project. 
""E-Car Connect (ecars (esb.ie)) is Ireland’s extensive public charging network that 
displays all charge points on the public charging network across Ireland in real-time. It 
enables car owners to register and pay, to swipe to remotely start and stop charging, 
to monitor and track usage, and to manage your own personalised account. The e-car 
connect mobile application provides car owners with the charger locations, indicates if 
they are in use and if so, when the person started using it. Drivers can also connect and 
pay through the app and even connect to Google maps to bring them to the nearest 
charger. It is part of the ESB’s urgent and focused action to achieve net zero emissions 
by 2040 by putting in place the infrastructure and services to enable Irish customers 
and broader society to live more sustainably."" 

These examples showcase the importance we place on ensuring and incentivising the publication of and access to real-time and dynamic data. ";;;;;;
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";yes; The Open Data Engagement Fund is a grant based fund which provides funding for innovative open data projects.  The Engagement fund is open to all and provides funding to citizen generated data projects such as the Tough Soles project https://toughsoles.ie/trail-info and to events like the Air Quality Hackathon in early 2023: https://airqualitydatahack.com/;Complement;;"The Open Data Engagement Fund 2023/2024 was launched in October 2023. This year we received a record number of applications. Six winners were chosen and received funding for innovative open data projects. 

In our national strategy, we showcase some previous engagement fund winners in our Appendix 1  as can be seen at https://data.gov.ie/docs/Open.Data.Strategy_FINAL_ENG.pdf. In the strategy we also commit to supporting both publishers and users of open data.

Projects chosen for this year include:

1.	Niall Ó'Brolcháin- Alice Perry Mapathon 2024 – Co-creating web pages as visualisations to provide information for policy makers to improve biodiversity and reduce carbon by combining GIS datasets of land use categories, with tabular datasets containing greenhouse gas emissions data, land use data, statistical data and biodiversity data with links to relevant policy documents.

2.	Burcin Yazgi Walsh- This project works with open data to form exhibitable unique visual representations. The main goal is to present an open dataset untraditionally and exhibit the visual pieces in an online exhibition

3.	Markus Helfert/Sana Kiran- This research project dives into the intricate landscape of data quality challenges within open data sources, with a specific focus on the smart mobility domain (Transport Catalogue in the open data portal). Through an exhaustive real data set analysis, its aim to shed light on the practical implications of these data quality challenges.

4.	Paula O'Rourke- HackTheClimate, this Climate Hackathon will be held on Friday 23rd February 2024 in MERITS, Naas, Co. Kildare. It is a collaboration between Kildare County Council Teams (Climate, Innovation and Local Enterprise Office) and MERITS our Innovation ThinkSpace.

5.	 John Rice- A mobile web app that is an interactive map of Ireland overlaid with short-form video content generated from heritage data sources like Duchas, Logainm, National Monuments Service and others.

6.	Brendan Cunningham- Development of a Business-to-Consumer (B2C) web service called ""wateralerts.ie"" that will provide geo-focused alerts on water topics such as tide times river heights flood/rainfall warnings bathing water quality and other water-themed alert data.

Engagement Fund Spotlights: 

 Dave Graham’s article can be read here: https://data.gov.ie/blog/focus-on-the-open-data-engagement-fund 

Niall Ó'Brolcháin's article can be read here: https://data.gov.ie/blog/european-peatlands-and-policies-open-data 

 Water Alerts Website can also be viewed here: https://www.wateralerts.ie/";;;;;;
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";yes;The Irish open data portalhas been federated to Data.europa.eu from the start.;Confirm;;;;;;;;
