;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;There is a definition of the reuse of public information in Article 1 (2) of legislation implementing the PSI, see https://www.althingi.is/lagas/153b/2018045.html. It states that: Reuse of public information refers to the fact that a private party uses such information for a different purpose than was intended when it was obtained by a public party. Sharing of information between public bodies in the interest of their work is not considered to be reuse of information in this sense.;Confirm;;;;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";yes;"https://docs.devland.is/technical-overview/api-design-guide 
Response to reviewer: There is a possibility to monitor what datasets are being used but it is not accessable online.";Confirm;;;;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";yes;"There have been datathons and training for civil servants in the past, see https://www.stjornarradid.is/efst-a-baugi/frettir/stok-frett/2015/11/19/Efni-fra-namskeidi-um-opin-gogn/ and https://www.stjornarradid.is/efst-a-baugi/frettir/stok-frett/2020/08/12/Gagnathon-fyrir-umhverfid-hefst-i-dag-/
Additionally, institutions, particularly those working with high value datasets, have their own courses of action to make data available.";Confirm;;;;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Not Applicable;;;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;Iceland measures number of high value datasets available, see under KPI (Mælikvarðar) - https://island.is/s/stafraent-island/stafraen-stefna;Confirm;;;;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";No;"Iceland measures number of high value datasets available, see under KPI (Mælikvarðar) - https://island.is/s/stafraent-island/stafraen-stefna
Response to reviewer: 
Additionally the score on the European Data Maturity index is used to assess among other re-use of data.";Confirm;;;;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";I don't know;;Change;Yes;Yes, there was a datathon with two univercities and one municipality https://www.rikiskaup.is/is/moya/news/gagnathon-rikiskaupa-1;;;
;4.2 Measuring reuse;;;;;;;;
I8;"Have any public bodies in your country launched or performed any activities in the past year to understand which and how (open) datasets are reused?

For Explanation:
* If yes, which of the following activities?
* Multiple answers are possible.";yes;N/A;Change;Yes;N/A;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;
I8-a;Automated feedback mechanisms tracking users´ access to datasets;new question;new question;Change;No;;;;
I8-b;Surveys;new question;new question;Change;Yes;The ministry of higher education, science and innovation has publicly wished for feedback from users of open data in relation to a change in the PSI legislation;;;
I8-c;Interviews/workshops with reusers;new question;new question;Change;Yes;The ministry of higher education, science and innovation has held workshops both with public bodies and users of open data 2023 to understand better which data is being reused and how it is being reused.;;;
I8-d;Other;new question;new question;Change;No;;;;
I9;"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.";I don't know;N/A;Change;No;N/A;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;
I9-a;Regular feedback sessions with portal users ;new question;new question;Change;No;;;;
I9-b;Social media sentiment analysis ;new question;new question;Change;No;;;;
I9-c;Other;new question;new question;Change;No;"Reykjavík has launched a ""data buffet"" where citizens and others can access open data in a simple manner. The city has encouraged users to give feedback. ";;;
I10;"Have any public bodies in your country developed any systematic way of gathering reuse cases?

For Explanation:
* If yes, please provide a brief explanation of the process: How does the gathering happen? ";I don't know;;Confirm;No;;;;
