;Dimension 1: Open Data Policy;;;;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;;;;
;1.1 Policy framework;;;;;;;;;;;
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"The transposition of the Open Data Directive was made by Legislative Decree 200/2021 [ https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2021;200#:~:text=DECRETO%20LEGISLATIVO%208%20novembre%202021%2C%20n.%20200%20Attuazione,%2821G00213%29%20note%3A%20Entrata%20in%20vigore%20del%20provvedimento%3A%2015%2F12%2F2021] that has amended the Legislative Decree no. 36/2006 [ https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2006-01-24;36!vig= ]. 
This Decree has introduced the Guidelines for a better implementation of the arrangements set out in the Decree and in the Directive, see https://www.agid.gov.it/sites/default/files/repository_files/lg-open-data_v.1.0_1.pdf.
This document, for wich the adoption procedure is now concluded only waiting the signature of the Director General and the pubblication in the Gazzetta Ufficiale della Repubblica italiana,  aims at supporting public administrations and other subjects in the process of open data and reuse of public sector information through specific requirements and recommendations. Specifically, these indications concern formats, publication, metadata profiles, licences and pricing, re-use requests and search tools, all aspects regulated by the Directive and the Decree.  The document also includes indications on organisational aspects and data quality, albeit not binding as they are not regulated by the indicated rules.";Change;Yes;"The transposition of the Open Data Directive was made by Legislative Decree 200/2021 [ https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2021;200#:~:text=DECRETO%20LEGISLATIVO%208%20novembre%202021%2C%20n.%20200%20Attuazione,%2821G00213%29%20note%3A%20Entrata%20in%20vigore%20del%20provvedimento%3A%2015%2F12%2F2021] that has amended the Legislative Decree no. 36/2006 [ https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2006-01-24;36!vig= ]. 
This Decree has introduced the Guidelines for a better implementation of the arrangements set out in the Decree and in the Directive, see https://www.agid.gov.it/sites/default/files/repository_files/lg-open-data_v.1.0_1.pdf.
This document  aims at supporting public administrations and other subjects in the process of open data and reuse of public sector information through specific requirements and recommendations. Specifically, these indications concern formats, publication, metadata profiles, licences and pricing, re-use requests and search tools, all aspects regulated by the Directive and the Decree.  The document also includes indications on organisational aspects and data quality, albeit not binding as they are not regulated by the indicated rules. Finally the document foresees the adoption of a guidance document for high-value datasets.";;;;;;
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"The open data strategy is defined by different legislation and documents.

The Three-year Plan for Information Technology in Public Administration is the national strategic document for all Public Administrations that oversees the digital transformation of the country [ https://www.agid.gov.it/it/agenzia/piano-triennale and https://www.agid.gov.it/sites/default/files/repository_files/piano_triennale_per_linformatica_nella_pa_2022-2024.pdf]. The Plan is an important document to promote the digital transformation of the country and, in particular, that one of the Italian Public Administration, through the declination of the strategy on digitization into operational indications, such as objectives and expected results, traceable to the administrative action of PAs. Within the Three-Year Plan, a specific chapter (Chapter 2) is dedicated to Data of the public administration. In line with the principles set out and in continuity with the actions started with the previous Plans, the latest update 2022-2024 of this Three-Year Plan aims at ensuring greater effectiveness of administrative activity in all processes involving the use of data, both with reference to the sharing of data between public administrations for institutional purposes, and with reference to the re-use of data, for both commercial and non-commercial purposes, according to the open data paradigm. The chapter includes specific objectives, expected results and actions to achieve those objectives also in line with the arrangements of the Open Data Directive, the national transposition act and the Guidelines on open data introduced by the national legislation.
The objectives and the related expected results about data and open data included in the Three-Year Plan are as follows:
OB.2.1 - Promote data sharing among PAs and reuse by citizens and businesses
- R.A.2.1a - Increase the number of databases of national interest available through APIs consistent with the interoperability model and national and European data model.
- R.A.2.1b - Increasing the number of open dynamic datasets consistent with the provisions of Directive (EU) 2019/1024 with particular reference to their publication through APIs
- R.A.2.1c - Increasing the number of spatial datasets made available through the network services under Directive 2007/2/EC (INSPIRE).
OB.2.2 - Increase the quality of data and metadata.
- R.A.2.2a - Increase the number of datasets with quality metadata complying with the European and national reference standards
- R.A.2.2b - Increasing the number of open datasets made available by public administrations
OB.2.3 - Increasing awareness of policies to enhance the value of information assets public and on a modern data economy
- R.A.2.3b - Increase the number of open datasets available with the licenses provided for by the Open Data Guidelines (CC BY 4.0 and CC0)

The article 50-ter of the Digital Administration Code (CAD) [ https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2005-03-07;82  ], with the aim of redesigning digital governance, speeding up the digitization of public services and simplifying relations between citizens and the public administration, among other provision, foreseen the adoption of a National Data Strategy, by subsequent decree of the President of the Council of Ministers. 
The aforementioned article of the CAD, among other things, is a strong boost to the availability and interoperability of data of public administrations and public service undertakings, as well as the consolidation of the API catalogue, within the National Digital Data Platform established by the abovementioned art. 50-ter itself.

Furthermore, in line with the provisions of the action plan for EU eGovernment 2016-2020 (COM (2016) 179 final, and new European interoperability framework (COM (2017) 134 final, particular attention is given to the need for better coordination between various data policies, in particular for the implementation of the INSPIRE directive in the context of eGoverment policies. 
On this basis, the Three Years Plan highlights that the spatial information follows the implementing rules of the INSPIRE directive with regard to data harmonization, data access services, interoperability models, etc., whereas it is necessary to follow the rules of the implementation of the Open Data directive for everything concerning the conditions for data re-use (licensing, pricing, etc.).

The “Protocol for data management and Open Data” document, adopted in the “Data and Open Data Management Working Group” of the Steering Committee for the coordination of “OT11 and OT2” interventions within the framework of the Italian Partnership Agreement, includes a list of actions for the public administrations in the context of a national strategy in this area (see  https://ot11ot2.it/  and http://network.ot11ot2.it/sites/default/files/opendata1_elementi_tecnici_e_strategie_v4_0.pdf https://ot11ot2.it/linee-guida-e-protocolli/protocollo-data-e-open-data-management).
Inter alia, the document includes a dynamic “Basket of key datasets” -” (available for the download) annually updated. This “basket” is the basis for the calculation of the indicator 2RIS ""Number of public databases available as open data (in percent) on the public databases of a selected basket"" as defined in the 2014-2020 Partnership Agreement and to be published until 2023; at the same time, it is also a qualitative indicator with reference to the implementation of open data strategy (see https://www.dati.gov.it/monitoraggio/paniere-dataset).
The ""Basket"" is basically based on some  priority datasets, identified through the activities carried out over the years and in any case referred to: i) the government commitments (as the Italian Action Plan for G8 Open Data Charter), ii) the initiatives of the administrations, iii) the requests of the stakeholders, iv) the proposals emerged in the context of the ""Data and Open data management"" Working Area of the OT11-OT2 network, v) the commitments undertaken in the context of the Open Government Partnership (Action Plan of the OGP in the Open Data and Transparency theme), vi) the strategy of reference outlined with the Three-Year ICT Plan.

Other supporting documents for the open data strategy:
“Guidelines for data catalogs” - according to the national metadata profile DCAT-AP_IT. 
[ https://www.dati.gov.it/content/dcat-ap-it-v10-profilo-italiano-dcat-ap-0 ]

“Guidelines for the implementation of the GeoDCAT-AP specification”- to implement in Italy the specification defined under the ISA / ISA2 programme, for enabling and ensuring access to geodata, also through the national open data portal.
[https://geodati.gov.it/geoportale/documenti/12-documenti/277-linee-guida-nazionali-geodcat-ap]

“Guidelines about technical rules for the definition and updating of the content of the National Catalogue for Spatial Data”.
[ https://agid.github.io/geodocs/rndt-lg/2.0.1/  ]";Confirm;;;;;;;;
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;A specific page in the national open data portal dati.gov.it includes all references to open data policy/strategy and guidelines of the Italian regions, including title and URL of the documents: [ https://www.dati.gov.it/riferimenti-normativi-linee-guida-regionali ].;Confirm;;;;;;;;
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;"As mentioned above (Q 1.3) a specific section of the Three-Year Plan for ICT in the PA 2022-2024 is dedicated to Data and open data with specific actions to be implemented [https://www.agid.gov.it/sites/default/files/repository_files/piano_triennale_per_linformatica_nella_pa_2022-2024.pdf ]

The strategic objectives (OB) and expected results (RA) included in the Plan are: 

OB.2.1 - Promote data sharing among PAs and reuse by citizens and businesses
- R.A.2.1a - Increase the number of databases of national interest available through APIs consistent with the interoperability model and national and European data model.
- R.A.2.1b - Increasing the number of open dynamic datasets consistent with the provisions of Directive (EU) 2019/1024 with particular reference to their publication through APIs
- R.A.2.1c - Increasing the number of spatial datasets made available through the network services under Directive 2007/2/EC (INSPIRE).
OB.2.2 - Increase the quality of data and metadata.
- R.A.2.2a - Increase the number of datasets with quality metadata complying with the European and national reference standards
- R.A.2.2b - Increasing the number of open datasets made available by public administrations
OB.2.3 - Increasing awareness of policies to enhance the value of information assets public and on a modern data economy
- R.A.2.3b - Increase the number of open datasets available with the licenses provided for by the Open Data Guidelines (CC BY 4.0 and CC0).

For each objective and expetced result listed above, the Plan defines specific actions that AgID and the other public administrations have to performed.";Confirm;;;;;;;;
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"A specific expected result in the section dedicated to data in the Three Year Plan for ICT in the PA [https://www.agid.gov.it/sites/default/files/repository_files/piano_triennale_per_linformatica_nella_pa_2022-2024.pdf]  
concerns the increasing of the number of dynamic open datasets consistent with the provisions of Directive (EU) 2019/1024, with particular reference to their publication in open and machine-readable format through APIs. The targets set are:
Target 2023 - Documentation in the national open data catalog of at least 300 dynamic datasets.
Target 2024 - Documentation in the national open data catalog of at least 400 dynamic datasets.
To reach those targets, the PAs and the undertakings fulfilling public services are required to identify the dynamic datasets to be opened and published in accordance with Directive (EU) 2019/1024 and document them in the national data portals.

Linked to that, the Legislative Decree no. 36/2006, as amended by the Legislative Decree no. 200/2021 transposing the Directive 2019/1024, includes specific provisions for dynamic data. Furthermore, the Guidelines for the implementation of that Decree define further specific arrangements, including requirements and recommendations, for the publication and the access to dynamic data (see https://www.agid.gov.it/sites/default/files/repository_files/lg-open-data_v.1.0_1.pdf).";Confirm;;;;;;;;
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The Fifth OGP National Action Plan includes a specific action for the pubblication of open data (in open and machine-readable format) about the public tenders, where the civil society is fully engaged (see https://open.gov.it/sites/default/files/media/documents/2022-03/5nap-piano-azione-governo-aperto-italia.pdf).

RESPONSE TO THE REVIEWER
The action includes the following steps:
- reconnaissance of currently existing data sources that can complement that of ANAC (the anti-corruption authority) on public tenders to best cover the information needs of civil society;
- Integration of ANAC data with other data sources - e.g.: OpenCUP (that makes available data, in open format, on public investment decisions financed with national, community or regional public funds or private resources registered with the Unique Project Code), OpenCoesione (open government initiative on cohesion policies in Italy with the aim of promoting the effectiveness of interventions through the publication of data on funded projects and widespread civic participation.);  possibility of synergies with the ""participation"" action and civic debate. 
This action will be in charge of civil society organizations and aims to make the results of empowerment concrete: ANAC will play the role of the facilitator;
- collection of feedback, suggestions for improvement of data portals;
- Updating or extending the semantic content published;
- publication of APIs.

The action also includes the integration of data 
coming from civic monitoring (i.e. citizen-generated data) on projects receiving support from public resources. Civic monitoring means collecting data, evidence, information, news, interviewing actors involved in the design and implementation of interventions, visiting places and construction sites, fostering transparency and collaboration, and making proposals.
";Confirm;;;;;;;;
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";yes;"As both national catalogues (open data portal and catalogue for spatial data) are harvested by data.europa.eu, all data documented in those catalogues are also discoverable in data.europa.eu. Consequently, this affects also the aforementioned types of data, as, based on specific actions and requirements in the Three-Year Plan for ICT, PAs are required to document data in the mentioned catalogues.

The Legislative Decree No. 36/2006 (amended by the Legislative Decree No. 200/2021 transposing the Directive (UE) 2019/1024) includes a specific provision for documenting data falling within the scope of the Open Data Directive and the related transposing Decree (so also dynamic data, geospatial data, etc.), through metadata, in the aforementioned catalogues. 
Furthermore, the Guidelines for the implementation of the National Open Data Decree (transposing the Open Data Directive) explicitly mention the European portal data.europa.eu.

Finally, in case of geospatial data the creation and publication of metadata are mandatory based on specific law (art. 59 of the Digital Administration Code). In case of geospatial data also available as open data, metadata documented in the catalogue for spatial data are also made available in the open data portal through GeoDCAT-AP. In order to avoid duplications in data.europa.eu portal, a filter is applied to the endpoint for excluding metadata for spatial data (already harvested from the national catalogue for spatial data).";Confirm;;;;;;;;
