;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;"Article 3 (point 4) of the Law on the Right to Information and Re-use of Data 
https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.94745/asr. 
„RESPONSE TO REVIEWER“: ""4 . Reuse of data - the use of data by applicants and/or their representatives for commercial or non-commercial purposes, which differ from the original purpose of data preparation, in the performance of a public function. Data exchange between institutions or between institutions and state-run entities in the performance of public functions is not considered data reuse.""";Complement;;"Article 3 (point 4) of the Law on the Right to Information and Re-use of Data: 4 . Reuse of data - the use of data by applicants and/or their representatives for commercial or non-commercial purposes, which differ from the original purpose of data preparation, in the performance of a public function. Data exchange between institutions or between institutions and state-run entities in the performance of public functions is not considered data reuse. 
https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.94745/asr

Article 2 point 4) of the Law on the Reuse of Health Data: 4. Reuse of health data - processing of health data in the areas specified in this law for purposes different from the original purpose of collecting health data. https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/72c77a52626411ecb2fe9975f8a9e52e/asr";;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";yes;Open Data Portal  has tools in place to monitor data usage. Google Analytics is used to monitor data user behaviour as well. Also, a study was carried out in June 2022 to determine the level of the re-use of open data, the impact of open data etc. among public sector institutions (https://data.gov.lt/news/27). An overview of this study was published in September 2022 - https://data.gov.lt/news/30;Complement;;"1. The National Open Data Portal has tools to monitor data usage, including views, searches, downloads, feedback/comments on data quality.
2. Google Analytics is also used to track user behavior.
3. In June 2022, a study was conducted to evaluate the reuse of open data and its impact among public sector institutions. An overview of this study was published in September 2022. You can find more details here: (https://data.gov.lt/blog/2022/06/20/atlikta-duomenu-atverimo-pazangos-ir-poveikio-vertinimo-apklausa/) and the overview here: (https://data.gov.lt/blog/2022/09/29/kvieciame-susipazinti-su-pirminiais-atviru-duomenu-pazangos-ir-poveikio-vertinimo-apklausos-rezultatais/).
4. The open data license (CC BY) requires users to cite the data source, which helps us identify such cases using search engines (Google etc.).
5. The State Data Agency regularly showcases the best examples of open data usage at public events, seminars, workshops, and conferences. This task requires a regular scanning of media, social media, and scientific chat groups to find the most recent examples.";;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";yes;"A study/questionaire for institutions was carried out in June 2022 to determine the level of the re-use of open data, the impact of open data etc. among public sector institutions (https://data.gov.lt/news/27). An overview of this study was published in September 2022 - https://data.gov.lt/news/30. 
The Ministry of Economy and Innovations periodically promotes re-use of open data seeking to show a sense of data opening for institutions:
https://eimin.lrv.lt/lt/naujienos/auga-tiek-atvertu-duomenu-kiekis-tiek-domejimasis-jais 
https://eimin.lrv.lt/lt/naujienos/pernai-gautos-159-uzklausos-del-duomenu-atverimo-populiariausi-teisingumo-ministerijos-duomenys
";Complement;;"Most efforts are focused on persuading institutions to open their data, but several incentives are in place to encourage the reuse monitoring process:
1. The State Data Agency leads an RRF-funded project aimed at centralizing national data and producing open data. This provides a strong incentive to monitor and collect best practices for using open data to convince other institutions to share their data with the centralized Data Lake.
2. The State Data Agency makes public announcements each time it opens a dataset (https://duomenys.stat.gov.lt/naujienos/). After these announcements, the Agency searches for examples and use cases of reused published data. There is a feedback loop for agencies that provided the data for opening to receive feedback about data quality. Additionally, there is a centralized place to collect open data requests and an automated process to respond to such requests.
3. As mentioned in the previous response (question I2, answer 3), a survey conducted in June 2022 evaluates the reuse of open data and its impact among public sector institutions.
4. The Ministry of Economy and Innovation periodically promotes the reuse of open data to showcase the value of data openness for institutions:
https://eimin.lrv.lt/lt/ziniasklaidai/naujienos/eimin-didesnis-duomenu-prieinamumas-ir-pakartotinis-naudojimas-leistu-sutaupyti-daugiau-kaip-4-mln-euru-valstybes-lesu/
https://eimin.lrv.lt/lt/ziniasklaidai/naujienos/auga-tiek-atvertu-duomenu-kiekis-tiek-domejimasis-jais/
https://eimin.lrv.lt/lt/ziniasklaidai/naujienos/pernai-gautos-159-uzklausos-del-duomenu-atverimo-populiariausi-teisingumo-ministerijos-duomenys/
https://eimin.lrv.lt/lt/ziniasklaidai/naujienos/eimin-iniciatyva-atveriama-dar-daugiau-svarbiu-duomenu/
5. The Information Society Development Committee encourages institutions, companies, and individuals to share their open data reuse cases:
https://data.gov.lt/blog/2023/09/11/pasidalink-atviru-duomenu-panaudojimo-atvejais/
https://www.linkedin.com/posts/information-society-development-committee_lietuvos-atvir%C5%B3-duomen%C5%B3-portale-httpsdatagovlt-activity-7107274048618831873-MUg5?utm_source=share&utm_medium=member_desktop";;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;There are opened more than 200 high-value data sets on the national opena data portal. It is used the same measures, mentioned in questions I2 and I3, are used to monitor and measure the level of reuse of high-value datasets. Also, there is a funcktionality on the the national portal to monitor the number of downloads of the each dataset, including high-value, for example: Data on waste generation and management is downloaded 5061 times, Data from annual water use accounting reports -5295, Information about water measuring stations - 8655 (https://data.gov.lt/datasets/?selected_facets=groups_exact%3A1&page=10). These numbers show the most populars high-value datasets and we can assume that these data are reused.;;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;"The impact of open data is defined in a Methodology for assessing the impact of opening up data (definition is specified in page 1, point 3) The document for download is available - https://ivpk.lrv.lt/uploads/ivpk/documents/files/Poveikio%20vertinimo%20metodika_%20Projektas.docx 
„RESPONSE TO REVIEWER“: ""3. The impact of data opening is understood as the added value of the open data initiative to the country's economy, social and political environment.""";Complement;;The impact of open data is defined in a Methodology for assessing the impact of opening up data (definition is specified in page 1, point 3. „The impact of data opening is understood as the added value of the open data initiative to the country's economy, social and political environment“). The document for download is available - https://ivpk.lrv.lt/uploads/ivpk/documents/files/Poveikio%20vertinimo%20metodika_%20Projektas.docx ;;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";yes;Methodology for the monitoring of open datasets, establishing monitoring indicators for open datasets and the methods of monitoring the data opening is approved by the Order of Director of Information Society Development Committee - https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/b781e5c0804e11eb9fc9c3970976dfa1?jfwid=-a3k5cpix9.;Complement;;"Methodology for the monitoring of open datasets, establishing monitoring indicators for open datasets and the methods of monitoring the data opening is approved by the Order of Director of Information Society Development Committee - https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/b781e5c0804e11eb9fc9c3970976dfa1?jfwid=-a3k5cpix9.
The Ministry of Economy and Innovation made carried out predictive calculations of the impact of open data on the Lithuanian economy according to the methodology of the European Commission (https://eimin.lrv.lt/uploads/eimin/documents/files/Open%20data%20Poveikis%20ekonomikai.pdf).";;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;"""Transparency International Lithuania” collaborating with the Parliament to obtain data created online political integrity monitoring tool called Manoseimas.lt. The tool contains agendas of Members of Parliament including their meetings with interest groups and registered lobbyists allowing to compare the activity of individual MPs as well as different political groups. Moreover, recently the tool was updated with the data about long-term permits to access the Parliament, being one of the very few countries in the world to publish such information. Permits data was also matched with data from parliamentary committees meetings to see who and how much used their permits to participate in commitees discussions. Currently, Manoseimas.lt is being updated with 4 years data on committees’ meetings.";Complement;;"1. As mentioned in question I3, answer 2, the National Open Data Portal includes a feature for the civil society to request new open data. This functionality is promoted at every conference, workshop, and presentation in which the State Data Agency participates.
2. The State Data Agency frequently meets with higher education institutions (both students and teachers) to discuss available open datasets and explore potential research topics. We are aware of at least three master's level students using our open data in their theses.
3. The State Data Agency offers virtual environments with sensitive anonymized data for safe analysis. Some requests for sensitive data access are redirected to a different track, resulting in the creation of demand-driven open data collections accessible to everyone instead of private access.
4. The State Data Agency, as the national statistics bureau, frequently receives inquiries about statistical indicators. Recently, the agency has developed a practice of converting individual single-indicator requests into universal demand-driven open datasets, allowing for wider reuse and more nuanced analysis, as this data is more detailed than simple statistical indicators.
5. As the State Data Agency leads an RRF-funded project aimed at centralizing national data into a single Data Lake, one of its tasks is to systematically interview every potential data provider. So far, approximately 300 in-depth interviews have been conducted. Data providers are incentivized to share their data with the promise that making some data open will significantly reduce the burden of individual requests from the public, such as custom statistical indicators. Institutions are asked about the most frequent public requests, and these responses are treated as an indirect public survey (""what do people want to know""), leading to the publication of more useful datasets.
6. ""Transparency International Lithuania,"" in collaboration with the Parliament, created an online political integrity monitoring tool called Manoseimas.lt. This tool includes the agendas of Members of Parliament, their meetings with interest groups, and registered lobbyists, allowing for comparisons between individual MPs and different political groups. Recently, the tool was updated with data on long-term permits to access the Parliament, making Lithuania one of the few countries to publish such information. Permit data was also matched with parliamentary committee meetings to track permit usage for committee discussions.
7. The national Open Data conference, ""Open Data Opportunities - See What is Not Visible!"" aimed to present the work done by the public sector and the current affairs of data users. During the event, representatives from the OECD, Lithuania's public sector, business, and the academic community shared their current challenges, opportunities, and experiences in data impact and reuse (https://www.youtube.com/watch?v=owjZYMphpBI).
8. The Information Society Committee cooperates with Mykolas Romeris University, presenting to master's students about the possibilities of open data.";;;
