;Dimension 1: Open Data Policy;;;;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;;;;
;1.1 Policy framework;;;;;;;;;;;
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;Luxembourg's open data policy is expressed in the law https://legilux.public.lu/eli/etat/leg/loi/2021/11/29/a836/jo#:~:text=base%20non%20modifi%C3%A9-,Loi%20du%2029%20novembre%202021%20sur%20les%20donn%C3%A9es%20ouvertes%20et,des%20informations%20du%20secteur%20public.&text=de%20donn%C3%A9es%20de%20la%20recherche,d%C3%A9finies%20%C3%A0%20l'article%2010. which transposes the open data directive.;Confirm;;;;;;;;
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"https://data.public.lu/fr/strategy/

o PSI: public sector institutions are invited to make their data available as much as possible, and to profit from existing open data.
o Metadata: an important factor in the open data project is the availability of complete and normalized metadata.
o Infrastructure: Central platform – decentralised data : Datasets are to be made available online by the data producers, either at their own websites or at the level of the national open data portal http://data.public.lu, where all existing data should be registered. Links and APIs are to be used to avoid double storage of data and versioning differences and to permit access to live data.
o Searchability: quality and precision of the tags assigned to the data sets allow for a focused search.";Confirm;;;;;;;;
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";not applicable;;Confirm;;;;;;;;
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;"The road map https://data.public.lu/en/pages/5yearplan/ contains more concrete actions to be undertaken, like f.e.
Ensure, in the light of the Open data Act and the Freedom of Information Act, that more data is opened up by providing technical and legal assistance to data owners to publish their data. The focus will be on the following topics
file formats, standards, automation of data publication;
decision support for licensing;
data protection considerations.
Promote the publication of higher quality and easier to use Open data.
Collaborate with the Luxembourg government's interoperability programme to encourage the publication of data in standard and interoperable formats.
Collaborate with the Luxembourg government's AI4Gov programme to foster the availability of open datasets that can be used for AI.
Collaborate with the ecosystem established under the Data Governance Act (re-use of certain categories of protected data held by public sector bodies).
Organise events:
Collaborative hackathons on a given theme;
Training for public sector employees;
Awareness-raising events.
Improve the quality and currency of metadata through awareness campaigns and audit procedures. Quality metadata allows data to be found more easily by users of the Open data Portal.
Recurrent monitoring of data and metadata quality and of the activity of organisations in the field. Present monitoring results in a public dashboard.";Confirm;;;;;;;;
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The strategy says ....
""Data quality
Data should be offered and updated as much as possible in standard, interoperable, machine-readable formats, accessible and delivered via web services, APIs and mass download. Real-time data should be provided unless disproportionately burdened.""
.. and the roadmap contains the following passage:
""Real-time data:
promote and increase the visibility of real-time datasets and reuses on the portal;
identify strategic real-time data that has not yet been published and support its implementation and publication;
organise an event to raise awareness of real-time data: added value for end-users, success stories, links to the Internet of Things, technical architectures, interoperability and standards.""";Confirm;;;;;;;;
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";no;;Confirm;;;;;;;;
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";yes;"The strategy says: Coordinated collaboration with other national data initiatives as well as with European and international data portals ensures that Luxembourg data are visible and usable in a wider context and can lead to added value contributions.
... and ...
For this reason - unless prohibited by law - this data must be collected, properly described, published and thus made discoverable and reusable, via national and European platforms including the national portal data.public.lu, the geoportal, the statistical portal and the European portal.

";Confirm;;;;;;;;
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Extract from the strategy text : 
Public sector institutions are encouraged to make greater use of Open data (principle of data-driven government and data-driven decision-making), and to document their re-use cases on the national Open data portal. Re-use of data within the public sector reduces 
production costs and improves the quality and impact of this data.
";Confirm;;;;;;;;
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";no;;Confirm;No;;;;;;;
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;"Extract from the strategy text: 
A key objective of this strategy is to publish inventories of existing data from public sector institutions, including lists of datasets considered to be of high value, in accordance with the legislation.
";Confirm;;;;;;;;
P10-b;"Do these data inventories include the data collected by public bodies that cannot be published as open data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For Explanation:
* If yes, please briefly specify.";yes;The proposed template for the data inventory https://data.public.lu/fr/datasets/template-pour-linventaire-de-donnees-dans-le-cadre-de-lopen-data/ suggests to insert also data that cannot be published as open data. This will indeed be interesting in the scope of the DGA;Confirm;;;;;;;;
P11;"Is your country applying the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.";new question;new question;Change;Yes;"Luxembourg is working intensively on the High Value Data project. Here some key information:
- the open data strategy https://data.public.lu/fr/pages/strategy/ mentions the 6 HVD themes as priority
- in the scope of the national interoperability programme, the Ministry of digitalisation sponsers a project called ""HVD4Gov"", aiming at implementing a central national technical platform for Luxembourg's High Value data. In the scope of this project, which is ongoing since 2023, the stakeholders have been contacted, inventories have been made, a gap-analysis has been or is performed for each dataset to assess it's conformity to the regulations specifications and a dedicated infrastructure has been implemented. This infrastructure is built on top of Luxembourg's national INSPIRE portal https://catalog.inspire.geoportail.lu/geonetwork/srv/eng/catalog.search#/home an will provide a central data warehouse for the HVD as well as metadata and API and bulk download functionality.
The project is progressing well and we aim at being online for the deadline with a part of the data. Some of the data (meteo) will be provided directly by the data owners who have an own infrastructure. As far as is known today, this data will be available for the deadline.";;;;;;
;Categories of high-value datasets;Answers  2024;;Degree of progress (from 1 to 5);;;;;;;;
;;Organisational progress;Legal progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;;;;
;;Setting up new roles and workflows;Addressing legal barriers;Identification and inventory of high-value datasets;Publication of high-value datasets in machine-readable formats via APIs;Publication of high-value datasets as bulk download, where relevant;Standardised means to structure, describe, access high-value datasets;Ensuring metadata availability and quality;;;;
P11-a;Geospatial;4;N/A;5;5;3;5;5;;;;
P11-b;Earth observation and environment;3;N/A;5;3;3;5;4;;;;
P11-c;Meteorological;4;N/A;5;4;4;5;5;;;;
P11-d;Statistics;3;N/A;5;4;3;5;4;;;;
P11-e;Companies and company ownership;1;1;1;1;1;5;1;;;;
P11-f;Mobility;2;N/A;2;2;2;5;2;;;;
P12;"Have the public bodies in your country denoted relevant datasets as high-value datasets in their metadata following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
*  If yes, please specify how and highlight challenges, if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;As mentioned before about Luxembourg's HVD4Gov project, an initial action was to identify possible HVD data owners and to contact them  to initiate inventory processes in relation to the IR 2023/138. As project team we provided initial inventories with the datasets that were already known and that we considered possibly relevant in this context. In several meetings and exchanges it was possible to achieve complete lists of existing HVD relevant data. Most of the participants considered the gap analysis, where the requirements in the annex of the IR were checked in regard to the actual properties of the data, as quite challenging.;;;;;;
;1.2 Governance of open data;;;;;;;;;;;
P13;"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model ";new question;new question;Change;Yes;There is a national governmental group of the open data officers. Indeed the letter of the Prime Minister about open data https://data.public.lu/fr/datasets/lettre-circulaire-aux-departements-ministeriels-administrations-et-services-de-letat-donnees-ouvertes/ requires every public sector organism to designate responsible contact persons for open data. And the governmental organisation that is responible for the opendata dossier ( Service information et presse - open data & access to information division) animates this group as part of its efforts of sensibilisation and coordination. Regular events like meet-ups or trainings are part of the initiative. https://data.public.lu/fr/posts/le-premier-open-data-meetup-du-gouvernement/;;;;;;
P14;"How would you classify the model used for governing open data in your country? 

For Explanation:
*  Please briefly explain why this model was chosen/works best for your country";hybrid;In the beginning of Luxembourg's open data initiative, the first important data input came from interested organisations like Administration du cadastre et de la topographie, Centre des Technologies de l'Information CTIE, Transport Ministry, Statistics administration STATEC etc. Their strategic datasets allowed interesting re-uses which could be displayed int our re-use section to demonstrate the potential of opendata and to trigger further data opening. This bottom-up approach was completed later by strategic top-down measures like the creation of the divison open data et accès à l'information at State Ministry / SIP, the launch of the open data strategy working group, the collaboration with the Digital Luxembourg programme or the AI 4 Government project, and recently the official decision of the strategic texts (strategy  https://data.public.lu/en/pages/strategy/, roadmap https://data.public.lu/en/pages/5yearplan/ and governance https://data.public.lu/en/pages/governance/);Confirm;;;;;;;;
P15;"Does the governance structure ensure that the local and regional open data initiatives are facilitated and supported at national level?

For Explanation:
* If yes, please give an example of what kind of support.
* If not applicable, please explain why.";new question;new question;Change;Yes;As in Luxembourg there are no regional structures, only governmental and local (municipality) level exist.Municipalities have a certain degree of administrative autonomy but are represented in the open data initiative by the ministry of home affairs.;;;;;;
P16;"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.";few public bodies;;Confirm;Few public bodies;Most of the municipalities are of very small size and do not have the staff or other means to focus on open data. There are only 2 relatively big municipalities which actively participate in the open data project on their own.;;;;;;
P17;"Is a document describing the responsibilities and governance structure of the national (and/or regional/local) open data team publicly available?

For Explanation:
* If yes, please provide the URL where this information is published. ";yes;https://data.public.lu/en/pages/governance/;Confirm;;;;;;;;
P18;"Is there a regular exchange of knowledge or experiences between the national open data team and the team maintaining the national portal? 

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;The portal is operated on the technical level together with the national geoportal and the national INSPIRE portal by the geoportal department, in collaboration with the open data team, as described in the document https://data.public.lu/en/pages/governance/;Confirm;;;;;;;;
P19;"Does the governance model include the appointment of official roles in civil services that are dedicated to open data (e.g. open data officers)?

For Explanation:
* If yes, please describe how this task is fulfilled at public body level.";yes;"The governance text https://data.public.lu/en/pages/governance/ says ""In these roles, the division's staff cooperate on an ongoing basis with the geoportal service and regularly exchange information with the data managers and disclosure officers of public bodies."". Indeed the official letter of the Prime Minister to all ministries and governmental services https://data.public.lu/fr/datasets/lettre-circulaire-aux-departements-ministeriels-administrations-et-services-de-letat-donnees-ouvertes/ orders all organisms to name official open data representatives in the scope of the open data legislation. The names and contact details of these representatives have to be communicated to the open data team at SIP/Ministry of State.";Confirm;;;;;;;;
P20;"Is there a regular exchange of knowledge or experiences between the national open data team and the wider network of open data officers in your country? 

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;"The above mentioned letter by the PM https://data.public.lu/fr/datasets/lettre-circulaire-aux-departements-ministeriels-administrations-et-services-de-letat-donnees-ouvertes/ has only been sent quite recently, and actually (April 2023) the process of receiving the answers, with the names of the open data officers, is still ongoing. Therefore there have so far only been 1 -to-1 meetings with every organisation, to discuss the relevant topics like:
- co-existence of the legislation of access to information (disclosure of administrative documents) and the opendata legislation (re-use of documents and data)
- what data is concerned
- data inventory
- use of the data portal, metadata, tagging, contact and exchange with users
- data harvesting
- legal exceptions
These exchanges happen via Skype calls, and there is no documentation about these calls online unfortunately.";Complement;Yes;In addition to what has been said in 2023 we would like to  mention the continuous exchanges with the open data offices at personal level to  focus on data awareness, inventory and interaction with the national portal, as well as the newly launched meet-up series with the opendata officials to  provide a platform for exchanges, best practices and presentation, also in collaboration with the new national data service Luxembourg National Data Service LNDS https://www.lnds.lu/. Here an article about the first event of the series https://data.public.lu/fr/posts/le-premier-open-data-meetup-du-gouvernement/;;;;;;
P21;"Is there a regular exchange of knowledge or experiences between public sector bodies (i.e. the providers) and open data reusers (e.g. academia, citizens, businesses)?

For Explanation:
* If yes, please briefly describe how this exchange takes place and provide evidence supporting your answer (e.g. meeting agendas, URLs to news items).";yes;These exchanges happen on the one hand via the feedback mechanism of the portal (where there is a noticeable rise of the incoming messages and questions) and during events like the hackathons (example for last event https://govtechlab.public.lu/en/agenda/2022/hackathon-opendata1.html );Confirm;;;;;;;;
;1.3 Open data implementation;;;;;;;;;;;
