;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;The following term is used in Freedom of Information Law: https://likumi.lv/ta/en/en/id/50601-freedom-of-information-law;Confirm;;;;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";yes;Monitoring the visits and downloads of the data sets. (each dataset can have individual report in Google Analytics, there is no general URL);Confirm;;;;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";yes;"One of the most active re-users is SIA Jāņa Sēta, which uses the data to produce maps and links cartographic and geospatial data with information technology: https://www.kartes.lv/lv/

Update August
It should be noted that the institutions are currently improving the publication of data within their remit to make it more user-friendly and easier to re-use. For the time being, it is not possible to see more than the statistics for each dataset, but there are plans to develop re-use at a different level in the future by inviting institutions to share re-use targets and other types of information.";Confirm;;;;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"Each dataset shows its view. In the future, you will be able to see statistics about the loading of a dataset.
For example: https://data.gov.lv/dati/lv/dataset?tags=augstv%C4%93rt%C4%ABg%C4%81+datu+kopa";;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;"Various aspects of the impact of open data are described in Latvian Open data strategy http://tap.mk.gov.lv/doc/2019_08/VARAM_info_zin_dati_1308.1376.docx  
Page 16, section 3.1., page 24, section 5.1.1., page 27, section 5.2.1. 

August Update
Data availability will also contribute to data impact indicators as well as to data quality: direct feedback from data re-users will contribute to data quality and, indirectly, to feedback on the relevance of data usability and use to societal needs, in the diversity of products offered by companies";Confirm;;;;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";yes;"The “open by default” guidelines (https://data.gov.lv/lv/publicetajiem)
Key points:
open and accessible public administrtaion; information about the work and services of public administration in a way that is easily accessible and understandable to the public; reducing corruption; the public is given the opportunity to analyse data; new products, services and research can be developed from data.";Confirm;;;;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;In cooperation with Rigas Technical University, we propose research topics for students, including topics related to open data.  Papildus mums ir sadarbība ar NVO. ;Confirm;;;;;
;4.2 Measuring reuse;;;;;;;;
I8;"Have any public bodies in your country launched or performed any activities in the past year to understand which and how (open) datasets are reused?

For Explanation:
* If yes, which of the following activities?
* Multiple answers are possible.";yes;N/A;Confirm;;;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;
I8-a;Automated feedback mechanisms tracking users´ access to datasets;new question;new question;Change;Yes;Jāņa sēta/ dodies.lv, Openstreet map , Lursoft use the data using the data for developing they products and services.;;;
I8-b;Surveys;new question;new question;Change;Yes;"Survey: 
chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.vzd.gov.lv/lv/media/7701/download?attachment";;;
I8-c;Interviews/workshops with reusers;new question;new question;Change;Yes;Google is interested in the address data of the National Land Service.;;;
I8-d;Other;new question;new question;Change;No;;;;
I9;"Have any public bodies in your country launched or performed any activities in the past year to better understand reusers' needs in order to further stimulate the reuse of open data?

For Explanation:
* If yes, which of the following activities have been performed? Please describe how the activity has helped you better stimulate reuse.
* Multiple answers are possible.";yes;N/A;Confirm;;N/A;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;
I9-a;Regular feedback sessions with portal users ;new question;new question;Change;Yes;The institutions shall evaluate the user feedback or suggestions received and take the necessary action. Where possible, users shall also be contacted if further information is required.;;;
