;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;"There is a legal definition of reuse in the Open Data Act of 2021 - see art. 2 p.12
https://isap.sejm.gov.pl/isap.nsf/download.xsp/WDU20210001641/T/D20211641L.pdf 
Reuse is defined as ""the use by users of public sector information for any purpose other than the exchange of public sector information between obliged entities for the sole purpose of implementation of public tasks"".";Confirm;;;;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";yes;"The MDA monitors the reuse of data by public administration bodies via open data officers appointed in each ministry responsible for monitoring reuse of their data and reporting yearly to the MDA. The Open Data Programme implementation reports are based on their contributions. The reports comprises section showcasing the examples of such re-use.
https://dane.gov.pl/pl/knowledgebase/useful-materials/sprawozdania-z-realizacji-programu-otwierania-danych-na-lata-2021-2027 - a 2022 raport will be published shortly.

Research activities carried out by the MDA forms part of monitoring mechanism ad the findings inform the open data team about the level of reuse and its impact. See for example here:
https://cms.dane.gov.pl/documents/117/JST_2022_Raport_z_badania_final.docx

It is possible to submitt a showcase example of application using open data via a form https://dane.gov.pl/pl/showcase/suggest. There is a section of the portal dedicated to presenting submitted showcases https://dane.gov.pl/pl/showcase . For better visibility the main page of the OD portal has been redesidned and this section can now be pre-viewed and reached directly via the main page of the portal (see section PoCoTo - Data reuse), not only via upper-bar tab.To attract more attention from the visitors, the section has been renamed from generic ""applications"" to more inriguing ""PoCoTo"" which stands for ""what it is for"".";Complement;;"The MDA monitors the reuse of data by public administration bodies via open data officers appointed in each ministry responsible for monitoring reuse of their data and reporting yearly to the MDA. The Open Data Programme implementation reports are based on their contributions. The reports comprises section showcasing the examples of such re-use.
https://dane.gov.pl/pl/knowledgebase/useful-materials/sprawozdania-z-realizacji-programu-otwierania-danych-na-lata-2021-2027 - a 2023 raport will be published shortly.

Research activities carried out by the MDA forms part of monitoring mechanism and the findings inform the open data team about the level of reuse and its impact. See the reoprts from research here:
https://dane.gov.pl/pl/knowledgebase/useful-materials/raport-z-badania-wsrod-przedsiebiorcow-na-temat-wielkosci-i-charakterystyki-rynku-ponownego-wykorzystania-danych-publicznych-w-polsce

It is possible to submitt a showcase example of application using open data via a form https://dane.gov.pl/pl/showcase/suggest. There is a section of the portal dedicated to presenting submitted showcases https://dane.gov.pl/pl/showcase . For better visibility the main page of the OD portal has been redesidned and this section can now be pre-viewed and reached directly via the main page of the portal (see section PoCoTo - Data reuse), not only via upper-bar tab.To attract more attention from the visitors, the section has been renamed from generic ""applications"" to more intriguing ""PoCoTo"" which stands for ""what it is for"".";;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";yes;"Open data team constantly monitors indicators regarding number of data downloaded and consulted and popularity of data sets.

Open data officers have monitoring obligations as regrds data their institutions provide (see answet to Q 30). There is a provision in the Open Data Act that obliges them to monitor PSI of their institutions regading its quality but also its  usefulness for reuse.

A questionnair on open data portal is conducted to help improve its content so that it better suits public needs and increase a number of data sets that will be attractive for reuse. All responses and other informations on this issue received from users are monitored and analysed by administrator and open data team and feedback is then passed on to data providers. https://dane.gov.pl/forms/ankieta-o-portalu . The latest report on the questionnairs provided by the portal users is also publicly available here https://dane.gov.pl/pl/knowledgebase/useful-materials/raport-z-badania-wsrod-przedsiebiorcow-na-temat-wielkosci-i-charakterystyki-rynku-ponownego-wykorzystania-danych-publicznych-w-polsce
Additionally, an extensive analysis of the questionnaires received was provided in the diagnostic section of the Open Data Programme 2021-27 https://dane.gov.pl/pl/article/1281,nowy-program-otwierania-danych-na-lata-2021-2027 (see p. 22). The Programme containes our policy on incentivising and encouraging public sector to mesure and stimulate the reuse and is described in the answer to Q30.

MDA started a series of workshops for local government employees dealing with public open data. Topics related to open data reuse's benefits (including reuse case studies and its messuring) are part of the programme. First workshop of the series that ihas been planned was conducted in 10.2022 and the next ones will follow. The information leaflet with the programme (in PL only) is attached to the questionnair.";Complement;;"Open data team constantly monitors indicators regarding number of data downloaded and consulted and popularity of data sets.

Open data officers have monitoring obligations as regards data their institutions provide (see answet to Q I3). There is a provision in the Open Data Act that obliges them to monitor PSI of their institutions regading its quality but also its  usefulness for reuse.

A questionnair on open data portal is conducted to help improve its content so that it better suits public needs and increase a number of data sets that will be attractive for reuse. All responses and other informations on this issue received from users are monitored and analysed by administrator and open data team and feedback is then passed on to data providers. https://dane.gov.pl/forms/ankieta-o-portalu . The latest report on the questionnairs provided by the portal users is also publicly available here https://dane.gov.pl/pl/knowledgebase/useful-materials/raport-z-badania-wsrod-przedsiebiorcow-na-temat-wielkosci-i-charakterystyki-rynku-ponownego-wykorzystania-danych-publicznych-w-polsce (please see ""Ocena portalu Dane.gov.pl. Raporty z badań zrealizowanych wśród użytkowników portalu Dane.gov.pl.""
Additionally, an extensive analysis of the questionnaires received was provided in the diagnostic section of the Open Data Programme 2021-27 https://dane.gov.pl/pl/article/1281,nowy-program-otwierania-danych-na-lata-2021-2027 (see p. 22). The Programme containes our policy on incentivising and encouraging public sector to mesure and stimulate the reuse and is described in the answer to Q I3.

MDA is conducting a series of workshops for local government employees dealing with public open data. These eductional activities stated  in 2022 and are still carried on (latest edition took place in September 2023 (https://dane.gov.pl/pl/article/wez-udzia-w-bezpatnych-warsztatach-o-otwieraniu-danych) and more is to follow this year. Topics related to open data reuse's benefits (including reuse case studies and its messuring) are part of the programme. ";;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"Measuring and monitoring HVD reuse is conducted similat to other data sets (please see answer to Q I2 & I3).
Additionally, apart from applying the standard monitoring mechanism based on our network of open data officers to HVD's reuse, the MDA organised meetings with the officers devoted to the topic to increse their awarness and provide them with a forum for interinstitutional coordination and exchange of good practices and knowledge. To help the officers and reusers find information on HVD a dedicated bookmark  was added to the knowledge base section on the portal (for better and easier findability of the HVD information - see https://dane.gov.pl/pl/knowledgebase/useful-materials/dane-o-wysokiej-wartosci-hvd
Another tool for monitoring the HVD reuse is a dynamic data filter on the portal that will allow to analyze the increase in this type of data.
We do not identify any HVD-specific challenges that do not apply to monitoring ""normal"" datasets's reuse.";;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;"In the Open Data Program, the impact of open data was defined by the benefits its implementation will bring to different groups of stakeholders (see chapter 4 on page 30 - The main goal of opening data - benefits from Program implementation)
https://dane.gov.pl/pl/knowledgebase/useful-materials/program-otwierania-danych-na-lata-2021-2027
The similar approach to the definition of open data impact is included in other strategic documents related to data issues - Policy for the development of artificial intelligence in Poland https://monitorpolski.gov.pl/MP/2021/23 or the Productivity Strategy 2030 https://www.gov.pl/web/rozwoj-technologia/strategia-produktywnosci-2031 ";Confirm;;;;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";yes;"By creating the methodology of a nationwide study on the size and characteristics of the public data re-use market in Poland, (more on the study here https://dane.gov.pl/pl/knowledgebase/useful-materials/raport-z-badania-wsrod-przedsiebiorcow-na-temat-wielkosci-i-charakterystyki-rynku-ponownego-wykorzystania-danych-publicznych-w-polsce) we defined the parameters of the impact of open data on the area of entrepreneurship, which - after some modifications and further tests - can be used to measure the impact of open data on various other aspects related to the economic and socio-cultural functioning of specific social groups, or society as such.
We measured the parameters by means of a quantitative survey, carried out using the CATI technique (computer-assisted telephone interviews) among representatives of companies responsible for data management and/or data analysis, or with people best informed about the company's situation and the area of data use. In order to achieve the assumed research goal, a stratified-random sample selection was used, while maintaining the value of representativeness due to 4 size categories of enterprises. The sample also includes the division into provinces. Such an approach in constructing the research sample allowed us to objectify our observations by generalizing them to the entire group of entrepreneurs. Based on the above criteria, 600 interviews were conducted.
In the next steps, we intend to apply (with appropriate modifications) the above solutions to other social groups and thus test and possibly verify the indicators of the impact of open data. Therefore, we treat the survey conducted among entrepreneurs as a pilot of the process of creating a methodology for measuring the impact of open data.";Confirm;;;;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;"International conference „The Future is Data. Przyszłość to dane” 18.04.2023 organised by MDA in cooperation with different stakeholders from business, academia, NGOs and local government
https://dane.gov.pl/pl/promotion/the-future-is-data-przyszosc-to-dane-r2023?lang=pl&rev=-1

MDA cooperates with leading higher education and science institutions in Poland as part of the kronika.gov.pl portal (main partners at the moment being University of Wrocław and Wrocław University of Science and Technology) to increase the reuse and impact of open data published in Kronika, ecpecially for users from academia.
https://kronika.gov.pl/instytucje

Cooperation between MDA and Polish Academy of Sciences to organise webinar for higher education institutes to raise awarness on open data/ open science (especially research data) including legal framework, data publishing and reusing, benefits, impact and monitoring (07.2022)

MDA in cooperation with NASK researach institute, Lublin local government and local universities organised a panel discussion devoted to data-based econony and its impact on social and economic development during 2022 edition of IGF Poland conference (10.2022)
https://www.gov.pl/web/igf-poland
https://www.gov.pl/web/igf-poland/igf-2022 

Cooperation between the City of Płocka and Cifal Płock (affiliated training center of UNITAR  - UN Institute for Training and Research) in the organization of the annual City Coders hackathon, which uses open city databases
https://hackathon.plock.eu/";Complement;;"As part of the ""10 years of Dane.gov.pl"" campaign, representatives of various circles, including local government organizations, cooperated with us in promotional ways - they expressed their opinions about the portal, which we published in the form of graphics on Facebook and the website.
https://www.facebook.com/photo/?fbid=777596777846408&set=a.588070820132339

MDA in cooperation with institute for Development of Cities and Regions and Wrocław Medical University organised a panel discussion about data and new technologies during 2022 edition of IGF Poland conference (10.2022)
https://dane.gov.pl/pl/article/o-otwieraniu-danych-na-forum-we-wrocawiu
https://www.gov.pl/web/igf-polska/zapraszamy-do-wroclawia-na-szczyt-cyfrowy-igf-polska-2023

Cooperation continues between the City of Płocka and Cifal Płock (affiliated training center of UNITAR  - UN Institute for Training and Research) in the organization of the annual City Coders hackathon, which uses open city databases
https://hackathon.plock.eu/
Data for City Hackathon was organised jointly by local government and NGO (Warsaw City and Architects.pl foundation) – the aim was to use open data for creating digital solutions solving city’s problems and constructing smart city plans
https://www.dataforcity.pl/index.html#about 








";;;
