;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;"""[Response to reviewer] 
The definition is objectively laid down in the national law No. 68/2021 (Article No. 3, g), which transposes the EU directive 1024/2019. URL: https://dre.pt/dre/detalhe/lei/68-2021-170221042  - """"The utilization, by individuals or entities, of administrative documents or data held by the authorities and entities referred to in the following article (Article No. 4- Subjective scope of application), or held on their behalf, for commercial or non-commercial purposes other than the initial purpose for which the documents were produced."""". 
Complementary information about that definition is given in the national open data portal dados.gov 
URL: https://dados.gov.pt/pt/docs/reuse/""";Confirm;;;;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";yes;"The CADA's monitoring activities are (role defined in the national law No. 68/2019 on open data, https://dre.pt/dre/detalhe/lei/68-2021-170221042), among others: the social and economic impact of re-use; the number of re-uses; and the HVD impact.
Futhermore, at the national open data portal, dados.gov, a dashboard updates the number of publications of re-uses and its temporal evolution.
A monitoring improved dashboard is also being designed to be published at the national open data portal (dados.gov), with indicators of entities activity regarding to open data (example: the degree of compliance with the Law regarding High Value Datasets).";Complement;;"Furthermore, at the national open data portal, dados.gov, a dashboard updates the number of publications of re-uses and their temporal evolution.
A monitoring improved dashboard is also being designed to be published at the national open data portal (dados.gov), with indicators of entities' activity regarding open data (for example, the degree of compliance with the Law regarding High-Value Datasets). This dashboard is expected to be operational and launched soon.";;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";yes;"In several activities like, webinars, workshops, public presentations, datathons, hackathons, to which public bodies are invited, a direct diologue is established between different stakeholders to promote and incentivate the encourage entities to monitor the re-use of their own published data. A few examples are: the Webinar ""Data Strategy in Public Administration"" (URL: https://dados.gov.pt/pt/posts/a-ama-dinamizou-um-workshop-sobre-estrategia-de-dados-na-administracao-publica-ap/), ""The importance of Open Data"" (URL: https://dados.gov.pt/pt/posts/ogw-ii/) and ""Open Data"" (URL: https://dados.gov.pt/pt/posts/webinar-dados-abertos-1/)
There are also direct contacts with publishers at the national portal to monitor the activity of the portal. This channel is an incentive to the public bodies to monitor this kind of users' activity (in ""Atividade da Comunidade"" from https://dados.gov.pt/pt/dashboard/).";Complement;;"In several activities like webinars, workshops, public presentations, datathons, hackathons, to which public bodies are invited, a direct dialogue is established between different stakeholders to promote and encourage entities to monitor the re-use of their own published data. A few examples are: the Webinar ""Data Strategy in Public Administration"" (URL: https://dados.gov.pt/pt/posts/a-ama-dinamizou-um-workshop-sobre-estrategia-de-dados-na-administracao-publica-ap/), the workshop ""High-Value Datasets - Open Data on Public Administration"" (URL: https://dados.gov.pt/pt/posts/a-ama-e-o-ctic-promoveram-o-workshop-conjuntos-de-dados-de-elevado-valor-dados-abertos-na-administracao-publica-1/), or the ""Open Data Day"" (https://dados.gov.pt/pt/posts/open-data-day-2023/).
There are also direct contacts with publishers at the national portal to monitor the portal's activity. This channel is an incentive for public bodies to monitor this kind of user activity (in ""Atividade da Comunidade"" from https://dados.gov.pt/pt/dashboard/).";;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;"AMA, the entity that manages the national open data portal, dados.gov, in line with law No. 68/2021, has an ongoing project in which one of its main objectives is to implement a framework to monitor the level of re-use of high-value datasets, in coordination with measures to catalogue and promote the re-use of high-value datasets. A monitoring dashboard on the open data portal is being finalized and is expected to be operational soon.  A special group/contact point was created within the scope of CTIC 2021-2023-2026 governance, responsible for the high-value datasets/re-use in the respective governance area. An example of such collaboration was the following workshop for all the public administration centred on HVD's publication requisites and socioeconomic impacts (URL: https://dados.gov.pt/pt/posts/a-ama-e-o-ctic-promoveram-o-workshop-conjuntos-de-dados-de-elevado-valor-dados-abertos-na-administracao-publica-1/).

#Reply following the questions from the research team:
Apart from the information previously disclosed regarding the monitoring of resuse of HVDs, as of 2024 there are no updates to report.";;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";yes;"According to the Strategy and Studies Unit of the Portuguese Government, the impact ""is measured by considering the activities developed to monitor the reuse of data, as well as the results of that reuse."" And ""the positive impacts range from the creation of value in the economy, the improvement of scientific and technological capacity, to the promotion of transparency, citizen participation and accountability of public bodies."" URL: https://www.gee.gov.pt/pt/estudos-e-seminarios/artigos-category/32493-em-analise-dados-abertos-em-portugal";Confirm;;;;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";yes;"At AMA there is an ongoing project entitled""Dados Abertos - Definição de modelo de avaliação de impacto"" (Open Data- impact assessment model definition; URL https://www.base.gov.pt/Base4/pt/detalhe/?type=contratos&id=9601046) funded under the Recovery and Resilience Plan (Digital Transition). The aim of such project is to:
1) Compile an international benchmark of methodologies, use cases and best practices to assess the impact (economic, social, etc.) of using open data;
2) Define metrics for impact assessment and monitoring;
3) Stimulate cooperation among public administration (PA) entities (central, local and regional) in joint initiatives to make open data available and reused;
4) Develop and communicate metrics and indicators of success for data publication by PA entities
5) Demonstrate the value of open data, with simple reuse cases (e.g. visualizations) of datasets published by entities registered in data.gov, chosen by the potential to generate benefits and innovation, and relevance of this information;
6) Identify criteria and model for evaluating the quality of datasets highlighting good practices in the publication of datasets
At the present moment, this project has already done itens 1 and 2 and is working on case studies";Complement;;"At AMA there is an ongoing project entitled""Dados Abertos - Definição de modelo de avaliação de impacto"" (Open Data- impact assessment model definition; URL https://www.base.gov.pt/Base4/pt/detalhe/?type=contratos&id=9601046) funded under the Recovery and Resilience Plan (Digital Transition). The aim of the project is to:
1) Compile an international benchmark of methodologies, use cases and best practices to assess the impact (economic, social, etc.) of using open data;
2) Define metrics for impact assessment and monitoring;
3) Stimulate cooperation among public administration (PA) entities (central, local and regional) in joint initiatives to make open data available and reused;
4) Develop and communicate metrics and indicators of success for data publication by PA entities
5) Demonstrate the value of open data, with simple reuse cases (e.g. visualisations) of datasets published by entities registered in data.gov, chosen by the potential to generate benefits and innovation, and relevance of this information;
6) Identify criteria and model for evaluating the quality of datasets, highlighting good practices in the publication of datasets
This project is ongoing, and the impact measurement methodology has already been applied to different case studies in the country. The methodology is based on surveys to data providers and reusers. It assesses the acknowledgement, knowledge and evidence of the impact of open data in four different areas: governmental, economic, social, and environmental. Future steps include increasing the number of case studies and entities participating in the project. More details on this project can be on the file attached to this survey_Relatório Casos de Estudo.pdf";;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;"The national open government partnerships include 1) government entities, 2) academia, and 3) business associations and civil society. One of the 4 pillars of its first Open Administration National Action Plan (URL: https://ogp.eportugal.gov.pt/monitorizacao) is precisely open data. OGP Portugal aims to guarantee concrete commitments from governments to promote transparency, encourage public participation, fight corruption, and use new technologies to strengthen participatory democracy - https://ogp.eportugal.gov.pt/inicio. 
In December of 2022, in accordance with the pillars of the second Open Administration National Action Plan 2022 (URL: https://ogp.eportugal.gov.pt/ii-panaa), AMA launched the Mosaico platform (URL: https://mosaico.gov.pt/) which promotes universal access to information between the state and the citizen.
Besides OGP, other examples are: 
1) Arquivo.pt, which promotes an annual contest for innovative works carried out based on open data (preserved by Arquivo.pt). Arquivo.pt is developed by the Scientific Computing Unit of FCT - Foundation for Science and Technology - https://sobre.arquivo.pt/pt/conheca-os-vencedores-do-premio-arquivo-pt-2022/. 
2) The Urban Co-Creation Data Lab is a project that aims to provide support on decision making at the city level on high-quality services for citizens. The project is a collaboration between the Portuguese government (AMA) and NOVA IMS University. The project supports new planning and management approaches altogether with new tools to evaluate the impact and predict various services demand (URL: https://www.urbandatalab.pt/). 
3) The DSPA represents the Data Science sector and promotes data science in Portugal and internationally. The association also promotes regulation, ethics, and security in the field of data science. It shares experiences, innovations, case-studies, and success stories and promotes innovation and entrepreneurship of Portuguese companies (URL: https://dspa.pt/)";Complement;;"The national open government partnerships include 1) government entities, 2) academia, and 3) business associations and civil society. One of the 4 pillars of its first Open Administration National Action Plan (URL: https://ogp.eportugal.gov.pt/monitorizacao) is precisely open data. OGP Portugal aims to guarantee concrete commitments from governments to promote transparency, encourage public participation, fight corruption, and use new technologies to strengthen participatory democracy - https://ogp.eportugal.gov.pt/inicio. 
In December of 2022, following the pillars of the second Open Administration National Action Plan 2022 (URL: https://ogp.eportugal.gov.pt/ii-panaa), AMA launched the Mosaico platform (URL: https://mosaico.gov.pt/), which promotes universal access to information between the state and the citizen. The third Open Administration National Action Plan (2024-27) is now underway (URL: https://ogp.eportugal.gov.pt/iii-panna)
Besides OGP, other examples are: 
1) Arquivo.pt, which promotes an annual contest for innovative works based on open data (preserved by Arquivo.pt). Arquivo.pt is developed by the Scientific Computing Unit of FCT - Foundation for Science and Technology - https://sobre.arquivo.pt/pt/colabore/premios-arquivo-pt/premio-arquivo-pt-2024/. 
2) The Urban Co-Creation Data Lab project aims to support decision-making at the city level regarding high-quality services for citizens. The project is a collaboration between the Portuguese government (AMA) and NOVA IMS University. The project supports new planning and management approaches with new tools to evaluate the impact and predict various service demands (URL: https://www.urbandatalab.pt/). 
3) The DSPA represents the Data Science sector and promotes data science in Portugal and internationally. The association also promotes regulation, ethics, and security in the field of data science. It shares experiences, innovations, case-studies, and success stories and promotes innovation and entrepreneurship of Portuguese companies (URL: https://dspa.pt/)";;;
