;Dimension 4: Open Data Impact;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;
;4.1. Strategic awareness;;;;;;;;
I1;"Do you have a definition of open data reuse in your country?
 
For Explanation:
* If yes, please specify it.";yes;According to the Law on eGovernment, article 3, open data re-use is: use of open data or documents of the public sector bodies, by natural or legal persons, for commercial or non-commercial purposes, different from the original purpose of the production.;Confirm;;;;;
I2;"Are there any processes in place to monitor the level of reuse of your country's open data?
 
For Explanation:
* If yes, please (1) briefly describe these processes and (2) provide the URLs to support the answer.";Yes;Every user can and is encouraged to publish his/her re-use example on the National Open Data Portal. URL: https://data.gov.rs/sr/reuses/;Confirm;;;;;
I3;"Are there any activities in place to encourage public bodies to monitor the reuse of their own published data (e.g. incentives or obligations in place for public bodies or civil servants of national government)?
 
For Explanation:
* If yes, please (1) briefly describe these activities/incentives and (2) provide the URLs to support the answer. ";yes;Public sector bodies are regularly invited to be partners in the Data Innovation Challenges, which support use of their datasets (e.g. the last Data Innovation Challenge partnered up with the Ministry of Health, for the re-use of the diabetes data) URL: https://hub.data.gov.rs/2022/02/02/odgovori-na-izazov-otvorenih-podataka-i-obezbedi-budzet-za-razvoj-svoje-ideje/;Confirm;;;;;
I4;"Does your country have processes in place to monitor and measure the level of reuse of high-value datasets ((EU) 2023/138)?
 
For Explanation:
* If yes, please specify how and highlight challenges if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Not Applicable;Not Applicable;;;
I5;"Has your government specified what 'impact of open data' means (e.g. in a strategy document)?
 
For Explanation:
* If yes, how do you define the impact of open data in your country? 
* If possible, please provide a URL to a public document describing it.";no;;Change;Yes;"The impact of open data in Serbia is set within the Prime Minister expose in 2017, when the open data initiative started in Serbia. In expose, the following areas of open data are recognized:  a) Economic Growth; b) Efficiency in Public Administration c) Quality of Citizen Services d) Reduction in Corruption e) Increased Trust in Government.  link: https://www.media.srbija.gov.rs/medsrp/dokumenti/brnabic_ekspoze280617_cyr.pdf (p. 18) Additionaly, the following analysis on potential impact of open data in Serbia has been implemented: https://www.undp.org/sr/serbia/publications/potencijalni-uticaj-otvaranja-podataka-u-srbiji";;;
I6;"Do you have a methodology in place to measure the impact of open data in your country?
 
For Explanation:
* If yes, please briefly describe the key points of this methodology.";yes;"Methodology is developed in partnership with UNDP, in 2019. URL (linked also on the National Open Data Portal) https://www.undp.org/sr/serbia/publications/potencijalni-uticaj-otvaranja-podataka-u-srbiji  Framework for open data impact indicators  which is proposed in this methodology  is
based on several dimensions.
First the dimension of balancing lead and lag indicators. Lead indicators show whether the right
things to enable open data impact are happening (as no impact would be possible otherwise),
and lag indicators to assess what impact is visible.
Second, establishing indicators along the entire value chain that leads to socio-economic impact
of open data, as apparent from the reviewed research. This value chain runs from data provision,
government efficiency gains, demand and adoption, time and resource investment by external
stakeholders, re-use examples, policy implementation, ecosystem formation, to higher order
usage and network effects.
For the different steps in that chain, both lead and lag indicators can be put forward, along with
the methods to measure them where such experience exists in the research taken into account.
Third, indicators as much as possible should be of the ‘vector’ type (measuring direction and
speed), which more likely leads to more objective measurements. The exact list of indicators is available starting from page 53 of the publication. ";Confirm;;;;;
I7;"Is there collaboration between government and civil society or academia to create open data impact in your country?

For Explanation:
* If yes, please provide an example
* If possible, URLs to such projects and collaborations.";yes;One the examples of such collaboration is the Open Budget Platform, implemented in partnership of the government and the civil society (Observatory of Social Innovations). URL: https://budzeti.data.gov.rs/;Confirm;;;;;
;4.2 Measuring reuse;;;;;;;;
I8;"Have any public bodies in your country launched or performed any activities in the past year to understand which and how (open) datasets are reused?

For Explanation:
* If yes, which of the following activities?
* Multiple answers are possible.";yes;N/A;Confirm;;N/A;;;
;Type of activity;Answer 2023;Explanation 2023;Confirm, change or complement answer/explanation from 2023;New answer (optional);New explanation (optional);;;
I8-a;Automated feedback mechanisms tracking users´ access to datasets;new question;new question;Change;Yes;Yes;;;
I8-b;Surveys;new question;new question;Change;No;;;;
I8-c;Interviews/workshops with reusers;new question;new question;Change;Yes;We have interviewed the members of the tech, academia and media. ;;;
I8-d;Other;new question;new question;Change;No;;;;
